particle,elasticity,weight,frame,x,y,z
1,0.98083,12.36202,1,-0.33912,0.20222,0.06109
1,0.98083,12.36202,2,-0.22715,0.30721,0.09735
1,0.98083,12.36202,3,-0.11604,0.41138,0.11931
1,0.98083,12.36202,4,-0.0325,0.34595,0.09446
1,0.98083,12.36202,5,0.04577,0.26326,0.06627
1,0.98083,12.36202,6,0.11415,0.18912,0.08059
1,0.98083,12.36202,7,0.17881,0.11604,0.09439
2,0.85866,9.34325,1,-0.35279,0.20011,0.05707
2,0.85866,9.34325,2,-0.2577,0.30207,0.08831
2,0.85866,9.34325,3,-0.16329,0.4033,0.10532
2,0.85866,9.34325,4,-0.09389,0.36864,0.08478
2,0.85866,9.34325,5,-0.03873,0.29665,0.07162
2,0.85866,9.34325,6,0.0137,0.23106,0.07057
2,0.85866,9.34325,7,0.06371,0.16991,0.07438
3,0.67236,8.06567,1,-0.37386,0.19693,0.05152
3,0.67236,8.06567,2,-0.30672,0.29448,0.0836
3,0.67236,8.06567,3,-0.24001,0.39141,0.10147
3,0.67236,8.06567,4,-0.15662,0.39662,0.105
3,0.67236,8.06567,5,-0.0688,0.37582,0.09443
3,0.67236,8.06567,6,0.01775,0.35511,0.07309
3,0.67236,8.06567,7,0.09942,0.33557,0.05704
4,0.81492,7.56446,1,-0.35768,0.19936,0.05557
4,0.81492,7.56446,2,-0.26866,0.30017,0.08517
4,0.81492,7.56446,3,-0.18026,0.40027,0.10059
4,0.81492,7.56446,4,-0.11651,0.37892,0.08366
4,0.81492,7.56446,5,-0.06333,0.32763,0.06986
4,0.81492,7.56446,6,-0.01397,0.2807,0.06418
4,0.81492,7.56446,7,0.03232,0.2357,0.05784
5,0.98083,12.36202,1,-0.33912,0.20222,0.06109
5,0.98083,12.36202,2,-0.22715,0.30721,0.09735
5,0.98083,12.36202,3,-0.11604,0.41138,0.11931
5,0.98083,12.36202,4,-0.0325,0.34595,0.09446
5,0.98083,12.36202,5,0.04577,0.26326,0.06627
5,0.98083,12.36202,6,0.11415,0.18912,0.08059
5,0.98083,12.36202,7,0.17881,0.11604,0.09439
6,0.68938,8.6173,1,-0.37194,0.19722,0.05208
