particle,elasticity,weight,frame,x,y,z
1,0.99029,74.0458,1,-0.36263,0.12189,0.34917
1,0.99029,74.0458,2,-0.22148,-0.05203,0.37482
1,0.99029,74.0458,3,-0.08179,-0.22414,0.38621
1,0.99029,74.0458,4,0.05644,-0.39448,0.38348
1,0.99029,74.0458,5,0.15037,-0.38982,0.37212
1,0.99029,74.0458,6,0.22224,-0.29872,0.34948
1,0.99029,74.0458,7,0.29365,-0.20818,0.31295
1,0.99029,74.0458,8,0.36461,-0.11823,0.26264
1,0.99029,74.0458,9,0.41623,-0.03255,0.1989
1,0.99029,74.0458,10,0.36808,0.0347,0.12911
1,0.99029,74.0458,11,0.32798,0.10539,0.08477
1,0.99029,74.0458,12,0.30355,0.18334,0.10455
1,0.99029,74.0458,13,0.27923,0.26092,0.1102
1,0.99029,74.0458,14,0.25503,0.33813,0.1018
1,0.99029,74.0458,15,0.23014,0.41385,0.08491
1,0.99029,74.0458,16,0.19109,0.39194,0.10596
1,0.99029,74.0458,17,0.15533,0.35535,0.11481
1,0.99029,74.0458,18,0.11969,0.31889,0.10959
1,0.99029,74.0458,19,0.08418,0.28256,0.09035
1,0.99029,74.0458,20,0.05258,0.24693,0.0724
1,0.99029,74.0458,21,0.02862,0.21254,0.07093
1,0.99029,74.0458,22,0.006,0.18035,0.06518
1,0.99029,74.0458,23,-0.01526,0.1499,0.05403
1,0.99029,74.0458,24,-0.03335,0.12388,0.05353
1,0.99029,74.0458,25,-0.05,0.09985,0.04998
1,0.99029,74.0458,26,-0.06386,0.07867,0.04926
1,0.99029,74.0458,27,-0.07611,0.06026,0.04797
1,0.99029,74.0458,28,-0.08633,0.04466,0.04731
1,0.99029,74.0458,29,-0.09456,0.03174,0.04696
1,0.99029,74.0458,30,-0.10068,0.02154,0.04727
2,0.99212,78.41568,1,-0.3625,0.12192,0.34916
2,0.99212,78.41568,2,-0.22112,-0.05194,0.37479
2,0.99212,78.41568,3,-0.08121,-0.224,0.38616
2,0.99212,78.41568,4,0.05725,-0.39428,0.38341
2,0.99212,78.41568,5,0.1514,-0.38962,0.37203
2,0.99212,78.41568,6,0.22351,-0.29854,0.34936
2,0.99212,78.41568,7,0.29516,-0.20803,0.31282
2,0.99212,78.41568,8,0.36635,-0.1181,0.26249
2,0.99212,78.41568,9,0.41787,-0.03249,0.19863
2,0.99212,78.41568,10,0.36819,0.03447,0.12845
2,0.99212,78.41568,11,0.32599,0.10508,0.08407
2,0.99212,78.41568,12,0.29835,0.18338,0.1045
2,0.99212,78.41568,13,0.27085,0.2613,0.1108
2,0.99212,78.41568,14,0.24347,0.33884,0.10303
2,0.99212,78.41568,15,0.21546,0.41514,0.08593
2,0.99212,78.41568,16,0.17772,0.39237,0.10515
2,0.99212,78.41568,17,0.14225,0.35971,0.11153
2,0.99212,78.41568,18,0.10691,0.32716,0.10384
2,0.99212,78.41568,19,0.0717,0.29472,0.08214
2,0.99212,78.41568,20,0.04241,0.26,0.07506
2,0.99212,78.41568,21,0.01782,0.22328,0.076
2,0.99212,78.41568,22,-0.0031,0.18944,0.08099
2,0.99212,78.41568,23,-0.02218,0.15709,0.08097
2,0.99212,78.41568,24,-0.04099,0.12609,0.07289
2,0.99212,78.41568,25,-0.05732,0.0983,0.07116
2,0.99212,78.41568,26,-0.07262,0.07077,0.0594
2,0.99212,78.41568,27,-0.08456,0.04612,0.05303
2,0.99212,78.41568,28,-0.09304,0.02649,0.05962
2,0.99212,78.41568,29,-0.10087,0.00768,0.05614
2,0.99212,78.41568,30,-0.10741,-0.00858,0.05055
3,0.99212,78.41568,1,-0.3625,0.12192,0.34916
3,0.99212,78.41568,2,-0.22112,-0.05194,0.37479
3,0.99212,78.41568,3,-0.08121,-0.224,0.38616
3,0.99212,78.41568,4,0.05725,-0.39428,0.38341
3,0.99212,78.41568,5,0.1514,-0.38962,0.37203
3,0.99212,78.41568,6,0.22351,-0.29854,0.34936
3,0.99212,78.41568,7,0.29516,-0.20803,0.31282
3,0.99212,78.41568,8,0.36635,-0.1181,0.26249
3,0.99212,78.41568,9,0.41787,-0.03249,0.19863
3,0.99212,78.41568,10,0.36819,0.03447,0.12845
3,0.99212,78.41568,11,0.32599,0.10508,0.08407
3,0.99212,78.41568,12,0.29835,0.18338,0.1045
3,0.99212,78.41568,13,0.27085,0.2613,0.1108
3,0.99212,78.41568,14,0.24347,0.33884,0.10303
3,0.99212,78.41568,15,0.21546,0.41514,0.08593
3,0.99212,78.41568,16,0.17772,0.39237,0.10515
3,0.99212,78.41568,17,0.14225,0.35971,0.11153
3,0.99212,78.41568,18,0.10691,0.32716,0.10384
3,0.99212,78.41568,19,0.0717,0.29472,0.08214
3,0.99212,78.41568,20,0.04241,0.26,0.07506
3,0.99212,78.41568,21,0.01782,0.22328,0.076
3,0.99212,78.41568,22,-0.0031,0.18944,0.08099
3,0.99212,78.41568,23,-0.02218,0.15709,0.08097
3,0.99212,78.41568,24,-0.04099,0.12609,0.07289
3,0.99212,78.41568,25,-0.05732,0.0983,0.07116
3,0.99212,78.41568,26,-0.07262,0.07077,0.0594
