particle,elasticity,weight,frame,x,y,z
1,0.70984,-36.29311,1,-0.26799,-0.3886,0.25224
1,0.70984,-36.29311,2,-0.35867,-0.27909,0.25543
1,0.70984,-36.29311,3,-0.27094,-0.15315,0.24429
1,0.70984,-36.29311,4,-0.18387,-0.02817,0.21921
1,0.70984,-36.29311,5,-0.09747,0.09585,0.18032
1,0.70984,-36.29311,6,-0.01175,0.2189,0.12771
1,0.70984,-36.29311,7,0.06643,0.33064,0.11127
1,0.70984,-36.29311,8,0.14163,0.38049,0.12432
1,0.70984,-36.29311,9,0.22019,0.36412,0.1279
1,0.70984,-36.29311,10,0.29839,0.34783,0.11743
1,0.70984,-36.29311,11,0.3747,0.33251,0.09999
1,0.70984,-36.29311,12,0.37078,0.30779,0.10504
1,0.70984,-36.29311,13,0.34595,0.27973,0.10046
1,0.70984,-36.29311,14,0.32458,0.25477,0.09998
1,0.70984,-36.29311,15,0.30598,0.23229,0.09998
1,0.70984,-36.29311,16,0.29005,0.2122,0.09998
1,0.70984,-36.29311,17,0.27548,0.19337,0.09998
1,0.70984,-36.29311,18,0.26101,0.17466,0.09998
1,0.70984,-36.29311,19,0.24662,0.15606,0.09998
1,0.70984,-36.29311,20,0.23232,0.13758,0.09998
1,0.70984,-36.29311,21,0.2181,0.11921,0.09999
1,0.70984,-36.29311,22,0.20398,0.10095,0.09998
1,0.70984,-36.29311,23,0.18993,0.0828,0.09998
1,0.70984,-36.29311,24,0.17597,0.06475,0.09998
1,0.70984,-36.29311,25,0.16209,0.04681,0.09998
2,0.70984,-36.29311,1,-0.26799,-0.3886,0.25224
2,0.70984,-36.29311,2,-0.35867,-0.27909,0.25543
2,0.70984,-36.29311,3,-0.27094,-0.15315,0.24429
2,0.70984,-36.29311,4,-0.18387,-0.02817,0.21921
2,0.70984,-36.29311,5,-0.09747,0.09585,0.18032
2,0.70984,-36.29311,6,-0.01175,0.2189,0.12771
2,0.70984,-36.29311,7,0.06643,0.33064,0.11127
2,0.70984,-36.29311,8,0.14163,0.38049,0.12432
2,0.70984,-36.29311,9,0.22019,0.36412,0.1279
2,0.70984,-36.29311,10,0.29839,0.34783,0.11743
2,0.70984,-36.29311,11,0.3747,0.33251,0.09999
2,0.70984,-36.29311,12,0.37078,0.30779,0.10504
2,0.70984,-36.29311,13,0.34595,0.27973,0.10046
2,0.70984,-36.29311,14,0.32458,0.25477,0.09998
2,0.70984,-36.29311,15,0.30598,0.23229,0.09998
2,0.70984,-36.29311,16,0.29005,0.2122,0.09998
2,0.70984,-36.29311,17,0.27548,0.19337,0.09998
2,0.70984,-36.29311,18,0.26101,0.17466,0.09998
2,0.70984,-36.29311,19,0.24662,0.15606,0.09998
2,0.70984,-36.29311,20,0.23232,0.13758,0.09998
2,0.70984,-36.29311,21,0.2181,0.11921,0.09999
2,0.70984,-36.29311,22,0.20398,0.10095,0.09998
2,0.70984,-36.29311,23,0.18993,0.0828,0.09998
2,0.70984,-36.29311,24,0.17597,0.06475,0.09998
2,0.70984,-36.29311,25,0.16209,0.04681,0.09998
3,0.70984,-36.29311,1,-0.26799,-0.3886,0.25224
3,0.70984,-36.29311,2,-0.35867,-0.27909,0.25543
3,0.70984,-36.29311,3,-0.27094,-0.15315,0.24429
3,0.70984,-36.29311,4,-0.18387,-0.02817,0.21921
3,0.70984,-36.29311,5,-0.09747,0.09585,0.18032
3,0.70984,-36.29311,6,-0.01175,0.2189,0.12771
3,0.70984,-36.29311,7,0.06643,0.33064,0.11127
3,0.70984,-36.29311,8,0.14163,0.38049,0.12432
3,0.70984,-36.29311,9,0.22019,0.36412,0.1279
3,0.70984,-36.29311,10,0.29839,0.34783,0.11743
3,0.70984,-36.29311,11,0.3747,0.33251,0.09999
3,0.70984,-36.29311,12,0.37078,0.30779,0.10504
3,0.70984,-36.29311,13,0.34595,0.27973,0.10046
3,0.70984,-36.29311,14,0.32458,0.25477,0.09998
3,0.70984,-36.29311,15,0.30598,0.23229,0.09998
3,0.70984,-36.29311,16,0.29005,0.2122,0.09998
3,0.70984,-36.29311,17,0.27548,0.19337,0.09998
3,0.70984,-36.29311,18,0.26101,0.17466,0.09998
3,0.70984,-36.29311,19,0.24662,0.15606,0.09998
3,0.70984,-36.29311,20,0.23232,0.13758,0.09998
3,0.70984,-36.29311,21,0.2181,0.11921,0.09999
3,0.70984,-36.29311,22,0.20398,0.10095,0.09998
3,0.70984,-36.29311,23,0.18993,0.0828,0.09998
3,0.70984,-36.29311,24,0.17597,0.06475,0.09998
3,0.70984,-36.29311,25,0.16209,0.04681,0.09998
4,0.70984,-36.29311,1,-0.26799,-0.3886,0.25224
4,0.70984,-36.29311,2,-0.35867,-0.27909,0.25543
4,0.70984,-36.29311,3,-0.27094,-0.15315,0.24429
4,0.70984,-36.29311,4,-0.18387,-0.02817,0.21921
4,0.70984,-36.29311,5,-0.09747,0.09585,0.18032
4,0.70984,-36.29311,6,-0.01175,0.2189,0.12771
4,0.70984,-36.29311,7,0.06643,0.33064,0.11127
4,0.70984,-36.29311,8,0.14163,0.38049,0.12432
4,0.70984,-36.29311,9,0.22019,0.36412,0.1279
4,0.70984,-36.29311,10,0.29839,0.34783,0.11743
4,0.70984,-36.29311,11,0.3747,0.33251,0.09999
4,0.70984,-36.29311,12,0.37078,0.30779,0.10504
4,0.70984,-36.29311,13,0.34595,0.27973,0.10046
4,0.70984,-36.29311,14,0.32458,0.25477,0.09998
4,0.70984,-36.29311,15,0.30598,0.23229,0.09998
4,0.70984,-36.29311,16,0.29005,0.2122,0.09998
4,0.70984,-36.29311,17,0.27548,0.19337,0.09998
4,0.70984,-36.29311,18,0.26101,0.17466,0.09998
4,0.70984,-36.29311,19,0.24662,0.15606,0.09998
4,0.70984,-36.29311,20,0.23232,0.13758,0.09998
4,0.70984,-36.29311,21,0.2181,0.11921,0.09999
4,0.70984,-36.29311,22,0.20398,0.10095,0.09998
4,0.70984,-36.29311,23,0.18993,0.0828,0.09998
4,0.70984,-36.29311,24,0.17597,0.06475,0.09998
4,0.70984,-36.29311,25,0.16209,0.04681,0.09998
5,0.70984,-36.29311,1,-0.26799,-0.3886,0.25224
5,0.70984,-36.29311,2,-0.35867,-0.27909,0.25543
5,0.70984,-36.29311,3,-0.27094,-0.15315,0.24429
5,0.70984,-36.29311,4,-0.18387,-0.02817,0.21921
