particle,elasticity,weight,frame,x,y,z
1,0.2813,93.62454,1,0.05247,-0.36652,0.50177
1,0.2813,93.62454,2,-0.22921,-0.32713,0.76384
1,0.2813,93.62454,3,-0.39303,-0.27439,0.86974
1,0.2813,93.62454,4,-0.35191,-0.20051,0.77955
1,0.2813,93.62454,5,-0.31105,-0.12712,0.67593
1,0.2813,93.62454,6,-0.27048,-0.05424,0.55902
1,0.2813,93.62454,7,-0.23021,0.01809,0.42897
1,0.2813,93.62454,8,-0.19026,0.08987,0.28591
1,0.2813,93.62454,9,-0.15063,0.16105,0.13003
1,0.2813,93.62454,10,-0.10693,0.20495,0.11167
1,0.2813,93.62454,11,-0.06216,0.24103,0.12224
1,0.2813,93.62454,12,-0.01756,0.27698,0.11874
1,0.2813,93.62454,13,0.02686,0.31279,0.10121
1,0.2813,93.62454,14,0.06972,0.34733,0.09998
1,0.2813,93.62454,15,0.11208,0.38148,0.09998
1,0.2813,93.62454,16,0.15471,0.39001,0.10143
1,0.2813,93.62454,17,0.19705,0.39001,0.09998
1,0.2813,93.62454,18,0.2387,0.39001,0.09998
1,0.2813,93.62454,19,0.27997,0.39,0.09998
1,0.2813,93.62454,20,0.32085,0.39,0.09998
1,0.2813,93.62454,21,0.36137,0.39,0.09998
1,0.2813,93.62454,22,0.39001,0.38809,0.1011
1,0.2813,93.62454,23,0.39001,0.38165,0.09998
1,0.2813,93.62454,24,0.39001,0.37569,0.09998
1,0.2813,93.62454,25,0.39001,0.36995,0.09998
1,0.2813,93.62454,26,0.39001,0.36426,0.09998
1,0.2813,93.62454,27,0.39,0.35858,0.09998
1,0.2813,93.62454,28,0.39,0.35292,0.09998
1,0.2813,93.62454,29,0.39,0.34729,0.09998
1,0.2813,93.62454,30,0.39,0.34167,0.09998
2,0.2444,93.10741,1,0.05189,-0.36981,0.50235
2,0.2444,93.10741,2,-0.23066,-0.3353,0.76526
2,0.2444,93.10741,3,-0.39583,-0.28687,0.87284
2,0.2444,93.10741,4,-0.35683,-0.21645,0.78526
2,0.2444,93.10741,5,-0.31809,-0.14648,0.68423
2,0.2444,93.10741,6,-0.2796,-0.07699,0.56987
2,0.2444,93.10741,7,-0.2414,-0.008,0.44231
2,0.2444,93.10741,8,-0.20348,0.06045,0.30173
2,0.2444,93.10741,9,-0.16588,0.12836,0.14827
2,0.2444,93.10741,10,-0.12473,0.17378,0.10782
2,0.2444,93.10741,11,-0.08184,0.20806,0.11637
2,0.2444,93.10741,12,-0.03911,0.24221,0.11084
2,0.2444,93.10741,13,0.00298,0.27585,0.09999
2,0.2444,93.10741,14,0.04411,0.30872,0.09998
2,0.2444,93.10741,15,0.0848,0.34123,0.09998
2,0.2444,93.10741,16,0.12505,0.3734,0.09998
2,0.2444,93.10741,17,0.16522,0.39001,0.10118
2,0.2444,93.10741,18,0.20536,0.39001,0.09998
2,0.2444,93.10741,19,0.24487,0.39001,0.09998
2,0.2444,93.10741,20,0.28402,0.39,0.09998
2,0.2444,93.10741,21,0.32282,0.39,0.09998
2,0.2444,93.10741,22,0.36129,0.39,0.09998
2,0.2444,93.10741,23,0.38985,0.38842,0.10075
2,0.2444,93.10741,24,0.39001,0.38239,0.09998
2,0.2444,93.10741,25,0.39001,0.37678,0.09998
2,0.2444,93.10741,26,0.39001,0.37136,0.09998
2,0.2444,93.10741,27,0.39,0.36597,0.09998
2,0.2444,93.10741,28,0.39,0.36059,0.09998
2,0.2444,93.10741,29,0.39,0.35524,0.09998
2,0.2444,93.10741,30,0.39,0.3499,0.09998
