particle,elasticity,weight,frame,x,y,z
1,0.58825,77.79688,1,0.43139,0.3918,0.34105
1,0.58825,77.79688,2,0.33174,0.28918,0.47672
1,0.58825,77.79688,3,0.233,0.1875,0.5974
1,0.58825,77.79688,4,0.13512,0.0867,0.70329
1,0.58825,77.79688,5,0.03805,-0.01324,0.79455
1,0.58825,77.79688,6,-0.05822,-0.11239,0.87134
1,0.58825,77.79688,7,-0.1527,-0.20993,0.92829
1,0.58825,77.79688,8,-0.23703,-0.29905,0.92205
1,0.58825,77.79688,9,-0.31898,-0.38582,0.89184
1,0.58825,77.79688,10,-0.40333,-0.40661,0.84512
1,0.58825,77.79688,11,-0.39771,-0.37661,0.77843
1,0.58825,77.79688,12,-0.36245,-0.34715,0.70227
1,0.58825,77.79688,13,-0.32736,-0.31784,0.61275
1,0.58825,77.79688,14,-0.29248,-0.2887,0.50998
1,0.58825,77.79688,15,-0.25782,-0.25974,0.39409
1,0.58825,77.79688,16,-0.22338,-0.23098,0.26522
1,0.58825,77.79688,17,-0.1892,-0.20242,0.12352
1,0.58825,77.79688,18,-0.16346,-0.17183,0.05857
1,0.58825,77.79688,19,-0.13805,-0.14165,0.09477
1,0.58825,77.79688,20,-0.11272,-0.11158,0.11707
1,0.58825,77.79688,21,-0.08748,-0.08161,0.12552
1,0.58825,77.79688,22,-0.06231,-0.05173,0.12016
1,0.58825,77.79688,23,-0.03723,-0.02194,0.10105
1,0.58825,77.79688,24,-0.01223,0.00774,0.06823
1,0.58825,77.79688,25,0.00918,0.02977,0.07974
1,0.58825,77.79688,26,0.0297,0.05166,0.08084
1,0.58825,77.79688,27,0.05001,0.07302,0.07017
1,0.58825,77.79688,28,0.07001,0.09255,0.05305
1,0.58825,77.79688,29,0.08608,0.10623,0.05279
1,0.58825,77.79688,30,0.10034,0.11833,0.04883
1,0.58825,77.79688,31,0.11148,0.12772,0.04836
1,0.58825,77.79688,32,0.11999,0.13509,0.04799
1,0.58825,77.79688,33,0.12581,0.1408,0.04796
1,0.58825,77.79688,34,0.12908,0.14455,0.04828
1,0.58825,77.79688,35,0.13038,0.14582,0.04867
1,0.58825,77.79688,36,0.13044,0.14595,0.04937
1,0.58825,77.79688,37,0.13045,0.14603,0.04969
1,0.58825,77.79688,38,0.13046,0.14607,0.04985
