particle,elasticity,weight,frame,x,y,z
1,0.6106,133.56271,1,-0.18292,-0.24039,0.69726
1,0.6106,133.56271,2,-0.41686,-0.38554,0.88453
1,0.6106,133.56271,3,-0.33179,-0.43738,0.9327
1,0.6106,133.56271,4,-0.27391,-0.40376,0.89898
1,0.6106,133.56271,5,-0.2163,-0.3703,0.85165
1,0.6106,133.56271,6,-0.15897,-0.33701,0.79079
1,0.6106,133.56271,7,-0.10194,-0.30389,0.71649
1,0.6106,133.56271,8,-0.04523,-0.27095,0.62884
1,0.6106,133.56271,9,0.01113,-0.23822,0.52797
1,0.6106,133.56271,10,0.06712,-0.20569,0.414
1,0.6106,133.56271,11,0.12274,-0.1734,0.28706
1,0.6106,133.56271,12,0.17794,-0.14134,0.14731
1,0.6106,133.56271,13,0.23637,-0.12547,0.06099
1,0.6106,133.56271,14,0.29025,-0.12448,0.09738
1,0.6106,133.56271,15,0.34391,-0.12349,0.11984
1,0.6106,133.56271,16,0.39738,-0.12251,0.12845
1,0.6106,133.56271,17,0.39802,-0.13301,0.12968
1,0.6106,133.56271,18,0.38364,-0.14676,0.11896
1,0.6106,133.56271,19,0.3693,-0.16048,0.09449
1,0.6106,133.56271,20,0.355,-0.17416,0.05632
1,0.6106,133.56271,21,0.34408,-0.1815,0.05858
1,0.6106,133.56271,22,0.33414,-0.18717,0.063
1,0.6106,133.56271,23,0.32457,-0.19156,0.05883
1,0.6106,133.56271,24,0.31581,-0.19452,0.05002
1,0.6106,133.56271,25,0.31005,-0.19586,0.05064
1,0.6106,133.56271,26,0.30659,-0.19598,0.04951
1,0.6106,133.56271,27,0.30601,-0.19588,0.04937
1,0.6106,133.56271,28,0.30594,-0.19596,0.0497
1,0.6106,133.56271,29,0.30591,-0.19599,0.04985
1,0.6106,133.56271,30,0.30589,-0.19601,0.04992
1,0.6106,133.56271,31,0.30589,-0.19602,0.04995
1,0.6106,133.56271,32,0.30588,-0.19602,0.04997
1,0.6106,133.56271,33,0.30588,-0.19602,0.04998
1,0.6106,133.56271,34,0.30588,-0.19602,0.04998
1,0.6106,133.56271,35,0.30588,-0.19602,0.04998
1,0.6106,133.56271,36,0.30588,-0.19602,0.04998
1,0.6106,133.56271,37,0.30588,-0.19602,0.04998
2,0.6106,133.56271,1,-0.18292,-0.24039,0.69726
2,0.6106,133.56271,2,-0.41686,-0.38554,0.88453
2,0.6106,133.56271,3,-0.33179,-0.43738,0.9327
2,0.6106,133.56271,4,-0.27391,-0.40376,0.89898
2,0.6106,133.56271,5,-0.2163,-0.3703,0.85165
2,0.6106,133.56271,6,-0.15897,-0.33701,0.79079
2,0.6106,133.56271,7,-0.10194,-0.30389,0.71649
2,0.6106,133.56271,8,-0.04523,-0.27095,0.62884
2,0.6106,133.56271,9,0.01113,-0.23822,0.52797
2,0.6106,133.56271,10,0.06712,-0.20569,0.414
2,0.6106,133.56271,11,0.12274,-0.1734,0.28706
2,0.6106,133.56271,12,0.17794,-0.14134,0.14731
2,0.6106,133.56271,13,0.23637,-0.12547,0.06099
2,0.6106,133.56271,14,0.29025,-0.12448,0.09738
2,0.6106,133.56271,15,0.34391,-0.12349,0.11984
2,0.6106,133.56271,16,0.39738,-0.12251,0.12845
2,0.6106,133.56271,17,0.39802,-0.13301,0.12968
2,0.6106,133.56271,18,0.38364,-0.14676,0.11896
2,0.6106,133.56271,19,0.3693,-0.16048,0.09449
2,0.6106,133.56271,20,0.355,-0.17416,0.05632
2,0.6106,133.56271,21,0.34408,-0.1815,0.05858
2,0.6106,133.56271,22,0.33414,-0.18717,0.063
2,0.6106,133.56271,23,0.32457,-0.19156,0.05883
2,0.6106,133.56271,24,0.31581,-0.19452,0.05002
2,0.6106,133.56271,25,0.31005,-0.19586,0.05064
2,0.6106,133.56271,26,0.30659,-0.19598,0.04951
2,0.6106,133.56271,27,0.30601,-0.19588,0.04937
2,0.6106,133.56271,28,0.30594,-0.19596,0.0497
2,0.6106,133.56271,29,0.30591,-0.19599,0.04985
2,0.6106,133.56271,30,0.30589,-0.19601,0.04992
2,0.6106,133.56271,31,0.30589,-0.19602,0.04995
2,0.6106,133.56271,32,0.30588,-0.19602,0.04997
2,0.6106,133.56271,33,0.30588,-0.19602,0.04998
2,0.6106,133.56271,34,0.30588,-0.19602,0.04998
2,0.6106,133.56271,35,0.30588,-0.19602,0.04998
2,0.6106,133.56271,36,0.30588,-0.19602,0.04998
2,0.6106,133.56271,37,0.30588,-0.19602,0.04998
3,0.61909,135.93357,1,-0.18292,-0.24039,0.69726
3,0.61909,135.93357,2,-0.41656,-0.38548,0.88448
3,0.61909,135.93357,3,-0.33128,-0.42939,0.92957
3,0.61909,135.93357,4,-0.27037,-0.3992,0.88103
3,0.61909,135.93357,5,-0.20976,-0.36917,0.81897
3,0.61909,135.93357,6,-0.14947,-0.33929,0.74348
3,0.61909,135.93357,7,-0.08953,-0.30959,0.65466
3,0.61909,135.93357,8,-0.02995,-0.28007,0.55263
3,0.61909,135.93357,9,0.02923,-0.25074,0.43751
3,0.61909,135.93357,10,0.088,-0.22161,0.30944
3,0.61909,135.93357,11,0.14634,-0.1927,0.16858
3,0.61909,135.93357,12,0.21091,-0.17054,0.1002
3,0.61909,135.93357,13,0.28349,-0.15665,0.12466
3,0.61909,135.93357,14,0.35573,-0.14281,0.13525
3,0.61909,135.93357,15,0.42765,-0.12904,0.13202
3,0.61909,135.93357,16,0.39905,-0.13353,0.11594
3,0.61909,135.93357,17,0.37053,-0.138,0.08613
3,0.61909,135.93357,18,0.34041,-0.14078,0.05368
3,0.61909,135.93357,19,0.31443,-0.14541,0.06066
3,0.61909,135.93357,20,0.2905,-0.1501,0.06212
3,0.61909,135.93357,21,0.26829,-0.15419,0.0576
3,0.61909,135.93357,22,0.24829,-0.15728,0.05049
3,0.61909,135.93357,23,0.23317,-0.15889,0.0504
3,0.61909,135.93357,24,0.22081,-0.15967,0.05058
3,0.61909,135.93357,25,0.21081,-0.15986,0.04829
3,0.61909,135.93357,26,0.20398,-0.15946,0.04815
3,0.61909,135.93357,27,0.20005,-0.15968,0.04808
3,0.61909,135.93357,28,0.19888,-0.16006,0.04909
3,0.61909,135.93357,29,0.1989,-0.15996,0.04956
3,0.61909,135.93357,30,0.19891,-0.15991,0.04978
3,0.61909,135.93357,31,0.19892,-0.15989,0.04989
3,0.61909,135.93357,32,0.19892,-0.15988,0.04994
3,0.61909,135.93357,33,0.19892,-0.15987,0.04996
3,0.61909,135.93357,34,0.19892,-0.15987,0.04998
3,0.61909,135.93357,35,0.19892,-0.15987,0.04998
3,0.61909,135.93357,36,0.19892,-0.15987,0.04998
3,0.61909,135.93357,37,0.19892,-0.15987,0.04998
4,0.6106,133.56271,1,-0.18292,-0.24039,0.69726
4,0.6106,133.56271,2,-0.41686,-0.38554,0.88453
4,0.6106,133.56271,3,-0.33179,-0.43738,0.9327
4,0.6106,133.56271,4,-0.27391,-0.40376,0.89898
4,0.6106,133.56271,5,-0.2163,-0.3703,0.85165
4,0.6106,133.56271,6,-0.15897,-0.33701,0.79079
