particle,elasticity,weight,frame,x,y,z
1,0.56246,179.74844,1,0.06649,-0.17237,0.79017
1,0.56246,179.74844,2,0.28903,0.01502,0.67319
1,0.56246,179.74844,3,0.36802,0.17065,0.53841
1,0.56246,179.74844,4,0.33421,0.3014,0.38675
1,0.56246,179.74844,5,0.29357,0.3822,0.22781
1,0.56246,179.74844,6,0.23584,0.35755,0.10675
1,0.56246,179.74844,7,0.16723,0.30597,0.11339
1,0.56246,179.74844,8,0.09896,0.25464,0.10624
1,0.56246,179.74844,9,0.03223,0.20447,0.09998
1,0.56246,179.74844,10,-0.03302,0.15541,0.09998
1,0.56246,179.74844,11,-0.09736,0.10704,0.09998
1,0.56246,179.74844,12,-0.16079,0.05935,0.09998
1,0.56246,179.74844,13,-0.22336,0.01231,0.09998
1,0.56246,179.74844,14,-0.28507,-0.03408,0.09998
1,0.56246,179.74844,15,-0.34596,-0.07986,0.09998
1,0.56246,179.74844,16,-0.38858,-0.12439,0.10336
1,0.56246,179.74844,17,-0.3698,-0.16633,0.1101
1,0.56246,179.74844,18,-0.35107,-0.20812,0.10303
1,0.56246,179.74844,19,-0.33685,-0.24982,0.09999
1,0.56246,179.74844,20,-0.3268,-0.29122,0.09999
1,0.56246,179.74844,21,-0.31786,-0.33218,0.09999
1,0.56246,179.74844,22,-0.309,-0.37277,0.09999
1,0.56246,179.74844,23,-0.2963,-0.38413,0.10351
1,0.56246,179.74844,24,-0.28059,-0.37263,0.10031
1,0.56246,179.74844,25,-0.26609,-0.36515,0.09998
1,0.56246,179.74844,26,-0.2524,-0.36022,0.09998
1,0.56246,179.74844,27,-0.23882,-0.35545,0.09998
1,0.56246,179.74844,28,-0.22529,-0.35069,0.09998
1,0.56246,179.74844,29,-0.21183,-0.34596,0.09998
1,0.56246,179.74844,30,-0.19842,-0.34125,0.09998
1,0.56246,179.74844,31,-0.18508,-0.33656,0.09998
1,0.56246,179.74844,32,-0.17179,-0.33189,0.09998
1,0.56246,179.74844,33,-0.15856,-0.32724,0.09998
1,0.56246,179.74844,34,-0.14539,-0.32261,0.09998
1,0.56246,179.74844,35,-0.13227,-0.318,0.09998
1,0.56246,179.74844,36,-0.11922,-0.31341,0.09998
1,0.56246,179.74844,37,-0.10621,-0.30884,0.09998
1,0.56246,179.74844,38,-0.09326,-0.30429,0.09998
1,0.56246,179.74844,39,-0.08037,-0.29976,0.09998
1,0.56246,179.74844,40,-0.06753,-0.29525,0.09998
1,0.56246,179.74844,41,-0.05475,-0.29076,0.09998
1,0.56246,179.74844,42,-0.04202,-0.28628,0.09998
1,0.56246,179.74844,43,-0.02934,-0.28183,0.09998
1,0.56246,179.74844,44,-0.01671,-0.27739,0.09999
1,0.56246,179.74844,45,-0.00414,-0.27297,0.09999
1,0.56246,179.74844,46,0.00837,-0.26857,0.09998
1,0.56246,179.74844,47,0.02084,-0.26419,0.09999
1,0.56246,179.74844,48,0.03326,-0.25982,0.09999
1,0.56246,179.74844,49,0.04563,-0.25547,0.09998
1,0.56246,179.74844,50,0.05795,-0.25114,0.09998
1,0.56246,179.74844,51,0.07022,-0.24683,0.09998
1,0.56246,179.74844,52,0.08244,-0.24254,0.09998
1,0.56246,179.74844,53,0.09461,-0.23826,0.09998
1,0.56246,179.74844,54,0.10674,-0.234,0.09999
1,0.56246,179.74844,55,0.11881,-0.22976,0.09999
1,0.56246,179.74844,56,0.13084,-0.22553,0.09998
1,0.56246,179.74844,57,0.14282,-0.22132,0.09999
2,0.54309,188.09911,1,0.06711,-0.17184,0.79345
2,0.54309,188.09911,2,0.29028,0.01608,0.6797
2,0.54309,188.09911,3,0.36302,0.17214,0.54775
2,0.54309,188.09911,4,0.31756,0.30325,0.39861
2,0.54309,188.09911,5,0.26644,0.3784,0.24199
2,0.54309,188.09911,6,0.20237,0.34072,0.10496
2,0.54309,188.09911,7,0.12865,0.27751,0.1336
2,0.54309,188.09911,8,0.05534,0.21465,0.14832
2,0.54309,188.09911,9,-0.01756,0.15212,0.1492
2,0.54309,188.09911,10,-0.09009,0.08993,0.13631
2,0.54309,188.09911,11,-0.16223,0.02807,0.10972
2,0.54309,188.09911,12,-0.23098,-0.03088,0.09999
2,0.54309,188.09911,13,-0.2979,-0.08826,0.09999
2,0.54309,188.09911,14,-0.36381,-0.14478,0.09998
2,0.54309,188.09911,15,-0.38187,-0.19812,0.10794
2,0.54309,188.09911,16,-0.3623,-0.24926,0.11152
2,0.54309,188.09911,17,-0.34279,-0.30021,0.1013
2,0.54309,188.09911,18,-0.32901,-0.35098,0.09999
2,0.54309,188.09911,19,-0.31688,-0.3871,0.10238
2,0.54309,188.09911,20,-0.29858,-0.37344,0.10472
2,0.54309,188.09911,21,-0.28081,-0.36142,0.09999
2,0.54309,188.09911,22,-0.26444,-0.35384,0.09998
2,0.54309,188.09911,23,-0.24892,-0.34877,0.09998
2,0.54309,188.09911,24,-0.23352,-0.34387,0.09998
2,0.54309,188.09911,25,-0.2182,-0.339,0.09998
2,0.54309,188.09911,26,-0.20295,-0.33415,0.09998
2,0.54309,188.09911,27,-0.18778,-0.32932,0.09998
2,0.54309,188.09911,28,-0.17269,-0.32452,0.09998
2,0.54309,188.09911,29,-0.15766,-0.31974,0.09998
2,0.54309,188.09911,30,-0.14271,-0.31498,0.09998
2,0.54309,188.09911,31,-0.12784,-0.31025,0.09998
2,0.54309,188.09911,32,-0.11303,-0.30554,0.09998
2,0.54309,188.09911,33,-0.09829,-0.30085,0.09998
2,0.54309,188.09911,34,-0.08362,-0.29618,0.09998
2,0.54309,188.09911,35,-0.06902,-0.29154,0.09998
2,0.54309,188.09911,36,-0.05449,-0.28691,0.09998
2,0.54309,188.09911,37,-0.04003,-0.28231,0.09998
2,0.54309,188.09911,38,-0.02563,-0.27773,0.09998
2,0.54309,188.09911,39,-0.0113,-0.27317,0.09998
2,0.54309,188.09911,40,0.00296,-0.26863,0.09998
2,0.54309,188.09911,41,0.01716,-0.26412,0.09998
2,0.54309,188.09911,42,0.0313,-0.25962,0.09998
2,0.54309,188.09911,43,0.04537,-0.25514,0.09998
2,0.54309,188.09911,44,0.05938,-0.25068,0.09998
2,0.54309,188.09911,45,0.07333,-0.24625,0.09998
2,0.54309,188.09911,46,0.08722,-0.24183,0.09999
2,0.54309,188.09911,47,0.10104,-0.23743,0.09998
2,0.54309,188.09911,48,0.1148,-0.23305,0.09998
2,0.54309,188.09911,49,0.12851,-0.22869,0.09998
2,0.54309,188.09911,50,0.14215,-0.22435,0.09998
2,0.54309,188.09911,51,0.15574,-0.22003,0.09998
2,0.54309,188.09911,52,0.16927,-0.21572,0.09998
2,0.54309,188.09911,53,0.18274,-0.21144,0.09998
2,0.54309,188.09911,54,0.19615,-0.20717,0.09998
2,0.54309,188.09911,55,0.2095,-0.20292,0.09998
2,0.54309,188.09911,56,0.2228,-0.19869,0.09998
