particle,elasticity,weight,frame,x,y,z
1,0.88636,63.70972,1,-0.09373,0.12042,0.0515
1,0.88636,63.70972,2,-0.28952,0.41989,0.06832
1,0.88636,63.70972,3,-0.38681,0.33043,0.06347
1,0.88636,63.70972,4,-0.42118,0.20568,0.07013
1,0.88636,63.70972,5,-0.38013,0.10152,0.08229
1,0.88636,63.70972,6,-0.33445,-0.0008,0.08052
1,0.88636,63.70972,7,-0.28945,-0.1013,0.07012
1,0.88636,63.70972,8,-0.24673,-0.19667,0.06602
1,0.88636,63.70972,9,-0.20521,-0.28955,0.05695
1,0.88636,63.70972,10,-0.16571,-0.37801,0.05197
1,0.88636,63.70972,11,-0.12285,-0.43653,0.05866
1,0.88636,63.70972,12,-0.08207,-0.39375,0.05635
1,0.88636,63.70972,13,-0.04316,-0.35314,0.05151
1,0.88636,63.70972,14,-0.00733,-0.31534,0.05018
1,0.88636,63.70972,15,0.02583,-0.27974,0.04899
1,0.88636,63.70972,16,0.05607,-0.24618,0.04801
1,0.88636,63.70972,17,0.08375,-0.2151,0.04713
1,0.88636,63.70972,18,0.10893,-0.18664,0.04684
1,0.88636,63.70972,19,0.1319,-0.16074,0.04658
1,0.88636,63.70972,20,0.15263,-0.13725,0.04649
1,0.88636,63.70972,21,0.17122,-0.11628,0.0466
1,0.88636,63.70972,22,0.18754,-0.09764,0.04669
1,0.88636,63.70972,23,0.20161,-0.08136,0.04681
1,0.88636,63.70972,24,0.21341,-0.06729,0.04674
1,0.88636,63.70972,25,0.22301,-0.05562,0.0468
1,0.88636,63.70972,26,0.23047,-0.04637,0.04697
1,0.88636,63.70972,27,0.23584,-0.03962,0.04717
1,0.88636,63.70972,28,0.23898,-0.03542,0.04812
1,0.88636,63.70972,29,0.24027,-0.03379,0.04891
1,0.88636,63.70972,30,0.24032,-0.03378,0.04948
2,0.97287,77.02842,1,-0.09367,0.12015,0.05256
2,0.97287,77.02842,2,-0.28932,0.41893,0.07205
2,0.97287,77.02842,3,-0.38315,0.31588,0.07078
2,0.97287,77.02842,4,-0.42159,0.17198,0.06405
2,0.97287,77.02842,5,-0.38565,0.05031,0.06986
2,0.97287,77.02842,6,-0.35015,-0.06841,0.07051
2,0.97287,77.02842,7,-0.3151,-0.18466,0.06438
2,0.97287,77.02842,8,-0.28077,-0.29941,0.04841
2,0.97287,77.02842,9,-0.25172,-0.40527,0.05928
2,0.97287,77.02842,10,-0.20945,-0.39323,0.06609
2,0.97287,77.02842,11,-0.16363,-0.34808,0.06268
2,0.97287,77.02842,12,-0.11846,-0.30426,0.05061
2,0.97287,77.02842,13,-0.07765,-0.26571,0.05388
2,0.97287,77.02842,14,-0.038,-0.22859,0.05037
2,0.97287,77.02842,15,-0.00059,-0.19486,0.05099
2,0.97287,77.02842,16,0.03451,-0.16268,0.04935
2,0.97287,77.02842,17,0.06665,-0.13238,0.04807
2,0.97287,77.02842,18,0.09637,-0.1046,0.04748
2,0.97287,77.02842,19,0.1239,-0.07914,0.04682
2,0.97287,77.02842,20,0.14892,-0.05575,0.04669
2,0.97287,77.02842,21,0.17129,-0.03433,0.04684
2,0.97287,77.02842,22,0.19105,-0.01479,0.04662
2,0.97287,77.02842,23,0.20799,0.00252,0.0472
2,0.97287,77.02842,24,0.22265,0.01764,0.0468
2,0.97287,77.02842,25,0.23489,0.03036,0.04659
2,0.97287,77.02842,26,0.24472,0.04034,0.04776
2,0.97287,77.02842,27,0.25258,0.04807,0.04793
2,0.97287,77.02842,28,0.25831,0.05345,0.04793
2,0.97287,77.02842,29,0.26184,0.05617,0.04871
2,0.97287,77.02842,30,0.26289,0.05698,0.04911
3,0.88636,63.70972,1,-0.09373,0.12042,0.0515
3,0.88636,63.70972,2,-0.28952,0.41989,0.06832
3,0.88636,63.70972,3,-0.38681,0.33043,0.06347
3,0.88636,63.70972,4,-0.42118,0.20568,0.07013
3,0.88636,63.70972,5,-0.38013,0.10152,0.08229
3,0.88636,63.70972,6,-0.33445,-0.0008,0.08052
3,0.88636,63.70972,7,-0.28945,-0.1013,0.07012
3,0.88636,63.70972,8,-0.24673,-0.19667,0.06602
3,0.88636,63.70972,9,-0.20521,-0.28955,0.05695
3,0.88636,63.70972,10,-0.16571,-0.37801,0.05197
3,0.88636,63.70972,11,-0.12285,-0.43653,0.05866
3,0.88636,63.70972,12,-0.08207,-0.39375,0.05635
3,0.88636,63.70972,13,-0.04316,-0.35314,0.05151
3,0.88636,63.70972,14,-0.00733,-0.31534,0.05018
3,0.88636,63.70972,15,0.02583,-0.27974,0.04899
3,0.88636,63.70972,16,0.05607,-0.24618,0.04801
3,0.88636,63.70972,17,0.08375,-0.2151,0.04713
3,0.88636,63.70972,18,0.10893,-0.18664,0.04684
3,0.88636,63.70972,19,0.1319,-0.16074,0.04658
3,0.88636,63.70972,20,0.15263,-0.13725,0.04649
3,0.88636,63.70972,21,0.17122,-0.11628,0.0466
3,0.88636,63.70972,22,0.18754,-0.09764,0.04669
3,0.88636,63.70972,23,0.20161,-0.08136,0.04681
3,0.88636,63.70972,24,0.21341,-0.06729,0.04674
3,0.88636,63.70972,25,0.22301,-0.05562,0.0468
3,0.88636,63.70972,26,0.23047,-0.04637,0.04697
3,0.88636,63.70972,27,0.23584,-0.03962,0.04717
3,0.88636,63.70972,28,0.23898,-0.03542,0.04812
3,0.88636,63.70972,29,0.24027,-0.03379,0.04891
3,0.88636,63.70972,30,0.24032,-0.03378,0.04948
4,0.88636,63.70972,1,-0.09373,0.12042,0.0515
4,0.88636,63.70972,2,-0.28952,0.41989,0.06832
4,0.88636,63.70972,3,-0.38681,0.33043,0.06347
4,0.88636,63.70972,4,-0.42118,0.20568,0.07013
4,0.88636,63.70972,5,-0.38013,0.10152,0.08229
4,0.88636,63.70972,6,-0.33445,-0.0008,0.08052
4,0.88636,63.70972,7,-0.28945,-0.1013,0.07012
4,0.88636,63.70972,8,-0.24673,-0.19667,0.06602
4,0.88636,63.70972,9,-0.20521,-0.28955,0.05695
4,0.88636,63.70972,10,-0.16571,-0.37801,0.05197
4,0.88636,63.70972,11,-0.12285,-0.43653,0.05866
4,0.88636,63.70972,12,-0.08207,-0.39375,0.05635
4,0.88636,63.70972,13,-0.04316,-0.35314,0.05151
4,0.88636,63.70972,14,-0.00733,-0.31534,0.05018
4,0.88636,63.70972,15,0.02583,-0.27974,0.04899
4,0.88636,63.70972,16,0.05607,-0.24618,0.04801
4,0.88636,63.70972,17,0.08375,-0.2151,0.04713
4,0.88636,63.70972,18,0.10893,-0.18664,0.04684
4,0.88636,63.70972,19,0.1319,-0.16074,0.04658
4,0.88636,63.70972,20,0.15263,-0.13725,0.04649
4,0.88636,63.70972,21,0.17122,-0.11628,0.0466
4,0.88636,63.70972,22,0.18754,-0.09764,0.04669
4,0.88636,63.70972,23,0.20161,-0.08136,0.04681
4,0.88636,63.70972,24,0.21341,-0.06729,0.04674
4,0.88636,63.70972,25,0.22301,-0.05562,0.0468
4,0.88636,63.70972,26,0.23047,-0.04637,0.04697
4,0.88636,63.70972,27,0.23584,-0.03962,0.04717
4,0.88636,63.70972,28,0.23898,-0.03542,0.04812
4,0.88636,63.70972,29,0.24027,-0.03379,0.04891
4,0.88636,63.70972,30,0.24032,-0.03378,0.04948
5,0.9143,30.13037,1,-0.09371,0.12034,0.05184
5,0.9143,30.13037,2,-0.28945,0.41958,0.06952
5,0.9143,30.13037,3,-0.38564,0.32578,0.06582
5,0.9143,30.13037,4,-0.42329,0.19421,0.06775
5,0.9143,30.13037,5,-0.37926,0.08408,0.07849
5,0.9143,30.13037,6,-0.33139,-0.02436,0.07519
5,0.9143,30.13037,7,-0.28394,-0.13197,0.05893
5,0.9143,30.13037,8,-0.24027,-0.23266,0.05848
5,0.9143,30.13037,9,-0.19844,-0.32942,0.05961
5,0.9143,30.13037,10,-0.15775,-0.42432,0.05347
5,0.9143,30.13037,11,-0.11214,-0.41539,0.0579
5,0.9143,30.13037,12,-0.06936,-0.38538,0.06154
5,0.9143,30.13037,13,-0.02804,-0.35672,0.05862
5,0.9143,30.13037,14,0.01212,-0.32939,0.04839
5,0.9143,30.13037,15,0.04655,-0.30534,0.051
5,0.9143,30.13037,16,0.07906,-0.2828,0.04954
5,0.9143,30.13037,17,0.1087,-0.2621,0.04817
5,0.9143,30.13037,18,0.13569,-0.24395,0.04816
5,0.9143,30.13037,19,0.16056,-0.22825,0.04738
5,0.9143,30.13037,20,0.18259,-0.21447,0.04698
5,0.9143,30.13037,21,0.20175,-0.20253,0.04686
5,0.9143,30.13037,22,0.21804,-0.19237,0.04682
5,0.9143,30.13037,23,0.23149,-0.18397,0.0467
5,0.9143,30.13037,24,0.24207,-0.17736,0.04672
5,0.9143,30.13037,25,0.2498,-0.17256,0.04685
5,0.9143,30.13037,26,0.25453,-0.1696,0.04791
5,0.9143,30.13037,27,0.25657,-0.16817,0.04853
5,0.9143,30.13037,28,0.2566,-0.16802,0.0493
