particle,elasticity,weight,frame,x,y,z
1,0.59262,113.68121,1,-0.40871,-0.41746,0.47328
1,0.59262,113.68121,2,-0.4093,-0.42654,0.53279
1,0.59262,113.68121,3,-0.37876,-0.41698,0.57509
1,0.59262,113.68121,4,-0.34865,-0.40112,0.60209
1,0.59262,113.68121,5,-0.31863,-0.38531,0.61523
1,0.59262,113.68121,6,-0.2887,-0.36955,0.61455
1,0.59262,113.68121,7,-0.25885,-0.35383,0.60009
1,0.59262,113.68121,8,-0.2291,-0.33816,0.57191
1,0.59262,113.68121,9,-0.19945,-0.32254,0.53005
1,0.59262,113.68121,10,-0.16991,-0.30698,0.47458
1,0.59262,113.68121,11,-0.1405,-0.29149,0.40558
1,0.59262,113.68121,12,-0.11123,-0.27607,0.32314
1,0.59262,113.68121,13,-0.08212,-0.26074,0.22737
1,0.59262,113.68121,14,-0.05317,-0.24549,0.1184
1,0.59262,113.68121,15,-0.02168,-0.21639,0.07906
1,0.59262,113.68121,16,0.01102,-0.18007,0.10774
1,0.59262,113.68121,17,0.04361,-0.14388,0.12254
1,0.59262,113.68121,18,0.07609,-0.10782,0.12352
1,0.59262,113.68121,19,0.10845,-0.07189,0.11071
1,0.59262,113.68121,20,0.1407,-0.03608,0.08418
1,0.59262,113.68121,21,0.17009,-0.00393,0.06188
1,0.59262,113.68121,22,0.19514,0.02291,0.05276
1,0.59262,113.68121,23,0.21659,0.0454,0.05295
1,0.59262,113.68121,24,0.23656,0.06614,0.04905
1,0.59262,113.68121,25,0.25386,0.08392,0.04841
1,0.59262,113.68121,26,0.26892,0.09954,0.04743
1,0.59262,113.68121,27,0.28167,0.11273,0.04705
1,0.59262,113.68121,28,0.29216,0.12355,0.04688
1,0.59262,113.68121,29,0.30019,0.13206,0.04731
1,0.59262,113.68121,30,0.306,0.13822,0.04785
2,0.58674,112.29491,1,-0.40871,-0.41759,0.47332
2,0.58674,112.29491,2,-0.4096,-0.4269,0.53276
2,0.58674,112.29491,3,-0.37915,-0.41738,0.57492
2,0.58674,112.29491,4,-0.34915,-0.40141,0.60175
2,0.58674,112.29491,5,-0.31924,-0.38549,0.61471
2,0.58674,112.29491,6,-0.28941,-0.36962,0.61385
2,0.58674,112.29491,7,-0.25967,-0.35379,0.59923
2,0.58674,112.29491,8,-0.23003,-0.33801,0.57087
2,0.58674,112.29491,9,-0.20048,-0.32228,0.52883
2,0.58674,112.29491,10,-0.17105,-0.30662,0.47319
2,0.58674,112.29491,11,-0.14174,-0.29102,0.40401
2,0.58674,112.29491,12,-0.11258,-0.2755,0.32141
2,0.58674,112.29491,13,-0.08357,-0.26005,0.22547
2,0.58674,112.29491,14,-0.05472,-0.2447,0.11633
2,0.58674,112.29491,15,-0.01978,-0.218,0.07452
2,0.58674,112.29491,16,0.02114,-0.18687,0.10225
2,0.58674,112.29491,17,0.06191,-0.15584,0.11611
2,0.58674,112.29491,18,0.10254,-0.12493,0.11615
2,0.58674,112.29491,19,0.14303,-0.09413,0.10241
2,0.58674,112.29491,20,0.18337,-0.06345,0.07496
2,0.58674,112.29491,21,0.20948,-0.03741,0.09302
2,0.58674,112.29491,22,0.23551,-0.01146,0.09725
2,0.58674,112.29491,23,0.26146,0.01441,0.0877
2,0.58674,112.29491,24,0.2866,0.04059,0.06766
2,0.58674,112.29491,25,0.31044,0.0641,0.05392
2,0.58674,112.29491,26,0.33043,0.08205,0.05338
2,0.58674,112.29491,27,0.34868,0.09841,0.04931
2,0.58674,112.29491,28,0.36382,0.11256,0.04806
2,0.58674,112.29491,29,0.3764,0.12459,0.04712
2,0.58674,112.29491,30,0.38646,0.13402,0.04752
3,0.58677,112.6055,1,-0.40871,-0.41759,0.47332
3,0.58677,112.6055,2,-0.4096,-0.4269,0.53276
3,0.58677,112.6055,3,-0.37915,-0.41738,0.57493
3,0.58677,112.6055,4,-0.34914,-0.40141,0.60175
3,0.58677,112.6055,5,-0.31923,-0.38549,0.61471
3,0.58677,112.6055,6,-0.28941,-0.36961,0.61386
3,0.58677,112.6055,7,-0.25967,-0.35379,0.59923
3,0.58677,112.6055,8,-0.23002,-0.33801,0.57087
3,0.58677,112.6055,9,-0.20048,-0.32228,0.52884
3,0.58677,112.6055,10,-0.17104,-0.30662,0.4732
3,0.58677,112.6055,11,-0.14174,-0.29102,0.40402
3,0.58677,112.6055,12,-0.11257,-0.2755,0.32142
3,0.58677,112.6055,13,-0.08356,-0.26006,0.22548
3,0.58677,112.6055,14,-0.05471,-0.24471,0.11634
3,0.58677,112.6055,15,-0.01979,-0.218,0.07455
3,0.58677,112.6055,16,0.02108,-0.18684,0.1023
3,0.58677,112.6055,17,0.06182,-0.1558,0.11619
3,0.58677,112.6055,18,0.10241,-0.12487,0.11624
3,0.58677,112.6055,19,0.14285,-0.09405,0.10253
3,0.58677,112.6055,20,0.18315,-0.06335,0.07509
3,0.58677,112.6055,21,0.20932,-0.03735,0.09285
3,0.58677,112.6055,22,0.23541,-0.01143,0.09678
3,0.58677,112.6055,23,0.26142,0.0144,0.08693
3,0.58677,112.6055,24,0.2865,0.04018,0.06673
3,0.58677,112.6055,25,0.31131,0.06131,0.05713
3,0.58677,112.6055,26,0.33089,0.0827,0.05895
3,0.58677,112.6055,27,0.34911,0.10342,0.05389
3,0.58677,112.6055,28,0.36499,0.12157,0.04897
3,0.58677,112.6055,29,0.37776,0.13648,0.04839
3,0.58677,112.6055,30,0.38835,0.14898,0.04727
4,0.58674,112.29491,1,-0.40871,-0.41759,0.47332
4,0.58674,112.29491,2,-0.4096,-0.4269,0.53276
4,0.58674,112.29491,3,-0.37915,-0.41738,0.57492
4,0.58674,112.29491,4,-0.34915,-0.40141,0.60175
4,0.58674,112.29491,5,-0.31924,-0.38549,0.61471
4,0.58674,112.29491,6,-0.28941,-0.36962,0.61385
4,0.58674,112.29491,7,-0.25967,-0.35379,0.59923
4,0.58674,112.29491,8,-0.23003,-0.33801,0.57087
4,0.58674,112.29491,9,-0.20048,-0.32228,0.52883
4,0.58674,112.29491,10,-0.17105,-0.30662,0.47319
4,0.58674,112.29491,11,-0.14174,-0.29102,0.40401
4,0.58674,112.29491,12,-0.11258,-0.2755,0.32141
4,0.58674,112.29491,13,-0.08357,-0.26005,0.22547
4,0.58674,112.29491,14,-0.05472,-0.2447,0.11633
4,0.58674,112.29491,15,-0.01978,-0.218,0.07452
4,0.58674,112.29491,16,0.02114,-0.18687,0.10225
4,0.58674,112.29491,17,0.06191,-0.15584,0.11611
4,0.58674,112.29491,18,0.10254,-0.12493,0.11615
4,0.58674,112.29491,19,0.14303,-0.09413,0.10241
4,0.58674,112.29491,20,0.18337,-0.06345,0.07496
4,0.58674,112.29491,21,0.20948,-0.03741,0.09302
4,0.58674,112.29491,22,0.23551,-0.01146,0.09725
4,0.58674,112.29491,23,0.26146,0.01441,0.0877
4,0.58674,112.29491,24,0.2866,0.04059,0.06766
4,0.58674,112.29491,25,0.31044,0.0641,0.05392
4,0.58674,112.29491,26,0.33043,0.08205,0.05338
4,0.58674,112.29491,27,0.34868,0.09841,0.04931
4,0.58674,112.29491,28,0.36382,0.11256,0.04806
4,0.58674,112.29491,29,0.3764,0.12459,0.04712
4,0.58674,112.29491,30,0.38646,0.13402,0.04752
5,0.58674,112.29491,1,-0.40871,-0.41759,0.47332
5,0.58674,112.29491,2,-0.4096,-0.4269,0.53276
5,0.58674,112.29491,3,-0.37915,-0.41738,0.57492
5,0.58674,112.29491,4,-0.34915,-0.40141,0.60175
5,0.58674,112.29491,5,-0.31924,-0.38549,0.61471
5,0.58674,112.29491,6,-0.28941,-0.36962,0.61385
5,0.58674,112.29491,7,-0.25967,-0.35379,0.59923
5,0.58674,112.29491,8,-0.23003,-0.33801,0.57087
5,0.58674,112.29491,9,-0.20048,-0.32228,0.52883
5,0.58674,112.29491,10,-0.17105,-0.30662,0.47319
5,0.58674,112.29491,11,-0.14174,-0.29102,0.40401
5,0.58674,112.29491,12,-0.11258,-0.2755,0.32141
5,0.58674,112.29491,13,-0.08357,-0.26005,0.22547
5,0.58674,112.29491,14,-0.05472,-0.2447,0.11633
5,0.58674,112.29491,15,-0.01978,-0.218,0.07452
5,0.58674,112.29491,16,0.02114,-0.18687,0.10225
5,0.58674,112.29491,17,0.06191,-0.15584,0.11611
5,0.58674,112.29491,18,0.10254,-0.12493,0.11615
5,0.58674,112.29491,19,0.14303,-0.09413,0.10241
5,0.58674,112.29491,20,0.18337,-0.06345,0.07496
5,0.58674,112.29491,21,0.20948,-0.03741,0.09302
5,0.58674,112.29491,22,0.23551,-0.01146,0.09725
5,0.58674,112.29491,23,0.26146,0.01441,0.0877
5,0.58674,112.29491,24,0.2866,0.04059,0.06766
5,0.58674,112.29491,25,0.31044,0.0641,0.05392
5,0.58674,112.29491,26,0.33043,0.08205,0.05338
5,0.58674,112.29491,27,0.34868,0.09841,0.04931
5,0.58674,112.29491,28,0.36382,0.11256,0.04806
5,0.58674,112.29491,29,0.3764,0.12459,0.04712
5,0.58674,112.29491,30,0.38646,0.13402,0.04752
6,0.58677,112.6055,1,-0.40871,-0.41759,0.47332
6,0.58677,112.6055,2,-0.4096,-0.4269,0.53276
6,0.58677,112.6055,3,-0.37915,-0.41738,0.57493
6,0.58677,112.6055,4,-0.34914,-0.40141,0.60175
6,0.58677,112.6055,5,-0.31923,-0.38549,0.61471
6,0.58677,112.6055,6,-0.28941,-0.36961,0.61386
6,0.58677,112.6055,7,-0.25967,-0.35379,0.59923
6,0.58677,112.6055,8,-0.23002,-0.33801,0.57087
6,0.58677,112.6055,9,-0.20048,-0.32228,0.52884
6,0.58677,112.6055,10,-0.17104,-0.30662,0.4732
6,0.58677,112.6055,11,-0.14174,-0.29102,0.40402
6,0.58677,112.6055,12,-0.11257,-0.2755,0.32142
6,0.58677,112.6055,13,-0.08356,-0.26006,0.22548
6,0.58677,112.6055,14,-0.05471,-0.24471,0.11634
6,0.58677,112.6055,15,-0.01979,-0.218,0.07455
6,0.58677,112.6055,16,0.02108,-0.18684,0.1023
6,0.58677,112.6055,17,0.06182,-0.1558,0.11619
6,0.58677,112.6055,18,0.10241,-0.12487,0.11624
6,0.58677,112.6055,19,0.14285,-0.09405,0.10253
6,0.58677,112.6055,20,0.18315,-0.06335,0.07509
6,0.58677,112.6055,21,0.20932,-0.03735,0.09285
6,0.58677,112.6055,22,0.23541,-0.01143,0.09678
6,0.58677,112.6055,23,0.26142,0.0144,0.08693
6,0.58677,112.6055,24,0.2865,0.04018,0.06673
