particle,elasticity,weight,frame,x,y,z
1,0.96678,-71.53025,1,0.0532,0.3491,0.43703
1,0.96678,-71.53025,2,0.08499,0.40322,0.48791
1,0.96678,-71.53025,3,0.13162,0.33321,0.49781
1,0.96678,-71.53025,4,0.17803,0.26355,0.4939
1,0.96678,-71.53025,5,0.22421,0.19423,0.47624
1,0.96678,-71.53025,6,0.27017,0.12525,0.44491
1,0.96678,-71.53025,7,0.31589,0.05662,0.39997
1,0.96678,-71.53025,8,0.36136,-0.01163,0.34151
1,0.96678,-71.53025,9,0.40658,-0.07951,0.26963
1,0.96678,-71.53025,10,0.40992,-0.14661,0.19479
1,0.96678,-71.53025,11,0.3925,-0.21316,0.11181
1,0.96678,-71.53025,12,0.37493,-0.27744,0.0521
1,0.96678,-71.53025,13,0.36148,-0.33157,0.08284
1,0.96678,-71.53025,14,0.34809,-0.38549,0.09968
1,0.96678,-71.53025,15,0.33225,-0.41453,0.09911
1,0.96678,-71.53025,16,0.3218,-0.38521,0.08776
1,0.96678,-71.53025,17,0.31657,-0.35825,0.08535
1,0.96678,-71.53025,18,0.31149,-0.3313,0.06976
1,0.96678,-71.53025,19,0.307,-0.31098,0.07362
1,0.96678,-71.53025,20,0.30202,-0.29135,0.067
1,0.96678,-71.53025,21,0.29632,-0.27335,0.05373
1,0.96678,-71.53025,22,0.29144,-0.2551,0.05639
1,0.96678,-71.53025,23,0.28716,-0.2377,0.05317
1,0.96678,-71.53025,24,0.28397,-0.22368,0.0508
1,0.96678,-71.53025,25,0.28186,-0.21312,0.04966
1,0.96678,-71.53025,26,0.28073,-0.20587,0.04912
1,0.96678,-71.53025,27,0.28041,-0.20173,0.04901
1,0.96678,-71.53025,28,0.28049,-0.20085,0.04952
1,0.96678,-71.53025,29,0.28051,-0.20094,0.04977
1,0.96678,-71.53025,30,0.28053,-0.20099,0.04988
1,0.96678,-71.53025,31,0.28051,-0.201,0.04994
1,0.96678,-71.53025,32,0.2805,-0.201,0.04996
1,0.96678,-71.53025,33,0.2805,-0.201,0.04998
1,0.96678,-71.53025,34,0.2805,-0.201,0.04998
1,0.96678,-71.53025,35,0.2805,-0.201,0.04998
1,0.96678,-71.53025,36,0.2805,-0.201,0.04998
1,0.96678,-71.53025,37,0.2805,-0.201,0.04998
1,0.96678,-71.53025,38,0.2805,-0.201,0.04998
1,0.96678,-71.53025,39,0.2805,-0.201,0.04998
1,0.96678,-71.53025,40,0.2805,-0.201,0.04998
1,0.96678,-71.53025,41,0.2805,-0.201,0.04998
1,0.96678,-71.53025,42,0.2805,-0.201,0.04998
1,0.96678,-71.53025,43,0.2805,-0.201,0.04998
1,0.96678,-71.53025,44,0.2805,-0.201,0.04998
1,0.96678,-71.53025,45,0.2805,-0.201,0.04998
1,0.96678,-71.53025,46,0.2805,-0.201,0.04998
1,0.96678,-71.53025,47,0.2805,-0.201,0.04998
1,0.96678,-71.53025,48,0.2805,-0.201,0.04998
1,0.96678,-71.53025,49,0.2805,-0.201,0.04998
1,0.96678,-71.53025,50,0.2805,-0.201,0.04998
1,0.96678,-71.53025,51,0.2805,-0.201,0.04998
1,0.96678,-71.53025,52,0.2805,-0.201,0.04998
1,0.96678,-71.53025,53,0.2805,-0.201,0.04998
1,0.96678,-71.53025,54,0.2805,-0.201,0.04998
1,0.96678,-71.53025,55,0.2805,-0.201,0.04998
1,0.96678,-71.53025,56,0.2805,-0.201,0.04998
1,0.96678,-71.53025,57,0.2805,-0.201,0.04998
1,0.96678,-71.53025,58,0.2805,-0.201,0.04998
1,0.96678,-71.53025,59,0.2805,-0.201,0.04998
1,0.96678,-71.53025,60,0.2805,-0.201,0.04998
1,0.96678,-71.53025,61,0.2805,-0.201,0.04998
1,0.96678,-71.53025,62,0.2805,-0.201,0.04998
1,0.96678,-71.53025,63,0.2805,-0.201,0.04998
1,0.96678,-71.53025,64,0.2805,-0.201,0.04998
1,0.96678,-71.53025,65,0.2805,-0.201,0.04998
1,0.96678,-71.53025,66,0.2805,-0.201,0.04998
1,0.96678,-71.53025,67,0.2805,-0.201,0.04998
1,0.96678,-71.53025,68,0.2805,-0.201,0.04998
1,0.96678,-71.53025,69,0.2805,-0.201,0.04998
1,0.96678,-71.53025,70,0.2805,-0.201,0.04998
1,0.96678,-71.53025,71,0.2805,-0.201,0.04998
1,0.96678,-71.53025,72,0.2805,-0.20099,0.04998
1,0.96678,-71.53025,73,0.2805,-0.20099,0.04998
1,0.96678,-71.53025,74,0.2805,-0.20099,0.04998
1,0.96678,-71.53025,75,0.2805,-0.20099,0.04998
