particle,elasticity,weight,frame,x,y,z
1,0.25472,43.74142,1,-0.25032,0.07771,0.3741
1,0.25472,43.74142,2,-0.42982,0.16787,0.28928
1,0.25472,43.74142,3,-0.39703,0.27188,0.24109
1,0.25472,43.74142,4,-0.36027,0.375,0.18046
1,0.25472,43.74142,5,-0.33337,0.4139,0.10269
1,0.25472,43.74142,6,-0.31253,0.38931,0.0668
1,0.25472,43.74142,7,-0.29236,0.37492,0.07365
1,0.25472,43.74142,8,-0.27351,0.3612,0.07241
1,0.25472,43.74142,9,-0.25641,0.34793,0.06443
1,0.25472,43.74142,10,-0.24088,0.33498,0.04907
1,0.25472,43.74142,11,-0.23048,0.32688,0.05057
1,0.25472,43.74142,12,-0.22228,0.31945,0.04873
1,0.25472,43.74142,13,-0.21663,0.31385,0.04843
1,0.25472,43.74142,14,-0.21298,0.31037,0.0485
1,0.25472,43.74142,15,-0.21161,0.30869,0.04882
1,0.25472,43.74142,16,-0.21146,0.30868,0.04944
1,0.25472,43.74142,17,-0.21136,0.30875,0.04973
1,0.25472,43.74142,18,-0.21135,0.30872,0.04986
1,0.25472,43.74142,19,-0.21135,0.30871,0.04993
1,0.25472,43.74142,20,-0.21135,0.3087,0.04996
1,0.25472,43.74142,21,-0.21135,0.3087,0.04997
1,0.25472,43.74142,22,-0.21135,0.3087,0.04998
1,0.25472,43.74142,23,-0.21135,0.3087,0.04998
1,0.25472,43.74142,24,-0.21135,0.3087,0.04998
1,0.25472,43.74142,25,-0.21135,0.3087,0.04998
1,0.25472,43.74142,26,-0.21135,0.3087,0.04998
1,0.25472,43.74142,27,-0.21135,0.3087,0.04998
1,0.25472,43.74142,28,-0.21135,0.3087,0.04998
1,0.25472,43.74142,29,-0.21135,0.3087,0.04998
1,0.25472,43.74142,30,-0.21135,0.3087,0.04998
1,0.25472,43.74142,31,-0.21135,0.3087,0.04998
1,0.25472,43.74142,32,-0.21135,0.3087,0.04998
1,0.25472,43.74142,33,-0.21136,0.3087,0.04998
1,0.25472,43.74142,34,-0.21136,0.3087,0.04998
1,0.25472,43.74142,35,-0.21136,0.3087,0.04998
1,0.25472,43.74142,36,-0.21136,0.3087,0.04998
1,0.25472,43.74142,37,-0.21136,0.3087,0.04998
1,0.25472,43.74142,38,-0.21136,0.3087,0.04998
1,0.25472,43.74142,39,-0.21136,0.3087,0.04998
1,0.25472,43.74142,40,-0.21136,0.3087,0.04998
1,0.25472,43.74142,41,-0.21136,0.3087,0.04998
1,0.25472,43.74142,42,-0.21136,0.3087,0.04998
1,0.25472,43.74142,43,-0.21136,0.3087,0.04998
1,0.25472,43.74142,44,-0.21136,0.3087,0.04998
1,0.25472,43.74142,45,-0.21136,0.3087,0.04998
1,0.25472,43.74142,46,-0.21136,0.3087,0.04998
1,0.25472,43.74142,47,-0.21136,0.3087,0.04998
1,0.25472,43.74142,48,-0.21136,0.3087,0.04998
1,0.25472,43.74142,49,-0.21136,0.3087,0.04998
1,0.25472,43.74142,50,-0.21136,0.3087,0.04998
1,0.25472,43.74142,51,-0.21136,0.3087,0.04998
1,0.25472,43.74142,52,-0.21136,0.30871,0.04998
1,0.25472,43.74142,53,-0.21136,0.30871,0.04998
1,0.25472,43.74142,54,-0.21136,0.30871,0.04998
1,0.25472,43.74142,55,-0.21136,0.30871,0.04998
1,0.25472,43.74142,56,-0.21136,0.30871,0.04998
1,0.25472,43.74142,57,-0.21136,0.30871,0.04998
2,0.25594,42.21038,1,-0.25032,0.07771,0.3741
2,0.25594,42.21038,2,-0.42977,0.16787,0.28929
2,0.25594,42.21038,3,-0.39699,0.27194,0.2411
2,0.25594,42.21038,4,-0.36031,0.37511,0.18044
2,0.25594,42.21038,5,-0.33327,0.41388,0.10263
2,0.25594,42.21038,6,-0.31218,0.38911,0.06689
2,0.25594,42.21038,7,-0.29185,0.37458,0.07396
2,0.25594,42.21038,8,-0.27287,0.36071,0.07304
2,0.25594,42.21038,9,-0.25569,0.34727,0.06559
2,0.25594,42.21038,10,-0.23978,0.33389,0.04927
2,0.25594,42.21038,11,-0.22823,0.32594,0.05043
2,0.25594,42.21038,12,-0.21882,0.31854,0.04851
2,0.25594,42.21038,13,-0.21172,0.31291,0.04874
2,0.25594,42.21038,14,-0.20675,0.30911,0.04851
2,0.25594,42.21038,15,-0.2044,0.30728,0.0487
2,0.25594,42.21038,16,-0.20425,0.30719,0.04938
2,0.25594,42.21038,17,-0.20426,0.30724,0.0497
2,0.25594,42.21038,18,-0.20426,0.30727,0.04985
2,0.25594,42.21038,19,-0.20426,0.30728,0.04992
2,0.25594,42.21038,20,-0.20426,0.30729,0.04996
2,0.25594,42.21038,21,-0.20426,0.30729,0.04997
2,0.25594,42.21038,22,-0.20426,0.30729,0.04998
2,0.25594,42.21038,23,-0.20426,0.30729,0.04998
2,0.25594,42.21038,24,-0.20426,0.30729,0.04998
2,0.25594,42.21038,25,-0.20426,0.30729,0.04998
2,0.25594,42.21038,26,-0.20426,0.30729,0.04998
2,0.25594,42.21038,27,-0.20426,0.30729,0.04998
2,0.25594,42.21038,28,-0.20426,0.30729,0.04998
2,0.25594,42.21038,29,-0.20426,0.30729,0.04998
2,0.25594,42.21038,30,-0.20426,0.30729,0.04998
2,0.25594,42.21038,31,-0.20426,0.30729,0.04998
2,0.25594,42.21038,32,-0.20426,0.30729,0.04998
2,0.25594,42.21038,33,-0.20426,0.30729,0.04998
2,0.25594,42.21038,34,-0.20426,0.30729,0.04998
2,0.25594,42.21038,35,-0.20426,0.30729,0.04998
2,0.25594,42.21038,36,-0.20425,0.30729,0.04998
2,0.25594,42.21038,37,-0.20425,0.30729,0.04998
2,0.25594,42.21038,38,-0.20425,0.30729,0.04998
2,0.25594,42.21038,39,-0.20425,0.30729,0.04998
2,0.25594,42.21038,40,-0.20425,0.30729,0.04998
2,0.25594,42.21038,41,-0.20425,0.30729,0.04998
2,0.25594,42.21038,42,-0.20425,0.30729,0.04998
2,0.25594,42.21038,43,-0.20425,0.30729,0.04998
2,0.25594,42.21038,44,-0.20425,0.30729,0.04998
2,0.25594,42.21038,45,-0.20425,0.30729,0.04998
2,0.25594,42.21038,46,-0.20425,0.30729,0.04998
2,0.25594,42.21038,47,-0.20425,0.30729,0.04998
2,0.25594,42.21038,48,-0.20425,0.30729,0.04998
2,0.25594,42.21038,49,-0.20425,0.30729,0.04998
2,0.25594,42.21038,50,-0.20425,0.30729,0.04998
2,0.25594,42.21038,51,-0.20425,0.30729,0.04998
2,0.25594,42.21038,52,-0.20425,0.30729,0.04998
2,0.25594,42.21038,53,-0.20425,0.30729,0.04998
2,0.25594,42.21038,54,-0.20425,0.30729,0.04998
2,0.25594,42.21038,55,-0.20425,0.30729,0.04998
2,0.25594,42.21038,56,-0.20425,0.30729,0.04998
2,0.25594,42.21038,57,-0.20425,0.30729,0.04998
3,0.25816,43.55786,1,-0.25032,0.07771,0.3741
3,0.25816,43.55786,2,-0.42967,0.16789,0.28931
3,0.25816,43.55786,3,-0.3969,0.27203,0.24111
3,0.25816,43.55786,4,-0.36037,0.3753,0.18041
3,0.25816,43.55786,5,-0.33309,0.41385,0.10252
3,0.25816,43.55786,6,-0.31152,0.38878,0.06706
3,0.25816,43.55786,7,-0.29087,0.37401,0.07449
3,0.25816,43.55786,8,-0.27163,0.35989,0.07409
3,0.25816,43.55786,9,-0.25427,0.34613,0.06744
3,0.25816,43.55786,10,-0.23856,0.33244,0.05361
3,0.25816,43.55786,11,-0.22676,0.32232,0.04877
3,0.25816,43.55786,12,-0.21825,0.31507,0.04887
3,0.25816,43.55786,13,-0.21188,0.30885,0.04758
3,0.25816,43.55786,14,-0.20791,0.30495,0.04851
3,0.25816,43.55786,15,-0.2062,0.30327,0.04915
3,0.25816,43.55786,16,-0.20604,0.30325,0.04959
3,0.25816,43.55786,17,-0.20607,0.3033,0.0498
3,0.25816,43.55786,18,-0.20609,0.30333,0.0499
3,0.25816,43.55786,19,-0.20609,0.30334,0.04995
3,0.25816,43.55786,20,-0.20609,0.30334,0.04997
3,0.25816,43.55786,21,-0.2061,0.30334,0.04998
3,0.25816,43.55786,22,-0.2061,0.30334,0.04998
3,0.25816,43.55786,23,-0.2061,0.30334,0.04998
3,0.25816,43.55786,24,-0.2061,0.30334,0.04998
3,0.25816,43.55786,25,-0.2061,0.30334,0.04998
3,0.25816,43.55786,26,-0.2061,0.30334,0.04998
3,0.25816,43.55786,27,-0.2061,0.30334,0.04998
3,0.25816,43.55786,28,-0.2061,0.30334,0.04998
3,0.25816,43.55786,29,-0.2061,0.30334,0.04998
3,0.25816,43.55786,30,-0.2061,0.30334,0.04998
3,0.25816,43.55786,31,-0.2061,0.30334,0.04998
3,0.25816,43.55786,32,-0.2061,0.30334,0.04998
3,0.25816,43.55786,33,-0.2061,0.30334,0.04998
3,0.25816,43.55786,34,-0.2061,0.30334,0.04998
3,0.25816,43.55786,35,-0.2061,0.30334,0.04998
3,0.25816,43.55786,36,-0.2061,0.30334,0.04998
3,0.25816,43.55786,37,-0.2061,0.30334,0.04998
3,0.25816,43.55786,38,-0.2061,0.30334,0.04998
3,0.25816,43.55786,39,-0.2061,0.30334,0.04998
3,0.25816,43.55786,40,-0.2061,0.30333,0.04998
3,0.25816,43.55786,41,-0.2061,0.30333,0.04998
3,0.25816,43.55786,42,-0.2061,0.30333,0.04998
3,0.25816,43.55786,43,-0.2061,0.30333,0.04998
3,0.25816,43.55786,44,-0.2061,0.30333,0.04998
3,0.25816,43.55786,45,-0.2061,0.30333,0.04998
3,0.25816,43.55786,46,-0.2061,0.30333,0.04998
3,0.25816,43.55786,47,-0.2061,0.30333,0.04998
3,0.25816,43.55786,48,-0.2061,0.30333,0.04998
3,0.25816,43.55786,49,-0.2061,0.30333,0.04998
3,0.25816,43.55786,50,-0.2061,0.30333,0.04998
3,0.25816,43.55786,51,-0.2061,0.30333,0.04998
3,0.25816,43.55786,52,-0.2061,0.30333,0.04998
3,0.25816,43.55786,53,-0.2061,0.30333,0.04998
3,0.25816,43.55786,54,-0.2061,0.30333,0.04998
3,0.25816,43.55786,55,-0.2061,0.30333,0.04998
3,0.25816,43.55786,56,-0.2061,0.30333,0.04998
3,0.25816,43.55786,57,-0.2061,0.30333,0.04998
4,0.25736,43.37595,1,-0.25032,0.07771,0.3741
4,0.25736,43.37595,2,-0.4297,0.16788,0.2893
4,0.25736,43.37595,3,-0.39693,0.272,0.2411
4,0.25736,43.37595,4,-0.36035,0.37523,0.18042
4,0.25736,43.37595,5,-0.33316,0.41386,0.10256
4,0.25736,43.37595,6,-0.31176,0.3889,0.067
4,0.25736,43.37595,7,-0.29123,0.37421,0.0743
4,0.25736,43.37595,8,-0.27209,0.36018,0.07373
