particle,elasticity,weight,frame,x,y,z
1,0.96691,107.90662,1,-0.31112,-0.17466,0.27374
1,0.96691,107.90662,2,-0.20811,-0.266,0.30218
1,0.96691,107.90662,3,-0.10583,-0.3567,0.31667
1,0.96691,107.90662,4,-0.02165,-0.37706,0.31693
1,0.96691,107.90662,5,0.05342,-0.36251,0.30324
1,0.96691,107.90662,6,0.12816,-0.34804,0.27584
1,0.96691,107.90662,7,0.20253,-0.33364,0.23482
1,0.96691,107.90662,8,0.27653,-0.31931,0.18023
1,0.96691,107.90662,9,0.35013,-0.30505,0.11218
1,0.96691,107.90662,10,0.38223,-0.28994,0.12535
1,0.96691,107.90662,11,0.35994,-0.26718,0.15438
1,0.96691,107.90662,12,0.33771,-0.2445,0.16954
1,0.96691,107.90662,13,0.31555,-0.22187,0.17089
1,0.96691,107.90662,14,0.29344,-0.19931,0.15845
1,0.96691,107.90662,15,0.27141,-0.17682,0.13227
1,0.96691,107.90662,16,0.25181,-0.15497,0.10213
1,0.96691,107.90662,17,0.24239,-0.13563,0.09998
1,0.96691,107.90662,18,0.23645,-0.11723,0.09998
1,0.96691,107.90662,19,0.23094,-0.09902,0.09998
1,0.96691,107.90662,20,0.22546,-0.08091,0.09998
1,0.96691,107.90662,21,0.22001,-0.06289,0.09998
1,0.96691,107.90662,22,0.21458,-0.04497,0.09998
1,0.96691,107.90662,23,0.20919,-0.02713,0.09998
1,0.96691,107.90662,24,0.20382,-0.00938,0.09998
1,0.96691,107.90662,25,0.19847,0.00827,0.09998
1,0.96691,107.90662,26,0.19316,0.02584,0.09998
1,0.96691,107.90662,27,0.18787,0.04332,0.09998
1,0.96691,107.90662,28,0.1826,0.06072,0.09998
1,0.96691,107.90662,29,0.17736,0.07803,0.09998
1,0.96691,107.90662,30,0.17215,0.09526,0.09998
2,0.95346,107.26487,1,-0.31112,-0.17466,0.27374
2,0.95346,107.26487,2,-0.20811,-0.266,0.30218
2,0.95346,107.26487,3,-0.10583,-0.3567,0.31667
2,0.95346,107.26487,4,-0.02155,-0.37746,0.31693
2,0.95346,107.26487,5,0.05368,-0.36352,0.30324
2,0.95346,107.26487,6,0.12856,-0.34965,0.27585
2,0.95346,107.26487,7,0.20308,-0.33584,0.23483
2,0.95346,107.26487,8,0.27723,-0.32211,0.18025
2,0.95346,107.26487,9,0.35098,-0.30844,0.1122
2,0.95346,107.26487,10,0.38215,-0.29377,0.12501
2,0.95346,107.26487,11,0.35682,-0.27139,0.15368
2,0.95346,107.26487,12,0.33158,-0.24908,0.16849
2,0.95346,107.26487,13,0.30641,-0.22684,0.16947
2,0.95346,107.26487,14,0.28131,-0.20466,0.15668
2,0.95346,107.26487,15,0.25629,-0.18254,0.13015
2,0.95346,107.26487,16,0.2349,-0.16132,0.1045
2,0.95346,107.26487,17,0.22598,-0.143,0.11606
2,0.95346,107.26487,18,0.21708,-0.12473,0.11382
2,0.95346,107.26487,19,0.20848,-0.10659,0.10077
2,0.95346,107.26487,20,0.20085,-0.08885,0.09998
2,0.95346,107.26487,21,0.19327,-0.0712,0.09998
2,0.95346,107.26487,22,0.18572,-0.05364,0.09998
2,0.95346,107.26487,23,0.17821,-0.03617,0.09998
2,0.95346,107.26487,24,0.17074,-0.01879,0.09998
2,0.95346,107.26487,25,0.16331,-0.0015,0.09998
2,0.95346,107.26487,26,0.15591,0.0157,0.09998
2,0.95346,107.26487,27,0.14855,0.03283,0.09998
2,0.95346,107.26487,28,0.14123,0.04987,0.09998
2,0.95346,107.26487,29,0.13394,0.06682,0.09998
2,0.95346,107.26487,30,0.12669,0.08369,0.09999
3,0.9704,107.51277,1,-0.31112,-0.17466,0.27374
3,0.9704,107.51277,2,-0.20811,-0.266,0.30218
3,0.9704,107.51277,3,-0.10583,-0.3567,0.31667
3,0.9704,107.51277,4,-0.02168,-0.37695,0.31693
3,0.9704,107.51277,5,0.05336,-0.36225,0.30324
3,0.9704,107.51277,6,0.12805,-0.34762,0.27584
3,0.9704,107.51277,7,0.20239,-0.33307,0.23481
3,0.9704,107.51277,8,0.27635,-0.31858,0.18023
3,0.9704,107.51277,9,0.34992,-0.30417,0.11217
3,0.9704,107.51277,10,0.38269,-0.28895,0.12544
3,0.9704,107.51277,11,0.36247,-0.26609,0.15456
3,0.9704,107.51277,12,0.34231,-0.24331,0.16982
3,0.9704,107.51277,13,0.32221,-0.22058,0.17125
3,0.9704,107.51277,14,0.30216,-0.19792,0.15891
3,0.9704,107.51277,15,0.28217,-0.17533,0.13282
3,0.9704,107.51277,16,0.2643,-0.15332,0.10151
3,0.9704,107.51277,17,0.25702,-0.13402,0.09998
3,0.9704,107.51277,18,0.25275,-0.11556,0.09998
