particle,elasticity,weight,frame,x,y,z
1,0.07233,75.23506,1,-0.38686,0.40324,0.6296
1,0.07233,75.23506,2,-0.38923,0.31414,0.90547
1,0.07233,75.23506,3,-0.28485,0.1829,0.87732
1,0.07233,75.23506,4,-0.32737,0.17091,0.91016
1,0.07233,75.23506,5,-0.15373,0.14569,0.70519
1,0.07233,75.23506,6,-0.11121,0.00048,0.68479
1,0.07233,75.23506,7,-0.13577,0.04198,0.50546
1,0.07233,75.23506,8,-0.31105,-0.12964,0.50811
1,0.07233,75.23506,9,-0.32923,-0.15757,0.36405
1,0.07233,75.23506,10,-0.30068,-0.0774,0.25972
1,0.07233,75.23506,11,-0.2882,0.02541,0.10117
1,0.07233,75.23506,12,-0.32621,-0.01436,0.07901
1,0.07233,75.23506,13,-0.20741,-0.13917,0.26656
1,0.07233,75.23506,14,-0.14134,0.03923,0.18795
1,0.07233,75.23506,15,-0.09845,0.02834,0.13787
1,0.07233,75.23506,16,-0.08421,-0.08156,0.09394
1,0.07233,75.23506,17,-0.03705,-0.13252,0.18641
2,0.02027,72.42138,1,-0.38926,0.40844,0.63132
2,0.02027,72.42138,2,-0.39116,0.31912,0.90706
2,0.02027,72.42138,3,-0.28638,0.18709,0.88321
2,0.02027,72.42138,4,-0.32886,0.17498,0.91015
2,0.02027,72.42138,5,-0.15521,0.14973,0.70518
2,0.02027,72.42138,6,-0.11268,0.00449,0.68476
2,0.02027,72.42138,7,-0.13722,0.04595,0.50542
2,0.02027,72.42138,8,-0.31249,-0.12571,0.50806
2,0.02027,72.42138,9,-0.33066,-0.15367,0.36399
2,0.02027,72.42138,10,-0.30209,-0.07354,0.25965
2,0.02027,72.42138,11,-0.28938,0.02864,0.09983
2,0.02027,72.42138,12,-0.32693,-0.01234,0.07901
2,0.02027,72.42138,13,-0.20813,-0.13716,0.26656
2,0.02027,72.42138,14,-0.17548,-0.15034,0.31621
2,0.02027,72.42138,15,-0.17195,-0.08204,0.10247
2,0.02027,72.42138,16,-0.1452,-0.21966,0.0844
2,0.02027,72.42138,17,-0.00523,-0.30401,0.08905
3,0.11336,71.76232,1,-0.38516,0.39915,0.6283
3,0.11336,71.76232,2,-0.38693,0.31022,0.90402
3,0.11336,71.76232,3,-0.28296,0.17961,0.87274
3,0.11336,71.76232,4,-0.32553,0.16771,0.91016
3,0.11336,71.76232,5,-0.1519,0.14252,0.70521
3,0.11336,71.76232,6,-0.10939,-0.00264,0.68481
3,0.11336,71.76232,7,-0.13397,0.03888,0.50549
3,0.11336,71.76232,8,-0.30926,-0.13272,0.50815
3,0.11336,71.76232,9,-0.32746,-0.16062,0.3641
3,0.11336,71.76232,10,-0.29892,-0.08042,0.25977
3,0.11336,71.76232,11,-0.28674,0.02288,0.10234
3,0.11336,71.76232,12,-0.32532,-0.01595,0.07901
3,0.11336,71.76232,13,-0.20652,-0.14075,0.26656
3,0.11336,71.76232,14,-0.24834,-0.03672,0.09547
3,0.11336,71.76232,15,-0.1332,-0.10689,0.08896
3,0.11336,71.76232,16,-0.26065,-0.10944,0.07925
3,0.11336,71.76232,17,-0.31921,-0.1696,0.05592
4,0.19787,74.54024,1,-0.38303,0.39076,0.62596
4,0.19787,74.54024,2,-0.38422,0.3022,0.90156
4,0.19787,74.54024,3,-0.28084,0.17286,0.86345
4,0.19787,74.54024,4,-0.32347,0.16117,0.91017
4,0.19787,74.54024,5,-0.14986,0.13604,0.70523
4,0.19787,74.54024,6,-0.10737,-0.00907,0.68485
4,0.19787,74.54024,7,-0.13197,0.03251,0.50554
4,0.19787,74.54024,8,-0.30728,-0.13902,0.50822
4,0.19787,74.54024,9,-0.32549,-0.16686,0.36419
4,0.19787,74.54024,10,-0.29698,-0.0866,0.25989
4,0.19787,74.54024,11,-0.2851,0.01765,0.10474
4,0.19787,74.54024,12,-0.32429,-0.01921,0.07901
4,0.19787,74.54024,13,-0.2055,-0.144,0.26655
4,0.19787,74.54024,14,-0.13944,0.03442,0.18794
4,0.19787,74.54024,15,-0.09657,0.02356,0.13786
4,0.19787,74.54024,16,0.00152,0.03494,0.07804
4,0.19787,74.54024,17,-0.00033,0.01431,0.07335
5,0.01183,74.37341,1,-0.38966,0.40929,0.6316
5,0.01183,74.37341,2,-0.39116,0.31992,0.90724
5,0.01183,74.37341,3,-0.28636,0.18777,0.88418
5,0.01183,74.37341,4,-0.32884,0.17565,0.91015
5,0.01183,74.37341,5,-0.37067,0.19287,0.71556
5,0.01183,74.37341,6,-0.23788,0.1148,0.66468
5,0.01183,74.37341,7,-0.17555,0.02108,0.60026
5,0.01183,74.37341,8,-0.18295,-0.06,0.44284
5,0.01183,74.37341,9,-0.23446,-0.03156,0.42909
