particle,elasticity,weight,frame,x,y,z
1,0.60293,421.99412,1,0.24979,0.36266,0.17924
1,0.60293,421.99412,2,0.38977,0.4103,0.12499
1,0.60293,421.99412,3,0.38309,0.38011,0.07593
1,0.60293,421.99412,4,0.3542,0.28652,0.18723
1,0.60293,421.99412,5,0.31973,0.29976,0.31536
1,0.60293,421.99412,6,0.29891,0.18323,0.32237
1,0.60293,421.99412,7,0.26633,0.22403,0.41289
1,0.60293,421.99412,8,0.15846,0.22024,0.43467
1,0.60293,421.99412,9,0.14293,0.23402,0.42546
1,0.60293,421.99412,10,0.05872,0.15232,0.36698
1,0.60293,421.99412,11,-0.04974,0.18582,0.35702
1,0.60293,421.99412,12,-0.18551,0.13435,0.31969
1,0.60293,421.99412,13,-0.2576,0.22265,0.37233
1,0.60293,421.99412,14,-0.32761,0.13253,0.34621
1,0.60293,421.99412,15,-0.33479,0.19056,0.24164
1,0.60293,421.99412,16,-0.37771,0.14914,0.23605
1,0.60293,421.99412,17,-0.40812,0.11162,0.19279
1,0.60293,421.99412,18,-0.39044,0.15905,0.12577
1,0.60293,421.99412,19,-0.30724,0.1581,0.11318
1,0.60293,421.99412,20,-0.20402,0.1301,0.11072
1,0.60293,421.99412,21,-0.2659,0.14927,0.20131
1,0.60293,421.99412,22,-0.27744,0.25969,0.12578
1,0.60293,421.99412,23,-0.24658,0.21837,0.15415
1,0.60293,421.99412,24,-0.11591,0.21791,0.17046
1,0.60293,421.99412,25,-0.09428,0.31015,0.11809
1,0.60293,421.99412,26,-0.11639,0.24036,0.11064
1,0.60293,421.99412,27,-0.10026,0.34823,0.14442
1,0.60293,421.99412,28,-0.03766,0.29626,0.10725
1,0.60293,421.99412,29,-0.06777,0.41129,0.11013
1,0.60293,421.99412,30,0.05305,0.32611,0.06706
1,0.60293,421.99412,31,0.06934,0.32433,0.06987
1,0.60293,421.99412,32,0.02041,0.33625,0.08863
1,0.60293,421.99412,33,0.03067,0.2829,0.0753
1,0.60293,421.99412,34,0.0517,0.32946,0.08272
1,0.60293,421.99412,35,0.16054,0.32057,0.08104
1,0.60293,421.99412,36,0.1511,0.35234,0.05741
1,0.60293,421.99412,37,0.0733,0.32763,0.1183
1,0.60293,421.99412,38,0.09025,0.27032,0.14995
1,0.60293,421.99412,39,0.03928,0.3136,0.11937
1,0.60293,421.99412,40,0.10641,0.23285,0.07014
1,0.60293,421.99412,41,0.08274,0.15089,0.06516
1,0.60293,421.99412,42,0.07309,0.14958,0.06873
1,0.60293,421.99412,43,0.0252,0.16057,0.10373
1,0.60293,421.99412,44,0.08758,0.14725,0.13255
1,0.60293,421.99412,45,0.04293,0.09799,0.08149
1,0.60293,421.99412,46,0.00046,0.10237,0.07424
1,0.60293,421.99412,47,0.02343,0.11235,0.07282
2,0.70007,421.09061,1,0.24882,0.35754,0.18006
2,0.70007,421.09061,2,0.38974,0.41033,0.13156
2,0.70007,421.09061,3,0.38002,0.38018,0.08656
2,0.70007,421.09061,4,0.34514,0.2866,0.19552
2,0.70007,421.09061,5,0.31076,0.29987,0.32355
2,0.70007,421.09061,6,0.29003,0.18336,0.33048
2,0.70007,421.09061,7,0.25752,0.22418,0.42093
2,0.70007,421.09061,8,0.14973,0.22041,0.44265
2,0.70007,421.09061,9,0.13427,0.23421,0.43338
2,0.70007,421.09061,10,0.05013,0.15253,0.37485
2,0.70007,421.09061,11,-0.05827,0.18604,0.36486
2,0.70007,421.09061,12,-0.19398,0.13458,0.32749
2,0.70007,421.09061,13,-0.26601,0.2229,0.3801
2,0.70007,421.09061,14,-0.33597,0.13278,0.35393
