particle,elasticity,weight,frame,x,y,z
1,0.20815,69.1279,1,0.226,0.23392,0.58568
1,0.20815,69.1279,2,0.16329,0.2908,0.43283
1,0.20815,69.1279,3,0.04458,0.3219,0.2822
1,0.20815,69.1279,4,-0.00233,0.31923,0.15544
1,0.20815,69.1279,5,-0.04169,0.37943,0.10396
1,0.20815,69.1279,6,-0.08402,0.3929,0.07784
1,0.20815,69.1279,7,-0.05113,0.34984,0.10756
2,0.39865,71.28423,1,0.226,0.23392,0.58568
2,0.39865,71.28423,2,0.16329,0.2908,0.43283
2,0.39865,71.28423,3,0.04458,0.3219,0.2822
2,0.39865,71.28423,4,-0.03244,0.39323,0.14437
2,0.39865,71.28423,5,-0.04739,0.38412,0.10737
2,0.39865,71.28423,6,-0.13152,0.37924,0.07838
2,0.39865,71.28423,7,-0.14392,0.3979,0.08827
3,0.39865,71.28423,1,0.226,0.23392,0.58568
3,0.39865,71.28423,2,0.16329,0.2908,0.43283
3,0.39865,71.28423,3,0.04458,0.3219,0.2822
3,0.39865,71.28423,4,-0.03244,0.39323,0.14437
3,0.39865,71.28423,5,-0.04739,0.38412,0.10737
3,0.39865,71.28423,6,-0.13152,0.37924,0.07838
3,0.39865,71.28423,7,-0.14392,0.3979,0.08827
4,0.25072,70.67347,1,0.226,0.23392,0.58568
4,0.25072,70.67347,2,0.16329,0.2908,0.43283
4,0.25072,70.67347,3,0.04458,0.3219,0.2822
4,0.25072,70.67347,4,-0.03244,0.39323,0.14437
4,0.25072,70.67347,5,-0.04772,0.38859,0.10125
4,0.25072,70.67347,6,-0.05578,0.40875,0.07942
4,0.25072,70.67347,7,-0.03325,0.35802,0.07325
5,0.39865,71.28423,1,0.226,0.23392,0.58568
5,0.39865,71.28423,2,0.16329,0.2908,0.43283
5,0.39865,71.28423,3,0.04458,0.3219,0.2822
5,0.39865,71.28423,4,-0.03244,0.39323,0.14437
5,0.39865,71.28423,5,-0.04739,0.38412,0.10737
5,0.39865,71.28423,6,-0.13152,0.37924,0.07838
5,0.39865,71.28423,7,-0.14392,0.3979,0.08827
6,0.24022,67.55249,1,0.226,0.23392,0.58568
6,0.24022,67.55249,2,0.16329,0.2908,0.43283
6,0.24022,67.55249,3,0.04458,0.3219,0.2822
6,0.24022,67.55249,4,-0.00233,0.31923,0.15544
6,0.24022,67.55249,5,-0.04162,0.37846,0.10535
6,0.24022,67.55249,6,-0.12183,0.4006,0.07181
6,0.24022,67.55249,7,-0.11435,0.415,0.11492
7,0.54096,70.56029,1,0.226,0.23392,0.58568
7,0.54096,70.56029,2,0.16329,0.2908,0.43283
7,0.54096,70.56029,3,0.04458,0.3219,0.2822
7,0.54096,70.56029,4,-0.03244,0.39323,0.14437
7,0.54096,70.56029,5,-0.04707,0.37982,0.11316
7,0.54096,70.56029,6,-0.13124,0.37523,0.07837
7,0.54096,70.56029,7,-0.15109,0.32234,0.15451
8,0.44395,67.10819,1,0.226,0.23392,0.58568
8,0.44395,67.10819,2,0.16329,0.2908,0.43283
8,0.44395,67.10819,3,0.04458,0.3219,0.2822
8,0.44395,67.10819,4,-0.03244,0.39323,0.14437
8,0.44395,67.10819,5,-0.04729,0.38275,0.10922
8,0.44395,67.10819,6,-0.04947,0.39272,0.13096
8,0.44395,67.10819,7,-0.02551,0.36112,0.20109
9,0.29142,69.63813,1,0.226,0.23392,0.58568
9,0.29142,69.63813,2,0.16329,0.2908,0.43283
9,0.29142,69.63813,3,0.04458,0.3219,0.2822
9,0.29142,69.63813,4,-0.03244,0.39323,0.14437
9,0.29142,69.63813,5,-0.04763,0.38736,0.10294
9,0.29142,69.63813,6,-0.05575,0.40875,0.07942
9,0.29142,69.63813,7,-0.13477,0.40033,0.17335
10,0.20815,69.1279,1,0.226,0.23392,0.58568
10,0.20815,69.1279,2,0.16329,0.2908,0.43283
10,0.20815,69.1279,3,0.04458,0.3219,0.2822
10,0.20815,69.1279,4,-0.00233,0.31923,0.15544
10,0.20815,69.1279,5,-0.04169,0.37943,0.10396
10,0.20815,69.1279,6,-0.08402,0.3929,0.07784
10,0.20815,69.1279,7,-0.05113,0.34984,0.10756
11,0.29142,69.63813,1,0.226,0.23392,0.58568
11,0.29142,69.63813,2,0.16329,0.2908,0.43283
11,0.29142,69.63813,3,0.04458,0.3219,0.2822
11,0.29142,69.63813,4,-0.03244,0.39323,0.14437
11,0.29142,69.63813,5,-0.04763,0.38736,0.10294
11,0.29142,69.63813,6,-0.05575,0.40875,0.07942
11,0.29142,69.63813,7,-0.13477,0.40033,0.17335
12,0.39865,71.28423,1,0.226,0.23392,0.58568
12,0.39865,71.28423,2,0.16329,0.2908,0.43283
12,0.39865,71.28423,3,0.04458,0.3219,0.2822
12,0.39865,71.28423,4,-0.03244,0.39323,0.14437
12,0.39865,71.28423,5,-0.04739,0.38412,0.10737
12,0.39865,71.28423,6,-0.13152,0.37924,0.07838
12,0.39865,71.28423,7,-0.14392,0.3979,0.08827
13,0.39865,71.28423,1,0.226,0.23392,0.58568
13,0.39865,71.28423,2,0.16329,0.2908,0.43283
13,0.39865,71.28423,3,0.04458,0.3219,0.2822
13,0.39865,71.28423,4,-0.03244,0.39323,0.14437
13,0.39865,71.28423,5,-0.04739,0.38412,0.10737
13,0.39865,71.28423,6,-0.13152,0.37924,0.07838
13,0.39865,71.28423,7,-0.14392,0.3979,0.08827
14,0.20815,69.1279,1,0.226,0.23392,0.58568
14,0.20815,69.1279,2,0.16329,0.2908,0.43283
14,0.20815,69.1279,3,0.04458,0.3219,0.2822
