particle,elasticity,weight,frame,x,y,z
1,0.96889,73.04641,1,-0.27061,-0.05217,0.36401
1,0.96889,73.04641,2,-0.3103,-0.27833,0.29116
1,0.96889,73.04641,3,-0.34458,-0.35073,0.21619
1,0.96889,73.04641,4,-0.3724,-0.23398,0.14162
1,0.96889,73.04641,5,-0.39001,-0.12679,0.11428
1,0.96889,73.04641,6,-0.39001,-0.03222,0.14813
1,0.96889,73.04641,7,-0.39001,0.06183,0.16776
1,0.96889,73.04641,8,-0.39001,0.15539,0.17326
1,0.96889,73.04641,9,-0.39001,0.24846,0.1647
1,0.96889,73.04641,10,-0.39001,0.34105,0.14216
1,0.96889,73.04641,11,-0.38589,0.37174,0.12021
1,0.96889,73.04641,12,-0.37664,0.32567,0.10243
1,0.96889,73.04641,13,-0.37015,0.28656,0.09999
1,0.96889,73.04641,14,-0.36516,0.25136,0.09998
1,0.96889,73.04641,15,-0.36063,0.21748,0.09998
1,0.96889,73.04641,16,-0.35613,0.18381,0.09998
1,0.96889,73.04641,17,-0.35165,0.15036,0.09998
1,0.96889,73.04641,18,-0.34721,0.11712,0.09998
1,0.96889,73.04641,19,-0.34279,0.08409,0.09998
1,0.96889,73.04641,20,-0.3384,0.05128,0.09999
1,0.96889,73.04641,21,-0.33404,0.01867,0.09998
1,0.96889,73.04641,22,-0.32971,-0.01372,0.09998
1,0.96889,73.04641,23,-0.3254,-0.04592,0.09998
1,0.96889,73.04641,24,-0.32112,-0.07792,0.09998
1,0.96889,73.04641,25,-0.31687,-0.10973,0.09998
1,0.96889,73.04641,26,-0.31264,-0.14133,0.09998
1,0.96889,73.04641,27,-0.30844,-0.17275,0.09998
1,0.96889,73.04641,28,-0.30427,-0.20397,0.09998
1,0.96889,73.04641,29,-0.30012,-0.235,0.09998
1,0.96889,73.04641,30,-0.29599,-0.26585,0.09998
2,0.97371,73.68303,1,-0.27061,-0.05217,0.36401
2,0.97371,73.68303,2,-0.3103,-0.27833,0.29116
2,0.97371,73.68303,3,-0.34458,-0.3505,0.21619
2,0.97371,73.68303,4,-0.3724,-0.2332,0.14162
2,0.97371,73.68303,5,-0.39001,-0.12556,0.11438
2,0.97371,73.68303,6,-0.39001,-0.03062,0.14845
2,0.97371,73.68303,7,-0.39001,0.0638,0.1683
2,0.97371,73.68303,8,-0.39001,0.15773,0.17401
2,0.97371,73.68303,9,-0.39001,0.25117,0.16567
2,0.97371,73.68303,10,-0.39001,0.34411,0.14334
2,0.97371,73.68303,11,-0.38589,0.37378,0.12161
2,0.97371,73.68303,12,-0.37665,0.32498,0.10404
2,0.97371,73.68303,13,-0.36983,0.28279,0.09999
2,0.97371,73.68303,14,-0.36459,0.24498,0.09998
2,0.97371,73.68303,15,-0.36004,0.20923,0.09998
2,0.97371,73.68303,16,-0.35552,0.17372,0.09998
2,0.97371,73.68303,17,-0.35103,0.13845,0.09998
2,0.97371,73.68303,18,-0.34657,0.10342,0.09998
2,0.97371,73.68303,19,-0.34215,0.06862,0.09998
2,0.97371,73.68303,20,-0.33775,0.03405,0.09999
2,0.97371,73.68303,21,-0.33338,-0.00029,0.09998
2,0.97371,73.68303,22,-0.32904,-0.03441,0.09999
2,0.97371,73.68303,23,-0.32472,-0.06831,0.09998
2,0.97371,73.68303,24,-0.32044,-0.10199,0.09998
2,0.97371,73.68303,25,-0.31618,-0.13546,0.09998
2,0.97371,73.68303,26,-0.31195,-0.16871,0.09998
2,0.97371,73.68303,27,-0.30774,-0.20175,0.09998
2,0.97371,73.68303,28,-0.30357,-0.23458,0.09998
2,0.97371,73.68303,29,-0.29942,-0.26721,0.09999
2,0.97371,73.68303,30,-0.29529,-0.29963,0.09999
3,0.95709,73.46605,1,-0.27061,-0.05217,0.36401
3,0.95709,73.46605,2,-0.3103,-0.27833,0.29116
3,0.95709,73.46605,3,-0.34458,-0.35132,0.21619
3,0.95709,73.46605,4,-0.3724,-0.23587,0.14162
3,0.95709,73.46605,5,-0.39001,-0.12981,0.11404
3,0.95709,73.46605,6,-0.39001,-0.03615,0.14735
3,0.95709,73.46605,7,-0.39001,0.05699,0.16645
3,0.95709,73.46605,8,-0.39001,0.14966,0.17143
3,0.95709,73.46605,9,-0.39001,0.24185,0.16235
3,0.95709,73.46605,10,-0.39001,0.33355,0.13928
3,0.95709,73.46605,11,-0.38693,0.37883,0.11331
3,0.95709,73.46605,12,-0.37821,0.33339,0.10057
3,0.95709,73.46605,13,-0.37201,0.29413,0.09999
3,0.95709,73.46605,14,-0.36715,0.25829,0.09998
3,0.95709,73.46605,15,-0.36268,0.22354,0.09998
3,0.95709,73.46605,16,-0.35823,0.18902,0.09998
3,0.95709,73.46605,17,-0.35381,0.15473,0.09998
3,0.95709,73.46605,18,-0.34943,0.12066,0.09998
3,0.95709,73.46605,19,-0.34507,0.08681,0.09998
3,0.95709,73.46605,20,-0.34074,0.05318,0.09998
3,0.95709,73.46605,21,-0.33643,0.01976,0.09998
3,0.95709,73.46605,22,-0.33216,-0.01343,0.09999
3,0.95709,73.46605,23,-0.32791,-0.04642,0.09999
3,0.95709,73.46605,24,-0.32369,-0.0792,0.09999
3,0.95709,73.46605,25,-0.31949,-0.11177,0.09998
3,0.95709,73.46605,26,-0.31532,-0.14415,0.09998
3,0.95709,73.46605,27,-0.31118,-0.17631,0.09998
3,0.95709,73.46605,28,-0.30706,-0.20828,0.09998
3,0.95709,73.46605,29,-0.30297,-0.24006,0.09998
3,0.95709,73.46605,30,-0.2989,-0.27164,0.09998
4,0.97371,73.68303,1,-0.27061,-0.05217,0.36401
4,0.97371,73.68303,2,-0.3103,-0.27833,0.29116
4,0.97371,73.68303,3,-0.34458,-0.3505,0.21619
4,0.97371,73.68303,4,-0.3724,-0.2332,0.14162
4,0.97371,73.68303,5,-0.39001,-0.12556,0.11438
4,0.97371,73.68303,6,-0.39001,-0.03062,0.14845
4,0.97371,73.68303,7,-0.39001,0.0638,0.1683
4,0.97371,73.68303,8,-0.39001,0.15773,0.17401
4,0.97371,73.68303,9,-0.39001,0.25117,0.16567
4,0.97371,73.68303,10,-0.39001,0.34411,0.14334
4,0.97371,73.68303,11,-0.38589,0.37378,0.12161
4,0.97371,73.68303,12,-0.37665,0.32498,0.10404
4,0.97371,73.68303,13,-0.36983,0.28279,0.09999
4,0.97371,73.68303,14,-0.36459,0.24498,0.09998
4,0.97371,73.68303,15,-0.36004,0.20923,0.09998
4,0.97371,73.68303,16,-0.35552,0.17372,0.09998
4,0.97371,73.68303,17,-0.35103,0.13845,0.09998
4,0.97371,73.68303,18,-0.34657,0.10342,0.09998
4,0.97371,73.68303,19,-0.34215,0.06862,0.09998
4,0.97371,73.68303,20,-0.33775,0.03405,0.09999
4,0.97371,73.68303,21,-0.33338,-0.00029,0.09998
4,0.97371,73.68303,22,-0.32904,-0.03441,0.09999
4,0.97371,73.68303,23,-0.32472,-0.06831,0.09998
4,0.97371,73.68303,24,-0.32044,-0.10199,0.09998
4,0.97371,73.68303,25,-0.31618,-0.13546,0.09998
4,0.97371,73.68303,26,-0.31195,-0.16871,0.09998
4,0.97371,73.68303,27,-0.30774,-0.20175,0.09998
4,0.97371,73.68303,28,-0.30357,-0.23458,0.09998
4,0.97371,73.68303,29,-0.29942,-0.26721,0.09999
4,0.97371,73.68303,30,-0.29529,-0.29963,0.09999
5,0.90018,62.5551,1,-0.27061,-0.05217,0.36401
5,0.90018,62.5551,2,-0.3103,-0.27833,0.29116
5,0.90018,62.5551,3,-0.34458,-0.35414,0.21619
5,0.90018,62.5551,4,-0.37241,-0.24498,0.14161
5,0.90018,62.5551,5,-0.38979,-0.14441,0.11282
5,0.90018,62.5551,6,-0.39001,-0.05511,0.14359
5,0.90018,62.5551,7,-0.39001,0.03367,0.16014
5,0.90018,62.5551,8,-0.39001,0.12201,0.16258
5,0.90018,62.5551,9,-0.39001,0.20991,0.15098
5,0.90018,62.5551,10,-0.39001,0.29736,0.1254
5,0.90018,62.5551,11,-0.39001,0.38281,0.10457
5,0.90018,62.5551,12,-0.38139,0.35791,0.12573
5,0.90018,62.5551,13,-0.37173,0.31976,0.1351
5,0.90018,62.5551,14,-0.36209,0.28172,0.13041
5,0.90018,62.5551,15,-0.35249,0.2438,0.11169
5,0.90018,62.5551,16,-0.34369,0.2112,0.09998
5,0.90018,62.5551,17,-0.33586,0.18505,0.09999
5,0.90018,62.5551,18,-0.32857,0.16244,0.09999
5,0.90018,62.5551,19,-0.32175,0.14287,0.09999
5,0.90018,62.5551,20,-0.31501,0.12376,0.09998
5,0.90018,62.5551,21,-0.30831,0.10474,0.09998
5,0.90018,62.5551,22,-0.30164,0.08581,0.09998
5,0.90018,62.5551,23,-0.295,0.06696,0.09998
5,0.90018,62.5551,24,-0.28839,0.0482,0.09998
5,0.90018,62.5551,25,-0.28181,0.02953,0.09998
5,0.90018,62.5551,26,-0.27526,0.01094,0.09998
5,0.90018,62.5551,27,-0.26873,-0.00756,0.09998
5,0.90018,62.5551,28,-0.26224,-0.02598,0.09998
5,0.90018,62.5551,29,-0.25578,-0.04433,0.09998
5,0.90018,62.5551,30,-0.24934,-0.06259,0.09998
6,0.94321,72.9008,1,-0.27061,-0.05217,0.36401
6,0.94321,72.9008,2,-0.3103,-0.27833,0.29116
6,0.94321,72.9008,3,-0.34458,-0.35201,0.21619
6,0.94321,72.9008,4,-0.3724,-0.23809,0.14162
6,0.94321,72.9008,5,-0.39001,-0.13336,0.11375
6,0.94321,72.9008,6,-0.39001,-0.04077,0.14643
6,0.94321,72.9008,7,-0.39001,0.05131,0.16492
6,0.94321,72.9008,8,-0.39001,0.14292,0.16927
6,0.94321,72.9008,9,-0.39001,0.23406,0.15957
6,0.94321,72.9008,10,-0.39001,0.32473,0.1359
6,0.94321,72.9008,11,-0.38799,0.3847,0.1056
6,0.94321,72.9008,12,-0.38024,0.34184,0.09999
6,0.94321,72.9008,13,-0.37443,0.30363,0.09999
6,0.94321,72.9008,14,-0.36987,0.26853,0.09998
6,0.94321,72.9008,15,-0.36556,0.23422,0.09998
6,0.94321,72.9008,16,-0.36129,0.20013,0.09998
6,0.94321,72.9008,17,-0.35704,0.16626,0.09998
6,0.94321,72.9008,18,-0.35282,0.13262,0.09998
6,0.94321,72.9008,19,-0.34863,0.09919,0.09998
6,0.94321,72.9008,20,-0.34447,0.06598,0.09998
6,0.94321,72.9008,21,-0.34033,0.03297,0.09999
6,0.94321,72.9008,22,-0.33622,0.00018,0.09999
6,0.94321,72.9008,23,-0.33213,-0.0324,0.09998
6,0.94321,72.9008,24,-0.32807,-0.06478,0.09998
6,0.94321,72.9008,25,-0.32403,-0.09696,0.09998
6,0.94321,72.9008,26,-0.32002,-0.12894,0.09998
6,0.94321,72.9008,27,-0.31604,-0.16073,0.09998
6,0.94321,72.9008,28,-0.31208,-0.19231,0.09998
6,0.94321,72.9008,29,-0.30814,-0.22371,0.09998
6,0.94321,72.9008,30,-0.30423,-0.25491,0.09998
7,0.96889,73.04641,1,-0.27061,-0.05217,0.36401
7,0.96889,73.04641,2,-0.3103,-0.27833,0.29116
7,0.96889,73.04641,3,-0.34458,-0.35073,0.21619
7,0.96889,73.04641,4,-0.3724,-0.23398,0.14162
7,0.96889,73.04641,5,-0.39001,-0.12679,0.11428
7,0.96889,73.04641,6,-0.39001,-0.03222,0.14813
7,0.96889,73.04641,7,-0.39001,0.06183,0.16776
7,0.96889,73.04641,8,-0.39001,0.15539,0.17326
7,0.96889,73.04641,9,-0.39001,0.24846,0.1647
7,0.96889,73.04641,10,-0.39001,0.34105,0.14216
7,0.96889,73.04641,11,-0.38589,0.37174,0.12021
7,0.96889,73.04641,12,-0.37664,0.32567,0.10243
7,0.96889,73.04641,13,-0.37015,0.28656,0.09999
7,0.96889,73.04641,14,-0.36516,0.25136,0.09998
7,0.96889,73.04641,15,-0.36063,0.21748,0.09998
7,0.96889,73.04641,16,-0.35613,0.18381,0.09998
7,0.96889,73.04641,17,-0.35165,0.15036,0.09998
7,0.96889,73.04641,18,-0.34721,0.11712,0.09998
7,0.96889,73.04641,19,-0.34279,0.08409,0.09998
