particle,elasticity,weight,frame,x,y,z
1,0.9516,43.54231,1,-0.03572,-0.23867,0.36688
1,0.9516,43.54231,2,0.15741,-0.41487,0.22421
1,0.9516,43.54231,3,0.29648,-0.31769,0.11297
1,0.9516,43.54231,4,0.42124,-0.22996,0.05258
1,0.9516,43.54231,5,0.4086,-0.1718,0.09844
1,0.9516,43.54231,6,0.37181,-0.11692,0.12775
1,0.9516,43.54231,7,0.33518,-0.06227,0.14291
1,0.9516,43.54231,8,0.29869,-0.00785,0.14396
1,0.9516,43.54231,9,0.26236,0.04634,0.13098
1,0.9516,43.54231,10,0.22618,0.10031,0.10401
1,0.9516,43.54231,11,0.19017,0.15404,0.06313
1,0.9516,43.54231,12,0.16159,0.20412,0.06424
1,0.9516,43.54231,13,0.13816,0.25155,0.07549
1,0.9516,43.54231,14,0.11496,0.29855,0.07383
1,0.9516,43.54231,15,0.09363,0.34232,0.07232
1,0.9516,43.54231,16,0.0741,0.38281,0.07119
2,0.94559,42.9678,1,-0.03572,-0.23867,0.36688
2,0.94559,42.9678,2,0.15742,-0.41494,0.2242
2,0.94559,42.9678,3,0.29662,-0.31838,0.11287
2,0.94559,42.9678,4,0.4215,-0.23121,0.05231
2,0.94559,42.9678,5,0.40912,-0.17352,0.09792
2,0.94559,42.9678,6,0.37259,-0.11911,0.12699
2,0.94559,42.9678,7,0.33621,-0.06494,0.14191
2,0.94559,42.9678,8,0.29998,-0.01099,0.14272
2,0.94559,42.9678,9,0.2639,0.04273,0.12949
2,0.94559,42.9678,10,0.22798,0.09624,0.10229
2,0.94559,42.9678,11,0.19221,0.1495,0.06117
2,0.94559,42.9678,12,0.16487,0.20028,0.06672
2,0.94559,42.9678,13,0.1414,0.24933,0.07654
2,0.94559,42.9678,14,0.11897,0.29686,0.07886
2,0.94559,42.9678,15,0.09762,0.34219,0.0762
2,0.94559,42.9678,16,0.07729,0.38468,0.07093
3,0.95036,43.45411,1,-0.03572,-0.23867,0.36688
3,0.95036,43.45411,2,0.15741,-0.41488,0.2242
3,0.95036,43.45411,3,0.2965,-0.31783,0.11295
3,0.95036,43.45411,4,0.42129,-0.23022,0.05253
3,0.95036,43.45411,5,0.40871,-0.17216,0.09833
3,0.95036,43.45411,6,0.37197,-0.11737,0.1276
3,0.95036,43.45411,7,0.33539,-0.06282,0.1427
3,0.95036,43.45411,8,0.29896,-0.0085,0.14371
3,0.95036,43.45411,9,0.26268,0.0456,0.13067
3,0.95036,43.45411,10,0.22656,0.09947,0.10366
3,0.95036,43.45411,11,0.19059,0.1531,0.06272
3,0.95036,43.45411,12,0.16242,0.20341,0.06572
3,0.95036,43.45411,13,0.13924,0.2514,0.07784
3,0.95036,43.45411,14,0.11637,0.29886,0.07754
3,0.95036,43.45411,15,0.09485,0.34373,0.07418
3,0.95036,43.45411,16,0.07449,0.38505,0.07115
4,0.95036,43.45411,1,-0.03572,-0.23867,0.36688
4,0.95036,43.45411,2,0.15741,-0.41488,0.2242
4,0.95036,43.45411,3,0.2965,-0.31783,0.11295
4,0.95036,43.45411,4,0.42129,-0.23022,0.05253
4,0.95036,43.45411,5,0.40871,-0.17216,0.09833
4,0.95036,43.45411,6,0.37197,-0.11737,0.1276
4,0.95036,43.45411,7,0.33539,-0.06282,0.1427
4,0.95036,43.45411,8,0.29896,-0.0085,0.14371
4,0.95036,43.45411,9,0.26268,0.0456,0.13067
4,0.95036,43.45411,10,0.22656,0.09947,0.10366
4,0.95036,43.45411,11,0.19059,0.1531,0.06272
4,0.95036,43.45411,12,0.16242,0.20341,0.06572
4,0.95036,43.45411,13,0.13924,0.2514,0.07784
4,0.95036,43.45411,14,0.11637,0.29886,0.07754
4,0.95036,43.45411,15,0.09485,0.34373,0.07418
4,0.95036,43.45411,16,0.07449,0.38505,0.07115
5,0.95303,43.78745,1,-0.03572,-0.23867,0.36688
5,0.95303,43.78745,2,0.15741,-0.41485,0.22421
5,0.95303,43.78745,3,0.29644,-0.31753,0.113
5,0.95303,43.78745,4,0.42118,-0.22967,0.05265
5,0.95303,43.78745,5,0.40848,-0.17139,0.09856
5,0.95303,43.78745,6,0.37162,-0.1164,0.12793
5,0.95303,43.78745,7,0.33493,-0.06163,0.14315
5,0.95303,43.78745,8,0.29839,-0.0071,0.14426
5,0.95303,43.78745,9,0.262,0.0472,0.13133
5,0.95303,43.78745,10,0.22576,0.10128,0.10442
5,0.95303,43.78745,11,0.18968,0.15512,0.0636
5,0.95303,43.78745,12,0.16058,0.20619,0.06559
5,0.95303,43.78745,13,0.13707,0.25535,0.08031
5,0.95303,43.78745,14,0.11373,0.30424,0.08144
5,0.95303,43.78745,15,0.09213,0.35078,0.07941
5,0.95303,43.78745,16,0.07181,0.39537,0.072
6,0.94112,42.50913,1,-0.03572,-0.23867,0.36688
6,0.94112,42.50913,2,0.15743,-0.41499,0.22419
6,0.94112,42.50913,3,0.29672,-0.31889,0.1128
6,0.94112,42.50913,4,0.42169,-0.23213,0.05211
6,0.94112,42.50913,5,0.4095,-0.17479,0.09754
6,0.94112,42.50913,6,0.37316,-0.12074,0.12643
6,0.94112,42.50913,7,0.33698,-0.06692,0.14116
6,0.94112,42.50913,8,0.30094,-0.01332,0.14179
6,0.94112,42.50913,9,0.26505,0.04005,0.12839
6,0.94112,42.50913,10,0.22931,0.09321,0.101
6,0.94112,42.50913,11,0.19372,0.14613,0.0597
6,0.94112,42.50913,12,0.16696,0.1965,0.06761
6,0.94112,42.50913,13,0.1439,0.24527,0.07922
6,0.94112,42.50913,14,0.12117,0.29346,0.07862
6,0.94112,42.50913,15,0.09991,0.33878,0.07618
6,0.94112,42.50913,16,0.07945,0.38175,0.06898
7,0.92469,40.39231,1,-0.03572,-0.23867,0.36688
7,0.92469,40.39231,2,0.15747,-0.41518,0.22416
7,0.92469,40.39231,3,0.2971,-0.32077,0.11252
7,0.92469,40.39231,4,0.42239,-0.23552,0.05138
7,0.92469,40.39231,5,0.41091,-0.17947,0.09613
7,0.92469,40.39231,6,0.37527,-0.12672,0.12435
7,0.92469,40.39231,7,0.33977,-0.07419,0.13842
7,0.92469,40.39231,8,0.30442,-0.02187,0.13839
7,0.92469,40.39231,9,0.26921,0.03022,0.12433
7,0.92469,40.39231,10,0.23415,0.08211,0.09629
7,0.92469,40.39231,11,0.19919,0.13356,0.05524
7,0.92469,40.39231,12,0.17576,0.18343,0.0666
7,0.92469,40.39231,13,0.15443,0.23153,0.07507
7,0.92469,40.39231,14,0.13319,0.27946,0.06947
7,0.92469,40.39231,15,0.11295,0.3234,0.06571
7,0.92469,40.39231,16,0.09311,0.36523,0.05598
8,0.94314,42.71628,1,-0.03572,-0.23867,0.36688
8,0.94314,42.71628,2,0.15743,-0.41496,0.22419
8,0.94314,42.71628,3,0.29667,-0.31866,0.11283
8,0.94314,42.71628,4,0.4216,-0.23171,0.0522
8,0.94314,42.71628,5,0.40933,-0.17422,0.09771
8,0.94314,42.71628,6,0.3729,-0.12,0.12668
8,0.94314,42.71628,7,0.33663,-0.06602,0.1415
8,0.94314,42.71628,8,0.30051,-0.01227,0.14221
8,0.94314,42.71628,9,0.26453,0.04126,0.12889
8,0.94314,42.71628,10,0.22871,0.09457,0.10158
8,0.94314,42.71628,11,0.19304,0.14765,0.06037
8,0.94314,42.71628,12,0.16604,0.19819,0.06732
8,0.94314,42.71628,13,0.14266,0.24725,0.07723
8,0.94314,42.71628,14,0.12016,0.29493,0.07887
8,0.94314,42.71628,15,0.09891,0.34021,0.07653
8,0.94314,42.71628,16,0.07851,0.38313,0.06953
9,0.92725,40.68328,1,-0.03572,-0.23867,0.36688
9,0.92725,40.68328,2,0.15747,-0.41515,0.22416
9,0.92725,40.68328,3,0.29704,-0.32048,0.11256
9,0.92725,40.68328,4,0.42228,-0.23499,0.05149
9,0.92725,40.68328,5,0.41069,-0.17874,0.09635
9,0.92725,40.68328,6,0.37494,-0.12579,0.12467
9,0.92725,40.68328,7,0.33934,-0.07306,0.13885
9,0.92725,40.68328,8,0.30388,-0.02054,0.13892
9,0.92725,40.68328,9,0.26856,0.03175,0.12496
9,0.92725,40.68328,10,0.2334,0.08384,0.09703
9,0.92725,40.68328,11,0.19834,0.13548,0.05606
9,0.92725,40.68328,12,0.17476,0.18538,0.06678
9,0.92725,40.68328,13,0.15325,0.23347,0.07452
9,0.92725,40.68328,14,0.13181,0.2814,0.06821
9,0.92725,40.68328,15,0.11137,0.32517,0.06448
9,0.92725,40.68328,16,0.09121,0.36763,0.0515
10,0.95287,43.77086,1,-0.03572,-0.23867,0.36688
10,0.95287,43.77086,2,0.15741,-0.41485,0.22421
10,0.95287,43.77086,3,0.29645,-0.31755,0.113
10,0.95287,43.77086,4,0.42118,-0.2297,0.05264
10,0.95287,43.77086,5,0.40849,-0.17144,0.09854
10,0.95287,43.77086,6,0.37164,-0.11645,0.12791
10,0.95287,43.77086,7,0.33496,-0.0617,0.14312
10,0.95287,43.77086,8,0.29842,-0.00718,0.14423
10,0.95287,43.77086,9,0.26203,0.04711,0.13129
10,0.95287,43.77086,10,0.2258,0.10117,0.10438
10,0.95287,43.77086,11,0.18973,0.155,0.06355
10,0.95287,43.77086,12,0.16064,0.20607,0.06555
10,0.95287,43.77086,13,0.13716,0.25524,0.08032
10,0.95287,43.77086,14,0.11383,0.30413,0.08146
10,0.95287,43.77086,15,0.09225,0.35069,0.07943
10,0.95287,43.77086,16,0.07195,0.39529,0.07201
11,0.95036,43.45411,1,-0.03572,-0.23867,0.36688
11,0.95036,43.45411,2,0.15741,-0.41488,0.2242
11,0.95036,43.45411,3,0.2965,-0.31783,0.11295
11,0.95036,43.45411,4,0.42129,-0.23022,0.05253
11,0.95036,43.45411,5,0.40871,-0.17216,0.09833
11,0.95036,43.45411,6,0.37197,-0.11737,0.1276
11,0.95036,43.45411,7,0.33539,-0.06282,0.1427
11,0.95036,43.45411,8,0.29896,-0.0085,0.14371
11,0.95036,43.45411,9,0.26268,0.0456,0.13067
11,0.95036,43.45411,10,0.22656,0.09947,0.10366
11,0.95036,43.45411,11,0.19059,0.1531,0.06272
11,0.95036,43.45411,12,0.16242,0.20341,0.06572
11,0.95036,43.45411,13,0.13924,0.2514,0.07784
11,0.95036,43.45411,14,0.11637,0.29886,0.07754
11,0.95036,43.45411,15,0.09485,0.34373,0.07418
11,0.95036,43.45411,16,0.07449,0.38505,0.07115
12,0.93829,42.19106,1,-0.03572,-0.23867,0.36688
12,0.93829,42.19106,2,0.15744,-0.41502,0.22418
12,0.93829,42.19106,3,0.29678,-0.31921,0.11275
12,0.93829,42.19106,4,0.42181,-0.23271,0.05199
12,0.93829,42.19106,5,0.40975,-0.1756,0.09729
12,0.93829,42.19106,6,0.37353,-0.12177,0.12607
12,0.93829,42.19106,7,0.33746,-0.06817,0.14069
12,0.93829,42.19106,8,0.30154,-0.0148,0.14121
12,0.93829,42.19106,9,0.26577,0.03835,0.12769
12,0.93829,42.19106,10,0.23015,0.09129,0.10019
12,0.93829,42.19106,11,0.19468,0.144,0.05878
12,0.93829,42.19106,12,0.16807,0.1945,0.0664
12,0.93829,42.19106,13,0.14546,0.24307,0.07975
12,0.93829,42.19106,14,0.12306,0.29126,0.07996
12,0.93829,42.19106,15,0.10214,0.33666,0.07801
12,0.93829,42.19106,16,0.08213,0.37975,0.07129
13,0.95036,43.45411,1,-0.03572,-0.23867,0.36688
13,0.95036,43.45411,2,0.15741,-0.41488,0.2242
13,0.95036,43.45411,3,0.2965,-0.31783,0.11295
13,0.95036,43.45411,4,0.42129,-0.23022,0.05253
13,0.95036,43.45411,5,0.40871,-0.17216,0.09833
13,0.95036,43.45411,6,0.37197,-0.11737,0.1276
13,0.95036,43.45411,7,0.33539,-0.06282,0.1427
13,0.95036,43.45411,8,0.29896,-0.0085,0.14371
13,0.95036,43.45411,9,0.26268,0.0456,0.13067
13,0.95036,43.45411,10,0.22656,0.09947,0.10366
13,0.95036,43.45411,11,0.19059,0.1531,0.06272
13,0.95036,43.45411,12,0.16242,0.20341,0.06572
13,0.95036,43.45411,13,0.13924,0.2514,0.07784
13,0.95036,43.45411,14,0.11637,0.29886,0.07754
13,0.95036,43.45411,15,0.09485,0.34373,0.07418
13,0.95036,43.45411,16,0.07449,0.38505,0.07115
14,0.95287,43.77086,1,-0.03572,-0.23867,0.36688
14,0.95287,43.77086,2,0.15741,-0.41485,0.22421
14,0.95287,43.77086,3,0.29645,-0.31755,0.113
14,0.95287,43.77086,4,0.42118,-0.2297,0.05264
14,0.95287,43.77086,5,0.40849,-0.17144,0.09854
14,0.95287,43.77086,6,0.37164,-0.11645,0.12791
14,0.95287,43.77086,7,0.33496,-0.0617,0.14312
14,0.95287,43.77086,8,0.29842,-0.00718,0.14423
14,0.95287,43.77086,9,0.26203,0.04711,0.13129
14,0.95287,43.77086,10,0.2258,0.10117,0.10438
14,0.95287,43.77086,11,0.18973,0.155,0.06355
14,0.95287,43.77086,12,0.16064,0.20607,0.06555
14,0.95287,43.77086,13,0.13716,0.25524,0.08032
14,0.95287,43.77086,14,0.11383,0.30413,0.08146
14,0.95287,43.77086,15,0.09225,0.35069,0.07943
14,0.95287,43.77086,16,0.07195,0.39529,0.07201
15,0.95199,43.57156,1,-0.03572,-0.23867,0.36688
15,0.95199,43.57156,2,0.15741,-0.41486,0.22421
15,0.95199,43.57156,3,0.29647,-0.31765,0.11298
15,0.95199,43.57156,4,0.42122,-0.22988,0.0526
15,0.95199,43.57156,5,0.40857,-0.17169,0.09847
15,0.95199,43.57156,6,0.37176,-0.11677,0.1278
15,0.95199,43.57156,7,0.33511,-0.06209,0.14297
15,0.95199,43.57156,8,0.29861,-0.00764,0.14404
15,0.95199,43.57156,9,0.26226,0.04658,0.13108
15,0.95199,43.57156,10,0.22607,0.10058,0.10412
15,0.95199,43.57156,11,0.19003,0.15434,0.06326
15,0.95199,43.57156,12,0.16136,0.2043,0.06401
15,0.95199,43.57156,13,0.1378,0.25161,0.07466
15,0.95199,43.57156,14,0.11446,0.29851,0.07231
15,0.95199,43.57156,15,0.09338,0.34171,0.07262
15,0.95199,43.57156,16,0.07378,0.38231,0.07022
16,0.95298,43.7823,1,-0.03572,-0.23867,0.36688
16,0.95298,43.7823,2,0.15741,-0.41485,0.22421
16,0.95298,43.7823,3,0.29644,-0.31753,0.113
16,0.95298,43.7823,4,0.42118,-0.22968,0.05264
16,0.95298,43.7823,5,0.40848,-0.17141,0.09855
16,0.95298,43.7823,6,0.37163,-0.11641,0.12793
16,0.95298,43.7823,7,0.33494,-0.06165,0.14314
16,0.95298,43.7823,8,0.2984,-0.00712,0.14425
16,0.95298,43.7823,9,0.26201,0.04717,0.13132
16,0.95298,43.7823,10,0.22577,0.10125,0.10441
16,0.95298,43.7823,11,0.1897,0.15508,0.06358
16,0.95298,43.7823,12,0.1606,0.20615,0.06557
16,0.95298,43.7823,13,0.1371,0.25532,0.08031
16,0.95298,43.7823,14,0.11376,0.3042,0.08144
16,0.95298,43.7823,15,0.09216,0.35075,0.07942
16,0.95298,43.7823,16,0.07185,0.39534,0.07201
17,0.95547,44.03205,1,-0.03572,-0.23867,0.36688
17,0.95547,44.03205,2,0.1574,-0.41482,0.22421
17,0.95547,44.03205,3,0.29639,-0.31725,0.11304
17,0.95547,44.03205,4,0.42107,-0.22916,0.05275
17,0.95547,44.03205,5,0.40827,-0.17069,0.09877
17,0.95547,44.03205,6,0.37131,-0.1155,0.12824
17,0.95547,44.03205,7,0.33451,-0.06055,0.14355
17,0.95547,44.03205,8,0.29786,-0.00582,0.14476
17,0.95547,44.03205,9,0.26136,0.04867,0.13193
17,0.95547,44.03205,10,0.22502,0.10294,0.10512
17,0.95547,44.03205,11,0.18884,0.15697,0.0644
17,0.95547,44.03205,12,0.15946,0.20811,0.06584
17,0.95547,44.03205,13,0.13555,0.25744,0.07907
17,0.95547,44.03205,14,0.11218,0.30606,0.08098
17,0.95547,44.03205,15,0.09042,0.35256,0.07873
17,0.95547,44.03205,16,0.06984,0.3973,0.07022
18,0.95564,44.04732,1,-0.03572,-0.23867,0.36688
18,0.95564,44.04732,2,0.1574,-0.41482,0.22421
18,0.95564,44.04732,3,0.29638,-0.31723,0.11304
18,0.95564,44.04732,4,0.42107,-0.22913,0.05276
18,0.95564,44.04732,5,0.40825,-0.17065,0.09878
18,0.95564,44.04732,6,0.37129,-0.11544,0.12826
18,0.95564,44.04732,7,0.33448,-0.06047,0.14358
18,0.95564,44.04732,8,0.29782,-0.00573,0.1448
18,0.95564,44.04732,9,0.26132,0.04877,0.13198
18,0.95564,44.04732,10,0.22497,0.10306,0.10517
18,0.95564,44.04732,11,0.18878,0.1571,0.06445
18,0.95564,44.04732,12,0.15938,0.20825,0.06584
18,0.95564,44.04732,13,0.13544,0.25761,0.07888
18,0.95564,44.04732,14,0.11209,0.30619,0.08097
18,0.95564,44.04732,15,0.09032,0.35272,0.07864
18,0.95564,44.04732,16,0.06973,0.3975,0.06998
19,0.93802,42.16051,1,-0.03572,-0.23867,0.36688
19,0.93802,42.16051,2,0.15744,-0.41502,0.22418
19,0.93802,42.16051,3,0.29679,-0.31924,0.11274
19,0.93802,42.16051,4,0.42182,-0.23277,0.05197
19,0.93802,42.16051,5,0.40977,-0.17568,0.09727
19,0.93802,42.16051,6,0.37356,-0.12187,0.12604
19,0.93802,42.16051,7,0.33751,-0.06829,0.14064
19,0.93802,42.16051,8,0.3016,-0.01494,0.14115
19,0.93802,42.16051,9,0.26584,0.03819,0.12762
19,0.93802,42.16051,10,0.23023,0.09111,0.10011
19,0.93802,42.16051,11,0.19477,0.1438,0.05869
