particle,elasticity,weight,frame,x,y,z
1,0.72631,-77.29778,1,0.32678,0.39979,0.1251
1,0.72631,-77.29778,2,0.38806,0.30583,0.09444
1,0.72631,-77.29778,3,0.29828,0.19836,0.18056
1,0.72631,-77.29778,4,0.20922,0.09173,0.25199
1,0.72631,-77.29778,5,0.12083,-0.01407,0.30887
1,0.72631,-77.29778,6,0.03308,-0.11911,0.3513
1,0.72631,-77.29778,7,-0.05402,-0.2234,0.37942
1,0.72631,-77.29778,8,-0.14053,-0.32696,0.39332
1,0.72631,-77.29778,9,-0.2261,-0.41899,0.3958
1,0.72631,-77.29778,10,-0.30357,-0.40452,0.40487
1,0.72631,-77.29778,11,-0.37465,-0.36574,0.39891
1,0.72631,-77.29778,12,-0.42084,-0.33267,0.38133
1,0.72631,-77.29778,13,-0.38109,-0.31906,0.35811
1,0.72631,-77.29778,14,-0.34148,-0.30549,0.32094
1,0.72631,-77.29778,15,-0.30202,-0.29198,0.26987
1,0.72631,-77.29778,16,-0.26274,-0.27853,0.20499
1,0.72631,-77.29778,17,-0.22364,-0.26515,0.12639
1,0.72631,-77.29778,18,-0.18502,-0.25804,0.06874
1,0.72631,-77.29778,19,-0.14604,-0.26369,0.08172
1,0.72631,-77.29778,20,-0.107,-0.26922,0.0822
1,0.72631,-77.29778,21,-0.06742,-0.27439,0.07412
1,0.72631,-77.29778,22,-0.03353,-0.27841,0.07474
1,0.72631,-77.29778,23,-0.0025,-0.28184,0.07265
1,0.72631,-77.29778,24,0.0276,-0.28616,0.06137
1,0.72631,-77.29778,25,0.05496,-0.29233,0.05019
1,0.72631,-77.29778,26,0.0766,-0.29684,0.04944
1,0.72631,-77.29778,27,0.09511,-0.30089,0.04845
1,0.72631,-77.29778,28,0.11037,-0.3042,0.04772
1,0.72631,-77.29778,29,0.12236,-0.30699,0.04744
1,0.72631,-77.29778,30,0.13077,-0.30917,0.04819
2,0.72631,-77.29778,1,0.32678,0.39979,0.1251
2,0.72631,-77.29778,2,0.38806,0.30583,0.09444
2,0.72631,-77.29778,3,0.29828,0.19836,0.18056
2,0.72631,-77.29778,4,0.20922,0.09173,0.25199
2,0.72631,-77.29778,5,0.12083,-0.01407,0.30887
2,0.72631,-77.29778,6,0.03308,-0.11911,0.3513
2,0.72631,-77.29778,7,-0.05402,-0.2234,0.37942
2,0.72631,-77.29778,8,-0.14053,-0.32696,0.39332
2,0.72631,-77.29778,9,-0.2261,-0.41899,0.3958
2,0.72631,-77.29778,10,-0.30357,-0.40452,0.40487
2,0.72631,-77.29778,11,-0.37465,-0.36574,0.39891
2,0.72631,-77.29778,12,-0.42084,-0.33267,0.38133
2,0.72631,-77.29778,13,-0.38109,-0.31906,0.35811
2,0.72631,-77.29778,14,-0.34148,-0.30549,0.32094
2,0.72631,-77.29778,15,-0.30202,-0.29198,0.26987
2,0.72631,-77.29778,16,-0.26274,-0.27853,0.20499
2,0.72631,-77.29778,17,-0.22364,-0.26515,0.12639
2,0.72631,-77.29778,18,-0.18502,-0.25804,0.06874
2,0.72631,-77.29778,19,-0.14604,-0.26369,0.08172
2,0.72631,-77.29778,20,-0.107,-0.26922,0.0822
2,0.72631,-77.29778,21,-0.06742,-0.27439,0.07412
2,0.72631,-77.29778,22,-0.03353,-0.27841,0.07474
2,0.72631,-77.29778,23,-0.0025,-0.28184,0.07265
2,0.72631,-77.29778,24,0.0276,-0.28616,0.06137
2,0.72631,-77.29778,25,0.05496,-0.29233,0.05019
2,0.72631,-77.29778,26,0.0766,-0.29684,0.04944
2,0.72631,-77.29778,27,0.09511,-0.30089,0.04845
2,0.72631,-77.29778,28,0.11037,-0.3042,0.04772
2,0.72631,-77.29778,29,0.12236,-0.30699,0.04744
2,0.72631,-77.29778,30,0.13077,-0.30917,0.04819
3,0.72631,-77.29778,1,0.32678,0.39979,0.1251
3,0.72631,-77.29778,2,0.38806,0.30583,0.09444
3,0.72631,-77.29778,3,0.29828,0.19836,0.18056
3,0.72631,-77.29778,4,0.20922,0.09173,0.25199
3,0.72631,-77.29778,5,0.12083,-0.01407,0.30887
3,0.72631,-77.29778,6,0.03308,-0.11911,0.3513
3,0.72631,-77.29778,7,-0.05402,-0.2234,0.37942
3,0.72631,-77.29778,8,-0.14053,-0.32696,0.39332
3,0.72631,-77.29778,9,-0.2261,-0.41899,0.3958
3,0.72631,-77.29778,10,-0.30357,-0.40452,0.40487
3,0.72631,-77.29778,11,-0.37465,-0.36574,0.39891
3,0.72631,-77.29778,12,-0.42084,-0.33267,0.38133
3,0.72631,-77.29778,13,-0.38109,-0.31906,0.35811
3,0.72631,-77.29778,14,-0.34148,-0.30549,0.32094
3,0.72631,-77.29778,15,-0.30202,-0.29198,0.26987
3,0.72631,-77.29778,16,-0.26274,-0.27853,0.20499
3,0.72631,-77.29778,17,-0.22364,-0.26515,0.12639
3,0.72631,-77.29778,18,-0.18502,-0.25804,0.06874
3,0.72631,-77.29778,19,-0.14604,-0.26369,0.08172
3,0.72631,-77.29778,20,-0.107,-0.26922,0.0822
3,0.72631,-77.29778,21,-0.06742,-0.27439,0.07412
3,0.72631,-77.29778,22,-0.03353,-0.27841,0.07474
3,0.72631,-77.29778,23,-0.0025,-0.28184,0.07265
3,0.72631,-77.29778,24,0.0276,-0.28616,0.06137
3,0.72631,-77.29778,25,0.05496,-0.29233,0.05019
3,0.72631,-77.29778,26,0.0766,-0.29684,0.04944
3,0.72631,-77.29778,27,0.09511,-0.30089,0.04845
3,0.72631,-77.29778,28,0.11037,-0.3042,0.04772
3,0.72631,-77.29778,29,0.12236,-0.30699,0.04744
3,0.72631,-77.29778,30,0.13077,-0.30917,0.04819
4,0.72631,-77.29778,1,0.32678,0.39979,0.1251
4,0.72631,-77.29778,2,0.38806,0.30583,0.09444
4,0.72631,-77.29778,3,0.29828,0.19836,0.18056
4,0.72631,-77.29778,4,0.20922,0.09173,0.25199
4,0.72631,-77.29778,5,0.12083,-0.01407,0.30887
4,0.72631,-77.29778,6,0.03308,-0.11911,0.3513
4,0.72631,-77.29778,7,-0.05402,-0.2234,0.37942
4,0.72631,-77.29778,8,-0.14053,-0.32696,0.39332
4,0.72631,-77.29778,9,-0.2261,-0.41899,0.3958
4,0.72631,-77.29778,10,-0.30357,-0.40452,0.40487
4,0.72631,-77.29778,11,-0.37465,-0.36574,0.39891
4,0.72631,-77.29778,12,-0.42084,-0.33267,0.38133
4,0.72631,-77.29778,13,-0.38109,-0.31906,0.35811
4,0.72631,-77.29778,14,-0.34148,-0.30549,0.32094
4,0.72631,-77.29778,15,-0.30202,-0.29198,0.26987
4,0.72631,-77.29778,16,-0.26274,-0.27853,0.20499
4,0.72631,-77.29778,17,-0.22364,-0.26515,0.12639
4,0.72631,-77.29778,18,-0.18502,-0.25804,0.06874
4,0.72631,-77.29778,19,-0.14604,-0.26369,0.08172
4,0.72631,-77.29778,20,-0.107,-0.26922,0.0822
4,0.72631,-77.29778,21,-0.06742,-0.27439,0.07412
4,0.72631,-77.29778,22,-0.03353,-0.27841,0.07474
4,0.72631,-77.29778,23,-0.0025,-0.28184,0.07265
4,0.72631,-77.29778,24,0.0276,-0.28616,0.06137
4,0.72631,-77.29778,25,0.05496,-0.29233,0.05019
4,0.72631,-77.29778,26,0.0766,-0.29684,0.04944
4,0.72631,-77.29778,27,0.09511,-0.30089,0.04845
4,0.72631,-77.29778,28,0.11037,-0.3042,0.04772
4,0.72631,-77.29778,29,0.12236,-0.30699,0.04744
4,0.72631,-77.29778,30,0.13077,-0.30917,0.04819
5,0.72631,-77.29778,1,0.32678,0.39979,0.1251
5,0.72631,-77.29778,2,0.38806,0.30583,0.09444
5,0.72631,-77.29778,3,0.29828,0.19836,0.18056
5,0.72631,-77.29778,4,0.20922,0.09173,0.25199
5,0.72631,-77.29778,5,0.12083,-0.01407,0.30887
5,0.72631,-77.29778,6,0.03308,-0.11911,0.3513
5,0.72631,-77.29778,7,-0.05402,-0.2234,0.37942
5,0.72631,-77.29778,8,-0.14053,-0.32696,0.39332
5,0.72631,-77.29778,9,-0.2261,-0.41899,0.3958
5,0.72631,-77.29778,10,-0.30357,-0.40452,0.40487
5,0.72631,-77.29778,11,-0.37465,-0.36574,0.39891
5,0.72631,-77.29778,12,-0.42084,-0.33267,0.38133
5,0.72631,-77.29778,13,-0.38109,-0.31906,0.35811
5,0.72631,-77.29778,14,-0.34148,-0.30549,0.32094
5,0.72631,-77.29778,15,-0.30202,-0.29198,0.26987
5,0.72631,-77.29778,16,-0.26274,-0.27853,0.20499
