particle,elasticity,weight,frame,x,y,z
1,0.79725,44.85714,1,-0.00551,-0.20372,0.37059
1,0.79725,44.85714,2,-0.01036,-0.30791,0.15945
1,0.79725,44.85714,3,-0.01425,-0.39143,0.14911
1,0.79725,44.85714,4,-0.01668,-0.36122,0.22636
1,0.79725,44.85714,5,-0.01911,-0.33114,0.28922
1,0.79725,44.85714,6,-0.02152,-0.30119,0.33779
1,0.79725,44.85714,7,-0.02393,-0.27134,0.37215
1,0.79725,44.85714,8,-0.02632,-0.24159,0.39235
1,0.79725,44.85714,9,-0.02871,-0.21192,0.39845
1,0.79725,44.85714,10,-0.0311,-0.18234,0.39049
1,0.79725,44.85714,11,-0.03347,-0.15283,0.36851
1,0.79725,44.85714,12,-0.03584,-0.12342,0.33255
1,0.79725,44.85714,13,-0.03821,-0.09412,0.28269
1,0.79725,44.85714,14,-0.04056,-0.06493,0.21898
1,0.79725,44.85714,15,-0.0429,-0.03587,0.14154
1,0.79725,44.85714,16,-0.04523,-0.02075,0.10744
1,0.79725,44.85714,17,-0.04756,-0.01669,0.10498
1,0.79725,44.85714,18,-0.04988,-0.01265,0.09998
1,0.79725,44.85714,19,-0.05219,-0.00861,0.09999
1,0.79725,44.85714,20,-0.0545,-0.00459,0.09998
2,0.67447,49.417,1,-0.00551,-0.20372,0.37059
2,0.67447,49.417,2,-0.01036,-0.30791,0.15945
2,0.67447,49.417,3,-0.01425,-0.39144,0.14007
2,0.67447,49.417,4,-0.01669,-0.3657,0.20769
2,0.67447,49.417,5,-0.01911,-0.34008,0.261
2,0.67447,49.417,6,-0.02153,-0.31454,0.30008
2,0.67447,49.417,7,-0.02394,-0.28909,0.32499
2,0.67447,49.417,8,-0.02634,-0.26371,0.33578
2,0.67447,49.417,9,-0.02873,-0.23839,0.3325
2,0.67447,49.417,10,-0.03112,-0.21314,0.31518
2,0.67447,49.417,11,-0.03351,-0.18796,0.28387
2,0.67447,49.417,12,-0.03588,-0.16287,0.23862
2,0.67447,49.417,13,-0.03825,-0.13787,0.1795
2,0.67447,49.417,14,-0.0406,-0.11297,0.10661
2,0.67447,49.417,15,-0.04299,-0.10839,0.11885
2,0.67447,49.417,16,-0.04537,-0.10633,0.12938
2,0.67447,49.417,17,-0.04774,-0.10428,0.12583
2,0.67447,49.417,18,-0.05012,-0.10224,0.10825
2,0.67447,49.417,19,-0.05248,-0.1002,0.09999
2,0.67447,49.417,20,-0.05484,-0.09816,0.09999
3,0.64953,48.30213,1,-0.00551,-0.20372,0.37059
3,0.64953,48.30213,2,-0.01036,-0.30791,0.15945
3,0.64953,48.30213,3,-0.01425,-0.39144,0.13823
3,0.64953,48.30213,4,-0.01669,-0.36661,0.2039
3,0.64953,48.30213,5,-0.01911,-0.34189,0.25527
3,0.64953,48.30213,6,-0.02153,-0.31726,0.29241
3,0.64953,48.30213,7,-0.02394,-0.2927,0.31539
3,0.64953,48.30213,8,-0.02634,-0.26821,0.32427
3,0.64953,48.30213,9,-0.02874,-0.24378,0.31908
3,0.64953,48.30213,10,-0.03113,-0.21941,0.29985
3,0.64953,48.30213,11,-0.03351,-0.19512,0.26664
3,0.64953,48.30213,12,-0.03589,-0.1709,0.2195
3,0.64953,48.30213,13,-0.03826,-0.14678,0.1585
3,0.64953,48.30213,14,-0.04062,-0.12772,0.10399
3,0.64953,48.30213,15,-0.04302,-0.12607,0.10646
3,0.64953,48.30213,16,-0.04542,-0.12441,0.09999
3,0.64953,48.30213,17,-0.04781,-0.12276,0.09999
3,0.64953,48.30213,18,-0.05019,-0.12111,0.09999
3,0.64953,48.30213,19,-0.05257,-0.11947,0.09999
3,0.64953,48.30213,20,-0.05494,-0.11783,0.09999
4,0.76479,47.45908,1,-0.00551,-0.20372,0.37059
4,0.76479,47.45908,2,-0.01036,-0.30791,0.15945
4,0.76479,47.45908,3,-0.01425,-0.39143,0.14672
4,0.76479,47.45908,4,-0.01668,-0.3624,0.22143
4,0.76479,47.45908,5,-0.01911,-0.3335,0.28177
4,0.76479,47.45908,6,-0.02152,-0.30472,0.32783
4,0.76479,47.45908,7,-0.02393,-0.27603,0.35969
4,0.76479,47.45908,8,-0.02633,-0.24743,0.37741
4,0.76479,47.45908,9,-0.02872,-0.21891,0.38103
4,0.76479,47.45908,10,-0.0311,-0.19047,0.3706
4,0.76479,47.45908,11,-0.03348,-0.16211,0.34616
4,0.76479,47.45908,12,-0.03585,-0.13383,0.30775
4,0.76479,47.45908,13,-0.03822,-0.10566,0.25544
4,0.76479,47.45908,14,-0.04057,-0.07761,0.18931
4,0.76479,47.45908,15,-0.04291,-0.04968,0.10945
4,0.76479,47.45908,16,-0.04525,-0.04346,0.12524
4,0.76479,47.45908,17,-0.04759,-0.03995,0.1406
4,0.76479,47.45908,18,-0.04992,-0.03645,0.14189
4,0.76479,47.45908,19,-0.05225,-0.03295,0.12912
4,0.76479,47.45908,20,-0.05458,-0.02946,0.10233
5,0.63336,49.4208,1,-0.00551,-0.20372,0.37059
5,0.63336,49.4208,2,-0.01036,-0.30791,0.15945
5,0.63336,49.4208,3,-0.01425,-0.39144,0.13704
5,0.63336,49.4208,4,-0.01669,-0.3672,0.20144
