particle,elasticity,weight,frame,x,y,z
1,0.64815,71.01149,1,-0.01644,-0.38339,0.42652
1,0.64815,71.01149,2,-0.19514,-0.36229,0.23408
1,0.64815,71.01149,3,-0.35496,-0.33787,0.12125
1,0.64815,71.01149,4,-0.36651,-0.30206,0.18948
1,0.64815,71.01149,5,-0.32137,-0.2642,0.24933
1,0.64815,71.01149,6,-0.27643,-0.22653,0.29486
1,0.64815,71.01149,7,-0.23169,-0.18902,0.32615
1,0.64815,71.01149,8,-0.18713,-0.15166,0.34329
1,0.64815,71.01149,9,-0.14274,-0.11444,0.34632
1,0.64815,71.01149,10,-0.09852,-0.07737,0.3353
1,0.64815,71.01149,11,-0.05447,-0.04044,0.31028
1,0.64815,71.01149,12,-0.01061,-0.00366,0.27133
1,0.64815,71.01149,13,0.03306,0.03294,0.21852
1,0.64815,71.01149,14,0.07652,0.06938,0.15193
1,0.64815,71.01149,15,0.11068,0.10422,0.10841
1,0.64815,71.01149,16,0.12657,0.1361,0.12446
1,0.64815,71.01149,17,0.14241,0.16788,0.12642
1,0.64815,71.01149,18,0.15821,0.19957,0.11433
1,0.64815,71.01149,19,0.17374,0.23091,0.10017
1,0.64815,71.01149,20,0.18891,0.26173,0.09998
1,0.64815,71.01149,21,0.20396,0.29232,0.09998
1,0.64815,71.01149,22,0.21891,0.32269,0.09998
1,0.64815,71.01149,23,0.23375,0.35285,0.09998
1,0.64815,71.01149,24,0.24848,0.3828,0.09998
1,0.64815,71.01149,25,0.26472,0.386,0.10158
1,0.64815,71.01149,26,0.28102,0.38375,0.09998
1,0.64815,71.01149,27,0.29697,0.38315,0.09998
1,0.64815,71.01149,28,0.31284,0.38256,0.09998
1,0.64815,71.01149,29,0.32865,0.38196,0.09998
1,0.64815,71.01149,30,0.34438,0.38137,0.09998
2,0.68433,72.43874,1,-0.01636,-0.38291,0.42661
2,0.68433,72.43874,2,-0.19469,-0.35969,0.23454
2,0.68433,72.43874,3,-0.35418,-0.33329,0.12293
2,0.68433,72.43874,4,-0.36461,-0.29594,0.19344
2,0.68433,72.43874,5,-0.31793,-0.25665,0.25524
2,0.68433,72.43874,6,-0.27147,-0.21754,0.30272
2,0.68433,72.43874,7,-0.22522,-0.17861,0.33595
2,0.68433,72.43874,8,-0.17916,-0.13984,0.355
2,0.68433,72.43874,9,-0.13328,-0.10123,0.35994
2,0.68433,72.43874,10,-0.08757,-0.06276,0.35083
2,0.68433,72.43874,11,-0.04206,-0.02445,0.32771
2,0.68433,72.43874,12,0.00327,0.0137,0.29065
2,0.68433,72.43874,13,0.0484,0.05168,0.23973
2,0.68433,72.43874,14,0.09331,0.08948,0.17501
2,0.68433,72.43874,15,0.13799,0.12709,0.0966
2,0.68433,72.43874,16,0.15452,0.1601,0.12216
2,0.68433,72.43874,17,0.171,0.193,0.1336
2,0.68433,72.43874,18,0.18743,0.22581,0.13096
2,0.68433,72.43874,19,0.20381,0.25851,0.11429
2,0.68433,72.43874,20,0.21995,0.29074,0.09999
2,0.68433,72.43874,21,0.23584,0.32246,0.09998
2,0.68433,72.43874,22,0.25161,0.35395,0.09999
2,0.68433,72.43874,23,0.26726,0.38521,0.09998
2,0.68433,72.43874,24,0.28435,0.38988,0.10017
2,0.68433,72.43874,25,0.30136,0.39001,0.09998
2,0.68433,72.43874,26,0.31826,0.39001,0.09998
2,0.68433,72.43874,27,0.33508,0.39,0.09998
2,0.68433,72.43874,28,0.35182,0.39,0.09998
2,0.68433,72.43874,29,0.36848,0.39,0.09998
2,0.68433,72.43874,30,0.38507,0.39,0.09998
3,0.65906,71.79251,1,-0.01642,-0.38325,0.42655
3,0.65906,71.79251,2,-0.195,-0.36151,0.23422
3,0.65906,71.79251,3,-0.35472,-0.33649,0.12178
3,0.65906,71.79251,4,-0.36594,-0.30021,0.19075
3,0.65906,71.79251,5,-0.32033,-0.26193,0.25123
3,0.65906,71.79251,6,-0.27493,-0.22382,0.29739
