particle,elasticity,weight,frame,x,y,z
1,0.03301,28.67745,1,0.40231,0.16008,0.55837
1,0.03301,28.67745,2,0.37517,0.12997,0.7151
1,0.03301,28.67745,3,0.34823,0.1001,0.85661
1,0.03301,28.67745,4,0.29942,0.07607,0.89142
1,0.03301,28.67745,5,0.2398,0.05496,0.86625
1,0.03301,28.67745,6,0.18044,0.03394,0.82716
1,0.03301,28.67745,7,0.12135,0.01302,0.77421
1,0.03301,28.67745,8,0.06256,-0.00779,0.70749
1,0.03301,28.67745,9,0.00408,-0.02849,0.6271
1,0.03301,28.67745,10,-0.05406,-0.04908,0.53314
1,0.03301,28.67745,11,-0.11185,-0.06954,0.42575
1,0.03301,28.67745,12,-0.16925,-0.08986,0.30504
1,0.03301,28.67745,13,-0.22625,-0.11004,0.17117
2,0.00012,30.00468,1,0.4059,0.16008,0.55838
2,0.00012,30.00468,2,0.3841,0.12997,0.71511
2,0.00012,30.00468,3,0.36247,0.10009,0.85663
2,0.00012,30.00468,4,0.31905,0.07578,0.89284
2,0.00012,30.00468,5,0.26485,0.05426,0.86974
2,0.00012,30.00468,6,0.21087,0.03282,0.83271
2,0.00012,30.00468,7,0.15713,0.01147,0.78181
2,0.00012,30.00468,8,0.10364,-0.00976,0.71711
2,0.00012,30.00468,9,0.05043,-0.03089,0.63872
2,0.00012,30.00468,10,-0.00248,-0.05191,0.54674
2,0.00012,30.00468,11,-0.05508,-0.0728,0.44129
2,0.00012,30.00468,12,-0.10733,-0.09355,0.3225
2,0.00012,30.00468,13,-0.15923,-0.11416,0.19051
3,0.00645,29.89818,1,0.40521,0.16008,0.55838
3,0.00645,29.89818,2,0.38238,0.12997,0.71511
3,0.00645,29.89818,3,0.35973,0.10009,0.85663
3,0.00645,29.89818,4,0.31524,0.07584,0.89256
3,0.00645,29.89818,5,0.25995,0.05441,0.86907
3,0.00645,29.89818,6,0.20489,0.03306,0.83164
3,0.00645,29.89818,7,0.15007,0.0118,0.78034
3,0.00645,29.89818,8,0.09552,-0.00934,0.71526
3,0.00645,29.89818,9,0.04125,-0.03038,0.63648
3,0.00645,29.89818,10,-0.01271,-0.05131,0.54412
3,0.00645,29.89818,11,-0.06635,-0.07211,0.43829
3,0.00645,29.89818,12,-0.11965,-0.09277,0.31913
3,0.00645,29.89818,13,-0.17257,-0.11329,0.18679
4,0.02076,29.39719,1,0.40364,0.16008,0.55838
4,0.02076,29.39719,2,0.37849,0.12997,0.71511
4,0.02076,29.39719,3,0.35354,0.1001,0.85662
4,0.02076,29.39719,4,0.30663,0.07598,0.89195
4,0.02076,29.39719,5,0.24888,0.05475,0.86755
4,0.02076,29.39719,6,0.19138,0.03361,0.82923
4,0.02076,29.39719,7,0.13414,0.01257,0.77704
4,0.02076,29.39719,8,0.07717,-0.00837,0.71107
4,0.02076,29.39719,9,0.02051,-0.0292,0.63143
4,0.02076,29.39719,10,-0.03582,-0.04991,0.53821
4,0.02076,29.39719,11,-0.09182,-0.0705,0.43153
4,0.02076,29.39719,12,-0.14745,-0.09095,0.31154
4,0.02076,29.39719,13,-0.20269,-0.11126,0.17838
5,0.02143,29.36465,1,0.40357,0.16008,0.55838
5,0.02143,29.36465,2,0.37831,0.12997,0.71511
5,0.02143,29.36465,3,0.35325,0.1001,0.85662
5,0.02143,29.36465,4,0.30622,0.07599,0.89192
5,0.02143,29.36465,5,0.24836,0.05477,0.86748
5,0.02143,29.36465,6,0.19074,0.03364,0.82911
5,0.02143,29.36465,7,0.13339,0.0126,0.77688
5,0.02143,29.36465,8,0.07631,-0.00832,0.71088
5,0.02143,29.36465,9,0.01953,-0.02914,0.63119
5,0.02143,29.36465,10,-0.03691,-0.04985,0.53793
5,0.02143,29.36465,11,-0.09302,-0.07042,0.43121
5,0.02143,29.36465,12,-0.14876,-0.09087,0.31118
5,0.02143,29.36465,13,-0.20411,-0.11116,0.17798
6,0.01561,29.61915,1,0.40421,0.16008,0.55838
6,0.01561,29.61915,2,0.37989,0.12997,0.71511
6,0.01561,29.61915,3,0.35577,0.1001,0.85662
6,0.01561,29.61915,4,0.30973,0.07593,0.89217
6,0.01561,29.61915,5,0.25287,0.05463,0.8681
6,0.01561,29.61915,6,0.19624,0.03341,0.8301
6,0.01561,29.61915,7,0.13987,0.01229,0.77823
6,0.01561,29.61915,8,0.08378,-0.00872,0.71258
6,0.01561,29.61915,9,0.02797,-0.02963,0.63325
6,0.01561,29.61915,10,-0.0275,-0.05042,0.54034
6,0.01561,29.61915,11,-0.08265,-0.07109,0.43397
6,0.01561,29.61915,12,-0.13744,-0.09161,0.31427
6,0.01561,29.61915,13,-0.19185,-0.112,0.1814
7,0.0256,29.14625,1,0.40312,0.16008,0.55838
7,0.0256,29.14625,2,0.37718,0.12997,0.7151
7,0.0256,29.14625,3,0.35144,0.1001,0.85662
7,0.0256,29.14625,4,0.30372,0.07603,0.89174
7,0.0256,29.14625,5,0.24514,0.05487,0.86704
7,0.0256,29.14625,6,0.18681,0.0338,0.82841
7,0.0256,29.14625,7,0.12875,0.01283,0.77592
7,0.0256,29.14625,8,0.07097,-0.00803,0.70966
7,0.0256,29.14625,9,0.0135,-0.02879,0.62972
7,0.0256,29.14625,10,-0.04363,-0.04943,0.53621
7,0.0256,29.14625,11,-0.10043,-0.06995,0.42925
7,0.0256,29.14625,12,-0.15684,-0.09033,0.30898
7,0.0256,29.14625,13,-0.21286,-0.11056,0.17553
8,0.01309,29.71074,1,0.40448,0.16008,0.55838
8,0.01309,29.71074,2,0.38058,0.12997,0.71511
8,0.01309,29.71074,3,0.35686,0.1001,0.85662
8,0.01309,29.71074,4,0.31125,0.07591,0.89228
8,0.01309,29.71074,5,0.25482,0.05456,0.86837
8,0.01309,29.71074,6,0.19862,0.03331,0.83052
8,0.01309,29.71074,7,0.14268,0.01215,0.77881
8,0.01309,29.71074,8,0.08701,-0.00889,0.71332
8,0.01309,29.71074,9,0.03163,-0.02984,0.63414
8,0.01309,29.71074,10,-0.02343,-0.05067,0.54138
8,0.01309,29.71074,11,-0.07817,-0.07137,0.43516
8,0.01309,29.71074,12,-0.13254,-0.09193,0.31561
8,0.01309,29.71074,13,-0.18654,-0.11236,0.18289
9,0.08858,23.13005,1,0.39624,0.16008,0.55837
9,0.08858,23.13005,2,0.36007,0.12998,0.71509
9,0.08858,23.13005,3,0.32417,0.1001,0.85657
9,0.08858,23.13005,4,0.26815,0.07608,0.88903
9,0.08858,23.13005,5,0.20223,0.05498,0.86036
9,0.08858,23.13005,6,0.1366,0.03398,0.81778
9,0.08858,23.13005,7,0.0713,0.01308,0.76139
9,0.08858,23.13005,8,0.00633,-0.0077,0.69125
9,0.08858,23.13005,9,-0.05826,-0.02837,0.60748
9,0.08858,23.13005,10,-0.12248,-0.04892,0.51019
9,0.08858,23.13005,11,-0.18628,-0.06934,0.3995
9,0.08858,23.13005,12,-0.24965,-0.08961,0.27555
9,0.08858,23.13005,13,-0.31255,-0.10974,0.13849
10,0.01167,29.75722,1,0.40464,0.16008,0.55838
10,0.01167,29.75722,2,0.38096,0.12997,0.71511
10,0.01167,29.75722,3,0.35747,0.10009,0.85662
10,0.01167,29.75722,4,0.3121,0.07589,0.89234
10,0.01167,29.75722,5,0.25591,0.05453,0.86852
10,0.01167,29.75722,6,0.19996,0.03326,0.83076
10,0.01167,29.75722,7,0.14426,0.01208,0.77914
10,0.01167,29.75722,8,0.08882,-0.00899,0.71373
10,0.01167,29.75722,9,0.03368,-0.02996,0.63464
10,0.01167,29.75722,10,-0.02115,-0.0508,0.54196
10,0.01167,29.75722,11,-0.07565,-0.07153,0.43583
10,0.01167,29.75722,12,-0.12979,-0.09211,0.31636
10,0.01167,29.75722,13,-0.18356,-0.11256,0.18372
11,0.02325,29.27329,1,0.40337,0.16008,0.55838
11,0.02325,29.27329,2,0.37782,0.12997,0.71511
11,0.02325,29.27329,3,0.35246,0.1001,0.85662
11,0.02325,29.27329,4,0.30513,0.07601,0.89184
11,0.02325,29.27329,5,0.24696,0.05481,0.86729
11,0.02325,29.27329,6,0.18903,0.03371,0.82881
11,0.02325,29.27329,7,0.13137,0.0127,0.77646
11,0.02325,29.27329,8,0.07399,-0.00819,0.71035
11,0.02325,29.27329,9,0.01691,-0.02899,0.63055
11,0.02325,29.27329,10,-0.03984,-0.04967,0.53718
11,0.02325,29.27329,11,-0.09625,-0.07022,0.43036
11,0.02325,29.27329,12,-0.15228,-0.09063,0.31022
11,0.02325,29.27329,13,-0.20792,-0.1109,0.17691
12,0.02702,29.06488,1,0.40296,0.16008,0.55838
12,0.02702,29.06488,2,0.37679,0.12997,0.7151
12,0.02702,29.06488,3,0.35083,0.1001,0.85661
12,0.02702,29.06488,4,0.30287,0.07604,0.89168
12,0.02702,29.06488,5,0.24404,0.05491,0.86689
12,0.02702,29.06488,6,0.18548,0.03386,0.82817
12,0.02702,29.06488,7,0.12717,0.01291,0.77559
12,0.02702,29.06488,8,0.06916,-0.00793,0.70924
12,0.02702,29.06488,9,0.01145,-0.02867,0.62922
12,0.02702,29.06488,10,-0.04592,-0.04929,0.53562
12,0.02702,29.06488,11,-0.10295,-0.06978,0.42858
12,0.02702,29.06488,12,-0.1596,-0.09014,0.30822
12,0.02702,29.06488,13,-0.21585,-0.11035,0.1747
13,0.01281,29.72005,1,0.40451,0.16008,0.55838
13,0.01281,29.72005,2,0.38065,0.12997,0.71511
13,0.01281,29.72005,3,0.35698,0.10009,0.85662
13,0.01281,29.72005,4,0.31141,0.0759,0.89229
13,0.01281,29.72005,5,0.25503,0.05456,0.8684
13,0.01281,29.72005,6,0.19888,0.0333,0.83057
13,0.01281,29.72005,7,0.14299,0.01214,0.77888
13,0.01281,29.72005,8,0.08736,-0.00891,0.7134
13,0.01281,29.72005,9,0.03203,-0.02986,0.63424
13,0.01281,29.72005,10,-0.02299,-0.05069,0.54149
13,0.01281,29.72005,11,-0.07768,-0.0714,0.43529
13,0.01281,29.72005,12,-0.13201,-0.09197,0.31576
13,0.01281,29.72005,13,-0.18596,-0.1124,0.18305
