particle,elasticity,weight,frame,x,y,z
1,0.73146,82.43733,1,-0.37989,0.15905,0.44066
1,0.73146,82.43733,2,-0.31594,0.11009,0.41076
1,0.73146,82.43733,3,-0.2523,0.06137,0.36698
1,0.73146,82.43733,4,-0.18901,0.01291,0.3094
1,0.73146,82.43733,5,-0.12606,-0.03527,0.23812
1,0.73146,82.43733,6,-0.06348,-0.08318,0.15323
1,0.73146,82.43733,7,-0.00704,-0.12475,0.11442
1,0.73146,82.43733,8,0.04195,-0.15861,0.13611
1,0.73146,82.43733,9,0.09076,-0.19233,0.14368
1,0.73146,82.43733,10,0.13938,-0.22592,0.13718
1,0.73146,82.43733,11,0.18781,-0.25938,0.11667
1,0.73146,82.43733,12,0.23512,-0.29206,0.09999
1,0.73146,82.43733,13,0.28126,-0.32394,0.09999
1,0.73146,82.43733,14,0.32691,-0.35547,0.09999
1,0.73146,82.43733,15,0.37208,-0.38668,0.09999
1,0.73146,82.43733,16,0.38208,-0.3857,0.10454
1,0.73146,82.43733,17,0.36562,-0.37797,0.10043
1,0.73146,82.43733,18,0.35293,-0.37263,0.09999
1,0.73146,82.43733,19,0.34333,-0.36924,0.09998
1,0.73146,82.43733,20,0.33616,-0.3674,0.09998
1,0.73146,82.43733,21,0.32923,-0.3657,0.09998
1,0.73146,82.43733,22,0.32233,-0.36401,0.09998
1,0.73146,82.43733,23,0.31546,-0.36232,0.09998
1,0.73146,82.43733,24,0.3086,-0.36064,0.09998
1,0.73146,82.43733,25,0.30178,-0.35897,0.09998
1,0.73146,82.43733,26,0.29497,-0.3573,0.09998
1,0.73146,82.43733,27,0.28819,-0.35563,0.09998
1,0.73146,82.43733,28,0.28142,-0.35398,0.09998
1,0.73146,82.43733,29,0.27469,-0.35232,0.09998
1,0.73146,82.43733,30,0.26797,-0.35068,0.09998
2,0.72069,83.72662,1,-0.38017,0.15905,0.44066
2,0.72069,83.72662,2,-0.31704,0.11009,0.41076
2,0.72069,83.72662,3,-0.25422,0.06137,0.36698
2,0.72069,83.72662,4,-0.19173,0.01291,0.3094
2,0.72069,83.72662,5,-0.12959,-0.03528,0.23811
2,0.72069,83.72662,6,-0.06781,-0.08319,0.15322
2,0.72069,83.72662,7,-0.01206,-0.12477,0.11423
2,0.72069,83.72662,8,0.03637,-0.15863,0.13554
2,0.72069,83.72662,9,0.08462,-0.19236,0.14272
2,0.72069,83.72662,10,0.13268,-0.22595,0.13583
2,0.72069,83.72662,11,0.18056,-0.25942,0.11494
2,0.72069,83.72662,12,0.22738,-0.29214,0.10049
2,0.72069,83.72662,13,0.273,-0.32403,0.09999
2,0.72069,83.72662,14,0.31814,-0.35558,0.09999
2,0.72069,83.72662,15,0.36281,-0.38681,0.09999
2,0.72069,83.72662,16,0.3858,-0.38692,0.10256
2,0.72069,83.72662,17,0.37006,-0.37782,0.10037
2,0.72069,83.72662,18,0.35764,-0.37096,0.09998
2,0.72069,83.72662,19,0.34823,-0.36613,0.09998
2,0.72069,83.72662,20,0.34111,-0.36285,0.09998
2,0.72069,83.72662,21,0.33416,-0.35968,0.09998
2,0.72069,83.72662,22,0.32725,-0.35653,0.09998
2,0.72069,83.72662,23,0.32036,-0.35338,0.09998
2,0.72069,83.72662,24,0.31349,-0.35025,0.09998
2,0.72069,83.72662,25,0.30665,-0.34713,0.09998
2,0.72069,83.72662,26,0.29983,-0.34402,0.09998
2,0.72069,83.72662,27,0.29304,-0.34092,0.09998
2,0.72069,83.72662,28,0.28627,-0.33783,0.09998
2,0.72069,83.72662,29,0.27953,-0.33476,0.09998
2,0.72069,83.72662,30,0.27281,-0.33169,0.09999
3,0.72069,83.72662,1,-0.38017,0.15905,0.44066
3,0.72069,83.72662,2,-0.31704,0.11009,0.41076
3,0.72069,83.72662,3,-0.25422,0.06137,0.36698
3,0.72069,83.72662,4,-0.19173,0.01291,0.3094
3,0.72069,83.72662,5,-0.12959,-0.03528,0.23811
3,0.72069,83.72662,6,-0.06781,-0.08319,0.15322
3,0.72069,83.72662,7,-0.01206,-0.12477,0.11423
3,0.72069,83.72662,8,0.03637,-0.15863,0.13554
3,0.72069,83.72662,9,0.08462,-0.19236,0.14272
3,0.72069,83.72662,10,0.13268,-0.22595,0.13583
3,0.72069,83.72662,11,0.18056,-0.25942,0.11494
3,0.72069,83.72662,12,0.22738,-0.29214,0.10049
3,0.72069,83.72662,13,0.273,-0.32403,0.09999
3,0.72069,83.72662,14,0.31814,-0.35558,0.09999
3,0.72069,83.72662,15,0.36281,-0.38681,0.09999
3,0.72069,83.72662,16,0.3858,-0.38692,0.10256
3,0.72069,83.72662,17,0.37006,-0.37782,0.10037
3,0.72069,83.72662,18,0.35764,-0.37096,0.09998
3,0.72069,83.72662,19,0.34823,-0.36613,0.09998
3,0.72069,83.72662,20,0.34111,-0.36285,0.09998
3,0.72069,83.72662,21,0.33416,-0.35968,0.09998
3,0.72069,83.72662,22,0.32725,-0.35653,0.09998
3,0.72069,83.72662,23,0.32036,-0.35338,0.09998
3,0.72069,83.72662,24,0.31349,-0.35025,0.09998
3,0.72069,83.72662,25,0.30665,-0.34713,0.09998
3,0.72069,83.72662,26,0.29983,-0.34402,0.09998
3,0.72069,83.72662,27,0.29304,-0.34092,0.09998
3,0.72069,83.72662,28,0.28627,-0.33783,0.09998
3,0.72069,83.72662,29,0.27953,-0.33476,0.09998
3,0.72069,83.72662,30,0.27281,-0.33169,0.09999
4,0.70482,83.73691,1,-0.38057,0.15905,0.44066
4,0.70482,83.73691,2,-0.31865,0.11009,0.41076
4,0.70482,83.73691,3,-0.25703,0.06136,0.36698
4,0.70482,83.73691,4,-0.19574,0.0129,0.30939
4,0.70482,83.73691,5,-0.13478,-0.0353,0.2381
4,0.70482,83.73691,6,-0.07418,-0.08321,0.1532
4,0.70482,83.73691,7,-0.01946,-0.1248,0.11395
4,0.70482,83.73691,8,0.02815,-0.15867,0.13468
4,0.70482,83.73691,9,0.07557,-0.1924,0.1413
4,0.70482,83.73691,10,0.12282,-0.22601,0.13384
4,0.70482,83.73691,11,0.16988,-0.25948,0.11238
4,0.70482,83.73691,12,0.21571,-0.29208,0.09999
