particle,elasticity,weight,frame,x,y,z
1,0.56607,11.09434,1,-0.30031,0.03694,0.34064
1,0.56607,11.09434,2,-0.33521,-0.04962,0.10641
1,0.56607,11.09434,3,-0.18808,-0.1051,0.16772
2,0.98184,10.30349,1,-0.30031,0.03694,0.34064
2,0.98184,10.30349,2,-0.28931,-0.0496,0.11203
2,0.98184,10.30349,3,-0.09132,-0.10496,0.22312
3,0.27861,11.51642,1,-0.30031,0.03694,0.34064
3,0.27861,11.51642,2,-0.36697,-0.04963,0.10253
3,0.27861,11.51642,3,-0.25515,-0.10519,0.12927
4,0.97862,10.31045,1,-0.30031,0.03694,0.34064
4,0.97862,10.31045,2,-0.28967,-0.0496,0.11198
4,0.97862,10.31045,3,-0.09207,-0.10496,0.22269
5,0.20796,11.60451,1,-0.30031,0.03694,0.34064
5,0.20796,11.60451,2,-0.37478,-0.04963,0.10157
5,0.20796,11.60451,3,-0.27166,-0.1052,0.11981
6,0.23883,11.56678,1,-0.30031,0.03694,0.34064
6,0.23883,11.56678,2,-0.37136,-0.04963,0.10199
6,0.23883,11.56678,3,-0.26445,-0.1052,0.12394
7,0.90575,10.46414,1,-0.30031,0.03694,0.34064
7,0.90575,10.46414,2,-0.29771,-0.04961,0.111
7,0.90575,10.46414,3,-0.10901,-0.10499,0.213
8,0.03307,11.78828,1,-0.30031,0.03694,0.34064
8,0.03307,11.78828,2,-0.3945,-0.05079,0.09644
8,0.03307,11.78828,3,-0.31686,-0.10738,0.09866
9,0.67531,10.90717,1,-0.30031,0.03694,0.34064
9,0.67531,10.90717,2,-0.32315,-0.04962,0.10788
9,0.67531,10.90717,3,-0.16263,-0.10507,0.1823
10,0.8532,10.57093,1,-0.30031,0.03694,0.34064
10,0.8532,10.57093,2,-0.30351,-0.04961,0.11029
10,0.8532,10.57093,3,-0.12123,-0.10501,0.20601
11,0.41298,11.33183,1,-0.30031,0.03694,0.34064
11,0.41298,11.33183,2,-0.35212,-0.04963,0.10434
11,0.41298,11.33183,3,-0.22378,-0.10515,0.14726
12,0.40394,11.34496,1,-0.30031,0.03694,0.34064
12,0.40394,11.34496,2,-0.35312,-0.04963,0.10422
12,0.40394,11.34496,3,-0.22589,-0.10515,0.14605
13,0.51351,11.17913,1,-0.30031,0.03694,0.34064
13,0.51351,11.17913,2,-0.34102,-0.04962,0.1057
13,0.51351,11.17913,3,-0.20033,-0.10512,0.1607
14,0.73797,10.79318,1,-0.30031,0.03694,0.34064
14,0.73797,10.79318,2,-0.31623,-0.04961,0.10873
14,0.73797,10.79318,3,-0.14804,-0.10505,0.19066
15,0.8009,10.67384,1,-0.30031,0.03694,0.34064
15,0.8009,10.67384,2,-0.30928,-0.04961,0.10958
15,0.8009,10.67384,3,-0.13339,-0.10502,0.19905
16,0.96535,10.33893,1,-0.30031,0.03694,0.34064
16,0.96535,10.33893,2,-0.29113,-0.0496,0.1118
16,0.96535,10.33893,3,-0.09516,-0.10496,0.22093
17,0.0547,11.76815,1,-0.30031,0.03694,0.34064
17,0.0547,11.76815,2,-0.39204,-0.0506,0.09719
17,0.0547,11.76815,3,-0.31096,-0.10713,0.0999
18,0.64527,10.96011,1,-0.30031,0.03694,0.34064
18,0.64527,10.96011,2,-0.32646,-0.04962,0.10748
18,0.64527,10.96011,3,-0.16962,-0.10508,0.1783
19,0.09193,11.73191,1,-0.30031,0.03694,0.34064
19,0.09193,11.73191,2,-0.38782,-0.05027,0.09847
19,0.09193,11.73191,3,-0.30095,-0.10658,0.10406
20,0.45045,11.27638,1,-0.30031,0.03694,0.34064
20,0.45045,11.27638,2,-0.34798,-0.04963,0.10485
20,0.45045,11.27638,3,-0.21504,-0.10514,0.15227
