particle,elasticity,weight,frame,x,y,z
1,0.51338,-365.97858,1,0.10487,0.33555,0.06365
1,0.51338,-365.97858,2,0.14726,0.36618,0.43079
1,0.51338,-365.97858,3,0.18872,0.38863,0.77623
1,0.51338,-365.97858,4,0.21603,0.37676,0.86113
1,0.51338,-365.97858,5,0.23301,0.35922,0.74363
1,0.51338,-365.97858,6,0.24989,0.3418,0.61286
1,0.51338,-365.97858,7,0.26665,0.3245,0.469
1,0.51338,-365.97858,8,0.28328,0.30733,0.31221
1,0.51338,-365.97858,9,0.29977,0.2903,0.14267
1,0.51338,-365.97858,10,0.30896,0.28082,0.11236
1,0.51338,-365.97858,11,0.31607,0.27348,0.11153
1,0.51338,-365.97858,12,0.32316,0.26616,0.09999
1,0.51338,-365.97858,13,0.33021,0.25888,0.09999
1,0.51338,-365.97858,14,0.33725,0.25162,0.09999
1,0.51338,-365.97858,15,0.34426,0.24438,0.09999
1,0.51338,-365.97858,16,0.35125,0.23716,0.09999
1,0.51338,-365.97858,17,0.35822,0.22996,0.09998
1,0.51338,-365.97858,18,0.36518,0.22278,0.09999
1,0.51338,-365.97858,19,0.37211,0.21563,0.09998
1,0.51338,-365.97858,20,0.37902,0.2085,0.09998
1,0.51338,-365.97858,21,0.38591,0.20138,0.09998
1,0.51338,-365.97858,22,0.39001,0.19463,0.09998
1,0.51338,-365.97858,23,0.39001,0.18837,0.09998
1,0.51338,-365.97858,24,0.39,0.18212,0.09998
1,0.51338,-365.97858,25,0.39,0.1759,0.09998
1,0.51338,-365.97858,26,0.39,0.16968,0.09998
1,0.51338,-365.97858,27,0.39,0.16349,0.09998
1,0.51338,-365.97858,28,0.39,0.15731,0.09998
1,0.51338,-365.97858,29,0.39,0.15114,0.09998
1,0.51338,-365.97858,30,0.39,0.145,0.09998
2,0.61176,-370.04305,1,0.10486,0.33554,0.08095
2,0.61176,-370.04305,2,0.1472,0.36614,0.46483
2,0.61176,-370.04305,3,0.1886,0.38838,0.82647
2,0.61176,-370.04305,4,0.21077,0.37287,0.81132
2,0.61176,-370.04305,5,0.22771,0.3546,0.68213
2,0.61176,-370.04305,6,0.24453,0.33646,0.53983
2,0.61176,-370.04305,7,0.26123,0.31845,0.38457
2,0.61176,-370.04305,8,0.27779,0.30059,0.21654
2,0.61176,-370.04305,9,0.29113,0.28621,0.11628
2,0.61176,-370.04305,10,0.29823,0.27855,0.16307
2,0.61176,-370.04305,11,0.30531,0.27092,0.19566
2,0.61176,-370.04305,12,0.31237,0.2633,0.21412
2,0.61176,-370.04305,13,0.31941,0.2557,0.21849
2,0.61176,-370.04305,14,0.32644,0.24812,0.20881
