particle,elasticity,weight,frame,x,y,z
1,0.76344,8.17638,1,-0.26612,0.35301,0.3904
1,0.76344,8.17638,2,-0.36385,0.27438,0.39598
2,0.87353,8.17638,1,-0.26612,0.35301,0.3904
2,0.87353,8.17638,2,-0.35796,0.26097,0.39598
3,0.91409,8.17638,1,-0.26612,0.35301,0.3904
3,0.91409,8.17638,2,-0.35579,0.25603,0.39598
4,0.28737,8.17638,1,-0.26612,0.35301,0.3904
4,0.28737,8.17638,2,-0.38005,0.32875,0.39585
5,0.11623,8.17638,1,-0.26612,0.35301,0.3904
5,0.11623,8.17638,2,-0.38257,0.35133,0.39607
6,0.96024,8.17638,1,-0.26612,0.35301,0.3904
6,0.96024,8.17638,2,-0.35332,0.25041,0.39598
7,0.31311,8.17638,1,-0.26612,0.35301,0.3904
7,0.31311,8.17638,2,-0.37973,0.32535,0.39582
8,0.31876,8.17638,1,-0.26612,0.35301,0.3904
8,0.31876,8.17638,2,-0.37966,0.3246,0.39581
9,0.49321,8.17638,1,-0.26612,0.35301,0.3904
9,0.49321,8.17638,2,-0.37833,0.30731,0.39598
10,0.57433,8.17638,1,-0.26612,0.35301,0.3904
10,0.57433,8.17638,2,-0.37398,0.29742,0.39598
11,0.84796,8.17638,1,-0.26612,0.35301,0.3904
11,0.84796,8.17638,2,-0.35933,0.26408,0.39598
12,0.32584,8.17638,1,-0.26612,0.35301,0.3904
12,0.32584,8.17638,2,-0.37958,0.32367,0.3958
13,0.48705,8.17638,1,-0.26612,0.35301,0.3904
13,0.48705,8.17638,2,-0.37866,0.30807,0.39598
14,0.4772,8.17638,1,-0.26612,0.35301,0.3904
14,0.4772,8.17638,2,-0.37926,0.30938,0.39599
15,0.45404,8.17638,1,-0.26612,0.35301,0.3904
15,0.45404,8.17638,2,-0.3807,0.31247,0.39602
16,0.28429,8.17638,1,-0.26612,0.35301,0.3904
16,0.28429,8.17638,2,-0.38009,0.32915,0.39586
17,0.2907,8.17638,1,-0.26612,0.35301,0.3904
17,0.2907,8.17638,2,-0.38001,0.32831,0.39585
18,0.91928,8.17638,1,-0.26612,0.35301,0.3904
18,0.91928,8.17638,2,-0.35552,0.2554,0.39598
19,0.2286,8.17638,1,-0.26612,0.35301,0.3904
19,0.2286,8.17638,2,-0.38084,0.3365,0.39593
20,0.17297,8.17638,1,-0.26612,0.35301,0.3904
20,0.17297,8.17638,2,-0.38166,0.34384,0.39599
