particle,elasticity,weight,frame,x,y,z
1,0.3532,95.62455,1,0.28579,0.36667,0.86019
1,0.3532,95.62455,2,0.25316,0.373,0.75606
1,0.3532,95.62455,3,0.22339,0.33197,0.63355
1,0.3532,95.62455,4,0.19384,0.29123,0.49787
1,0.3532,95.62455,5,0.1645,0.25079,0.3492
1,0.3532,95.62455,6,0.1354,0.21068,0.1877
1,0.3532,95.62455,7,0.1142,0.16524,0.10762
1,0.3532,95.62455,8,0.10266,0.11296,0.13141
1,0.3532,95.62455,9,0.09116,0.06088,0.14106
1,0.3532,95.62455,10,0.0797,0.00899,0.13665
1,0.3532,95.62455,11,0.06828,-0.0427,0.11821
1,0.3532,95.62455,12,0.05705,-0.09357,0.09998
1,0.3532,95.62455,13,0.04609,-0.14324,0.09998
1,0.3532,95.62455,14,0.03522,-0.19246,0.09998
1,0.3532,95.62455,15,0.02445,-0.24124,0.09998
1,0.3532,95.62455,16,0.01378,-0.28957,0.09998
1,0.3532,95.62455,17,0.0032,-0.33748,0.09998
1,0.3532,95.62455,18,-0.00727,-0.38496,0.09998
1,0.3532,95.62455,19,-0.01142,-0.38267,0.1044
1,0.3532,95.62455,20,-0.01504,-0.37514,0.09999
1,0.3532,95.62455,21,-0.01986,-0.37209,0.09999
1,0.3532,95.62455,22,-0.02517,-0.37086,0.09999
1,0.3532,95.62455,23,-0.03046,-0.36963,0.09999
1,0.3532,95.62455,24,-0.03574,-0.36841,0.09998
1,0.3532,95.62455,25,-0.041,-0.36718,0.09998
1,0.3532,95.62455,26,-0.04626,-0.36597,0.09998
1,0.3532,95.62455,27,-0.0515,-0.36475,0.09998
1,0.3532,95.62455,28,-0.05673,-0.36354,0.09998
1,0.3532,95.62455,29,-0.06195,-0.36233,0.09998
1,0.3532,95.62455,30,-0.06716,-0.36112,0.09998
2,0.34986,95.78431,1,0.28579,0.36667,0.86055
2,0.34986,95.78431,2,0.25316,0.37322,0.75683
2,0.34986,95.78431,3,0.22339,0.33248,0.6347
2,0.34986,95.78431,4,0.19384,0.29202,0.49939
2,0.34986,95.78431,5,0.1645,0.25186,0.35108
2,0.34986,95.78431,6,0.1354,0.21203,0.18994
2,0.34986,95.78431,7,0.11419,0.16686,0.10912
2,0.34986,95.78431,8,0.10265,0.11484,0.13081
2,0.34986,95.78431,9,0.09115,0.06302,0.13837
2,0.34986,95.78431,10,0.0797,0.01139,0.13186
2,0.34986,95.78431,11,0.06829,-0.04004,0.11134
2,0.34986,95.78431,12,0.05713,-0.09035,0.09998
2,0.34986,95.78431,13,0.04616,-0.13978,0.09998
2,0.34986,95.78431,14,0.03529,-0.18875,0.09998
