particle,elasticity,weight,frame,x,y,z
1,0.66124,95.68536,1,0.08196,0.21316,0.21343
1,0.66124,95.68536,2,0.22221,0.4146,0.04361
1,0.66124,95.68536,3,0.29852,0.37632,0.09862
1,0.66124,95.68536,4,0.37389,0.33803,0.14179
1,0.66124,95.68536,5,0.41461,0.3061,0.16633
1,0.66124,95.68536,6,0.38672,0.28655,0.16773
1,0.66124,95.68536,7,0.35891,0.26706,0.15535
1,0.66124,95.68536,8,0.33119,0.24763,0.12923
1,0.66124,95.68536,9,0.30355,0.22826,0.08943
1,0.66124,95.68536,10,0.28173,0.20376,0.07856
1,0.66124,95.68536,11,0.26332,0.1837,0.09054
1,0.66124,95.68536,12,0.24495,0.1637,0.08871
1,0.66124,95.68536,13,0.22663,0.14375,0.0731
1,0.66124,95.68536,14,0.21111,0.12871,0.06625
1,0.66124,95.68536,15,0.19664,0.11657,0.05793
1,0.66124,95.68536,16,0.18408,0.10659,0.04899
1,0.66124,95.68536,17,0.17638,0.09917,0.04962
1,0.66124,95.68536,18,0.1709,0.09361,0.04886
1,0.66124,95.68536,19,0.16758,0.0905,0.04848
1,0.66124,95.68536,20,0.16678,0.08961,0.04928
1,0.66124,95.68536,21,0.1668,0.08966,0.04965
1,0.66124,95.68536,22,0.16682,0.08968,0.04983
1,0.66124,95.68536,23,0.16682,0.0897,0.04991
1,0.66124,95.68536,24,0.16681,0.0897,0.04995
1,0.66124,95.68536,25,0.16681,0.08971,0.04997
1,0.66124,95.68536,26,0.16681,0.08971,0.04998
2,0.6014,99.76494,1,0.08196,0.21316,0.21343
2,0.6014,99.76494,2,0.22225,0.41535,0.04147
2,0.6014,99.76494,3,0.29932,0.38552,0.09388
2,0.6014,99.76494,4,0.37541,0.35545,0.1345
2,0.6014,99.76494,5,0.41201,0.33059,0.16443
2,0.6014,99.76494,6,0.38909,0.31402,0.18273
2,0.6014,99.76494,7,0.36623,0.29749,0.18721
2,0.6014,99.76494,8,0.34344,0.28101,0.17789
2,0.6014,99.76494,9,0.32071,0.26458,0.15481
2,0.6014,99.76494,10,0.29805,0.2482,0.11804
2,0.6014,99.76494,11,0.27631,0.22925,0.07866
2,0.6014,99.76494,12,0.25848,0.20097,0.06781
2,0.6014,99.76494,13,0.24477,0.17671,0.07489
2,0.6014,99.76494,14,0.23139,0.15383,0.07359
2,0.6014,99.76494,15,0.21886,0.13297,0.06805
2,0.6014,99.76494,16,0.20879,0.11566,0.0669
2,0.6014,99.76494,17,0.20031,0.10147,0.06594
2,0.6014,99.76494,18,0.19306,0.09017,0.06362
2,0.6014,99.76494,19,0.1865,0.08137,0.05784
2,0.6014,99.76494,20,0.18114,0.07486,0.04988
2,0.6014,99.76494,21,0.17945,0.07127,0.04961
2,0.6014,99.76494,22,0.17866,0.06877,0.04912
2,0.6014,99.76494,23,0.17876,0.06763,0.04903
2,0.6014,99.76494,24,0.17882,0.06766,0.04953
2,0.6014,99.76494,25,0.17886,0.06768,0.04977
2,0.6014,99.76494,26,0.17886,0.06767,0.04988
3,0.59903,100.09728,1,0.08196,0.21316,0.21343
3,0.59903,100.09728,2,0.22225,0.41538,0.04138
3,0.59903,100.09728,3,0.2993,0.38569,0.09356
3,0.59903,100.09728,4,0.37537,0.35573,0.13395
3,0.59903,100.09728,5,0.41195,0.33095,0.16364
3,0.59903,100.09728,6,0.38916,0.31437,0.18168
3,0.59903,100.09728,7,0.36642,0.29783,0.18589
3,0.59903,100.09728,8,0.34375,0.28133,0.1763
3,0.59903,100.09728,9,0.32114,0.26489,0.15297
3,0.59903,100.09728,10,0.2986,0.24849,0.11594
3,0.59903,100.09728,11,0.2769,0.22796,0.08228
3,0.59903,100.09728,12,0.25849,0.19963,0.07607
3,0.59903,100.09728,13,0.24376,0.17239,0.07113
3,0.59903,100.09728,14,0.23047,0.14759,0.06525
3,0.59903,100.09728,15,0.21839,0.12627,0.06061
3,0.59903,100.09728,16,0.20737,0.10651,0.0498
3,0.59903,100.09728,17,0.19869,0.09158,0.04872
3,0.59903,100.09728,18,0.19192,0.07922,0.04752
3,0.59903,100.09728,19,0.18697,0.06985,0.04748
3,0.59903,100.09728,20,0.18364,0.06335,0.04773
3,0.59903,100.09728,21,0.18188,0.05969,0.04847
3,0.59903,100.09728,22,0.1814,0.05883,0.04899
3,0.59903,100.09728,23,0.18137,0.05878,0.04952
3,0.59903,100.09728,24,0.18135,0.05876,0.04976
3,0.59903,100.09728,25,0.18134,0.05875,0.04988
3,0.59903,100.09728,26,0.18134,0.05874,0.04994
4,0.39172,94.56544,1,0.08196,0.21316,0.21343
4,0.39172,94.56544,2,0.22223,0.41719,0.03231
4,0.39172,94.56544,3,0.29787,0.39075,0.0558
4,0.39172,94.56544,4,0.37191,0.36463,0.07042
4,0.39172,94.56544,5,0.40631,0.33596,0.07145
4,0.39172,94.56544,6,0.39096,0.30486,0.06715
4,0.39172,94.56544,7,0.37518,0.27496,0.05906
4,0.39172,94.56544,8,0.36105,0.24826,0.05158
4,0.39172,94.56544,9,0.34902,0.22575,0.04958
4,0.39172,94.56544,10,0.33892,0.20612,0.04901
4,0.39172,94.56544,11,0.3302,0.18896,0.04768
4,0.39172,94.56544,12,0.32299,0.17478,0.04731
4,0.39172,94.56544,13,0.31734,0.16351,0.04754
4,0.39172,94.56544,14,0.31332,0.15488,0.04744
4,0.39172,94.56544,15,0.31105,0.14917,0.04807
4,0.39172,94.56544,16,0.31026,0.14637,0.04873
4,0.39172,94.56544,17,0.3102,0.14605,0.04925
4,0.39172,94.56544,18,0.31019,0.14602,0.04964
4,0.39172,94.56544,19,0.31019,0.146,0.04982
4,0.39172,94.56544,20,0.31019,0.146,0.04991
4,0.39172,94.56544,21,0.31019,0.14599,0.04995
4,0.39172,94.56544,22,0.31019,0.14599,0.04997
4,0.39172,94.56544,23,0.31019,0.14599,0.04998
4,0.39172,94.56544,24,0.31019,0.14599,0.04998
4,0.39172,94.56544,25,0.31019,0.14599,0.04998
4,0.39172,94.56544,26,0.31019,0.14599,0.04998
5,0.6014,99.76494,1,0.08196,0.21316,0.21343
5,0.6014,99.76494,2,0.22225,0.41535,0.04147
5,0.6014,99.76494,3,0.29932,0.38552,0.09388
5,0.6014,99.76494,4,0.37541,0.35545,0.1345
5,0.6014,99.76494,5,0.41201,0.33059,0.16443
5,0.6014,99.76494,6,0.38909,0.31402,0.18273
5,0.6014,99.76494,7,0.36623,0.29749,0.18721
5,0.6014,99.76494,8,0.34344,0.28101,0.17789
5,0.6014,99.76494,9,0.32071,0.26458,0.15481
5,0.6014,99.76494,10,0.29805,0.2482,0.11804
5,0.6014,99.76494,11,0.27631,0.22925,0.07866
5,0.6014,99.76494,12,0.25848,0.20097,0.06781
5,0.6014,99.76494,13,0.24477,0.17671,0.07489
5,0.6014,99.76494,14,0.23139,0.15383,0.07359
5,0.6014,99.76494,15,0.21886,0.13297,0.06805
5,0.6014,99.76494,16,0.20879,0.11566,0.0669
5,0.6014,99.76494,17,0.20031,0.10147,0.06594
5,0.6014,99.76494,18,0.19306,0.09017,0.06362
5,0.6014,99.76494,19,0.1865,0.08137,0.05784
5,0.6014,99.76494,20,0.18114,0.07486,0.04988
5,0.6014,99.76494,21,0.17945,0.07127,0.04961
5,0.6014,99.76494,22,0.17866,0.06877,0.04912
5,0.6014,99.76494,23,0.17876,0.06763,0.04903
5,0.6014,99.76494,24,0.17882,0.06766,0.04953
5,0.6014,99.76494,25,0.17886,0.06768,0.04977
5,0.6014,99.76494,26,0.17886,0.06767,0.04988
6,0.63143,99.02462,1,0.08196,0.21316,0.21343
6,0.63143,99.02462,2,0.22223,0.41498,0.04255
6,0.63143,99.02462,3,0.29908,0.38153,0.09668
6,0.63143,99.02462,4,0.37499,0.34804,0.13905
6,0.63143,99.02462,5,0.41615,0.32076,0.16266
6,0.63143,99.02462,6,0.38849,0.30562,0.16287
6,0.63143,99.02462,7,0.36092,0.29053,0.14931
6,0.63143,99.02462,8,0.33342,0.27548,0.12201
6,0.63143,99.02462,9,0.30602,0.26048,0.08103
6,0.63143,99.02462,10,0.29056,0.23735,0.08401
6,0.63143,99.02462,11,0.27656,0.21593,0.08196
6,0.63143,99.02462,12,0.26546,0.19788,0.08362
6,0.63143,99.02462,13,0.25626,0.18258,0.08468
6,0.63143,99.02462,14,0.24877,0.1704,0.08606
6,0.63143,99.02462,15,0.2421,0.16025,0.0865
6,0.63143,99.02462,16,0.23502,0.15003,0.08516
6,0.63143,99.02462,17,0.22682,0.13869,0.0814
6,0.63143,99.02462,18,0.21725,0.12574,0.07303
