particle,elasticity,weight,frame,x,y,z
1,0.41076,99.53316,1,-0.2681,-0.34053,0.11119
1,0.41076,99.53316,2,-0.37146,-0.33899,0.18041
1,0.41076,99.53316,3,-0.32384,-0.33774,0.2569
1,0.41076,99.53316,4,-0.27644,-0.33649,0.31926
1,0.41076,99.53316,5,-0.22926,-0.33525,0.36757
1,0.41076,99.53316,6,-0.18227,-0.33401,0.40192
1,0.41076,99.53316,7,-0.13544,-0.33278,0.42236
1,0.41076,99.53316,8,-0.08879,-0.33156,0.42896
1,0.41076,99.53316,9,-0.04229,-0.33033,0.42176
1,0.41076,99.53316,10,0.00405,-0.32911,0.40082
1,0.41076,99.53316,11,0.05022,-0.3279,0.36618
1,0.41076,99.53316,12,0.09621,-0.32669,0.3179
1,0.41076,99.53316,13,0.142,-0.32549,0.25607
1,0.41076,99.53316,14,0.18757,-0.32429,0.18076
1,0.41076,99.53316,15,0.23039,-0.3231,0.10214
1,0.41076,99.53316,16,0.25056,-0.32196,0.09999
1,0.41076,99.53316,17,0.26681,-0.32084,0.09998
1,0.41076,99.53316,18,0.28204,-0.31972,0.09998
1,0.41076,99.53316,19,0.29721,-0.3186,0.09998
1,0.41076,99.53316,20,0.31233,-0.31749,0.09999
1,0.41076,99.53316,21,0.32739,-0.31639,0.09999
1,0.41076,99.53316,22,0.3424,-0.31528,0.09998
1,0.41076,99.53316,23,0.35735,-0.31418,0.09998
1,0.41076,99.53316,24,0.37225,-0.31309,0.09998
1,0.41076,99.53316,25,0.3871,-0.312,0.09998
1,0.41076,99.53316,26,0.39001,-0.31121,0.09998
1,0.41076,99.53316,27,0.39001,-0.31051,0.09998
1,0.41076,99.53316,28,0.39,-0.30981,0.09998
1,0.41076,99.53316,29,0.39,-0.30912,0.09998
1,0.41076,99.53316,30,0.39,-0.30842,0.09998
1,0.41076,99.53316,31,0.39,-0.30773,0.09998
2,0.40119,98.80409,1,-0.26823,-0.34053,0.11064
2,0.40119,98.80409,2,-0.37212,-0.33899,0.17871
2,0.40119,98.80409,3,-0.32527,-0.33773,0.25416
2,0.40119,98.80409,4,-0.27866,-0.33648,0.31547
2,0.40119,98.80409,5,-0.23224,-0.33524,0.36275
2,0.40119,98.80409,6,-0.18601,-0.334,0.39607
2,0.40119,98.80409,7,-0.13995,-0.33277,0.41549
2,0.40119,98.80409,8,-0.09405,-0.33154,0.42107
2,0.40119,98.80409,9,-0.0483,-0.33032,0.41286
2,0.40119,98.80409,10,-0.0027,-0.3291,0.3909
2,0.40119,98.80409,11,0.04271,-0.32788,0.35525
2,0.40119,98.80409,12,0.08796,-0.32667,0.30597
2,0.40119,98.80409,13,0.13301,-0.32546,0.24313
2,0.40119,98.80409,14,0.17785,-0.32426,0.16684
2,0.40119,98.80409,15,0.2161,-0.32308,0.10255
2,0.40119,98.80409,16,0.23204,-0.32195,0.11345
2,0.40119,98.80409,17,0.24795,-0.32082,0.11055
2,0.40119,98.80409,18,0.26346,-0.3197,0.09999
2,0.40119,98.80409,19,0.27821,-0.31858,0.09999
2,0.40119,98.80409,20,0.29291,-0.31747,0.09999
2,0.40119,98.80409,21,0.30756,-0.31636,0.09998
2,0.40119,98.80409,22,0.32215,-0.31525,0.09999
2,0.40119,98.80409,23,0.33669,-0.31415,0.09998
2,0.40119,98.80409,24,0.35118,-0.31305,0.09998
2,0.40119,98.80409,25,0.36561,-0.31196,0.09998
2,0.40119,98.80409,26,0.38,-0.31087,0.09998
2,0.40119,98.80409,27,0.38993,-0.30992,0.10006
2,0.40119,98.80409,28,0.39001,-0.30922,0.09998
2,0.40119,98.80409,29,0.39001,-0.30852,0.09998
2,0.40119,98.80409,30,0.39,-0.30783,0.09998
2,0.40119,98.80409,31,0.39,-0.30714,0.09998
3,0.41335,99.19291,1,-0.26806,-0.34053,0.11134
3,0.41335,99.19291,2,-0.37129,-0.33899,0.18087
3,0.41335,99.19291,3,-0.32345,-0.33774,0.25765
3,0.41335,99.19291,4,-0.27585,-0.33649,0.32029
3,0.41335,99.19291,5,-0.22845,-0.33525,0.36888
3,0.41335,99.19291,6,-0.18125,-0.33402,0.4035
3,0.41335,99.19291,7,-0.13423,-0.33279,0.42422
3,0.41335,99.19291,8,-0.08737,-0.33156,0.43109
3,0.41335,99.19291,9,-0.04066,-0.33034,0.42417
3,0.41335,99.19291,10,0.00587,-0.32912,0.4035
3,0.41335,99.19291,11,0.05224,-0.32791,0.36913
3,0.41335,99.19291,12,0.09843,-0.3267,0.32112
3,0.41335,99.19291,13,0.14442,-0.32549,0.25956
3,0.41335,99.19291,14,0.19019,-0.3243,0.18452
3,0.41335,99.19291,15,0.23572,-0.3231,0.09612
3,0.41335,99.19291,16,0.2515,-0.32198,0.11255
