particle,elasticity,weight,frame,x,y,z
1,0.47248,31.76809,1,0.28568,0.38964,0.62596
1,0.47248,31.76809,2,0.35101,0.33607,0.60762
1,0.47248,31.76809,3,0.41601,0.28277,0.5756
1,0.47248,31.76809,4,0.39954,0.23908,0.54791
1,0.47248,31.76809,5,0.373,0.19673,0.5088
1,0.47248,31.76809,6,0.34657,0.15455,0.45608
1,0.47248,31.76809,7,0.32026,0.11257,0.38983
1,0.47248,31.76809,8,0.29409,0.0708,0.31015
1,0.47248,31.76809,9,0.26806,0.02926,0.21714
1,0.47248,31.76809,10,0.24218,-0.01203,0.11093
1,0.47248,31.76809,11,0.22613,-0.04727,0.05744
1,0.47248,31.76809,12,0.21769,-0.07147,0.07238
1,0.47248,31.76809,13,0.20967,-0.09483,0.077
1,0.47248,31.76809,14,0.20229,-0.11685,0.0735
1,0.47248,31.76809,15,0.19563,-0.13745,0.06239
1,0.47248,31.76809,16,0.18977,-0.15576,0.04923
1,0.47248,31.76809,17,0.1849,-0.16892,0.05062
1,0.47248,31.76809,18,0.17993,-0.18021,0.04905
1,0.47248,31.76809,19,0.17552,-0.18918,0.04852
1,0.47248,31.76809,20,0.17262,-0.19576,0.04869
1,0.47248,31.76809,21,0.17128,-0.19988,0.04908
1,0.47248,31.76809,22,0.17113,-0.20111,0.04948
1,0.47248,31.76809,23,0.17118,-0.2011,0.04975
1,0.47248,31.76809,24,0.17121,-0.20108,0.04987
1,0.47248,31.76809,25,0.17122,-0.20109,0.04993
1,0.47248,31.76809,26,0.17122,-0.2011,0.04996
1,0.47248,31.76809,27,0.17123,-0.2011,0.04997
1,0.47248,31.76809,28,0.17123,-0.2011,0.04998
1,0.47248,31.76809,29,0.17123,-0.2011,0.04998
1,0.47248,31.76809,30,0.17123,-0.2011,0.04998
1,0.47248,31.76809,31,0.17123,-0.2011,0.04998
1,0.47248,31.76809,32,0.17123,-0.2011,0.04998
1,0.47248,31.76809,33,0.17123,-0.2011,0.04998
2,0.76042,2.71689,1,0.29041,0.36025,0.62596
2,0.76042,2.71689,2,0.36096,0.27386,0.60763
2,0.76042,2.71689,3,0.41843,0.19014,0.57798
2,0.76042,2.71689,4,0.37464,0.12399,0.55324
2,0.76042,2.71689,5,0.33106,0.05817,0.51486
2,0.76042,2.71689,6,0.2877,-0.00731,0.46292
2,0.76042,2.71689,7,0.24458,-0.07245,0.39749
2,0.76042,2.71689,8,0.2017,-0.13721,0.31868
2,0.76042,2.71689,9,0.15909,-0.20159,0.22659
