particle,elasticity,weight,frame,x,y,z
1,0.13886,318.69772,1,0.30054,-0.40522,0.52052
1,0.13886,318.69772,2,0.39028,-0.4092,0.57351
1,0.13886,318.69772,3,0.40199,-0.30907,0.30474
1,0.13886,318.69772,4,0.24113,-0.22364,0.24489
1,0.13886,318.69772,5,0.21504,-0.31894,0.28292
1,0.13886,318.69772,6,0.06644,-0.21374,0.33548
1,0.13886,318.69772,7,-0.03883,-0.25291,0.31894
1,0.13886,318.69772,8,-0.16322,-0.41115,0.25819
1,0.13886,318.69772,9,-0.2464,-0.39103,0.09999
1,0.13886,318.69772,10,-0.25501,-0.39705,0.09441
1,0.13886,318.69772,11,-0.36205,-0.38761,0.12288
1,0.13886,318.69772,12,-0.35523,-0.31356,-0.02774
1,0.13886,318.69772,13,-0.02299,-0.26026,0.16745
1,0.13886,318.69772,14,0.00412,-0.36419,0.09373
1,0.13886,318.69772,15,0.05864,-0.26215,0.29906
1,0.13886,318.69772,16,0.17547,-0.38616,0.26374
1,0.13886,318.69772,17,0.30326,-0.4023,0.26112
1,0.13886,318.69772,18,0.40215,-0.3812,0.39766
1,0.13886,318.69772,19,0.39701,-0.23199,0.25983
1,0.13886,318.69772,20,0.28768,-0.23789,0.29906
1,0.13886,318.69772,21,0.38443,-0.24299,0.30284
1,0.13886,318.69772,22,0.3197,-0.21161,0.26096
1,0.13886,318.69772,23,0.20736,-0.35554,0.09843
1,0.13886,318.69772,24,0.37432,-0.23901,0.09999
1,0.13886,318.69772,25,0.17509,-0.05208,0.18206
1,0.13886,318.69772,26,0.16928,-0.166,0.08164
1,0.13886,318.69772,27,0.14047,-0.15862,0.05631
1,0.13886,318.69772,28,0.06205,-0.23365,0.22083
1,0.13886,318.69772,29,0.06172,-0.16774,0.30746
1,0.13886,318.69772,30,0.18095,-0.25988,0.1862
1,0.13886,318.69772,31,0.1441,-0.19731,0.16047
1,0.13886,318.69772,32,0.08129,-0.26076,0.10854
1,0.13886,318.69772,33,0.00016,-0.24583,0.26358
1,0.13886,318.69772,34,-0.11778,-0.22724,0.14861
1,0.13886,318.69772,35,-0.14771,-0.20905,0.18934
1,0.13886,318.69772,36,-0.17717,-0.28943,0.14989
1,0.13886,318.69772,37,-0.01746,-0.32938,0.07908
1,0.13886,318.69772,38,-0.098,-0.58497,0.21864
1,0.13886,318.69772,39,-0.21863,-0.63341,0.24117
1,0.13886,318.69772,40,-0.21593,-0.66555,0.23526
1,0.13886,318.69772,41,-0.24172,-0.41519,0.3388
1,0.13886,318.69772,42,-0.32632,-0.3382,0.26548
1,0.13886,318.69772,43,-0.31313,-0.37425,0.16662
1,0.13886,318.69772,44,-0.31725,-0.2104,0.07862
1,0.13886,318.69772,45,-0.22358,-0.34875,0.1196
1,0.13886,318.69772,46,-0.20456,-0.36124,0.12052
1,0.13886,318.69772,47,-0.34343,-0.21341,0.09078
1,0.13886,318.69772,48,-0.3355,-0.11703,0.16547
1,0.13886,318.69772,49,-0.3362,-0.40172,0.07989
1,0.13886,318.69772,50,-0.40982,-0.37473,0.08711
1,0.13886,318.69772,51,-0.32256,-0.354,0.07354
1,0.13886,318.69772,52,-0.20398,-0.33629,0.12803
1,0.13886,318.69772,53,-0.11192,-0.2503,0.08319
1,0.13886,318.69772,54,-0.03805,-0.30046,0.20503
1,0.13886,318.69772,55,-0.14981,-0.21704,0.16888
1,0.13886,318.69772,56,-0.11354,-0.1652,0.09522
1,0.13886,318.69772,57,-0.16602,-0.20726,0.0816
1,0.13886,318.69772,58,-0.07487,-0.24249,0.14051
1,0.13886,318.69772,59,-0.09378,-0.3754,0.07908
1,0.13886,318.69772,60,-0.07159,-0.36824,0.09889
1,0.13886,318.69772,61,-0.17426,-0.22833,0.08149
1,0.13886,318.69772,62,0.11123,-0.25507,0.07603
1,0.13886,318.69772,63,0.00962,-0.34449,0.14529
1,0.13886,318.69772,64,0.06913,-0.33142,0.1027
1,0.13886,318.69772,65,0.08203,-0.23694,0.06451
1,0.13886,318.69772,66,0.07066,-0.22382,0.10001
1,0.13886,318.69772,67,-0.04069,-0.24992,0.14065
1,0.13886,318.69772,68,0.02784,-0.20399,0.28237
1,0.13886,318.69772,69,-0.09654,-0.06006,0.16009
1,0.13886,318.69772,70,-0.03308,-0.20083,0.12697
1,0.13886,318.69772,71,-0.12523,-0.10463,0.21293
2,0.26825,318.26839,1,0.30038,-0.40455,0.52057
2,0.26825,318.26839,2,0.37974,-0.4092,0.5735
2,0.26825,318.26839,3,0.38626,-0.30908,0.30475
2,0.26825,318.26839,4,0.2255,-0.22366,0.24492
2,0.26825,318.26839,5,0.19952,-0.31897,0.28297
2,0.26825,318.26839,6,0.05102,-0.21378,0.33556
2,0.26825,318.26839,7,-0.05414,-0.25296,0.31904
2,0.26825,318.26839,8,-0.17811,-0.41115,0.25816
2,0.26825,318.26839,9,-0.25886,-0.39107,0.10147
2,0.26825,318.26839,10,-0.26542,-0.3972,0.09441
2,0.26825,318.26839,11,-0.37236,-0.38779,0.12288
2,0.26825,318.26839,12,-0.35591,-0.31632,-0.02857
2,0.26825,318.26839,13,-0.01198,-0.26616,0.1647
2,0.26825,318.26839,14,0.01496,-0.37003,0.09097
2,0.26825,318.26839,15,0.06931,-0.26793,0.29629
2,0.26825,318.26839,16,0.18552,-0.38991,0.26079
2,0.26825,318.26839,17,0.31227,-0.4023,0.25791
2,0.26825,318.26839,18,0.38888,-0.38203,0.38915
2,0.26825,318.26839,19,0.26945,-0.23665,0.22367
2,0.26825,318.26839,20,0.28486,-0.23732,0.29235
2,0.26825,318.26839,21,0.38162,-0.24243,0.29617
2,0.26825,318.26839,22,0.31691,-0.21106,0.25433
2,0.26825,318.26839,23,0.20483,-0.3555,0.10126
2,0.26825,318.26839,24,0.37348,-0.23883,0.11036
2,0.26825,318.26839,25,0.17414,-0.05069,0.16763
2,0.26825,318.26839,26,0.16842,-0.16469,0.08455
2,0.26825,318.26839,27,0.13963,-0.15733,0.05631
2,0.26825,318.26839,28,0.06121,-0.23236,0.22083
2,0.26825,318.26839,29,0.06089,-0.16646,0.30746
2,0.26825,318.26839,30,0.18012,-0.25861,0.1862
2,0.26825,318.26839,31,0.14328,-0.19604,0.16046
2,0.26825,318.26839,32,0.08046,-0.25949,0.10853
2,0.26825,318.26839,33,-0.00065,-0.24457,0.26357
2,0.26825,318.26839,34,-0.11859,-0.22598,0.1486
2,0.26825,318.26839,35,-0.14853,-0.20779,0.18933
2,0.26825,318.26839,36,-0.17798,-0.28818,0.14988
2,0.26825,318.26839,37,-0.01822,-0.32819,0.08187
2,0.26825,318.26839,38,-0.0986,-0.58614,0.22096
2,0.26825,318.26839,39,-0.21923,-0.63457,0.24347
2,0.26825,318.26839,40,-0.21652,-0.6667,0.23755
2,0.26825,318.26839,41,-0.24199,-0.41072,0.33983
2,0.26825,318.26839,42,-0.32659,-0.33376,0.2665
2,0.26825,318.26839,43,-0.3134,-0.36985,0.16765
2,0.26825,318.26839,44,-0.31762,-0.20756,0.0822
2,0.26825,318.26839,45,-0.22395,-0.34594,0.12316
2,0.26825,318.26839,46,-0.20492,-0.35845,0.12406
2,0.26825,318.26839,47,-0.34391,-0.20994,0.09086
2,0.26825,318.26839,48,-0.3359,-0.114,0.1654
2,0.26825,318.26839,49,-0.33654,-0.39911,0.08042
2,0.26825,318.26839,50,-0.40904,-0.37283,0.08726
2,0.26825,318.26839,51,-0.32175,-0.35209,0.07354
2,0.26825,318.26839,52,-0.20318,-0.33439,0.12803
2,0.26825,318.26839,53,-0.11112,-0.24841,0.08319
2,0.26825,318.26839,54,-0.03726,-0.29857,0.20503
2,0.26825,318.26839,55,-0.14903,-0.21517,0.16888
2,0.26825,318.26839,56,-0.11279,-0.16335,0.09535
2,0.26825,318.26839,57,-0.16565,-0.20545,0.0816
2,0.26825,318.26839,58,-0.07451,-0.24069,0.14051
2,0.26825,318.26839,59,-0.09344,-0.37366,0.07908
2,0.26825,318.26839,60,-0.07125,-0.3665,0.09889
2,0.26825,318.26839,61,-0.12908,-0.29975,0.30283
2,0.26825,318.26839,62,-0.10084,-0.16983,0.17577
2,0.26825,318.26839,63,-0.05512,-0.05263,0.14702
2,0.26825,318.26839,64,-0.16354,-0.01603,0.15776
2,0.26825,318.26839,65,-0.31136,-0.07688,0.07907
2,0.26825,318.26839,66,-0.11212,-0.12484,0.07466
2,0.26825,318.26839,67,-0.02476,-0.0741,0.08673
2,0.26825,318.26839,68,0.09798,-0.00995,0.06429
2,0.26825,318.26839,69,0.13119,-0.12007,0.06194
2,0.26825,318.26839,70,-0.03342,-0.11007,0.06519
2,0.26825,318.26839,71,0.0081,-0.13004,0.04842
3,0.37474,312.72861,1,0.30025,-0.404,0.52061
3,0.37474,312.72861,2,0.37107,-0.4092,0.5735
3,0.37474,312.72861,3,0.37333,-0.3091,0.30477
3,0.37474,312.72861,4,0.21266,-0.22368,0.24496
