particle,elasticity,weight,frame,x,y,z
1,0.8194,1746.68052,1,0.00824,0.0093,0.59002
1,0.8194,1746.68052,2,-0.10086,-0.02138,0.54696
1,0.8194,1746.68052,3,-0.11316,-0.05915,0.48527
1,0.8194,1746.68052,4,-0.16757,-0.07779,0.50714
1,0.8194,1746.68052,5,-0.24404,-0.03149,0.46918
1,0.8194,1746.68052,6,-0.31314,-0.1345,0.43241
1,0.8194,1746.68052,7,-0.37218,-0.10162,0.3931
1,0.8194,1746.68052,8,-0.4354,-0.13562,0.31565
1,0.8194,1746.68052,9,-0.44826,-0.15659,0.26006
1,0.8194,1746.68052,10,-0.31505,-0.17623,0.24083
1,0.8194,1746.68052,11,-0.20459,-0.15066,0.19824
1,0.8194,1746.68052,12,-0.08257,-0.16332,0.19923
1,0.8194,1746.68052,13,-0.16371,-0.19455,0.167
1,0.8194,1746.68052,14,0.04165,-0.16974,0.04131
1,0.8194,1746.68052,15,0.04878,-0.15952,0.06589
1,0.8194,1746.68052,16,0.10966,-0.27817,0.20537
1,0.8194,1746.68052,17,0.0589,-0.36808,0.34943
1,0.8194,1746.68052,18,0.04388,-0.30258,0.39901
1,0.8194,1746.68052,19,0.04832,-0.26158,0.36311
1,0.8194,1746.68052,20,0.02265,-0.19856,0.31548
1,0.8194,1746.68052,21,0.06631,-0.15151,0.34898
1,0.8194,1746.68052,22,0.09848,-0.13383,0.36695
1,0.8194,1746.68052,23,0.09816,-0.18392,0.36543
1,0.8194,1746.68052,24,0.09143,-0.15721,0.30264
1,0.8194,1746.68052,25,0.09046,-0.10824,0.2936
1,0.8194,1746.68052,26,0.06415,-0.16806,0.24489
1,0.8194,1746.68052,27,-0.01616,-0.23374,0.211
1,0.8194,1746.68052,28,-0.04075,-0.30714,0.16735
1,0.8194,1746.68052,29,-0.03847,-0.33527,0.09644
1,0.8194,1746.68052,30,-0.12929,-0.35428,0.10401
1,0.8194,1746.68052,31,-0.18151,-0.34778,0.22029
1,0.8194,1746.68052,32,-0.22441,-0.33738,0.26204
1,0.8194,1746.68052,33,-0.27932,-0.35351,0.28696
1,0.8194,1746.68052,34,-0.20943,-0.31751,0.32328
1,0.8194,1746.68052,35,-0.18316,-0.22566,0.34114
1,0.8194,1746.68052,36,-0.17552,-0.13189,0.40049
1,0.8194,1746.68052,37,-0.21132,-0.12852,0.43078
1,0.8194,1746.68052,38,-0.3001,-0.08309,0.39468
1,0.8194,1746.68052,39,-0.28304,-0.07827,0.39357
1,0.8194,1746.68052,40,-0.31669,-0.10265,0.26173
1,0.8194,1746.68052,41,-0.41056,-0.17579,0.26825
1,0.8194,1746.68052,42,-0.33222,-0.22729,0.23734
1,0.8194,1746.68052,43,-0.333,-0.16265,0.16987
1,0.8194,1746.68052,44,-0.27859,-0.19276,0.10495
1,0.8194,1746.68052,45,-0.33699,-0.17076,0.06999
1,0.8194,1746.68052,46,-0.36911,-0.20229,0.19511
1,0.8194,1746.68052,47,-0.36142,-0.20137,0.32154
1,0.8194,1746.68052,48,-0.31401,-0.21632,0.32231
1,0.8194,1746.68052,49,-0.36157,-0.24231,0.35126
1,0.8194,1746.68052,50,-0.36575,-0.14826,0.36173
1,0.8194,1746.68052,51,-0.36454,-0.14297,0.31562
1,0.8194,1746.68052,52,-0.33156,-0.13929,0.27925
1,0.8194,1746.68052,53,-0.36412,-0.12284,0.24797
1,0.8194,1746.68052,54,-0.317,-0.11568,0.24503
1,0.8194,1746.68052,55,-0.35048,-0.15881,0.19994
1,0.8194,1746.68052,56,-0.42808,-0.18758,0.21599
1,0.8194,1746.68052,57,-0.37934,-0.22189,0.1321
1,0.8194,1746.68052,58,-0.35405,-0.17375,0.12034
1,0.8194,1746.68052,59,-0.40755,-0.1716,0.07098
1,0.8194,1746.68052,60,-0.37505,-0.17934,0.18431
1,0.8194,1746.68052,61,-0.38357,-0.22816,0.25839
1,0.8194,1746.68052,62,-0.3676,-0.21516,0.2527
1,0.8194,1746.68052,63,-0.40724,-0.18258,0.21448
1,0.8194,1746.68052,64,-0.41687,-0.15902,0.20561
1,0.8194,1746.68052,65,-0.42128,-0.24086,0.19155
1,0.8194,1746.68052,66,-0.41031,-0.24094,0.16262
