particle,elasticity,weight,frame,x,y,z
1,0.00287,118.76219,1,0.27453,0.39109,0.89684
1,0.00287,118.76219,2,0.39,0.4033,0.90929
1,0.00287,118.76219,3,0.39,0.42063,0.82617
1,0.00287,118.76219,4,0.33115,0.38957,0.70826
1,0.00287,118.76219,5,0.30076,0.36146,0.60462
1,0.00287,118.76219,6,0.29551,0.35816,0.51337
1,0.00287,118.76219,7,0.28706,0.33119,0.46204
1,0.00287,118.76219,8,0.31636,0.3763,0.42604
1,0.00287,118.76219,9,0.3844,0.30099,0.17973
1,0.00287,118.76219,10,0.39681,0.25671,0.09999
1,0.00287,118.76219,11,0.40652,0.2856,0.12533
1,0.00287,118.76219,12,0.39989,0.24747,0.08694
1,0.00287,118.76219,13,0.37694,0.20121,0.08953
2,0.00287,118.76219,1,0.27453,0.39109,0.89684
2,0.00287,118.76219,2,0.39,0.4033,0.90929
2,0.00287,118.76219,3,0.39,0.42063,0.82617
2,0.00287,118.76219,4,0.33115,0.38957,0.70826
2,0.00287,118.76219,5,0.30076,0.36146,0.60462
2,0.00287,118.76219,6,0.29551,0.35816,0.51337
2,0.00287,118.76219,7,0.28706,0.33119,0.46204
2,0.00287,118.76219,8,0.31636,0.3763,0.42604
2,0.00287,118.76219,9,0.3844,0.30099,0.17973
2,0.00287,118.76219,10,0.39681,0.25671,0.09999
2,0.00287,118.76219,11,0.40652,0.2856,0.12533
2,0.00287,118.76219,12,0.39989,0.24747,0.08694
2,0.00287,118.76219,13,0.37694,0.20121,0.08953
3,0.0016,117.38971,1,0.27454,0.3911,0.89692
3,0.0016,117.38971,2,0.39,0.40331,0.90929
3,0.0016,117.38971,3,0.39,0.4206,0.82617
3,0.0016,117.38971,4,0.33115,0.38954,0.70826
3,0.0016,117.38971,5,0.30076,0.36143,0.60463
3,0.0016,117.38971,6,0.29551,0.35814,0.51337
3,0.0016,117.38971,7,0.28705,0.33116,0.46205
3,0.0016,117.38971,8,0.31635,0.37627,0.42604
3,0.0016,117.38971,9,0.3844,0.30096,0.17973
3,0.0016,117.38971,10,0.39681,0.25669,0.09999
3,0.0016,117.38971,11,0.40652,0.2856,0.12542
3,0.0016,117.38971,12,0.39989,0.24748,0.08694
3,0.0016,117.38971,13,0.37061,0.28737,0.06754
4,0.07015,115.35662,1,0.27426,0.39063,0.89257
4,0.07015,115.35662,2,0.38978,0.40325,0.90927
4,0.07015,115.35662,3,0.39001,0.42218,0.82616
4,0.07015,115.35662,4,0.33114,0.39113,0.70802
4,0.07015,115.35662,5,0.30075,0.36301,0.60439
4,0.07015,115.35662,6,0.29551,0.3597,0.51313
4,0.07015,115.35662,7,0.28705,0.33272,0.46181
4,0.07015,115.35662,8,0.31635,0.37781,0.4258
4,0.07015,115.35662,9,0.3844,0.30249,0.17949
4,0.07015,115.35662,10,0.39685,0.25757,0.10005
4,0.07015,115.35662,11,0.40652,0.28528,0.12042
4,0.07015,115.35662,12,0.39991,0.24708,0.08718
