particle,elasticity,weight,frame,x,y,z
1,0.06696,429.22527,1,-0.10139,-0.38951,0.10376
1,0.06696,429.22527,2,-0.25844,-0.38373,0.10013
1,0.06696,429.22527,3,-0.40004,-0.40521,0.08293
1,0.06696,429.22527,4,-0.38915,-0.27695,0.16933
1,0.06696,429.22527,5,-0.34943,-0.31268,0.22289
1,0.06696,429.22527,6,-0.39365,-0.32122,0.24258
1,0.06696,429.22527,7,-0.40375,-0.20547,0.24478
1,0.06696,429.22527,8,-0.33522,-0.17978,0.37318
1,0.06696,429.22527,9,-0.27945,-0.16737,0.39103
1,0.06696,429.22527,10,-0.1885,-0.06206,0.31664
1,0.06696,429.22527,11,-0.08291,-0.07137,0.228
1,0.06696,429.22527,12,-0.06874,-0.06013,0.31002
1,0.06696,429.22527,13,-0.02246,-0.04498,0.15682
1,0.06696,429.22527,14,0.0736,0.10581,0.12072
1,0.06696,429.22527,15,0.00807,0.13797,0.09998
1,0.06696,429.22527,16,0.14159,0.17077,0.16048
1,0.06696,429.22527,17,0.16879,0.25944,0.13505
1,0.06696,429.22527,18,0.17485,0.28438,0.0995
1,0.06696,429.22527,19,0.20827,0.30774,0.13165
1,0.06696,429.22527,20,0.23507,0.31575,0.11809
1,0.06696,429.22527,21,0.27766,0.3705,0.10073
1,0.06696,429.22527,22,0.24113,0.32195,0.09999
1,0.06696,429.22527,23,0.29009,0.3571,0.08988
1,0.06696,429.22527,24,0.35344,0.38995,0.15881
1,0.06696,429.22527,25,0.39235,0.37292,0.14475
1,0.06696,429.22527,26,0.37806,0.39978,0.10183
1,0.06696,429.22527,27,0.39127,0.3434,0.08179
1,0.06696,429.22527,28,0.34342,0.3829,0.0768
1,0.06696,429.22527,29,0.40643,0.39692,0.14063
1,0.06696,429.22527,30,0.41968,0.398,0.11677
1,0.06696,429.22527,31,0.38107,0.31097,0.0972
1,0.06696,429.22527,32,0.41841,0.31938,0.07963
1,0.06696,429.22527,33,0.32545,0.3018,0.11542
1,0.06696,429.22527,34,0.32411,0.29936,0.0826
1,0.06696,429.22527,35,0.35396,0.32826,0.08246
1,0.06696,429.22527,36,0.38922,0.29052,0.09413
1,0.06696,429.22527,37,0.34292,0.22458,0.08985
1,0.06696,429.22527,38,0.39957,0.22239,0.11479
1,0.06696,429.22527,39,0.29418,0.18458,0.12164
1,0.06696,429.22527,40,0.31921,0.16834,0.07593
1,0.06696,429.22527,41,0.27102,0.19537,0.12676
1,0.06696,429.22527,42,0.29229,0.11356,0.08029
1,0.06696,429.22527,43,0.2506,0.20031,0.09545
1,0.06696,429.22527,44,0.25443,0.20488,0.08317
1,0.06696,429.22527,45,0.33729,0.13617,0.07705
2,0.22265,429.09649,1,-0.10117,-0.38837,0.10393
2,0.22265,429.09649,2,-0.25525,-0.38307,0.11313
2,0.22265,429.09649,3,-0.40039,-0.40521,0.08293
2,0.22265,429.09649,4,-0.37627,-0.27716,0.16912
2,0.22265,429.09649,5,-0.33661,-0.31289,0.22267
2,0.22265,429.09649,6,-0.38088,-0.32145,0.24236
2,0.22265,429.09649,7,-0.40375,-0.2054,0.24139
2,0.22265,429.09649,8,-0.33522,-0.17972,0.3698
2,0.22265,429.09649,9,-0.27945,-0.16731,0.38766
2,0.22265,429.09649,10,-0.1885,-0.06201,0.31329
2,0.22265,429.09649,11,-0.08291,-0.07132,0.22467
2,0.22265,429.09649,12,-0.06875,-0.06008,0.30671
2,0.22265,429.09649,13,-0.02247,-0.04494,0.15354
2,0.22265,429.09649,14,0.07359,0.10585,0.11747
2,0.22265,429.09649,15,0.00651,0.13746,0.10427
2,0.22265,429.09649,16,0.13989,0.17028,0.15973
2,0.22265,429.09649,17,0.1671,0.25895,0.1343
2,0.22265,429.09649,18,0.17313,0.2838,0.1003
2,0.22265,429.09649,19,0.20656,0.30713,0.12808
2,0.22265,429.09649,20,0.23337,0.31515,0.11454
2,0.22265,429.09649,21,0.27594,0.36984,0.10052
2,0.22265,429.09649,22,0.23937,0.32113,0.10528
2,0.22265,429.09649,23,0.28847,0.35661,0.09106
2,0.22265,429.09649,24,0.35181,0.38979,0.15778
2,0.22265,429.09649,25,0.39108,0.37358,0.14342
2,0.22265,429.09649,26,0.37683,0.39978,0.10068
2,0.22265,429.09649,27,0.39114,0.34322,0.08341
2,0.22265,429.09649,28,0.34329,0.38272,0.0768
2,0.22265,429.09649,29,0.40643,0.39692,0.14079
2,0.22265,429.09649,30,0.41968,0.398,0.11671
2,0.22265,429.09649,31,0.38109,0.31097,0.0972
2,0.22265,429.09649,32,0.41841,0.31937,0.07963
2,0.22265,429.09649,33,0.32545,0.30179,0.11542
2,0.22265,429.09649,34,0.32411,0.29934,0.0826
2,0.22265,429.09649,35,0.35396,0.32825,0.08246
2,0.22265,429.09649,36,0.38922,0.2905,0.09413
2,0.22265,429.09649,37,0.34292,0.22457,0.08985
2,0.22265,429.09649,38,0.39957,0.22237,0.11479
2,0.22265,429.09649,39,0.29418,0.18456,0.12164
2,0.22265,429.09649,40,0.3192,0.16832,0.07757
2,0.22265,429.09649,41,0.271,0.19535,0.1284
2,0.22265,429.09649,42,0.29227,0.11355,0.08029
2,0.22265,429.09649,43,0.25059,0.20029,0.09545
2,0.22265,429.09649,44,0.22896,0.18326,0.08124
2,0.22265,429.09649,45,0.1697,0.1638,0.09943
3,0.24308,427.67462,1,-0.10114,-0.38822,0.10396
3,0.24308,427.67462,2,-0.25483,-0.38299,0.11484
3,0.24308,427.67462,3,-0.40043,-0.40521,0.08293
3,0.24308,427.67462,4,-0.37458,-0.27719,0.16909
3,0.24308,427.67462,5,-0.33492,-0.31293,0.22264
3,0.24308,427.67462,6,-0.3792,-0.32148,0.24233
3,0.24308,427.67462,7,-0.40375,-0.2054,0.24095
3,0.24308,427.67462,8,-0.33522,-0.17972,0.36936
3,0.24308,427.67462,9,-0.27945,-0.1673,0.38722
3,0.24308,427.67462,10,-0.1885,-0.06201,0.31286
3,0.24308,427.67462,11,-0.08291,-0.07132,0.22423
3,0.24308,427.67462,12,-0.06875,-0.06008,0.30628
3,0.24308,427.67462,13,-0.02248,-0.04494,0.15311
3,0.24308,427.67462,14,0.07358,0.10585,0.11704
3,0.24308,427.67462,15,0.00631,0.13737,0.10559
3,0.24308,427.67462,16,0.13966,0.17018,0.16126
3,0.24308,427.67462,17,0.16687,0.25885,0.13582
3,0.24308,427.67462,18,0.17293,0.28378,0.10052
3,0.24308,427.67462,19,0.20634,0.30704,0.13468
3,0.24308,427.67462,20,0.23314,0.31506,0.12112
3,0.24308,427.67462,21,0.27574,0.36981,0.10374
3,0.24308,427.67462,22,0.23924,0.32128,0.09998
3,0.24308,427.67462,23,0.28824,0.35646,0.08988
3,0.24308,427.67462,24,0.35162,0.38976,0.15868
3,0.24308,427.67462,25,0.39092,0.37353,0.1441
3,0.24308,427.67462,26,0.37667,0.39978,0.10134
3,0.24308,427.67462,27,0.39108,0.34326,0.08354
3,0.24308,427.67462,28,0.34323,0.38275,0.0768
3,0.24308,427.67462,29,0.40643,0.39692,0.14085
3,0.24308,427.67462,30,0.41968,0.398,0.11667
3,0.24308,427.67462,31,0.3811,0.31097,0.0972
3,0.24308,427.67462,32,0.41841,0.31939,0.07963
3,0.24308,427.67462,33,0.32545,0.3018,0.11542
3,0.24308,427.67462,34,0.32411,0.29936,0.0826
3,0.24308,427.67462,35,0.35396,0.32827,0.08246
3,0.24308,427.67462,36,0.38922,0.29052,0.09413
3,0.24308,427.67462,37,0.34292,0.22459,0.08985
3,0.24308,427.67462,38,0.39957,0.22239,0.11479
3,0.24308,427.67462,39,0.29418,0.18459,0.12164
3,0.24308,427.67462,40,0.31919,0.16834,0.07779
3,0.24308,427.67462,41,0.27099,0.19537,0.12861
3,0.24308,427.67462,42,0.29226,0.11357,0.08029
3,0.24308,427.67462,43,0.25057,0.20032,0.09545
3,0.24308,427.67462,44,0.22894,0.18328,0.08124
3,0.24308,427.67462,45,0.18046,0.17679,0.15869
4,0.32655,428.87986,1,-0.10102,-0.3876,0.10405
4,0.32655,428.87986,2,-0.25224,-0.37821,0.12173
4,0.32655,428.87986,3,-0.40075,-0.40521,0.08293
4,0.32655,428.87986,4,-0.36763,-0.27745,0.16897
4,0.32655,428.87986,5,-0.32801,-0.31319,0.22251
4,0.32655,428.87986,6,-0.37232,-0.32175,0.2422
4,0.32655,428.87986,7,-0.4004,-0.2056,0.23995
4,0.32655,428.87986,8,-0.33188,-0.17992,0.36836
4,0.32655,428.87986,9,-0.27613,-0.16751,0.38623
4,0.32655,428.87986,10,-0.1852,-0.06222,0.31187
4,0.32655,428.87986,11,-0.07963,-0.07153,0.22326
4,0.32655,428.87986,12,-0.06548,-0.06029,0.30532
4,0.32655,428.87986,13,-0.01923,-0.04515,0.15216
4,0.32655,428.87986,14,0.07681,0.10563,0.1161
4,0.32655,428.87986,15,0.00831,0.13749,0.11033
4,0.32655,428.87986,16,0.1415,0.17034,0.1667
4,0.32655,428.87986,17,0.1687,0.25902,0.14124
4,0.32655,428.87986,18,0.1748,0.28403,0.10088
4,0.32655,428.87986,19,0.20841,0.30782,0.10087
4,0.32655,428.87986,20,0.23484,0.31502,0.13573
4,0.32655,428.87986,21,0.27744,0.36979,0.1183
4,0.32655,428.87986,22,0.24103,0.3215,0.10063
4,0.32655,428.87986,23,0.28996,0.35661,0.08988
4,0.32655,428.87986,24,0.35325,0.38976,0.15875
4,0.32655,428.87986,25,0.39001,0.3739,0.14454
4,0.32655,428.87986,26,0.37591,0.39978,0.10179
4,0.32655,428.87986,27,0.39071,0.34329,0.08428
4,0.32655,428.87986,28,0.34286,0.38278,0.0768
4,0.32655,428.87986,29,0.40643,0.39692,0.14094
4,0.32655,428.87986,30,0.41968,0.398,0.11655
4,0.32655,428.87986,31,0.38113,0.31098,0.0972
4,0.32655,428.87986,32,0.41841,0.3194,0.07963
4,0.32655,428.87986,33,0.32545,0.30182,0.11542
4,0.32655,428.87986,34,0.32411,0.29938,0.0826
4,0.32655,428.87986,35,0.35396,0.32829,0.08246
4,0.32655,428.87986,36,0.38922,0.29054,0.09413
4,0.32655,428.87986,37,0.34292,0.22462,0.08985
4,0.32655,428.87986,38,0.39957,0.22242,0.11479
4,0.32655,428.87986,39,0.29418,0.18462,0.12164
4,0.32655,428.87986,40,0.31915,0.16837,0.07867
4,0.32655,428.87986,41,0.27095,0.1954,0.12949
4,0.32655,428.87986,42,0.29222,0.11359,0.08029
4,0.32655,428.87986,43,0.25054,0.20034,0.09545
4,0.32655,428.87986,44,0.22891,0.18331,0.08124
4,0.32655,428.87986,45,0.17019,0.1614,0.07704
5,0.06696,429.22527,1,-0.10139,-0.38951,0.10376
5,0.06696,429.22527,2,-0.25844,-0.38373,0.10013
5,0.06696,429.22527,3,-0.40004,-0.40521,0.08293
5,0.06696,429.22527,4,-0.38915,-0.27695,0.16933
5,0.06696,429.22527,5,-0.34943,-0.31268,0.22289
5,0.06696,429.22527,6,-0.39365,-0.32122,0.24258
5,0.06696,429.22527,7,-0.40375,-0.20547,0.24478
5,0.06696,429.22527,8,-0.33522,-0.17978,0.37318
5,0.06696,429.22527,9,-0.27945,-0.16737,0.39103
5,0.06696,429.22527,10,-0.1885,-0.06206,0.31664
5,0.06696,429.22527,11,-0.08291,-0.07137,0.228
5,0.06696,429.22527,12,-0.06874,-0.06013,0.31002
5,0.06696,429.22527,13,-0.02246,-0.04498,0.15682
5,0.06696,429.22527,14,0.0736,0.10581,0.12072
5,0.06696,429.22527,15,0.00807,0.13797,0.09998
5,0.06696,429.22527,16,0.14159,0.17077,0.16048
5,0.06696,429.22527,17,0.16879,0.25944,0.13505
5,0.06696,429.22527,18,0.17485,0.28438,0.0995
5,0.06696,429.22527,19,0.20827,0.30774,0.13165
5,0.06696,429.22527,20,0.23507,0.31575,0.11809
5,0.06696,429.22527,21,0.27766,0.3705,0.10073
5,0.06696,429.22527,22,0.24113,0.32195,0.09999
5,0.06696,429.22527,23,0.29009,0.3571,0.08988
5,0.06696,429.22527,24,0.35344,0.38995,0.15881
5,0.06696,429.22527,25,0.39235,0.37292,0.14475
5,0.06696,429.22527,26,0.37806,0.39978,0.10183
5,0.06696,429.22527,27,0.39127,0.3434,0.08179
5,0.06696,429.22527,28,0.34342,0.3829,0.0768
5,0.06696,429.22527,29,0.40643,0.39692,0.14063
5,0.06696,429.22527,30,0.41968,0.398,0.11677
5,0.06696,429.22527,31,0.38107,0.31097,0.0972
5,0.06696,429.22527,32,0.41841,0.31938,0.07963
5,0.06696,429.22527,33,0.32545,0.3018,0.11542
5,0.06696,429.22527,34,0.32411,0.29936,0.0826
5,0.06696,429.22527,35,0.35396,0.32826,0.08246
5,0.06696,429.22527,36,0.38922,0.29052,0.09413
5,0.06696,429.22527,37,0.34292,0.22458,0.08985
5,0.06696,429.22527,38,0.39957,0.22239,0.11479
5,0.06696,429.22527,39,0.29418,0.18458,0.12164
5,0.06696,429.22527,40,0.31921,0.16834,0.07593
5,0.06696,429.22527,41,0.27102,0.19537,0.12676
5,0.06696,429.22527,42,0.29229,0.11356,0.08029
5,0.06696,429.22527,43,0.2506,0.20031,0.09545
5,0.06696,429.22527,44,0.25443,0.20488,0.08317
5,0.06696,429.22527,45,0.33729,0.13617,0.07705
6,0.06696,429.22527,1,-0.10139,-0.38951,0.10376
6,0.06696,429.22527,2,-0.25844,-0.38373,0.10013
6,0.06696,429.22527,3,-0.40004,-0.40521,0.08293
6,0.06696,429.22527,4,-0.38915,-0.27695,0.16933
6,0.06696,429.22527,5,-0.34943,-0.31268,0.22289
6,0.06696,429.22527,6,-0.39365,-0.32122,0.24258
6,0.06696,429.22527,7,-0.40375,-0.20547,0.24478
6,0.06696,429.22527,8,-0.33522,-0.17978,0.37318
6,0.06696,429.22527,9,-0.27945,-0.16737,0.39103
6,0.06696,429.22527,10,-0.1885,-0.06206,0.31664
6,0.06696,429.22527,11,-0.08291,-0.07137,0.228
6,0.06696,429.22527,12,-0.06874,-0.06013,0.31002
6,0.06696,429.22527,13,-0.02246,-0.04498,0.15682
6,0.06696,429.22527,14,0.0736,0.10581,0.12072
6,0.06696,429.22527,15,0.00807,0.13797,0.09998
6,0.06696,429.22527,16,0.14159,0.17077,0.16048
6,0.06696,429.22527,17,0.16879,0.25944,0.13505
6,0.06696,429.22527,18,0.17485,0.28438,0.0995
6,0.06696,429.22527,19,0.20827,0.30774,0.13165
6,0.06696,429.22527,20,0.23507,0.31575,0.11809
6,0.06696,429.22527,21,0.27766,0.3705,0.10073
6,0.06696,429.22527,22,0.24113,0.32195,0.09999
6,0.06696,429.22527,23,0.29009,0.3571,0.08988
6,0.06696,429.22527,24,0.35344,0.38995,0.15881
6,0.06696,429.22527,25,0.39235,0.37292,0.14475
6,0.06696,429.22527,26,0.37806,0.39978,0.10183
6,0.06696,429.22527,27,0.39127,0.3434,0.08179
6,0.06696,429.22527,28,0.34342,0.3829,0.0768
6,0.06696,429.22527,29,0.40643,0.39692,0.14063
6,0.06696,429.22527,30,0.41968,0.398,0.11677
6,0.06696,429.22527,31,0.38107,0.31097,0.0972
6,0.06696,429.22527,32,0.41841,0.31938,0.07963
6,0.06696,429.22527,33,0.32545,0.3018,0.11542
6,0.06696,429.22527,34,0.32411,0.29936,0.0826
6,0.06696,429.22527,35,0.35396,0.32826,0.08246
6,0.06696,429.22527,36,0.38922,0.29052,0.09413
6,0.06696,429.22527,37,0.34292,0.22458,0.08985
6,0.06696,429.22527,38,0.39957,0.22239,0.11479
6,0.06696,429.22527,39,0.29418,0.18458,0.12164
6,0.06696,429.22527,40,0.31921,0.16834,0.07593
6,0.06696,429.22527,41,0.27102,0.19537,0.12676
6,0.06696,429.22527,42,0.29229,0.11356,0.08029
6,0.06696,429.22527,43,0.2506,0.20031,0.09545
6,0.06696,429.22527,44,0.25443,0.20488,0.08317
6,0.06696,429.22527,45,0.33729,0.13617,0.07705
7,0.06696,429.22527,1,-0.10139,-0.38951,0.10376
7,0.06696,429.22527,2,-0.25844,-0.38373,0.10013
7,0.06696,429.22527,3,-0.40004,-0.40521,0.08293
7,0.06696,429.22527,4,-0.38915,-0.27695,0.16933
7,0.06696,429.22527,5,-0.34943,-0.31268,0.22289
7,0.06696,429.22527,6,-0.39365,-0.32122,0.24258
7,0.06696,429.22527,7,-0.40375,-0.20547,0.24478
7,0.06696,429.22527,8,-0.33522,-0.17978,0.37318
