particle,elasticity,weight,frame,x,y,z
1,0.0562,284.5933,1,-0.38935,0.1395,0.21317
1,0.0562,284.5933,2,-0.38999,0.0386,0.16145
1,0.0562,284.5933,3,-0.41432,-0.13393,0.12457
1,0.0562,284.5933,4,-0.32415,-0.13151,0.09946
1,0.0562,284.5933,5,-0.21501,-0.1582,0.06493
1,0.0562,284.5933,6,-0.06875,-0.27927,0.23702
1,0.0562,284.5933,7,-0.00868,-0.31894,0.21981
1,0.0562,284.5933,8,0.07736,-0.35071,0.22047
1,0.0562,284.5933,9,0.15219,-0.38082,0.26784
1,0.0562,284.5933,10,0.20741,-0.40601,0.32008
1,0.0562,284.5933,11,0.35724,-0.35956,0.34758
1,0.0562,284.5933,12,0.39021,-0.28933,0.28645
1,0.0562,284.5933,13,0.33663,-0.26855,0.31409
1,0.0562,284.5933,14,0.34819,-0.18979,0.22475
1,0.0562,284.5933,15,0.36679,-0.12769,0.20739
1,0.0562,284.5933,16,0.32517,-0.14678,0.16856
1,0.0562,284.5933,17,0.26788,-0.05123,0.1161
1,0.0562,284.5933,18,0.21766,-0.01527,0.09476
1,0.0562,284.5933,19,0.26788,0.03593,0.08086
1,0.0562,284.5933,20,0.18395,0.10082,0.08782
1,0.0562,284.5933,21,0.14373,0.08102,0.07716
1,0.0562,284.5933,22,0.05698,0.05026,0.13026
1,0.0562,284.5933,23,0.00532,0.05661,0.08367
1,0.0562,284.5933,24,-0.01264,0.11371,0.10808
1,0.0562,284.5933,25,-0.03364,0.14568,0.10003
1,0.0562,284.5933,26,-0.1116,0.21968,0.05909
1,0.0562,284.5933,27,-0.21207,0.24669,0.17877
1,0.0562,284.5933,28,-0.23469,0.23329,0.19592
1,0.0562,284.5933,29,-0.28633,0.25823,0.12419
1,0.0562,284.5933,30,-0.25452,0.35697,0.11997
2,0.37096,285.35759,1,-0.38565,0.14027,0.21367
2,0.37096,285.35759,2,-0.36308,0.04433,0.16494
2,0.37096,285.35759,3,-0.41432,-0.13357,0.1248
2,0.37096,285.35759,4,-0.32338,-0.12779,0.11347
2,0.37096,285.35759,5,-0.21505,-0.15779,0.06494
2,0.37096,285.35759,6,-0.06879,-0.27887,0.23702
2,0.37096,285.35759,7,-0.00871,-0.31854,0.21981
2,0.37096,285.35759,8,0.07732,-0.35032,0.22047
2,0.37096,285.35759,9,0.15216,-0.38043,0.26784
2,0.37096,285.35759,10,0.2073,-0.39231,0.32001
2,0.37096,285.35759,11,0.35711,-0.34595,0.3475
2,0.37096,285.35759,12,0.38156,-0.27882,0.2864
2,0.37096,285.35759,13,0.32559,-0.25897,0.31404
2,0.37096,285.35759,14,0.3372,-0.18028,0.2247
2,0.37096,285.35759,15,0.35585,-0.11824,0.20737
2,0.37096,285.35759,16,0.31429,-0.13739,0.16855
2,0.37096,285.35759,17,0.25705,-0.04191,0.11611
2,0.37096,285.35759,18,0.20987,-0.00832,0.1039
2,0.37096,285.35759,19,0.26022,0.04254,0.08086
2,0.37096,285.35759,20,0.17634,0.10738,0.08782
2,0.37096,285.35759,21,0.13623,0.08742,0.07716
2,0.37096,285.35759,22,0.0495,0.05663,0.13025
2,0.37096,285.35759,23,-0.00203,0.06281,0.08367
2,0.37096,285.35759,24,-0.01997,0.11988,0.10808
2,0.37096,285.35759,25,-0.04094,0.15181,0.10027
2,0.37096,285.35759,26,-0.11875,0.22561,0.06054
2,0.37096,285.35759,27,-0.21917,0.25258,0.18021
2,0.37096,285.35759,28,-0.1987,0.33331,0.15725
2,0.37096,285.35759,29,-0.25047,0.33802,0.19867
2,0.37096,285.35759,30,-0.33418,0.38,0.13683
3,0.26302,283.58397,1,-0.38692,0.14001,0.2135
3,0.26302,283.58397,2,-0.37442,0.04197,0.1634
3,0.26302,283.58397,3,-0.41432,-0.13373,0.1247
3,0.26302,283.58397,4,-0.32367,-0.12935,0.10763
3,0.26302,283.58397,5,-0.21503,-0.15797,0.06494
3,0.26302,283.58397,6,-0.06877,-0.27904,0.23702
3,0.26302,283.58397,7,-0.00869,-0.31871,0.21981
3,0.26302,283.58397,8,0.07735,-0.35049,0.22047
3,0.26302,283.58397,9,0.15218,-0.3806,0.26784
3,0.26302,283.58397,10,0.20735,-0.39699,0.32004
3,0.26302,283.58397,11,0.35716,-0.35059,0.34754
3,0.26302,283.58397,12,0.38452,-0.28241,0.28642
3,0.26302,283.58397,13,0.32936,-0.26224,0.31406
3,0.26302,283.58397,14,0.34096,-0.18352,0.22472
3,0.26302,283.58397,15,0.35959,-0.12146,0.20738
3,0.26302,283.58397,16,0.31801,-0.14059,0.16856
3,0.26302,283.58397,17,0.26075,-0.04508,0.11611
3,0.26302,283.58397,18,0.21255,-0.01073,0.10003
3,0.26302,283.58397,19,0.26284,0.04029,0.08086
3,0.26302,283.58397,20,0.17894,0.10515,0.08782
3,0.26302,283.58397,21,0.13879,0.08525,0.07716
3,0.26302,283.58397,22,0.05205,0.05447,0.13026
3,0.26302,283.58397,23,0.00047,0.06071,0.08367
3,0.26302,283.58397,24,-0.01748,0.11779,0.10808
3,0.26302,283.58397,25,-0.03845,0.14974,0.10019
3,0.26302,283.58397,26,-0.11632,0.2236,0.06012
3,0.26302,283.58397,27,-0.21676,0.25059,0.17979
3,0.26302,283.58397,28,-0.1963,0.33133,0.15684
3,0.26302,283.58397,29,-0.28311,0.38572,0.16454
3,0.26302,283.58397,30,-0.32634,0.31079,0.17352
4,0.37096,285.35759,1,-0.38565,0.14027,0.21367
4,0.37096,285.35759,2,-0.36308,0.04433,0.16494
4,0.37096,285.35759,3,-0.41432,-0.13357,0.1248
4,0.37096,285.35759,4,-0.32338,-0.12779,0.11347
4,0.37096,285.35759,5,-0.21505,-0.15779,0.06494
4,0.37096,285.35759,6,-0.06879,-0.27887,0.23702
4,0.37096,285.35759,7,-0.00871,-0.31854,0.21981
4,0.37096,285.35759,8,0.07732,-0.35032,0.22047
4,0.37096,285.35759,9,0.15216,-0.38043,0.26784
4,0.37096,285.35759,10,0.2073,-0.39231,0.32001
4,0.37096,285.35759,11,0.35711,-0.34595,0.3475
4,0.37096,285.35759,12,0.38156,-0.27882,0.2864
4,0.37096,285.35759,13,0.32559,-0.25897,0.31404
4,0.37096,285.35759,14,0.3372,-0.18028,0.2247
4,0.37096,285.35759,15,0.35585,-0.11824,0.20737
4,0.37096,285.35759,16,0.31429,-0.13739,0.16855
4,0.37096,285.35759,17,0.25705,-0.04191,0.11611
4,0.37096,285.35759,18,0.20987,-0.00832,0.1039
4,0.37096,285.35759,19,0.26022,0.04254,0.08086
4,0.37096,285.35759,20,0.17634,0.10738,0.08782
4,0.37096,285.35759,21,0.13623,0.08742,0.07716
4,0.37096,285.35759,22,0.0495,0.05663,0.13025
4,0.37096,285.35759,23,-0.00203,0.06281,0.08367
4,0.37096,285.35759,24,-0.01997,0.11988,0.10808
4,0.37096,285.35759,25,-0.04094,0.15181,0.10027
4,0.37096,285.35759,26,-0.11875,0.22561,0.06054
4,0.37096,285.35759,27,-0.21917,0.25258,0.18021
4,0.37096,285.35759,28,-0.1987,0.33331,0.15725
4,0.37096,285.35759,29,-0.25047,0.33802,0.19867
4,0.37096,285.35759,30,-0.33418,0.38,0.13683
5,0.37096,285.35759,1,-0.38565,0.14027,0.21367
5,0.37096,285.35759,2,-0.36308,0.04433,0.16494
5,0.37096,285.35759,3,-0.41432,-0.13357,0.1248
5,0.37096,285.35759,4,-0.32338,-0.12779,0.11347
5,0.37096,285.35759,5,-0.21505,-0.15779,0.06494
5,0.37096,285.35759,6,-0.06879,-0.27887,0.23702
5,0.37096,285.35759,7,-0.00871,-0.31854,0.21981
5,0.37096,285.35759,8,0.07732,-0.35032,0.22047
5,0.37096,285.35759,9,0.15216,-0.38043,0.26784
5,0.37096,285.35759,10,0.2073,-0.39231,0.32001
5,0.37096,285.35759,11,0.35711,-0.34595,0.3475
5,0.37096,285.35759,12,0.38156,-0.27882,0.2864
5,0.37096,285.35759,13,0.32559,-0.25897,0.31404
5,0.37096,285.35759,14,0.3372,-0.18028,0.2247
5,0.37096,285.35759,15,0.35585,-0.11824,0.20737
5,0.37096,285.35759,16,0.31429,-0.13739,0.16855
5,0.37096,285.35759,17,0.25705,-0.04191,0.11611
5,0.37096,285.35759,18,0.20987,-0.00832,0.1039
5,0.37096,285.35759,19,0.26022,0.04254,0.08086
5,0.37096,285.35759,20,0.17634,0.10738,0.08782
5,0.37096,285.35759,21,0.13623,0.08742,0.07716
5,0.37096,285.35759,22,0.0495,0.05663,0.13025
5,0.37096,285.35759,23,-0.00203,0.06281,0.08367
5,0.37096,285.35759,24,-0.01997,0.11988,0.10808
5,0.37096,285.35759,25,-0.04094,0.15181,0.10027
5,0.37096,285.35759,26,-0.11875,0.22561,0.06054
5,0.37096,285.35759,27,-0.21917,0.25258,0.18021
5,0.37096,285.35759,28,-0.1987,0.33331,0.15725
5,0.37096,285.35759,29,-0.25047,0.33802,0.19867
5,0.37096,285.35759,30,-0.33418,0.38,0.13683
6,0.26302,283.58397,1,-0.38692,0.14001,0.2135
6,0.26302,283.58397,2,-0.37442,0.04197,0.1634
6,0.26302,283.58397,3,-0.41432,-0.13373,0.1247
6,0.26302,283.58397,4,-0.32367,-0.12935,0.10763
6,0.26302,283.58397,5,-0.21503,-0.15797,0.06494
6,0.26302,283.58397,6,-0.06877,-0.27904,0.23702
6,0.26302,283.58397,7,-0.00869,-0.31871,0.21981
6,0.26302,283.58397,8,0.07735,-0.35049,0.22047
6,0.26302,283.58397,9,0.15218,-0.3806,0.26784
6,0.26302,283.58397,10,0.20735,-0.39699,0.32004
6,0.26302,283.58397,11,0.35716,-0.35059,0.34754
6,0.26302,283.58397,12,0.38452,-0.28241,0.28642
6,0.26302,283.58397,13,0.32936,-0.26224,0.31406
6,0.26302,283.58397,14,0.34096,-0.18352,0.22472
6,0.26302,283.58397,15,0.35959,-0.12146,0.20738
6,0.26302,283.58397,16,0.31801,-0.14059,0.16856
6,0.26302,283.58397,17,0.26075,-0.04508,0.11611
6,0.26302,283.58397,18,0.21255,-0.01073,0.10003
6,0.26302,283.58397,19,0.26284,0.04029,0.08086
6,0.26302,283.58397,20,0.17894,0.10515,0.08782
6,0.26302,283.58397,21,0.13879,0.08525,0.07716
6,0.26302,283.58397,22,0.05205,0.05447,0.13026
6,0.26302,283.58397,23,0.00047,0.06071,0.08367
6,0.26302,283.58397,24,-0.01748,0.11779,0.10808
6,0.26302,283.58397,25,-0.03845,0.14974,0.10019
6,0.26302,283.58397,26,-0.11632,0.2236,0.06012
6,0.26302,283.58397,27,-0.21676,0.25059,0.17979
