particle,elasticity,weight,frame,x,y,z
1,0.67297,325.72775,1,0.2812,0.20851,0.37326
1,0.67297,325.72775,2,0.19925,0.359,0.45328
1,0.67297,325.72775,3,0.11463,0.28753,0.43286
1,0.67297,325.72775,4,0.0487,0.32049,0.45808
1,0.67297,325.72775,5,0.10362,0.16429,0.44005
1,0.67297,325.72775,6,0.04251,0.091,0.40079
1,0.67297,325.72775,7,0.06964,-0.06965,0.32852
1,0.67297,325.72775,8,-0.00628,-0.18374,0.24258
1,0.67297,325.72775,9,0.03697,-0.31488,0.16753
1,0.67297,325.72775,10,0.01674,-0.37628,0.13777
1,0.67297,325.72775,11,0.01689,-0.39301,0.129
1,0.67297,325.72775,12,0.06274,-0.27436,0.11724
1,0.67297,325.72775,13,0.03314,-0.21984,0.11674
1,0.67297,325.72775,14,0.02949,-0.08228,0.16912
1,0.67297,325.72775,15,0.06052,-0.0131,0.10358
1,0.67297,325.72775,16,0.06747,0.07248,0.09853
1,0.67297,325.72775,17,0.09163,0.166,0.08684
1,0.67297,325.72775,18,0.07113,0.15995,0.09451
1,0.67297,325.72775,19,0.12593,0.28494,0.10046
1,0.67297,325.72775,20,0.05925,0.30593,0.09532
1,0.67297,325.72775,21,0.10997,0.34946,0.09464
1,0.67297,325.72775,22,0.20092,0.38294,0.07978
1,0.67297,325.72775,23,0.19744,0.39959,0.13754
1,0.67297,325.72775,24,0.18165,0.34775,0.07989
1,0.67297,325.72775,25,0.17081,0.41144,0.1582
1,0.67297,325.72775,26,0.1611,0.37819,0.1028
1,0.67297,325.72775,27,0.1686,0.251,0.12407
1,0.67297,325.72775,28,0.09878,0.31836,0.09902
1,0.67297,325.72775,29,0.15246,0.27687,0.07032
1,0.67297,325.72775,30,0.25159,0.28458,0.07134
1,0.67297,325.72775,31,0.14138,0.31617,0.11907
1,0.67297,325.72775,32,0.12776,0.33913,0.08178
1,0.67297,325.72775,33,0.12688,0.31451,0.07385
1,0.67297,325.72775,34,0.10868,0.31632,0.08349
2,0.66979,324.73842,1,0.2812,0.20851,0.37326
2,0.66979,324.73842,2,0.19925,0.35917,0.45328
2,0.66979,324.73842,3,0.11462,0.28803,0.43286
2,0.66979,324.73842,4,0.0487,0.32098,0.45808
2,0.66979,324.73842,5,0.10361,0.16478,0.44005
2,0.66979,324.73842,6,0.04251,0.09148,0.40079
2,0.66979,324.73842,7,0.06964,-0.06916,0.32852
2,0.66979,324.73842,8,-0.00629,-0.18327,0.24258
2,0.66979,324.73842,9,0.03696,-0.31441,0.16753
2,0.66979,324.73842,10,0.01674,-0.37624,0.13776
2,0.66979,324.73842,11,0.01689,-0.39352,0.129
2,0.66979,324.73842,12,0.06274,-0.27475,0.11714
2,0.66979,324.73842,13,0.03314,-0.2202,0.11661
2,0.66979,324.73842,14,0.02948,-0.08264,0.16899
2,0.66979,324.73842,15,0.06052,-0.01346,0.10345
2,0.66979,324.73842,16,0.06746,0.07214,0.09854
2,0.66979,324.73842,17,0.09162,0.16567,0.08684
2,0.66979,324.73842,18,0.07113,0.15962,0.09451
2,0.66979,324.73842,19,0.12593,0.28461,0.10046
2,0.66979,324.73842,20,0.05924,0.3056,0.09531
2,0.66979,324.73842,21,0.10996,0.34914,0.09464
2,0.66979,324.73842,22,0.20092,0.38295,0.07973
2,0.66979,324.73842,23,0.19744,0.39959,0.13745
2,0.66979,324.73842,24,0.18164,0.34777,0.07989
2,0.66979,324.73842,25,0.1708,0.41144,0.15816
2,0.66979,324.73842,26,0.1611,0.37819,0.10276
2,0.66979,324.73842,27,0.16859,0.251,0.12404
2,0.66979,324.73842,28,0.09877,0.31836,0.09901
2,0.66979,324.73842,29,0.15246,0.27686,0.07032
2,0.66979,324.73842,30,0.25159,0.28457,0.07134
2,0.66979,324.73842,31,0.14138,0.31615,0.11907
2,0.66979,324.73842,32,0.1349,0.27722,0.15759
2,0.66979,324.73842,33,0.10226,0.28042,0.1127
2,0.66979,324.73842,34,0.12038,0.27179,0.09838
3,0.66979,324.73842,1,0.2812,0.20851,0.37326
3,0.66979,324.73842,2,0.19925,0.35917,0.45328
3,0.66979,324.73842,3,0.11462,0.28803,0.43286
3,0.66979,324.73842,4,0.0487,0.32098,0.45808
3,0.66979,324.73842,5,0.10361,0.16478,0.44005
3,0.66979,324.73842,6,0.04251,0.09148,0.40079
3,0.66979,324.73842,7,0.06964,-0.06916,0.32852
3,0.66979,324.73842,8,-0.00629,-0.18327,0.24258
3,0.66979,324.73842,9,0.03696,-0.31441,0.16753
3,0.66979,324.73842,10,0.01674,-0.37624,0.13776
3,0.66979,324.73842,11,0.01689,-0.39352,0.129
3,0.66979,324.73842,12,0.06274,-0.27475,0.11714
3,0.66979,324.73842,13,0.03314,-0.2202,0.11661
3,0.66979,324.73842,14,0.02948,-0.08264,0.16899
3,0.66979,324.73842,15,0.06052,-0.01346,0.10345
3,0.66979,324.73842,16,0.06746,0.07214,0.09854
3,0.66979,324.73842,17,0.09162,0.16567,0.08684
3,0.66979,324.73842,18,0.07113,0.15962,0.09451
3,0.66979,324.73842,19,0.12593,0.28461,0.10046
