particle,elasticity,weight,frame,x,y,z
1,0.79816,677.60086,1,0.325,0.22033,0.53417
1,0.79816,677.60086,2,0.26353,0.32652,0.69697
1,0.79816,677.60086,3,0.13431,0.38015,0.8888
1,0.79816,677.60086,4,0.20648,0.38355,0.83947
1,0.79816,677.60086,5,0.13282,0.40487,0.70398
1,0.79816,677.60086,6,0.17495,0.40497,0.58875
1,0.79816,677.60086,7,0.05769,0.40394,0.46009
1,0.79816,677.60086,8,0.11576,0.32426,0.28208
1,0.79816,677.60086,9,0.02546,0.30207,0.09986
1,0.79816,677.60086,10,0.08949,0.29367,0.13102
1,0.79816,677.60086,11,0.01982,0.31525,0.13454
1,0.79816,677.60086,12,0.05288,0.30799,0.15274
1,0.79816,677.60086,13,0.04421,0.26739,0.3175
1,0.79816,677.60086,14,0.05315,0.27127,0.42024
1,0.79816,677.60086,15,0.0389,0.24582,0.48639
1,0.79816,677.60086,16,0.13145,0.23213,0.49926
1,0.79816,677.60086,17,0.09086,0.14297,0.56612
1,0.79816,677.60086,18,0.06871,0.12728,0.6592
1,0.79816,677.60086,19,0.15681,0.07608,0.66373
1,0.79816,677.60086,20,0.04151,0.08821,0.72418
1,0.79816,677.60086,21,0.09444,0.10536,0.76387
1,0.79816,677.60086,22,0.05329,-0.00185,0.71465
1,0.79816,677.60086,23,0.06817,-0.00358,0.70023
1,0.79816,677.60086,24,0.03096,0.02109,0.62424
1,0.79816,677.60086,25,0.05056,-0.01533,0.5413
1,0.79816,677.60086,26,0.05587,-0.04161,0.53172
1,0.79816,677.60086,27,-0.00966,-0.05332,0.45022
1,0.79816,677.60086,28,0.02218,-0.05889,0.38843
1,0.79816,677.60086,29,0.05097,-0.09739,0.26502
1,0.79816,677.60086,30,0.03784,-0.15071,0.08629
1,0.79816,677.60086,31,0.0077,-0.20506,0.14043
1,0.79816,677.60086,32,0.0511,-0.21777,0.18985
1,0.79816,677.60086,33,0.02947,-0.22153,0.11744
1,0.79816,677.60086,34,0.07229,-0.20165,0.1238
1,0.79816,677.60086,35,0.07706,-0.24752,0.11682
1,0.79816,677.60086,36,0.16821,-0.22602,0.13241
1,0.79816,677.60086,37,0.1455,-0.25879,0.13844
1,0.79816,677.60086,38,0.17391,-0.32115,0.24059
1,0.79816,677.60086,39,0.21096,-0.3998,0.19839
1,0.79816,677.60086,40,0.18682,-0.40639,0.18457
1,0.79816,677.60086,41,0.17939,-0.36835,0.20911
