particle,elasticity,weight,frame,x,y,z
1,0.56749,233.86793,1,-0.32471,0.33026,0.1345
1,0.56749,233.86793,2,-0.30186,0.2728,0.18019
1,0.56749,233.86793,3,-0.24409,0.27375,0.26409
1,0.56749,233.86793,4,-0.29177,0.24217,0.3637
1,0.56749,233.86793,5,-0.20978,0.18261,0.35983
1,0.56749,233.86793,6,-0.13935,0.07138,0.44967
1,0.56749,233.86793,7,-0.1073,0.0635,0.49263
1,0.56749,233.86793,8,-0.08626,-0.05431,0.58395
1,0.56749,233.86793,9,0.08108,-0.0661,0.60678
1,0.56749,233.86793,10,0.03583,-0.06458,0.58549
1,0.56749,233.86793,11,0.10905,-0.19971,0.6078
1,0.56749,233.86793,12,0.22588,-0.16947,0.68636
1,0.56749,233.86793,13,0.32306,-0.20885,0.70958
1,0.56749,233.86793,14,0.29549,-0.35248,0.72399
1,0.56749,233.86793,15,0.25256,-0.3452,0.6688
1,0.56749,233.86793,16,0.32219,-0.39244,0.62969
1,0.56749,233.86793,17,0.35515,-0.38501,0.5786
1,0.56749,233.86793,18,0.3665,-0.35097,0.61788
1,0.56749,233.86793,19,0.33564,-0.41088,0.60805
1,0.56749,233.86793,20,0.36176,-0.28187,0.48725
1,0.56749,233.86793,21,0.32872,-0.25918,0.43875
1,0.56749,233.86793,22,0.40148,-0.17926,0.30989
1,0.56749,233.86793,23,0.36515,-0.20171,0.26356
1,0.56749,233.86793,24,0.37603,-0.13268,0.22462
1,0.56749,233.86793,25,0.39151,-0.11557,0.19229
1,0.56749,233.86793,26,0.31328,0.00025,0.08561
1,0.56749,233.86793,27,0.32959,-0.02308,0.15216
1,0.56749,233.86793,28,0.27862,0.01835,0.14865
1,0.56749,233.86793,29,0.25703,0.07498,0.10794
1,0.56749,233.86793,30,0.26664,0.12604,0.21252
2,0.68783,235.25291,1,-0.31525,0.32129,0.1425
2,0.68783,235.25291,2,-0.29078,0.2648,0.19157
2,0.68783,235.25291,3,-0.23316,0.26587,0.27534
2,0.68783,235.25291,4,-0.28098,0.2344,0.37485
2,0.68783,235.25291,5,-0.19913,0.17495,0.37089
2,0.68783,235.25291,6,-0.12883,0.06381,0.46064
2,0.68783,235.25291,7,-0.09691,0.05602,0.50353
2,0.68783,235.25291,8,-0.07598,-0.0617,0.59478
2,0.68783,235.25291,9,0.09124,-0.0734,0.61755
2,0.68783,235.25291,10,0.04589,-0.07181,0.5962
2,0.68783,235.25291,11,0.11901,-0.20687,0.61845
2,0.68783,235.25291,12,0.23574,-0.17656,0.69695
2,0.68783,235.25291,13,0.33284,-0.21587,0.7201
2,0.68783,235.25291,14,0.30518,-0.35943,0.73445
2,0.68783,235.25291,15,0.26216,-0.35209,0.67918
2,0.68783,235.25291,16,0.33069,-0.38736,0.64278
2,0.68783,235.25291,17,0.35775,-0.31654,0.60624
2,0.68783,235.25291,18,0.35907,-0.34454,0.63364
2,0.68783,235.25291,19,0.32811,-0.41087,0.62178
2,0.68783,235.25291,20,0.35428,-0.28184,0.50083
2,0.68783,235.25291,21,0.32128,-0.25912,0.45218
2,0.68783,235.25291,22,0.40147,-0.17887,0.32133
2,0.68783,235.25291,23,0.36513,-0.2013,0.27485
2,0.68783,235.25291,24,0.376,-0.13225,0.23574
2,0.68783,235.25291,25,0.39147,-0.11513,0.20324
2,0.68783,235.25291,26,0.31323,0.00071,0.09638
2,0.68783,235.25291,27,0.32936,-0.02332,0.161
2,0.68783,235.25291,28,0.27839,0.01811,0.15743
2,0.68783,235.25291,29,0.25681,0.07473,0.11668
2,0.68783,235.25291,30,0.18019,0.16919,0.20139
3,0.70492,237.1212,1,-0.31392,0.32002,0.14361
3,0.70492,237.1212,2,-0.28922,0.26368,0.19314
3,0.70492,237.1212,3,-0.23162,0.26476,0.27689
3,0.70492,237.1212,4,-0.27947,0.23331,0.37638
3,0.70492,237.1212,5,-0.19764,0.17387,0.37241
3,0.70492,237.1212,6,-0.12736,0.06275,0.46215
3,0.70492,237.1212,7,-0.09545,0.05498,0.50502
3,0.70492,237.1212,8,-0.07455,-0.06273,0.59627
3,0.70492,237.1212,9,0.09266,-0.07443,0.61902
3,0.70492,237.1212,10,0.0473,-0.07282,0.59767
3,0.70492,237.1212,11,0.1204,-0.20787,0.61991
3,0.70492,237.1212,12,0.23712,-0.17755,0.6984
3,0.70492,237.1212,13,0.3342,-0.21685,0.72155
3,0.70492,237.1212,14,0.30653,-0.3604,0.73588
3,0.70492,237.1212,15,0.26349,-0.35305,0.6806
3,0.70492,237.1212,16,0.33197,-0.38803,0.64426
3,0.70492,237.1212,17,0.35865,-0.31492,0.60817
3,0.70492,237.1212,18,0.35799,-0.34287,0.63605
3,0.70492,237.1212,19,0.32687,-0.41087,0.62374
3,0.70492,237.1212,20,0.35304,-0.28183,0.50278
3,0.70492,237.1212,21,0.32005,-0.25911,0.45411
3,0.70492,237.1212,22,0.40147,-0.17881,0.32294
3,0.70492,237.1212,23,0.36513,-0.20124,0.27643
3,0.70492,237.1212,24,0.37599,-0.13219,0.2373
3,0.70492,237.1212,25,0.39146,-0.11506,0.20478
3,0.70492,237.1212,26,0.31322,0.00079,0.09789
3,0.70492,237.1212,27,0.32935,-0.0233,0.16216
3,0.70492,237.1212,28,0.27839,0.01812,0.15858
3,0.70492,237.1212,29,0.25681,0.07474,0.11782
3,0.70492,237.1212,30,0.23369,0.06438,0.09008
4,0.91537,230.47269,1,-0.29778,0.30459,0.14716
4,0.91537,230.47269,2,-0.27035,0.24999,0.19446
4,0.91537,230.47269,3,-0.21301,0.25127,0.27815
4,0.91537,230.47269,4,-0.26112,0.22001,0.37759
4,0.91537,230.47269,5,-0.17953,0.16076,0.37357
4,0.91537,230.47269,6,-0.1095,0.04982,0.46328
4,0.91537,230.47269,7,-0.07783,0.04223,0.50614
4,0.91537,230.47269,8,-0.05715,-0.07531,0.59739
4,0.91537,230.47269,9,0.10983,-0.08683,0.62015
4,0.91537,230.47269,10,0.06424,-0.08506,0.59882
4,0.91537,230.47269,11,0.13712,-0.21994,0.62108
4,0.91537,230.47269,12,0.25363,-0.18946,0.69961
4,0.91537,230.47269,13,0.3505,-0.2286,0.7228
4,0.91537,230.47269,14,0.32262,-0.37201,0.73718
4,0.91537,230.47269,15,0.27938,-0.3645,0.68195
4,0.91537,230.47269,16,0.34569,-0.38162,0.64963
4,0.91537,230.47269,17,0.37013,-0.30147,0.61457
4,0.91537,230.47269,18,0.34319,-0.32849,0.6489
4,0.91537,230.47269,19,0.30986,-0.41086,0.6337
4,0.91537,230.47269,20,0.33614,-0.28182,0.51266
4,0.91537,230.47269,21,0.30326,-0.2591,0.46391
4,0.91537,230.47269,22,0.38562,-0.17875,0.33244
4,0.91537,230.47269,23,0.34939,-0.20117,0.28583
