particle,elasticity,weight,frame,x,y,z
1,0.17585,59.48088,1,-0.26435,0.3786,0.1274
1,0.17585,59.48088,2,-0.20484,0.36538,0.11436
1,0.17585,59.48088,3,-0.06536,0.20999,0.08436
1,0.17585,59.48088,4,-0.00195,0.2619,0.12909
1,0.17585,59.48088,5,-0.06262,0.22578,0.16097
1,0.17585,59.48088,6,0.03127,0.13142,0.21314
1,0.17585,59.48088,7,0.13789,0.07391,0.36582
2,0.0959,59.11042,1,-0.26371,0.38481,0.12599
2,0.0959,59.11042,2,-0.20421,0.37243,0.10548
2,0.0959,59.11042,3,-0.06476,0.21668,0.08436
2,0.0959,59.11042,4,-0.00134,0.26855,0.12909
2,0.0959,59.11042,5,0.09384,0.18919,0.2362
2,0.0959,59.11042,6,0.05065,0.08934,0.23481
2,0.0959,59.11042,7,0.05064,0.10895,0.37143
3,0.37985,62.37774,1,-0.26598,0.36277,0.131
3,0.37985,62.37774,2,-0.20647,0.3474,0.13651
3,0.37985,62.37774,3,-0.06612,0.19234,0.10321
3,0.37985,62.37774,4,-0.0027,0.24436,0.14762
3,0.37985,62.37774,5,0.09244,0.16516,0.25463
3,0.37985,62.37774,6,0.04818,0.0287,0.33017
3,0.37985,62.37774,7,0.09892,-0.00946,0.34362
4,0.37985,62.37774,1,-0.26598,0.36277,0.131
4,0.37985,62.37774,2,-0.20647,0.3474,0.13651
4,0.37985,62.37774,3,-0.06612,0.19234,0.10321
4,0.37985,62.37774,4,-0.0027,0.24436,0.14762
4,0.37985,62.37774,5,0.09244,0.16516,0.25463
4,0.37985,62.37774,6,0.04818,0.0287,0.33017
4,0.37985,62.37774,7,0.09892,-0.00946,0.34362
5,0.37985,62.37774,1,-0.26598,0.36277,0.131
5,0.37985,62.37774,2,-0.20647,0.3474,0.13651
5,0.37985,62.37774,3,-0.06612,0.19234,0.10321
5,0.37985,62.37774,4,-0.0027,0.24436,0.14762
5,0.37985,62.37774,5,0.09244,0.16516,0.25463
5,0.37985,62.37774,6,0.04818,0.0287,0.33017
5,0.37985,62.37774,7,0.09892,-0.00946,0.34362
6,0.37985,62.37774,1,-0.26598,0.36277,0.131
6,0.37985,62.37774,2,-0.20647,0.3474,0.13651
6,0.37985,62.37774,3,-0.06612,0.19234,0.10321
6,0.37985,62.37774,4,-0.0027,0.24436,0.14762
6,0.37985,62.37774,5,0.09244,0.16516,0.25463
6,0.37985,62.37774,6,0.04818,0.0287,0.33017
6,0.37985,62.37774,7,0.09892,-0.00946,0.34362
7,0.32586,60.89807,1,-0.26555,0.36696,0.13005
7,0.32586,60.89807,2,-0.20604,0.35216,0.13072
7,0.32586,60.89807,3,-0.06571,0.19689,0.09616
7,0.32586,60.89807,4,-0.00228,0.24887,0.14062
7,0.32586,60.89807,5,0.09287,0.16963,0.24766
7,0.32586,60.89807,6,0.04861,0.03314,0.32324
7,0.32586,60.89807,7,0.1284,0.05491,0.32175
8,0.37985,62.37774,1,-0.26598,0.36277,0.131
8,0.37985,62.37774,2,-0.20647,0.3474,0.13651
8,0.37985,62.37774,3,-0.06612,0.19234,0.10321
8,0.37985,62.37774,4,-0.0027,0.24436,0.14762
8,0.37985,62.37774,5,0.09244,0.16516,0.25463
8,0.37985,62.37774,6,0.04818,0.0287,0.33017
8,0.37985,62.37774,7,0.09892,-0.00946,0.34362
9,0.0959,59.11042,1,-0.26371,0.38481,0.12599
9,0.0959,59.11042,2,-0.20421,0.37243,0.10548
9,0.0959,59.11042,3,-0.06476,0.21668,0.08436
9,0.0959,59.11042,4,-0.00134,0.26855,0.12909
9,0.0959,59.11042,5,0.09384,0.18919,0.2362
9,0.0959,59.11042,6,0.05065,0.08934,0.23481
9,0.0959,59.11042,7,0.05064,0.10895,0.37143
10,0.17585,59.48088,1,-0.26435,0.3786,0.1274
10,0.17585,59.48088,2,-0.20484,0.36538,0.11436
10,0.17585,59.48088,3,-0.06536,0.20999,0.08436
10,0.17585,59.48088,4,-0.00195,0.2619,0.12909
10,0.17585,59.48088,5,-0.06262,0.22578,0.16097
10,0.17585,59.48088,6,0.03127,0.13142,0.21314
10,0.17585,59.48088,7,0.13789,0.07391,0.36582
11,0.0959,59.11042,1,-0.26371,0.38481,0.12599
11,0.0959,59.11042,2,-0.20421,0.37243,0.10548
11,0.0959,59.11042,3,-0.06476,0.21668,0.08436
11,0.0959,59.11042,4,-0.00134,0.26855,0.12909
11,0.0959,59.11042,5,0.09384,0.18919,0.2362
11,0.0959,59.11042,6,0.05065,0.08934,0.23481
11,0.0959,59.11042,7,0.05064,0.10895,0.37143
12,0.17585,59.48088,1,-0.26435,0.3786,0.1274
12,0.17585,59.48088,2,-0.20484,0.36538,0.11436
12,0.17585,59.48088,3,-0.06536,0.20999,0.08436
12,0.17585,59.48088,4,-0.00195,0.2619,0.12909
