particle,elasticity,weight,frame,x,y,z
1,0.63526,60.46749,1,0.05234,-0.38175,0.54077
1,0.63526,60.46749,2,0.11563,-0.3095,0.49366
1,0.63526,60.46749,3,0.17855,-0.23767,0.43281
1,0.63526,60.46749,4,0.24108,-0.16628,0.35831
1,0.63526,60.46749,5,0.3032,-0.09535,0.27026
1,0.63526,60.46749,6,0.36491,-0.0249,0.1688
1,0.63526,60.46749,7,0.42617,0.04503,0.05404
1,0.63526,60.46749,8,0.4341,0.08872,0.0543
1,0.63526,60.46749,9,0.41949,0.12465,0.05674
1,0.63526,60.46749,10,0.40577,0.15933,0.05084
1,0.63526,60.46749,11,0.39378,0.1899,0.04856
1,0.63526,60.46749,12,0.3834,0.21693,0.04782
1,0.63526,60.46749,13,0.37441,0.24071,0.04732
1,0.63526,60.46749,14,0.36705,0.26146,0.0469
1,0.63526,60.46749,15,0.36164,0.2791,0.04745
1,0.63526,60.46749,16,0.35744,0.29381,0.04697
1,0.63526,60.46749,17,0.3545,0.30507,0.04753
1,0.63526,60.46749,18,0.35282,0.31325,0.04777
2,0.65827,64.45814,1,0.05202,-0.38028,0.54095
2,0.65827,64.45814,2,0.11472,-0.30539,0.49416
2,0.65827,64.45814,3,0.17706,-0.23095,0.43363
2,0.65827,64.45814,4,0.23901,-0.15696,0.35945
2,0.65827,64.45814,5,0.30056,-0.08346,0.27173
2,0.65827,64.45814,6,0.36168,-0.01045,0.17059
2,0.65827,64.45814,7,0.42237,0.06201,0.05617
2,0.65827,64.45814,8,0.42866,0.11585,0.0637
2,0.65827,64.45814,9,0.41243,0.16252,0.08773
2,0.65827,64.45814,10,0.39626,0.20903,0.09763
2,0.65827,64.45814,11,0.38014,0.25538,0.09346
2,0.65827,64.45814,12,0.36454,0.29946,0.08393
2,0.65827,64.45814,13,0.34955,0.33913,0.07775
2,0.65827,64.45814,14,0.33668,0.37649,0.07112
2,0.65827,64.45814,15,0.32691,0.41168,0.06538
2,0.65827,64.45814,16,0.31923,0.42593,0.05655
2,0.65827,64.45814,17,0.31136,0.43162,0.05988
2,0.65827,64.45814,18,0.30358,0.43701,0.05671
3,0.65774,64.43112,1,0.05202,-0.38032,0.54094
3,0.65774,64.43112,2,0.11474,-0.30549,0.49415
3,0.65774,64.43112,3,0.17709,-0.2311,0.43361
3,0.65774,64.43112,4,0.23906,-0.15718,0.35943
3,0.65774,64.43112,5,0.30062,-0.08373,0.2717
3,0.65774,64.43112,6,0.36176,-0.01079,0.17055
3,0.65774,64.43112,7,0.42246,0.06162,0.05612
3,0.65774,64.43112,8,0.42872,0.11543,0.06365
3,0.65774,64.43112,9,0.41245,0.16208,0.08768
3,0.65774,64.43112,10,0.39623,0.20856,0.09759
3,0.65774,64.43112,11,0.38007,0.25489,0.09342
3,0.65774,64.43112,12,0.36444,0.29895,0.08384
3,0.65774,64.43112,13,0.34944,0.33861,0.07763
3,0.65774,64.43112,14,0.3366,0.37599,0.07093
3,0.65774,64.43112,15,0.3269,0.41121,0.06521
3,0.65774,64.43112,16,0.32,0.42353,0.05464
3,0.65774,64.43112,17,0.3162,0.42163,0.05488
3,0.65774,64.43112,18,0.31238,0.42027,0.04945
4,0.68388,64.28001,1,0.05166,-0.37865,0.54115
4,0.68388,64.28001,2,0.11372,-0.30083,0.49472
4,0.68388,64.28001,3,0.1754,-0.22347,0.43455
4,0.68388,64.28001,4,0.23671,-0.1466,0.36073
4,0.68388,64.28001,5,0.29761,-0.07023,0.27337
4,0.68388,64.28001,6,0.35809,0.0056,0.17259
4,0.68388,64.28001,7,0.41814,0.08089,0.05853
4,0.68388,64.28001,8,0.43269,0.1328,0.06462
4,0.68388,64.28001,9,0.41867,0.17458,0.08606
4,0.68388,64.28001,10,0.4047,0.21622,0.09339
4,0.68388,64.28001,11,0.39077,0.25772,0.08665
4,0.68388,64.28001,12,0.37903,0.29636,0.07976
4,0.68388,64.28001,13,0.36826,0.33229,0.07071
4,0.68388,64.28001,14,0.35754,0.36224,0.07132
4,0.68388,64.28001,15,0.3466,0.39017,0.06585
4,0.68388,64.28001,16,0.33517,0.41635,0.05353
4,0.68388,64.28001,17,0.32744,0.42395,0.05091
4,0.68388,64.28001,18,0.32322,0.42338,0.04917
5,0.65098,64.19922,1,0.05212,-0.38075,0.54089
5,0.65098,64.19922,2,0.11501,-0.30669,0.49401
5,0.65098,64.19922,3,0.17753,-0.23307,0.43337
5,0.65098,64.19922,4,0.23966,-0.15991,0.35909
5,0.65098,64.19922,5,0.30139,-0.08722,0.27127
5,0.65098,64.19922,6,0.3627,-0.01503,0.17003
5,0.65098,64.19922,7,0.42357,0.05664,0.0555
5,0.65098,64.19922,8,0.42704,0.1069,0.06562
5,0.65098,64.19922,9,0.40942,0.15002,0.09374
5,0.65098,64.19922,10,0.39186,0.19297,0.1077
5,0.65098,64.19922,11,0.37436,0.23578,0.10759
5,0.65098,64.19922,12,0.35692,0.27845,0.09343
5,0.65098,64.19922,13,0.34114,0.32053,0.07731
5,0.65098,64.19922,14,0.3274,0.36193,0.06221
5,0.65098,64.19922,15,0.31394,0.39668,0.05919
5,0.65098,64.19922,16,0.30209,0.41891,0.05714
5,0.65098,64.19922,17,0.29245,0.41007,0.04988
5,0.65098,64.19922,18,0.2864,0.40465,0.04941
6,0.66065,64.43669,1,0.05198,-0.38013,0.54097
6,0.66065,64.43669,2,0.11463,-0.30497,0.49422
6,0.66065,64.43669,3,0.1769,-0.23025,0.43372
6,0.66065,64.43669,4,0.23879,-0.156,0.35957
6,0.66065,64.43669,5,0.30028,-0.08223,0.27188
6,0.66065,64.43669,6,0.36135,-0.00896,0.17078
6,0.66065,64.43669,7,0.42198,0.06377,0.05639
6,0.66065,64.43669,8,0.42838,0.11773,0.0639
6,0.66065,64.43669,9,0.41234,0.16451,0.08792
6,0.66065,64.43669,10,0.39636,0.21112,0.09781
6,0.66065,64.43669,11,0.38044,0.25758,0.09362
6,0.66065,64.43669,12,0.36467,0.30132,0.0856
6,0.66065,64.43669,13,0.34915,0.33984,0.08389
6,0.66065,64.43669,14,0.33367,0.37805,0.06892
6,0.66065,64.43669,15,0.32369,0.4129,0.06685
6,0.66065,64.43669,16,0.3168,0.42089,0.06066
6,0.66065,64.43669,17,0.30791,0.42608,0.06208
6,0.66065,64.43669,18,0.30078,0.43051,0.05908
7,0.65057,64.2016,1,0.05212,-0.38078,0.54089
7,0.65057,64.2016,2,0.11503,-0.30677,0.494
7,0.65057,64.2016,3,0.17756,-0.23319,0.43336
7,0.65057,64.2016,4,0.2397,-0.16008,0.35907
7,0.65057,64.2016,5,0.30144,-0.08743,0.27124
7,0.65057,64.2016,6,0.36276,-0.01529,0.16999
7,0.65057,64.2016,7,0.42364,0.05633,0.05546
7,0.65057,64.2016,8,0.42708,0.10657,0.06559
7,0.65057,64.2016,9,0.40941,0.14965,0.09371
7,0.65057,64.2016,10,0.3918,0.19258,0.10769
7,0.65057,64.2016,11,0.37426,0.23536,0.10757
7,0.65057,64.2016,12,0.35677,0.278,0.09342
7,0.65057,64.2016,13,0.341,0.32006,0.07744
7,0.65057,64.2016,14,0.32736,0.36144,0.06264
7,0.65057,64.2016,15,0.31399,0.3963,0.05939
7,0.65057,64.2016,16,0.30202,0.41899,0.05624
7,0.65057,64.2016,17,0.29278,0.41013,0.04916
7,0.65057,64.2016,18,0.28621,0.4049,0.04904
8,0.65241,64.23704,1,0.0521,-0.38066,0.5409
8,0.65241,64.23704,2,0.11495,-0.30644,0.49404
8,0.65241,64.23704,3,0.17744,-0.23266,0.43342
