particle,elasticity,weight,frame,x,y,z
1,0.01862,112.11498,1,-0.39009,-0.23579,0.90477
1,0.01862,112.11498,2,-0.41859,-0.35609,0.90077
1,0.01862,112.11498,3,-0.40895,-0.42767,0.88985
1,0.01862,112.11498,4,-0.39299,-0.42044,0.87887
1,0.01862,112.11498,5,-0.37707,-0.41323,0.85388
1,0.01862,112.11498,6,-0.3612,-0.40604,0.81491
1,0.01862,112.11498,7,-0.34538,-0.39888,0.76204
1,0.01862,112.11498,8,-0.32962,-0.39174,0.69534
1,0.01862,112.11498,9,-0.31393,-0.38464,0.61491
1,0.01862,112.11498,10,-0.29833,-0.37757,0.52085
1,0.01862,112.11498,11,-0.28281,-0.37054,0.41328
1,0.01862,112.11498,12,-0.26738,-0.36355,0.29235
1,0.01862,112.11498,13,-0.25206,-0.35661,0.15819
1,0.01862,112.11498,14,-0.23706,-0.34972,0.0304
1,0.01862,112.11498,15,-0.22075,-0.33678,0.03778
1,0.01862,112.11498,16,-0.20675,-0.32466,0.04288
1,0.01862,112.11498,17,-0.19482,-0.314,0.04573
1,0.01862,112.11498,18,-0.185,-0.30507,0.04707
1,0.01862,112.11498,19,-0.17733,-0.29799,0.0473
1,0.01862,112.11498,20,-0.17234,-0.29273,0.04749
1,0.01862,112.11498,21,-0.16956,-0.28988,0.04823
1,0.01862,112.11498,22,-0.16919,-0.2892,0.04915
1,0.01862,112.11498,23,-0.16917,-0.28932,0.04959
1,0.01862,112.11498,24,-0.16916,-0.28937,0.0498
1,0.01862,112.11498,25,-0.16915,-0.28936,0.0499
1,0.01862,112.11498,26,-0.16915,-0.28935,0.04995
1,0.01862,112.11498,27,-0.16914,-0.28935,0.04997
1,0.01862,112.11498,28,-0.16914,-0.28935,0.04998
1,0.01862,112.11498,29,-0.16914,-0.28935,0.04998
1,0.01862,112.11498,30,-0.16915,-0.28935,0.04998
2,0.03449,113.62067,1,-0.39009,-0.23579,0.90477
2,0.03449,113.62067,2,-0.41764,-0.35585,0.90078
2,0.03449,113.62067,3,-0.40681,-0.42709,0.88986
2,0.03449,113.62067,4,-0.38971,-0.41947,0.87888
2,0.03449,113.62067,5,-0.37265,-0.41186,0.85388
2,0.03449,113.62067,6,-0.35564,-0.40428,0.81492
2,0.03449,113.62067,7,-0.3387,-0.39672,0.76205
2,0.03449,113.62067,8,-0.32181,-0.38919,0.69535
2,0.03449,113.62067,9,-0.30501,-0.38169,0.61492
