particle,elasticity,weight,frame,x,y,z
1,0.23908,88.80175,1,0.01287,-0.39162,0.28125
1,0.23908,88.80175,2,0.08634,-0.37916,0.1531
1,0.23908,88.80175,3,0.14773,-0.36071,0.1028
1,0.23908,88.80175,4,0.19961,-0.33747,0.11133
1,0.23908,88.80175,5,0.2513,-0.31432,0.1058
1,0.23908,88.80175,6,0.3021,-0.29156,0.09998
1,0.23908,88.80175,7,0.35211,-0.26917,0.09998
1,0.23908,88.80175,8,0.38924,-0.24669,0.10255
1,0.23908,88.80175,9,0.38288,-0.22331,0.10547
1,0.23908,88.80175,10,0.37794,-0.20011,0.09998
1,0.23908,88.80175,11,0.3772,-0.17741,0.09999
1,0.23908,88.80175,12,0.37671,-0.15486,0.09999
1,0.23908,88.80175,13,0.37622,-0.13245,0.09999
1,0.23908,88.80175,14,0.37574,-0.11016,0.09998
1,0.23908,88.80175,15,0.37525,-0.088,0.09998
1,0.23908,88.80175,16,0.37477,-0.06597,0.09998
1,0.23908,88.80175,17,0.3743,-0.04406,0.09998
1,0.23908,88.80175,18,0.37382,-0.02227,0.09999
1,0.23908,88.80175,19,0.37335,-0.0006,0.09998
1,0.23908,88.80175,20,0.37289,0.02094,0.09998
1,0.23908,88.80175,21,0.37242,0.04237,0.09998
1,0.23908,88.80175,22,0.37196,0.06369,0.09998
1,0.23908,88.80175,23,0.3715,0.08489,0.09998
1,0.23908,88.80175,24,0.37104,0.10598,0.09998
2,0.15168,86.29956,1,0.01292,-0.39204,0.28116
2,0.15168,86.29956,2,0.08689,-0.38335,0.15221
2,0.15168,86.29956,3,0.14868,-0.36834,0.09866
2,0.15168,86.29956,4,0.20091,-0.34829,0.102
2,0.15168,86.29956,5,0.25246,-0.3285,0.09999
2,0.15168,86.29956,6,0.30332,-0.30898,0.09998
2,0.15168,86.29956,7,0.35367,-0.28965,0.09998
2,0.15168,86.29956,8,0.39001,-0.27006,0.1023
2,0.15168,86.29956,9,0.39001,-0.24938,0.10213
2,0.15168,86.29956,10,0.39001,-0.22899,0.09998
2,0.15168,86.29956,11,0.39001,-0.20885,0.09998
2,0.15168,86.29956,12,0.39,-0.18881,0.09998
2,0.15168,86.29956,13,0.39,-0.16888,0.09998
2,0.15168,86.29956,14,0.39,-0.14905,0.09998
2,0.15168,86.29956,15,0.39,-0.12933,0.09998
2,0.15168,86.29956,16,0.39,-0.10971,0.09998
2,0.15168,86.29956,17,0.39,-0.09019,0.09998
2,0.15168,86.29956,18,0.39,-0.07077,0.09998
2,0.15168,86.29956,19,0.39,-0.05145,0.09998
2,0.15168,86.29956,20,0.39,-0.03223,0.09998
2,0.15168,86.29956,21,0.39,-0.0131,0.09998
2,0.15168,86.29956,22,0.39,0.00591,0.09998
2,0.15168,86.29956,23,0.39,0.02485,0.09998
2,0.15168,86.29956,24,0.39,0.04369,0.09998
3,0.20818,88.50783,1,0.01289,-0.39177,0.28122
3,0.20818,88.50783,2,0.08653,-0.38064,0.15279
3,0.20818,88.50783,3,0.14807,-0.36341,0.10134
3,0.20818,88.50783,4,0.20007,-0.3413,0.10805
3,0.20818,88.50783,5,0.25188,-0.31927,0.10069
3,0.20818,88.50783,6,0.30252,-0.29774,0.09998
3,0.20818,88.50783,7,0.35265,-0.27643,0.09998
3,0.20818,88.50783,8,0.38994,-0.25499,0.10253
3,0.20818,88.50783,9,0.38387,-0.23247,0.1054
3,0.20818,88.50783,10,0.37925,-0.21016,0.09999
3,0.20818,88.50783,11,0.3788,-0.18837,0.09998
3,0.20818,88.50783,12,0.3786,-0.16672,0.09998
3,0.20818,88.50783,13,0.3784,-0.1452,0.09998
3,0.20818,88.50783,14,0.37819,-0.1238,0.09998
