particle,elasticity,weight,frame,x,y,z
1,0.92497,35.81693,1,0.0495,-0.16029,0.44942
1,0.92497,35.81693,2,0.05302,-0.25195,0.29452
1,0.92497,35.81693,3,0.05651,-0.3428,0.12698
1,0.92497,35.81693,4,0.05897,-0.38122,0.15277
1,0.92497,35.81693,5,0.06072,-0.35056,0.21982
1,0.92497,35.81693,6,0.06247,-0.32002,0.27254
1,0.92497,35.81693,7,0.06421,-0.28959,0.31103
1,0.92497,35.81693,8,0.06595,-0.25927,0.33535
1,0.92497,35.81693,9,0.06768,-0.22903,0.34555
1,0.92497,35.81693,10,0.06941,-0.19888,0.34168
1,0.92497,35.81693,11,0.07113,-0.16881,0.32378
1,0.92497,35.81693,12,0.07285,-0.13883,0.29189
1,0.92497,35.81693,13,0.07456,-0.10895,0.24606
1,0.92497,35.81693,14,0.07626,-0.0792,0.18638
1,0.92497,35.81693,15,0.07796,-0.04957,0.11293
1,0.92497,35.81693,16,0.07966,-0.03917,0.12425
1,0.92497,35.81693,17,0.08137,-0.03426,0.14961
1,0.92497,35.81693,18,0.08307,-0.02936,0.16086
1,0.92497,35.81693,19,0.08477,-0.02447,0.15804
1,0.92497,35.81693,20,0.08647,-0.01959,0.14117
1,0.92497,35.81693,21,0.08816,-0.01472,0.1103
1,0.92497,35.81693,22,0.08984,-0.00988,0.102
1,0.92497,35.81693,23,0.09152,-0.00504,0.09999
1,0.92497,35.81693,24,0.0932,-0.00022,0.09998
1,0.92497,35.81693,25,0.09487,0.00458,0.09998
1,0.92497,35.81693,26,0.09654,0.00939,0.09998
1,0.92497,35.81693,27,0.0982,0.01418,0.09998
1,0.92497,35.81693,28,0.09986,0.01896,0.09998
1,0.92497,35.81693,29,0.10152,0.02373,0.09998
1,0.92497,35.81693,30,0.10317,0.02848,0.09998
2,0.96318,35.29631,1,0.0495,-0.16029,0.44942
2,0.96318,35.29631,2,0.05302,-0.25195,0.29452
2,0.96318,35.29631,3,0.05651,-0.3428,0.12698
2,0.96318,35.29631,4,0.05897,-0.38081,0.15508
2,0.96318,35.29631,5,0.06072,-0.34893,0.22451
2,0.96318,35.29631,6,0.06247,-0.31718,0.27962
2,0.96318,35.29631,7,0.06421,-0.28555,0.32047
2,0.96318,35.29631,8,0.06595,-0.25403,0.34714
2,0.96318,35.29631,9,0.06768,-0.22261,0.35969
2,0.96318,35.29631,10,0.0694,-0.19127,0.35815
2,0.96318,35.29631,11,0.07112,-0.16002,0.34258
2,0.96318,35.29631,12,0.07284,-0.12887,0.31301
2,0.96318,35.29631,13,0.07455,-0.09782,0.2695
2,0.96318,35.29631,14,0.07625,-0.06689,0.21212
2,0.96318,35.29631,15,0.07795,-0.03609,0.14095
2,0.96318,35.29631,16,0.07964,-0.01661,0.11437
2,0.96318,35.29631,17,0.08134,-0.01113,0.14659
2,0.96318,35.29631,18,0.08303,-0.00566,0.16468
2,0.96318,35.29631,19,0.08472,-0.0002,0.16869
2,0.96318,35.29631,20,0.08641,0.00523,0.15864
2,0.96318,35.29631,21,0.08809,0.01067,0.13456
2,0.96318,35.29631,22,0.08977,0.01608,0.10235
2,0.96318,35.29631,23,0.09144,0.02147,0.1029
2,0.96318,35.29631,24,0.0931,0.02685,0.09998
2,0.96318,35.29631,25,0.09476,0.03222,0.09998
2,0.96318,35.29631,26,0.09642,0.03757,0.09998
2,0.96318,35.29631,27,0.09807,0.04291,0.09998
2,0.96318,35.29631,28,0.09972,0.04824,0.09998
2,0.96318,35.29631,29,0.10137,0.05356,0.09998
2,0.96318,35.29631,30,0.10301,0.05886,0.09998
3,0.933,32.46114,1,0.0495,-0.16029,0.44942
3,0.933,32.46114,2,0.05302,-0.25195,0.29452
3,0.933,32.46114,3,0.05651,-0.3428,0.12698
3,0.933,32.46114,4,0.05897,-0.38114,0.15326
3,0.933,32.46114,5,0.06072,-0.35021,0.2208
3,0.933,32.46114,6,0.06247,-0.31942,0.27403
3,0.933,32.46114,7,0.06421,-0.28874,0.31301
3,0.933,32.46114,8,0.06595,-0.25817,0.33783
3,0.933,32.46114,9,0.06768,-0.22768,0.34852
3,0.933,32.46114,10,0.06941,-0.19728,0.34514
