particle,elasticity,weight,frame,x,y,z
1,0.75302,39.65598,1,-0.18096,0.11481,0.35073
1,0.75302,39.65598,2,-0.18243,0.25979,0.28907
1,0.75302,39.65598,3,-0.18383,0.38401,0.21645
1,0.75302,39.65598,4,-0.18486,0.35084,0.15081
1,0.75302,39.65598,5,-0.18579,0.31567,0.10937
1,0.75302,39.65598,6,-0.18652,0.27635,0.1298
1,0.75302,39.65598,7,-0.18725,0.23716,0.13613
1,0.75302,39.65598,8,-0.18797,0.19808,0.12839
1,0.75302,39.65598,9,-0.1887,0.15913,0.10664
1,0.75302,39.65598,10,-0.1894,0.12093,0.09998
1,0.75302,39.65598,11,-0.19011,0.08306,0.09999
1,0.75302,39.65598,12,-0.19081,0.04546,0.09998
1,0.75302,39.65598,13,-0.1915,0.00811,0.09998
2,0.77514,39.72337,1,-0.18096,0.11481,0.35073
2,0.77514,39.72337,2,-0.18243,0.25979,0.28907
2,0.77514,39.72337,3,-0.18383,0.38383,0.21645
2,0.77514,39.72337,4,-0.18486,0.34908,0.15081
2,0.77514,39.72337,5,-0.18579,0.31249,0.10967
2,0.77514,39.72337,6,-0.18652,0.27205,0.13101
2,0.77514,39.72337,7,-0.18725,0.23175,0.13824
2,0.77514,39.72337,8,-0.18797,0.19157,0.1314
2,0.77514,39.72337,9,-0.18869,0.15151,0.11055
2,0.77514,39.72337,10,-0.18941,0.11207,0.10347
2,0.77514,39.72337,11,-0.19011,0.07308,0.09999
2,0.77514,39.72337,12,-0.19081,0.03444,0.09999
2,0.77514,39.72337,13,-0.1915,-0.00392,0.09999
3,0.80629,39.63485,1,-0.18096,0.11481,0.35073
3,0.80629,39.63485,2,-0.18243,0.25979,0.28907
3,0.80629,39.63485,3,-0.18383,0.38358,0.21645
3,0.80629,39.63485,4,-0.18486,0.34661,0.15081
3,0.80629,39.63485,5,-0.18579,0.30801,0.1101
3,0.80629,39.63485,6,-0.18652,0.266,0.13272
3,0.80629,39.63485,7,-0.18725,0.22413,0.14121
3,0.80629,39.63485,8,-0.18797,0.1824,0.13564
3,0.80629,39.63485,9,-0.18869,0.14079,0.11604
3,0.80629,39.63485,10,-0.18941,0.09979,0.09999
3,0.80629,39.63485,11,-0.19011,0.05941,0.09998
3,0.80629,39.63485,12,-0.1908,0.01932,0.09998
3,0.80629,39.63485,13,-0.1915,-0.02047,0.09998
4,0.68401,39.32069,1,-0.18096,0.11481,0.35073
4,0.68401,39.32069,2,-0.18243,0.25979,0.28907
4,0.68401,39.32069,3,-0.18383,0.38456,0.21645
4,0.68401,39.32069,4,-0.18486,0.35632,0.1508
4,0.68401,39.32069,5,-0.18579,0.32559,0.10842
4,0.68401,39.32069,6,-0.18652,0.28976,0.12603
4,0.68401,39.32069,7,-0.18725,0.25403,0.12954
4,0.68401,39.32069,8,-0.18797,0.21841,0.119
4,0.68401,39.32069,9,-0.18869,0.18301,0.1009
4,0.68401,39.32069,10,-0.1894,0.14819,0.09998
4,0.68401,39.32069,11,-0.19011,0.11359,0.09998
4,0.68401,39.32069,12,-0.19081,0.07922,0.09998
4,0.68401,39.32069,13,-0.19151,0.04507,0.09998
5,0.79069,39.67375,1,-0.18096,0.11481,0.35073
5,0.79069,39.67375,2,-0.18243,0.25979,0.28907
5,0.79069,39.67375,3,-0.18383,0.38371,0.21645
5,0.79069,39.67375,4,-0.18486,0.34785,0.15081
5,0.79069,39.67375,5,-0.18579,0.31026,0.10989
5,0.79069,39.67375,6,-0.18652,0.26903,0.13186
5,0.79069,39.67375,7,-0.18725,0.22794,0.13972
5,0.79069,39.67375,8,-0.18797,0.18699,0.13352
