particle,elasticity,weight,frame,x,y,z
1,0.42388,64.2949,1,0.36278,0.19321,0.67284
1,0.42388,64.2949,2,0.29437,0.31703,0.6048
1,0.42388,64.2949,3,0.22238,0.38821,0.53131
1,0.42388,64.2949,4,0.14267,0.35587,0.4603
1,0.42388,64.2949,5,0.06344,0.32372,0.37571
1,0.42388,64.2949,6,-0.01526,0.29178,0.27764
1,0.42388,64.2949,7,-0.09344,0.26006,0.16623
1,0.42388,64.2949,8,-0.16623,0.22631,0.10988
1,0.42388,64.2949,9,-0.23261,0.18993,0.125
1,0.42388,64.2949,10,-0.29869,0.15371,0.12602
1,0.42388,64.2949,11,-0.36448,0.11766,0.113
1,0.42388,64.2949,12,-0.38515,0.07938,0.09999
1,0.42388,64.2949,13,-0.3736,0.04083,0.09998
1,0.42388,64.2949,14,-0.36405,0.00344,0.09998
1,0.42388,64.2949,15,-0.35462,-0.03358,0.09998
1,0.42388,64.2949,16,-0.34526,-0.07028,0.09998
1,0.42388,64.2949,17,-0.33599,-0.10666,0.09998
1,0.42388,64.2949,18,-0.3268,-0.14273,0.09998
1,0.42388,64.2949,19,-0.31769,-0.17848,0.09998
1,0.42388,64.2949,20,-0.30865,-0.21393,0.09998
1,0.42388,64.2949,21,-0.29969,-0.24909,0.09998
1,0.42388,64.2949,22,-0.29081,-0.28395,0.09998
1,0.42388,64.2949,23,-0.282,-0.31853,0.09998
1,0.42388,64.2949,24,-0.27326,-0.35283,0.09998
1,0.42388,64.2949,25,-0.26459,-0.38685,0.09998
1,0.42388,64.2949,26,-0.25186,-0.39001,0.09998
1,0.42388,64.2949,27,-0.23918,-0.39001,0.09998
1,0.42388,64.2949,28,-0.22671,-0.39001,0.09998
1,0.42388,64.2949,29,-0.2143,-0.39,0.09998
1,0.42388,64.2949,30,-0.20194,-0.39,0.09998
2,0.43069,63.93819,1,0.36224,0.19321,0.67284
2,0.43069,63.93819,2,0.29285,0.31703,0.6048
2,0.43069,63.93819,3,0.22,0.38807,0.53131
2,0.43069,63.93819,4,0.1396,0.35531,0.46031
2,0.43069,63.93819,5,0.0597,0.32276,0.37572
2,0.43069,63.93819,6,-0.01967,0.29041,0.27766
2,0.43069,63.93819,7,-0.09851,0.25829,0.16625
2,0.43069,63.93819,8,-0.17187,0.2242,0.11009
2,0.43069,63.93819,9,-0.23871,0.18755,0.12561
2,0.43069,63.93819,10,-0.30525,0.15107,0.12703
2,0.43069,63.93819,11,-0.37148,0.11475,0.11441
2,0.43069,63.93819,12,-0.38236,0.07528,0.10117
2,0.43069,63.93819,13,-0.37018,0.03613,0.09999
2,0.43069,63.93819,14,-0.36048,-0.00166,0.09999
2,0.43069,63.93819,15,-0.35093,-0.03909,0.09998
2,0.43069,63.93819,16,-0.34145,-0.07618,0.09998
2,0.43069,63.93819,17,-0.33207,-0.11294,0.09998
2,0.43069,63.93819,18,-0.32276,-0.14938,0.09998
2,0.43069,63.93819,19,-0.31354,-0.18551,0.09998
2,0.43069,63.93819,20,-0.30439,-0.22133,0.09998
2,0.43069,63.93819,21,-0.29532,-0.25684,0.09998
2,0.43069,63.93819,22,-0.28633,-0.29206,0.09998
2,0.43069,63.93819,23,-0.27741,-0.32699,0.09998
2,0.43069,63.93819,24,-0.26856,-0.36164,0.09998
2,0.43069,63.93819,25,-0.25895,-0.38997,0.10072
2,0.43069,63.93819,26,-0.2457,-0.39001,0.09998
2,0.43069,63.93819,27,-0.23292,-0.39001,0.09998
2,0.43069,63.93819,28,-0.2203,-0.39001,0.09998
2,0.43069,63.93819,29,-0.20773,-0.39,0.09998
2,0.43069,63.93819,30,-0.19521,-0.39,0.09998
3,0.43069,63.93819,1,0.36224,0.19321,0.67284
3,0.43069,63.93819,2,0.29285,0.31703,0.6048
3,0.43069,63.93819,3,0.22,0.38807,0.53131
3,0.43069,63.93819,4,0.1396,0.35531,0.46031
3,0.43069,63.93819,5,0.0597,0.32276,0.37572
3,0.43069,63.93819,6,-0.01967,0.29041,0.27766
3,0.43069,63.93819,7,-0.09851,0.25829,0.16625
3,0.43069,63.93819,8,-0.17187,0.2242,0.11009
3,0.43069,63.93819,9,-0.23871,0.18755,0.12561
3,0.43069,63.93819,10,-0.30525,0.15107,0.12703
3,0.43069,63.93819,11,-0.37148,0.11475,0.11441
3,0.43069,63.93819,12,-0.38236,0.07528,0.10117
3,0.43069,63.93819,13,-0.37018,0.03613,0.09999
3,0.43069,63.93819,14,-0.36048,-0.00166,0.09999
3,0.43069,63.93819,15,-0.35093,-0.03909,0.09998
3,0.43069,63.93819,16,-0.34145,-0.07618,0.09998
3,0.43069,63.93819,17,-0.33207,-0.11294,0.09998
3,0.43069,63.93819,18,-0.32276,-0.14938,0.09998
3,0.43069,63.93819,19,-0.31354,-0.18551,0.09998
3,0.43069,63.93819,20,-0.30439,-0.22133,0.09998
3,0.43069,63.93819,21,-0.29532,-0.25684,0.09998
3,0.43069,63.93819,22,-0.28633,-0.29206,0.09998
3,0.43069,63.93819,23,-0.27741,-0.32699,0.09998
3,0.43069,63.93819,24,-0.26856,-0.36164,0.09998
3,0.43069,63.93819,25,-0.25895,-0.38997,0.10072
3,0.43069,63.93819,26,-0.2457,-0.39001,0.09998
3,0.43069,63.93819,27,-0.23292,-0.39001,0.09998
3,0.43069,63.93819,28,-0.2203,-0.39001,0.09998
3,0.43069,63.93819,29,-0.20773,-0.39,0.09998
3,0.43069,63.93819,30,-0.19521,-0.39,0.09998
4,0.43069,63.93819,1,0.36224,0.19321,0.67284
4,0.43069,63.93819,2,0.29285,0.31703,0.6048
4,0.43069,63.93819,3,0.22,0.38807,0.53131
4,0.43069,63.93819,4,0.1396,0.35531,0.46031
4,0.43069,63.93819,5,0.0597,0.32276,0.37572
4,0.43069,63.93819,6,-0.01967,0.29041,0.27766
4,0.43069,63.93819,7,-0.09851,0.25829,0.16625
4,0.43069,63.93819,8,-0.17187,0.2242,0.11009
4,0.43069,63.93819,9,-0.23871,0.18755,0.12561
4,0.43069,63.93819,10,-0.30525,0.15107,0.12703
4,0.43069,63.93819,11,-0.37148,0.11475,0.11441
4,0.43069,63.93819,12,-0.38236,0.07528,0.10117
4,0.43069,63.93819,13,-0.37018,0.03613,0.09999
4,0.43069,63.93819,14,-0.36048,-0.00166,0.09999
4,0.43069,63.93819,15,-0.35093,-0.03909,0.09998
4,0.43069,63.93819,16,-0.34145,-0.07618,0.09998
4,0.43069,63.93819,17,-0.33207,-0.11294,0.09998
4,0.43069,63.93819,18,-0.32276,-0.14938,0.09998
4,0.43069,63.93819,19,-0.31354,-0.18551,0.09998
4,0.43069,63.93819,20,-0.30439,-0.22133,0.09998
4,0.43069,63.93819,21,-0.29532,-0.25684,0.09998
4,0.43069,63.93819,22,-0.28633,-0.29206,0.09998
4,0.43069,63.93819,23,-0.27741,-0.32699,0.09998
4,0.43069,63.93819,24,-0.26856,-0.36164,0.09998
4,0.43069,63.93819,25,-0.25895,-0.38997,0.10072
4,0.43069,63.93819,26,-0.2457,-0.39001,0.09998
4,0.43069,63.93819,27,-0.23292,-0.39001,0.09998
4,0.43069,63.93819,28,-0.2203,-0.39001,0.09998
