trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,103,0.6,13,70,133,0,0.515234375,Cube_Ela6_Var13
2,146,0.9,11,109,215,0,0.7625,Cube_Ela9_Var11
3,104,0.6,14,55,136,0,0.71875,Cube_Ela6_Var14
4,84,0.5,9,64,195,0,0.601953125,Cube_Ela5_Var9
5,101,0.6,11,89,111,0,0.665625,Cube_Ela6_Var11
6,88,0.5,13,57,182,0,0.36484375,Cube_Ela5_Var13
7,5,0,5,29,132,0,0.046875,Cube_Ela0_Var5
8,7,0,7,27,108,0,0.24921875,Cube_Ela0_Var7
9,118,0.7,13,61,81,0,0.752734375,Cube_Ela7_Var13
10,150,0.9,15,88,159,0,0.851171875,Cube_Ela9_Var15
11,149,0.9,14,69,273,0,0.679296875,Cube_Ela9_Var14
12,55,0.3,10,62,140,0,0.6328125,Cube_Ela3_Var10
13,72,0.4,12,51,194,0,0.436328125,Cube_Ela4_Var12
14,4,0,4,27,119,0,0.03671875,Cube_Ela0_Var4
15,30,0.1,15,39,202,0,0.205859375,Cube_Ela1_Var15
16,106,0.7,1,77,153,0,0.94375,Cube_Ela7_Var1
17,25,0.1,10,37,152,0,0.0796875,Cube_Ela1_Var10
18,10,0,10,34,205,0,0.05390625,Cube_Ela0_Var10
19,75,0.4,15,33,170,0,0.3515625,Cube_Ela4_Var15
20,41,0.2,11,30,287,0,0.202734375,Cube_Ela2_Var11
21,110,0.7,5,80,249,0,0.95390625,Cube_Ela7_Var5
22,35,0.2,5,24,118,0,0.2359375,Cube_Ela2_Var5
23,127,0.8,7,75,154,0,0.7171875,Cube_Ela8_Var7
24,34,0.2,4,38,161,0,0.644921875,Cube_Ela2_Var4
25,25,0.1,10,37,122,0,0.13359375,Cube_Ela1_Var10
26,106,0.7,1,77,178,0,0.868359375,Cube_Ela7_Var1
27,102,0.6,12,65,208,0,0.898046875,Cube_Ela6_Var12
28,109,0.7,4,83,175,0,0.925390625,Cube_Ela7_Var4
29,142,0.9,7,103,164,0,0.9296875,Cube_Ela9_Var7
30,134,0.8,14,120,247,0,0.929296875,Cube_Ela8_Var14
31,2,0,2,20,105,0,0.019140625,Cube_Ela0_Var2
32,67,0.4,7,39,196,0,0.4421875,Cube_Ela4_Var7
33,31,0.2,1,34,198,0,0.279296875,Cube_Ela2_Var1
34,12,0,12,35,117,0,0.221875,Cube_Ela0_Var12
35,73,0.4,13,60,122,0,0.5640625,Cube_Ela4_Var13
36,62,0.4,2,54,119,0,0.534375,Cube_Ela4_Var2
37,149,0.9,14,69,104,0,0.555078125,Cube_Ela9_Var14
38,67,0.4,7,39,180,0,0.253515625,Cube_Ela4_Var7
