trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,17,0.1,2,23,184,0,0.09140625,Cube_Ela1_Var2
2,99,0.6,9,65,181,0,0.3484375,Cube_Ela6_Var9
3,99,0.6,9,65,198,0,0.212890625,Cube_Ela6_Var9
4,49,0.3,4,59,195,0,0.111328125,Cube_Ela3_Var4
5,94,0.6,4,91,171,0,0.590234375,Cube_Ela6_Var4
6,65,0.4,5,54,173,0,0.08515625,Cube_Ela4_Var5
7,3,0,3,31,175,0,0.06796875,Cube_Ela0_Var3
8,82,0.5,7,61,158,0,0.105859375,Cube_Ela5_Var7
9,141,0.9,6,119,149,0,0.869140625,Cube_Ela9_Var6
10,148,0.9,13,103,197,0,0.698828125,Cube_Ela9_Var13
11,29,0.1,14,37,124,0,0.06640625,Cube_Ela1_Var14
12,145,0.9,10,120,246,0,0.708984375,Cube_Ela9_Var10
13,148,0.9,13,103,140,0,0.78828125,Cube_Ela9_Var13
14,122,0.8,2,87,233,0,0.818359375,Cube_Ela8_Var2
15,131,0.8,11,97,128,0,0.53671875,Cube_Ela8_Var11
16,148,0.9,13,103,128,0,0.8421875,Cube_Ela9_Var13
17,58,0.3,13,39,120,0,0.151171875,Cube_Ela3_Var13
18,118,0.7,13,61,207,0,0.515234375,Cube_Ela7_Var13
19,140,0.9,5,120,215,0,0.753515625,Cube_Ela9_Var5
20,138,0.9,3,77,95,0,0.244140625,Cube_Ela9_Var3
21,4,0,4,27,138,0,0.017578125,Cube_Ela0_Var4
22,145,0.9,10,120,218,0,0.8015625,Cube_Ela9_Var10
23,15,0,15,34,122,0,0.02109375,Cube_Ela0_Var15
24,34,0.2,4,38,137,0,0.030859375,Cube_Ela2_Var4
25,91,0.6,1,79,105,0,0.44375,Cube_Ela6_Var1
26,144,0.9,9,120,128,0,0.7625,Cube_Ela9_Var9
27,51,0.3,6,28,87,0,0.03828125,Cube_Ela3_Var6
28,137,0.9,2,95,121,0,0.41640625,Cube_Ela9_Var2
29,147,0.9,12,89,206,0,0.6796875,Cube_Ela9_Var12
30,3,0,3,31,119,0,0.066796875,Cube_Ela0_Var3
31,128,0.8,8,83,112,0,0.467578125,Cube_Ela8_Var8
32,59,0.3,14,32,66,0,0.078125,Cube_Ela3_Var14
33,74,0.4,14,39,78,0,0.094921875,Cube_Ela4_Var14
34,106,0.7,1,77,84,0,0.453125,Cube_Ela7_Var1
35,38,0.2,8,42,81,0,0.043359375,Cube_Ela2_Var8
36,9,0,9,26,54,0,0,Cube_Ela0_Var9
37,81,0.5,6,44,63,0,0.2171875,Cube_Ela5_Var6
38,134,0.8,14,120,154,0,0.551171875,Cube_Ela8_Var14
39,38,0.2,8,42,82,0,0.033984375,Cube_Ela2_Var8
40,72,0.4,12,51,71,0,0.257421875,Cube_Ela4_Var12
41,133,0.8,13,94,585,0,0.67109375,Cube_Ela8_Var13
42,125,0.8,5,68,165,0,0.41953125,Cube_Ela8_Var5
43,66,0.4,6,45,151,0,0.378125,Cube_Ela4_Var6
44,52,0.3,7,47,75,0,0.303125,Cube_Ela3_Var7
45,26,0.1,11,51,364,0,0.120703125,Cube_Ela1_Var11
46,45,0.2,15,37,59,0,0.05625,Cube_Ela2_Var15
47,50,0.3,5,41,60,0,0.115625,Cube_Ela3_Var5
48,94,0.6,4,91,114,0,0.64765625,Cube_Ela6_Var4
49,28,0.1,13,38,108,0,0.043359375,Cube_Ela1_Var13
50,100,0.6,10,58,160,0,0.221484375,Cube_Ela6_Var10
51,31,0.2,1,34,232,0,0.035546875,Cube_Ela2_Var1
52,91,0.6,1,79,82,0,0.437890625,Cube_Ela6_Var1
53,35,0.2,5,24,90,0,0.03671875,Cube_Ela2_Var5
54,121,0.8,1,59,80,0,0.26875,Cube_Ela8_Var1
55,54,0.3,9,30,80,0,0.16484375,Cube_Ela3_Var9
56,121,0.8,1,59,139,0,0.165234375,Cube_Ela8_Var1
57,132,0.8,12,106,113,0,0.713671875,Cube_Ela8_Var12
58,111,0.7,6,108,116,0,0.726953125,Cube_Ela7_Var6
59,27,0.1,12,29,90,0,0.149609375,Cube_Ela1_Var12
60,139,0.9,4,120,124,0,0.900390625,Cube_Ela9_Var4
61,112,0.7,7,70,249,0,0.80546875,Cube_Ela7_Var7
62,36,0.2,6,27,62,0,0.05234375,Cube_Ela2_Var6
63,104,0.6,14,55,88,0,0.686328125,Cube_Ela6_Var14
64,138,0.9,3,77,103,0,0.726953125,Cube_Ela9_Var3
65,136,0.9,1,104,143,0,0.636328125,Cube_Ela9_Var1
66,68,0.4,8,49,188,0,0.471875,Cube_Ela4_Var8
67,104,0.6,14,55,72,0,0.463671875,Cube_Ela6_Var14
68,89,0.5,14,52,210,0,0.245703125,Cube_Ela5_Var14
69,103,0.6,13,70,195,0,0.49765625,Cube_Ela6_Var13
70,31,0.2,1,34,75,0,0.137109375,Cube_Ela2_Var1
71,40,0.2,10,39,95,0,0.105078125,Cube_Ela2_Var10
72,12,0,12,35,252,0,0.077734375,Cube_Ela0_Var12
73,130,0.8,10,101,135,0,0.493359375,Cube_Ela8_Var10
74,135,0.8,15,120,134,0,0.637109375,Cube_Ela8_Var15
75,122,0.8,2,87,243,0,0.640625,Cube_Ela8_Var2
76,31,0.2,1,34,292,0,0.1421875,Cube_Ela2_Var1
77,136,0.9,1,104,195,0,0.642578125,Cube_Ela9_Var1
78,90,0.5,15,63,210,0,0.660546875,Cube_Ela5_Var15
79,100,0.6,10,58,133,0,0.787890625,Cube_Ela6_Var10
80,121,0.8,1,59,302,0,0.67890625,Cube_Ela8_Var1
81,147,0.9,12,89,278,0,0.6328125,Cube_Ela9_Var12
