trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,48,0.3,3,54,537,0,0.88984375,Cube_Ela3_Var3
2,143,0.9,8,81,164,0,0.848046875,Cube_Ela9_Var8
3,99,0.6,9,65,266,0,0.9703125,Cube_Ela6_Var9
4,105,0.6,15,86,183,0,0.916796875,Cube_Ela6_Var15
5,20,0.1,5,24,124,0,0.078515625,Cube_Ela1_Var5
6,73,0.4,13,60,236,0,0.7125,Cube_Ela4_Var13
7,23,0.1,8,34,150,0,0.131640625,Cube_Ela1_Var8
8,118,0.7,13,61,110,0,0.496484375,Cube_Ela7_Var13
9,136,0.9,1,104,164,0,0.8578125,Cube_Ela9_Var1
10,33,0.2,3,32,132,0,0.558203125,Cube_Ela2_Var3
11,84,0.5,9,64,82,0,0.088671875,Cube_Ela5_Var9
12,92,0.6,2,79,258,0,0.759375,Cube_Ela6_Var2
13,25,0.1,10,37,98,0,0.05625,Cube_Ela1_Var10
14,60,0.3,15,49,106,0,0.290234375,Cube_Ela3_Var15
15,87,0.5,12,56,274,0,0.154296875,Cube_Ela5_Var12
16,112,0.7,7,70,169,0,0.570703125,Cube_Ela7_Var7
17,20,0.1,5,24,80,0,0.04296875,Cube_Ela1_Var5
18,141,0.9,6,119,140,0,0.97421875,Cube_Ela9_Var6
19,114,0.7,9,77,156,0,0.83359375,Cube_Ela7_Var9
20,141,0.9,6,119,164,0,0.874609375,Cube_Ela9_Var6
21,2,0,2,20,76,0,0.0359375,Cube_Ela0_Var2
22,143,0.9,8,81,119,0,0.95859375,Cube_Ela9_Var8
23,68,0.4,8,49,105,0,0.735546875,Cube_Ela4_Var8
24,70,0.4,10,57,82,0,0.888671875,Cube_Ela4_Var10
25,90,0.5,15,63,131,0,0.891796875,Cube_Ela5_Var15
26,146,0.9,11,109,143,0,0.92265625,Cube_Ela9_Var11
27,34,0.2,4,38,125,0,0.6484375,Cube_Ela2_Var4
28,120,0.7,15,92,150,0,0.909375,Cube_Ela7_Var15
29,85,0.5,10,69,143,0,0.626953125,Cube_Ela5_Var10
30,26,0.1,11,51,110,0,0.12890625,Cube_Ela1_Var11
31,75,0.4,15,33,146,0,0.125,Cube_Ela4_Var15
32,64,0.4,4,47,91,0,0.614453125,Cube_Ela4_Var4
33,20,0.1,5,24,123,0,0.06640625,Cube_Ela1_Var5
34,138,0.9,3,77,229,0,0.930078125,Cube_Ela9_Var3
35,71,0.4,11,49,130,0,0.294140625,Cube_Ela4_Var11
36,142,0.9,7,103,197,0,0.874609375,Cube_Ela9_Var7
37,98,0.6,8,66,125,0,0.84609375,Cube_Ela6_Var8
38,102,0.6,12,65,122,0,0.6828125,Cube_Ela6_Var12
39,29,0.1,14,37,113,0,0.28046875,Cube_Ela1_Var14
40,1,0,1,20,126,0,0.106640625,Cube_Ela0_Var1
41,112,0.7,7,70,420,0,0.7859375,Cube_Ela7_Var7
42,53,0.3,8,52,161,0,0.385546875,Cube_Ela3_Var8
43,138,0.9,3,77,145,0,0.866796875,Cube_Ela9_Var3
44,88,0.5,13,57,116,0,0.89453125,Cube_Ela5_Var13
45,59,0.3,14,32,116,0,0.3875,Cube_Ela3_Var14
46,40,0.2,10,39,120,0,0.273828125,Cube_Ela2_Var10
47,147,0.9,12,89,188,0,0.853125,Cube_Ela9_Var12
48,137,0.9,2,95,96,0,0.999609375,Cube_Ela9_Var2
49,8,0,8,28,116,0,0.035546875,Cube_Ela0_Var8
50,134,0.8,14,120,145,0,0.999609375,Cube_Ela8_Var14
51,101,0.6,11,89,246,0,0.96640625,Cube_Ela6_Var11
52,4,0,4,27,112,0,0.055078125,Cube_Ela0_Var4
53,77,0.5,2,61,97,0,0.18671875,Cube_Ela5_Var2
54,17,0.1,2,23,72,0,0.044140625,Cube_Ela1_Var2
55,39,0.2,9,31,153,0,0.294921875,Cube_Ela2_Var9
56,76,0.5,1,59,131,0,0.9015625,Cube_Ela5_Var1
57,135,0.8,15,120,149,0,0.966015625,Cube_Ela8_Var15
58,69,0.4,9,36,165,0,0.078125,Cube_Ela4_Var9
59,64,0.4,4,47,146,0,0.940234375,Cube_Ela4_Var4
60,50,0.3,5,41,168,0,0.05078125,Cube_Ela3_Var5
61,143,0.9,8,81,219,0,0.926953125,Cube_Ela9_Var8
62,65,0.4,5,54,141,0,0.7421875,Cube_Ela4_Var5
63,94,0.6,4,91,114,0,0.862109375,Cube_Ela6_Var4
64,102,0.6,12,65,132,0,0.73515625,Cube_Ela6_Var12
65,114,0.7,9,77,191,0,0.83671875,Cube_Ela7_Var9
66,130,0.8,10,101,106,0,0.934375,Cube_Ela8_Var10
67,132,0.8,12,106,127,0,0.89375,Cube_Ela8_Var12
68,44,0.2,14,34,121,0,0.3328125,Cube_Ela2_Var14
69,123,0.8,3,97,185,0,0.959765625,Cube_Ela8_Var3
70,57,0.3,12,44,129,0,0.33046875,Cube_Ela3_Var12
71,9,0,9,26,106,0,0.0625,Cube_Ela0_Var9
72,42,0.2,12,32,71,0,0.23359375,Cube_Ela2_Var12
73,108,0.7,3,80,201,0,0.588671875,Cube_Ela7_Var3
74,3,0,3,31,94,0,0.16171875,Cube_Ela0_Var3
75,89,0.5,14,52,169,0,0.344140625,Cube_Ela5_Var14
76,137,0.9,2,95,162,0,0.75390625,Cube_Ela9_Var2
77,3,0,3,31,64,0,0.03984375,Cube_Ela0_Var3
78,12,0,12,35,79,0,0.1109375,Cube_Ela0_Var12
79,53,0.3,8,52,159,0,0.314453125,Cube_Ela3_Var8
80,63,0.4,3,64,195,0,0.346484375,Cube_Ela4_Var3
81,17,0.1,2,23,106,0,0.09921875,Cube_Ela1_Var2
82,101,0.6,11,89,106,0,0.70234375,Cube_Ela6_Var11
83,117,0.7,12,85,96,0,0.858984375,Cube_Ela7_Var12
84,120,0.7,15,92,134,0,0.925,Cube_Ela7_Var15
85,83,0.5,8,47,114,0,0.28046875,Cube_Ela5_Var8
86,75,0.4,15,33,86,0,0.16328125,Cube_Ela4_Var15
87,148,0.9,13,103,189,0,0.748046875,Cube_Ela9_Var13
88,121,0.8,1,59,84,0,0.5265625,Cube_Ela8_Var1
89,105,0.6,15,86,246,0,0.522265625,Cube_Ela6_Var15
90,81,0.5,6,44,71,0,0.093359375,Cube_Ela5_Var6
91,128,0.8,8,83,86,0,0.244921875,Cube_Ela8_Var8
92,96,0.6,6,61,142,0,0.448046875,Cube_Ela6_Var6
93,25,0.1,10,37,75,0,0.044921875,Cube_Ela1_Var10
94,129,0.8,9,78,99,0,0.901953125,Cube_Ela8_Var9
95,35,0.2,5,24,91,0,0.0703125,Cube_Ela2_Var5
96,83,0.5,8,47,126,0,0.615625,Cube_Ela5_Var8
97,59,0.3,14,32,132,0,0.108203125,Cube_Ela3_Var14
98,51,0.3,6,28,87,0,0.07421875,Cube_Ela3_Var6
99,81,0.5,6,44,88,0,0.392578125,Cube_Ela5_Var6
100,41,0.2,11,30,88,0,0.097265625,Cube_Ela2_Var11
101,123,0.8,3,97,130,0,0.855859375,Cube_Ela8_Var3
102,81,0.5,6,44,63,0,0.0578125,Cube_Ela5_Var6
103,30,0.1,15,39,57,0,0.086328125,Cube_Ela1_Var15
104,22,0.1,7,34,105,0,0.129296875,Cube_Ela1_Var7
105,135,0.8,15,120,124,0,0.80625,Cube_Ela8_Var15
106,95,0.6,5,79,102,0,0.912890625,Cube_Ela6_Var5
107,78,0.5,3,63,80,0,0.92734375,Cube_Ela5_Var3
108,47,0.3,2,40,82,0,0.18046875,Cube_Ela3_Var2
109,87,0.5,12,56,91,0,0.710546875,Cube_Ela5_Var12
110,70,0.4,10,57,87,0,0.787109375,Cube_Ela4_Var10
111,76,0.5,1,59,118,0,0.741796875,Cube_Ela5_Var1
112,15,0,15,34,163,0,0.1421875,Cube_Ela0_Var15
113,27,0.1,12,29,60,0,0.139453125,Cube_Ela1_Var12
114,108,0.7,3,80,81,0,0.39375,Cube_Ela7_Var3
115,31,0.2,1,34,68,0,0.366796875,Cube_Ela2_Var1
116,118,0.7,13,61,75,0,0.463671875,Cube_Ela7_Var13
117,15,0,15,34,102,0,0.3,Cube_Ela0_Var15
118,22,0.1,7,34,84,0,0.121875,Cube_Ela1_Var7
119,61,0.4,1,54,62,0,0.589453125,Cube_Ela4_Var1
120,53,0.3,8,52,103,0,0.679296875,Cube_Ela3_Var8
121,32,0.2,2,35,123,0,0.28125,Cube_Ela2_Var2
122,147,0.9,12,89,90,0,0.676953125,Cube_Ela9_Var12
123,128,0.8,8,83,155,0,0.780859375,Cube_Ela8_Var8
124,38,0.2,8,42,91,0,0.31328125,Cube_Ela2_Var8
125,77,0.5,2,61,89,0,0.63046875,Cube_Ela5_Var2
126,1,0,1,20,45,0,0.051953125,Cube_Ela0_Var1
127,127,0.8,7,75,128,0,0.81171875,Cube_Ela8_Var7
128,51,0.3,6,28,53,0,0.294921875,Cube_Ela3_Var6
129,16,0.1,1,28,74,0,0.299609375,Cube_Ela1_Var1
130,96,0.6,6,61,72,0,0.466015625,Cube_Ela6_Var6
131,36,0.2,6,27,56,0,0.058203125,Cube_Ela2_Var6
