trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,90,0.5,15,63,817,0,0.1125,Cube_Ela5_Var15
2,39,0.2,9,31,95,0,0,Cube_Ela2_Var9
3,31,0.2,1,34,133,0,0.17109375,Cube_Ela2_Var1
4,116,0.7,11,72,172,0,0.394140625,Cube_Ela7_Var11
5,69,0.4,9,36,69,0,0.084765625,Cube_Ela4_Var9
6,74,0.4,14,39,167,0,0.45078125,Cube_Ela4_Var14
7,98,0.6,8,66,133,0,0.61328125,Cube_Ela6_Var8
8,89,0.5,14,52,309,0,0.290625,Cube_Ela5_Var14
9,51,0.3,6,28,92,0,0.1375,Cube_Ela3_Var6
10,69,0.4,9,36,111,0,0.50859375,Cube_Ela4_Var9
11,140,0.9,5,120,207,0,0.80625,Cube_Ela9_Var5
12,73,0.4,13,60,79,0,0.701171875,Cube_Ela4_Var13
13,51,0.3,6,28,90,0,0.292578125,Cube_Ela3_Var6
14,103,0.6,13,70,387,0,0.3171875,Cube_Ela6_Var13
15,98,0.6,8,66,160,0,0.590625,Cube_Ela6_Var8
16,28,0.1,13,38,96,0,0.155078125,Cube_Ela1_Var13
17,13,0,13,30,152,0,0.048828125,Cube_Ela0_Var13
18,37,0.2,7,42,171,0,0.389453125,Cube_Ela2_Var7
19,103,0.6,13,70,202,0,0.3984375,Cube_Ela6_Var13
20,3,0,3,31,245,0,0.216796875,Cube_Ela0_Var3
21,7,0,7,27,83,0,0.034375,Cube_Ela0_Var7
22,20,0.1,5,24,58,0,0.156640625,Cube_Ela1_Var5
23,1,0,1,20,63,0,0.2109375,Cube_Ela0_Var1
24,98,0.6,8,66,145,0,0.85234375,Cube_Ela6_Var8
25,107,0.7,2,77,116,0,0.74375,Cube_Ela7_Var2
26,2,0,2,20,42,0,0,Cube_Ela0_Var2
27,68,0.4,8,49,141,0,0.67890625,Cube_Ela4_Var8
28,54,0.3,9,30,124,0,0.616796875,Cube_Ela3_Var9
29,133,0.8,13,94,205,0,0.82578125,Cube_Ela8_Var13
30,61,0.4,1,54,131,0,0.64921875,Cube_Ela4_Var1
31,114,0.7,9,77,254,0,0.551953125,Cube_Ela7_Var9
32,113,0.7,8,69,234,0,0.615625,Cube_Ela7_Var8
33,124,0.8,4,85,181,0,0.777734375,Cube_Ela8_Var4
34,56,0.3,11,47,579,0,0.31640625,Cube_Ela3_Var11
35,122,0.8,2,87,427,0,0.420703125,Cube_Ela8_Var2
36,134,0.8,14,120,133,0,0.57890625,Cube_Ela8_Var14
37,72,0.4,12,51,128,0,0.690625,Cube_Ela4_Var12
38,38,0.2,8,42,112,0,0.428125,Cube_Ela2_Var8
39,149,0.9,14,69,140,0,0.63671875,Cube_Ela9_Var14
40,87,0.5,12,56,176,0,0.576171875,Cube_Ela5_Var12
41,101,0.6,11,89,722,0,0.546484375,Cube_Ela6_Var11
42,70,0.4,10,57,234,0,0.600390625,Cube_Ela4_Var10
43,64,0.4,4,47,224,0,0.333203125,Cube_Ela4_Var4
44,49,0.3,4,59,74,0,0.481640625,Cube_Ela3_Var4
45,6,0,6,34,53,0,0,Cube_Ela0_Var6
46,125,0.8,5,68,88,0,0.61640625,Cube_Ela8_Var5
47,125,0.8,5,68,82,0,0.71796875,Cube_Ela8_Var5
48,95,0.6,5,79,82,0,0.67421875,Cube_Ela6_Var5
49,139,0.9,4,120,124,0,0.9296875,Cube_Ela9_Var4
50,14,0,14,32,45,0,0,Cube_Ela0_Var14
51,10,0,10,34,84,0,0,Cube_Ela0_Var10
52,80,0.5,5,73,78,0,0.763671875,Cube_Ela5_Var5
53,105,0.6,15,86,92,0,0.62109375,Cube_Ela6_Var15
54,31,0.2,1,34,86,0,0.2703125,Cube_Ela2_Var1
55,111,0.7,6,108,109,0,0.94140625,Cube_Ela7_Var6
