trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,103,0.6,13,70,191,0,0.52109375,Cube_Ela6_Var13
2,88,0.5,13,57,154,0,0.3765625,Cube_Ela5_Var13
3,116,0.7,11,72,171,0,0.624609375,Cube_Ela7_Var11
4,62,0.4,2,54,84,0,0.590625,Cube_Ela4_Var2
5,110,0.7,5,80,100,0,0.608203125,Cube_Ela7_Var5
6,150,0.9,15,88,102,0,0.65390625,Cube_Ela9_Var15
7,104,0.6,14,55,75,0,0.6578125,Cube_Ela6_Var14
8,24,0.1,9,32,68,0,0.3921875,Cube_Ela1_Var9
9,44,0.2,14,34,71,0,0.446484375,Cube_Ela2_Var14
10,90,0.5,15,63,128,0,0.732421875,Cube_Ela5_Var15
11,49,0.3,4,59,1501,0,0.45859375,Cube_Ela3_Var4
12,136,0.9,1,104,112,0,0.674609375,Cube_Ela9_Var1
13,51,0.3,6,28,115,0,0.47109375,Cube_Ela3_Var6
14,96,0.6,6,61,103,0,0.60703125,Cube_Ela6_Var6
15,57,0.3,12,44,160,0,0.50625,Cube_Ela3_Var12
16,139,0.9,4,120,168,0,0.70703125,Cube_Ela9_Var4
17,88,0.5,13,57,97,0,0.60703125,Cube_Ela5_Var13
18,86,0.5,11,79,118,0,0.462890625,Cube_Ela5_Var11
19,18,0.1,3,29,417,0,0.326171875,Cube_Ela1_Var3
20,75,0.4,15,33,139,0,0.308203125,Cube_Ela4_Var15
21,86,0.5,11,79,429,0,0.5671875,Cube_Ela5_Var11
22,106,0.7,1,77,231,0,0.53046875,Cube_Ela7_Var1
23,46,0.3,1,55,112,0,0.5578125,Cube_Ela3_Var1
24,140,0.9,5,120,155,0,0.881640625,Cube_Ela9_Var5
25,96,0.6,6,61,184,0,0.871875,Cube_Ela6_Var6
26,83,0.5,8,47,94,0,0.76953125,Cube_Ela5_Var8
27,38,0.2,8,42,86,0,0.280859375,Cube_Ela2_Var8
28,90,0.5,15,63,143,0,0.5265625,Cube_Ela5_Var15
29,95,0.6,5,79,92,0,0.7765625,Cube_Ela6_Var5
30,22,0.1,7,34,55,0,0.19296875,Cube_Ela1_Var7
31,110,0.7,5,80,434,0,0.510546875,Cube_Ela7_Var5
32,104,0.6,14,55,85,0,0.526171875,Cube_Ela6_Var14
33,120,0.7,15,92,139,0,0.7046875,Cube_Ela7_Var15
34,150,0.9,15,88,102,0,0.725390625,Cube_Ela9_Var15
35,109,0.7,4,83,151,0,0.7296875,Cube_Ela7_Var4
36,112,0.7,7,70,415,0,0.73671875,Cube_Ela7_Var7
37,70,0.4,10,57,267,0,0.425,Cube_Ela4_Var10
38,137,0.9,2,95,361,0,0.760546875,Cube_Ela9_Var2
39,42,0.2,12,32,66,0,0.311328125,Cube_Ela2_Var12
40,65,0.4,5,54,87,0,0.54140625,Cube_Ela4_Var5
41,114,0.7,9,77,352,0,0.55546875,Cube_Ela7_Var9
42,75,0.4,15,33,87,0,0.319921875,Cube_Ela4_Var15
43,11,0,11,30,96,0,0.15078125,Cube_Ela0_Var11
44,67,0.4,7,39,75,0,0.161328125,Cube_Ela4_Var7
45,115,0.7,10,78,112,0,0.876171875,Cube_Ela7_Var10
46,25,0.1,10,37,97,0,0.03828125,Cube_Ela1_Var10
47,74,0.4,14,39,66,0,0,Cube_Ela4_Var14
48,142,0.9,7,103,113,0,0.945703125,Cube_Ela9_Var7
49,108,0.7,3,80,95,0,0.999609375,Cube_Ela7_Var3
50,29,0.1,14,37,189,0,0.212890625,Cube_Ela1_Var14
51,12,0,12,35,390,0,0.021875,Cube_Ela0_Var12
52,2,0,2,20,126,0,0,Cube_Ela0_Var2
53,103,0.6,13,70,147,0,0.84609375,Cube_Ela6_Var13
54,149,0.9,14,69,294,0,0.56796875,Cube_Ela9_Var14
55,103,0.6,13,70,785,0,0.68046875,Cube_Ela6_Var13
56,91,0.6,1,79,153,0,0.665625,Cube_Ela6_Var1
57,117,0.7,12,85,208,0,0.6234375,Cube_Ela7_Var12
58,85,0.5,10,69,140,0,0.74296875,Cube_Ela5_Var10
59,34,0.2,4,38,663,0,0.11875,Cube_Ela2_Var4
60,100,0.6,10,58,1041,0,0.5890625,Cube_Ela6_Var10
61,144,0.9,9,120,134,0,0.90390625,Cube_Ela9_Var9
62,24,0.1,9,32,112,0,0.0265625,Cube_Ela1_Var9
63,99,0.6,9,65,119,0,0.925,Cube_Ela6_Var9
64,36,0.2,6,27,84,0,0.00546875,Cube_Ela2_Var6
