trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,56,0.3,11,47,186,0,0.39296875,Cube_Ela3_Var11
2,116,0.7,11,72,123,0,0.8921875,Cube_Ela7_Var11
3,144,0.9,9,120,242,0,0.963671875,Cube_Ela9_Var9
4,105,0.6,15,86,149,0,0.68359375,Cube_Ela6_Var15
5,48,0.3,3,54,114,0,0.69765625,Cube_Ela3_Var3
6,98,0.6,8,66,160,0,0.666796875,Cube_Ela6_Var8
7,69,0.4,9,36,168,0,0.189453125,Cube_Ela4_Var9
8,114,0.7,9,77,137,0,0.705859375,Cube_Ela7_Var9
9,122,0.8,2,87,226,0,0.788671875,Cube_Ela8_Var2
10,3,0,3,31,96,0,0.165234375,Cube_Ela0_Var3
11,9,0,9,26,137,0,0,Cube_Ela0_Var9
12,107,0.7,2,77,149,0,0.88828125,Cube_Ela7_Var2
13,112,0.7,7,70,142,0,0.60859375,Cube_Ela7_Var7
14,21,0.1,6,36,105,0,0.240234375,Cube_Ela1_Var6
15,106,0.7,1,77,109,0,0.562109375,Cube_Ela7_Var1
16,142,0.9,7,103,205,0,0.8171875,Cube_Ela9_Var7
17,3,0,3,31,84,0,0.171484375,Cube_Ela0_Var3
18,53,0.3,8,52,212,0,0.466015625,Cube_Ela3_Var8
19,120,0.7,15,92,225,0,0.60078125,Cube_Ela7_Var15
20,23,0.1,8,34,116,0,0,Cube_Ela1_Var8
21,61,0.4,1,54,277,0,0.190625,Cube_Ela4_Var1
22,27,0.1,12,29,128,0,0.072265625,Cube_Ela1_Var12
23,64,0.4,4,47,107,0,0.448046875,Cube_Ela4_Var4
24,36,0.2,6,27,82,0,0,Cube_Ela2_Var6
25,51,0.3,6,28,192,0,0.232421875,Cube_Ela3_Var6
26,66,0.4,6,45,128,0,0.440625,Cube_Ela4_Var6
27,6,0,6,34,107,0,0.154296875,Cube_Ela0_Var6
28,143,0.9,8,81,162,0,0.561328125,Cube_Ela9_Var8
29,90,0.5,15,63,124,0,0.570703125,Cube_Ela5_Var15
30,131,0.8,11,97,184,0,0.912109375,Cube_Ela8_Var11
31,75,0.4,15,33,150,0,0.12890625,Cube_Ela4_Var15
32,73,0.4,13,60,139,0,0.72578125,Cube_Ela4_Var13
33,100,0.6,10,58,160,0,0.59765625,Cube_Ela6_Var10
34,60,0.3,15,49,102,0,0.441796875,Cube_Ela3_Var15
35,17,0.1,2,23,75,0,0.068359375,Cube_Ela1_Var2
36,10,0,10,34,78,0,0,Cube_Ela0_Var10
37,59,0.3,14,32,102,0,0.2296875,Cube_Ela3_Var14
38,22,0.1,7,34,70,0,0.053515625,Cube_Ela1_Var7
39,12,0,12,35,101,0,0.171484375,Cube_Ela0_Var12
40,129,0.8,9,78,158,0,0.70234375,Cube_Ela8_Var9
41,80,0.5,5,73,111,0,0.59375,Cube_Ela5_Var5
42,93,0.6,3,68,93,0,0.778515625,Cube_Ela6_Var3
43,30,0.1,15,39,75,0,0.17109375,Cube_Ela1_Var15
44,144,0.9,9,120,158,0,0.9484375,Cube_Ela9_Var9
45,72,0.4,12,51,100,0,0.521484375,Cube_Ela4_Var12
46,78,0.5,3,63,172,0,0.516015625,Cube_Ela5_Var3
47,24,0.1,9,32,69,0,0,Cube_Ela1_Var9
48,127,0.8,7,75,82,0,0.8625,Cube_Ela8_Var7
49,133,0.8,13,94,140,0,0.990625,Cube_Ela8_Var13
50,8,0,8,28,64,0,0.09453125,Cube_Ela0_Var8
51,145,0.9,10,120,354,0,0.817578125,Cube_Ela9_Var10
52,82,0.5,7,61,88,0,0.855859375,Cube_Ela5_Var7
53,107,0.7,2,77,462,0,0.90390625,Cube_Ela7_Var2
