trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,76,0.5,1,59,180,0,0.662890625,Cube_Ela5_Var1
2,36,0.2,6,27,105,0,0.334375,Cube_Ela2_Var6
3,112,0.7,7,70,120,0,0.8140625,Cube_Ela7_Var7
4,140,0.9,5,120,121,0,0.999609375,Cube_Ela9_Var5
5,91,0.6,1,79,175,0,0.965625,Cube_Ela6_Var1
6,21,0.1,6,36,175,0,0.41015625,Cube_Ela1_Var6
7,142,0.9,7,103,196,0,0.936328125,Cube_Ela9_Var7
8,22,0.1,7,34,144,0,0.324609375,Cube_Ela1_Var7
9,128,0.8,8,83,190,0,0.801171875,Cube_Ela8_Var8
10,76,0.5,1,59,183,0,0.88359375,Cube_Ela5_Var1
11,32,0.2,2,35,109,0,0.25390625,Cube_Ela2_Var2
12,36,0.2,6,27,98,0,0.105078125,Cube_Ela2_Var6
13,33,0.2,3,32,66,0,0.333984375,Cube_Ela2_Var3
14,34,0.2,4,38,300,0,0.47734375,Cube_Ela2_Var4
15,49,0.3,4,59,195,0,0.727734375,Cube_Ela3_Var4
16,66,0.4,6,45,131,0,0.926171875,Cube_Ela4_Var6
17,146,0.9,11,109,290,0,0.98984375,Cube_Ela9_Var11
18,83,0.5,8,47,178,0,0.653515625,Cube_Ela5_Var8
19,72,0.4,12,51,164,0,0.4703125,Cube_Ela4_Var12
20,52,0.3,7,47,155,0,0.663671875,Cube_Ela3_Var7
21,13,0,13,30,126,0,0.16328125,Cube_Ela0_Var13
22,136,0.9,1,104,171,0,0.999609375,Cube_Ela9_Var1
23,37,0.2,7,42,162,0,0.6734375,Cube_Ela2_Var7
24,94,0.6,4,91,97,0,0.85703125,Cube_Ela6_Var4
25,15,0,15,34,215,0,0.03203125,Cube_Ela0_Var15
26,143,0.9,8,81,176,0,0.91484375,Cube_Ela9_Var8
27,21,0.1,6,36,101,0,0.00703125,Cube_Ela1_Var6
28,92,0.6,2,79,127,0,0.999609375,Cube_Ela6_Var2
29,26,0.1,11,51,229,0,0.366015625,Cube_Ela1_Var11
30,98,0.6,8,66,90,0,0.925,Cube_Ela6_Var8
31,17,0.1,2,23,76,0,0,Cube_Ela1_Var2
32,87,0.5,12,56,211,0,0.8328125,Cube_Ela5_Var12
33,43,0.2,13,37,160,0,0.214453125,Cube_Ela2_Var13
34,62,0.4,2,54,121,0,0.193359375,Cube_Ela4_Var2
35,68,0.4,8,49,73,0,0.44921875,Cube_Ela4_Var8
36,97,0.6,7,78,152,0,0.90390625,Cube_Ela6_Var7
37,146,0.9,11,109,158,0,0.999609375,Cube_Ela9_Var11
38,68,0.4,8,49,150,0,0.339453125,Cube_Ela4_Var8
