trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,143,0.9,8,81,169,0,0.230859375,Cube_Ela9_Var8
2,143,0.9,8,81,164,0,0.3765625,Cube_Ela9_Var8
3,35,0.2,5,24,100,0,0.0375,Cube_Ela2_Var5
4,75,0.4,15,33,102,0,0.187109375,Cube_Ela4_Var15
5,49,0.3,4,59,116,0,0.345703125,Cube_Ela3_Var4
6,114,0.7,9,77,134,0,0.69140625,Cube_Ela7_Var9
7,93,0.6,3,68,122,0,0.838671875,Cube_Ela6_Var3
8,148,0.9,13,103,208,0,0.490234375,Cube_Ela9_Var13
9,90,0.5,15,63,95,0,0.841796875,Cube_Ela5_Var15
10,59,0.3,14,32,82,0,0.1296875,Cube_Ela3_Var14
11,66,0.4,6,45,230,0,0.1484375,Cube_Ela4_Var6
12,89,0.5,14,52,57,0,0.53984375,Cube_Ela5_Var14
13,32,0.2,2,35,67,0,0.11015625,Cube_Ela2_Var2
14,74,0.4,14,39,89,0,0.127734375,Cube_Ela4_Var14
15,65,0.4,5,54,60,0,0.86171875,Cube_Ela4_Var5
16,58,0.3,13,39,49,0,0.44921875,Cube_Ela3_Var13
17,107,0.7,2,77,130,0,0.937109375,Cube_Ela7_Var2
18,39,0.2,9,31,67,0,0.16640625,Cube_Ela2_Var9
19,147,0.9,12,89,175,0,0.79375,Cube_Ela9_Var12
20,2,0,2,20,57,0,0.29375,Cube_Ela0_Var2
21,72,0.4,12,51,84,0,0.306640625,Cube_Ela4_Var12
22,69,0.4,9,36,73,0,0.12265625,Cube_Ela4_Var9
23,2,0,2,20,63,0,0.055859375,Cube_Ela0_Var2
24,79,0.5,4,44,83,0,0.508203125,Cube_Ela5_Var4
25,69,0.4,9,36,61,0,0.246875,Cube_Ela4_Var9
26,12,0,12,35,50,0,0.3046875,Cube_Ela0_Var12
27,47,0.3,2,40,54,0,0.58671875,Cube_Ela3_Var2
28,102,0.6,12,65,66,0,0.9234375,Cube_Ela6_Var12
29,144,0.9,9,120,166,0,0.999609375,Cube_Ela9_Var9
30,131,0.8,11,97,111,0,0.9546875,Cube_Ela8_Var11
31,3,0,3,31,79,0,0.10859375,Cube_Ela0_Var3
32,75,0.4,15,33,53,0,0.49296875,Cube_Ela4_Var15
33,109,0.7,4,83,126,0,0.944140625,Cube_Ela7_Var4
34,112,0.7,7,70,139,0,0.558984375,Cube_Ela7_Var7
35,67,0.4,7,39,46,0,0.519921875,Cube_Ela4_Var7
36,31,0.2,1,34,48,0,0.887890625,Cube_Ela2_Var1
37,115,0.7,10,78,140,0,0.98828125,Cube_Ela7_Var10
38,115,0.7,10,78,81,0,0.999609375,Cube_Ela7_Var10
39,7,0,7,27,103,0,0.020703125,Cube_Ela0_Var7
40,81,0.5,6,44,65,0,0.139453125,Cube_Ela5_Var6
41,53,0.3,8,52,90,0,0.123828125,Cube_Ela3_Var8
42,68,0.4,8,49,60,0,0.29296875,Cube_Ela4_Var8
43,57,0.3,12,44,56,0,0.357421875,Cube_Ela3_Var12
44,42,0.2,12,32,57,0,0.278515625,Cube_Ela2_Var12
45,116,0.7,11,72,138,0,0.530078125,Cube_Ela7_Var11
46,56,0.3,11,47,52,0,0.635546875,Cube_Ela3_Var11
47,88,0.5,13,57,58,0,0.921484375,Cube_Ela5_Var13
48,144,0.9,9,120,165,0,0.9796875,Cube_Ela9_Var9
49,104,0.6,14,55,66,0,0.56640625,Cube_Ela6_Var14
50,43,0.2,13,37,68,0,0.670703125,Cube_Ela2_Var13
51,105,0.6,15,86,140,0,0.95078125,Cube_Ela6_Var15
52,57,0.3,12,44,57,0,0.619921875,Cube_Ela3_Var12
53,66,0.4,6,45,50,0,0.3921875,Cube_Ela4_Var6
54,98,0.6,8,66,93,0,0.51484375,Cube_Ela6_Var8
55,68,0.4,8,49,57,0,0.43828125,Cube_Ela4_Var8
56,108,0.7,3,80,82,0,0.559765625,Cube_Ela7_Var3
57,114,0.7,9,77,79,0,0.44375,Cube_Ela7_Var9
58,123,0.8,3,97,102,0,0.894140625,Cube_Ela8_Var3
59,95,0.6,5,79,139,0,0.498828125,Cube_Ela6_Var5
60,100,0.6,10,58,59,0,0.420703125,Cube_Ela6_Var10
61,21,0.1,6,36,65,0,0.337109375,Cube_Ela1_Var6
62,85,0.5,10,69,146,0,0.48828125,Cube_Ela5_Var10
63,95,0.6,5,79,166,0,0.577734375,Cube_Ela6_Var5
64,87,0.5,12,56,83,0,0.55234375,Cube_Ela5_Var12
65,79,0.5,4,44,51,0,0.60234375,Cube_Ela5_Var4
66,139,0.9,4,120,190,0,0.999609375,Cube_Ela9_Var4
67,8,0,8,28,65,0,0.260546875,Cube_Ela0_Var8
68,90,0.5,15,63,67,0,0.704296875,Cube_Ela5_Var15
69,101,0.6,11,89,90,0,0.809765625,Cube_Ela6_Var11
70,2,0,2,20,63,0,0,Cube_Ela0_Var2
71,129,0.8,9,78,79,0,0.66640625,Cube_Ela8_Var9
72,85,0.5,10,69,140,0,0.637890625,Cube_Ela5_Var10
73,132,0.8,12,106,109,0,0.984375,Cube_Ela8_Var12
74,50,0.3,5,41,84,0,0.658984375,Cube_Ela3_Var5
75,133,0.8,13,94,95,0,0.984765625,Cube_Ela8_Var13
76,37,0.2,7,42,50,0,0.584375,Cube_Ela2_Var7
77,55,0.3,10,62,128,0,0.503515625,Cube_Ela3_Var10
78,53,0.3,8,52,65,0,0.294921875,Cube_Ela3_Var8
79,48,0.3,3,54,62,0,0.35859375,Cube_Ela3_Var3
80,97,0.6,7,78,160,0,0.25546875,Cube_Ela6_Var7
81,108,0.7,3,80,139,0,0.38203125,Cube_Ela7_Var3
82,77,0.5,2,61,67,0,0.853125,Cube_Ela5_Var2
83,42,0.2,12,32,57,0,0.205859375,Cube_Ela2_Var12
84,80,0.5,5,73,77,0,0.971875,Cube_Ela5_Var5
85,117,0.7,12,85,143,0,0.966015625,Cube_Ela7_Var12
86,129,0.8,9,78,157,0,0.753125,Cube_Ela8_Var9
87,37,0.2,7,42,50,0,0.364453125,Cube_Ela2_Var7
88,20,0.1,5,24,59,0,0.02109375,Cube_Ela1_Var5
89,76,0.5,1,59,60,0,0.61328125,Cube_Ela5_Var1
90,126,0.8,6,93,182,0,0.635546875,Cube_Ela8_Var6
91,124,0.8,4,85,173,0,0.415234375,Cube_Ela8_Var4
92,127,0.8,7,75,160,0,0.6890625,Cube_Ela8_Var7
93,21,0.1,6,36,62,0,0.184765625,Cube_Ela1_Var6
94,14,0,14,32,76,0,0.0015625,Cube_Ela0_Var14
95,8,0,8,28,43,0,0.144921875,Cube_Ela0_Var8
96,82,0.5,7,61,76,0,0.561328125,Cube_Ela5_Var7
97,130,0.8,10,101,130,0,0.96171875,Cube_Ela8_Var10
98,110,0.7,5,80,118,0,0.9234375,Cube_Ela7_Var5
99,31,0.2,1,34,62,0,0.725390625,Cube_Ela2_Var1
100,42,0.2,12,32,40,0,0.58125,Cube_Ela2_Var12
101,4,0,4,27,77,0,0.057421875,Cube_Ela0_Var4
102,24,0.1,9,32,66,0,0.062109375,Cube_Ela1_Var9
103,1,0,1,20,56,0,0.073828125,Cube_Ela0_Var1
104,21,0.1,6,36,61,0,0.095703125,Cube_Ela1_Var6
105,34,0.2,4,38,78,0,0.119921875,Cube_Ela2_Var4
106,28,0.1,13,38,54,0,0.144140625,Cube_Ela1_Var13
107,22,0.1,7,34,58,0,0.2984375,Cube_Ela1_Var7
108,28,0.1,13,38,63,0,0.17265625,Cube_Ela1_Var13
109,79,0.5,4,44,62,0,0.27265625,Cube_Ela5_Var4
110,115,0.7,10,78,103,0,0.82421875,Cube_Ela7_Var10
111,30,0.1,15,39,63,0,0.103515625,Cube_Ela1_Var15
112,33,0.2,3,32,66,0,0.20625,Cube_Ela2_Var3
113,32,0.2,2,35,67,0,0.087890625,Cube_Ela2_Var2
114,39,0.2,9,31,64,0,0.187109375,Cube_Ela2_Var9
115,59,0.3,14,32,69,0,0.190625,Cube_Ela3_Var14
116,39,0.2,9,31,64,0,0.10390625,Cube_Ela2_Var9
117,88,0.5,13,57,59,0,0.655859375,Cube_Ela5_Var13
118,103,0.6,13,70,74,0,0.5984375,Cube_Ela6_Var13
119,3,0,3,31,52,0,0.144921875,Cube_Ela0_Var3
120,15,0,15,34,45,0,0.458203125,Cube_Ela0_Var15
121,11,0,11,30,42,0,0.0671875,Cube_Ela0_Var11
