trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,106,0.7,1,77,461,0,0.559375,Cube_Ela7_Var1
2,41,0.2,11,30,240,0,0.55859375,Cube_Ela2_Var11
3,97,0.6,7,78,151,0,0.873828125,Cube_Ela6_Var7
4,60,0.3,15,49,159,0,0.723046875,Cube_Ela3_Var15
5,33,0.2,3,32,155,0,0.6796875,Cube_Ela2_Var3
6,45,0.2,15,37,152,0,0.262109375,Cube_Ela2_Var15
7,131,0.8,11,97,225,0,0.858203125,Cube_Ela8_Var11
8,5,0,5,29,190,0,0.21015625,Cube_Ela0_Var5
9,102,0.6,12,65,133,0,0.733984375,Cube_Ela6_Var12
10,4,0,4,27,113,0,0.078125,Cube_Ela0_Var4
11,10,0,10,34,274,0,0.187890625,Cube_Ela0_Var10
12,48,0.3,3,54,136,0,0.628125,Cube_Ela3_Var3
13,101,0.6,11,89,120,0,0.984765625,Cube_Ela6_Var11
14,107,0.7,2,77,145,0,0.76953125,Cube_Ela7_Var2
15,6,0,6,34,103,0,0.375390625,Cube_Ela0_Var6
16,122,0.8,2,87,174,0,0.69375,Cube_Ela8_Var2
17,65,0.4,5,54,166,0,0.766015625,Cube_Ela4_Var5
18,58,0.3,13,39,88,0,0.376171875,Cube_Ela3_Var13
19,140,0.9,5,120,190,0,0.976953125,Cube_Ela9_Var5
20,83,0.5,8,47,136,0,0.5859375,Cube_Ela5_Var8
21,23,0.1,8,34,160,0,0.2140625,Cube_Ela1_Var8
22,60,0.3,15,49,95,0,0.50703125,Cube_Ela3_Var15
23,111,0.7,6,108,123,0,0.92578125,Cube_Ela7_Var6
24,16,0.1,1,28,80,0,0.322265625,Cube_Ela1_Var1
25,140,0.9,5,120,193,0,0.78984375,Cube_Ela9_Var5
26,15,0,15,34,170,0,0.082421875,Cube_Ela0_Var15
27,100,0.6,10,58,153,0,0.572265625,Cube_Ela6_Var10
28,69,0.4,9,36,99,0,0.1546875,Cube_Ela4_Var9
29,57,0.3,12,44,121,0,0.40546875,Cube_Ela3_Var12
30,31,0.2,1,34,148,0,0.134765625,Cube_Ela2_Var1
31,149,0.9,14,69,140,0,0.21484375,Cube_Ela9_Var14
32,62,0.4,2,54,73,0,0.2859375,Cube_Ela4_Var2
33,66,0.4,6,45,130,0,0.32265625,Cube_Ela4_Var6
34,111,0.7,6,108,234,0,0.900390625,Cube_Ela7_Var6
35,27,0.1,12,29,120,0,0.1875,Cube_Ela1_Var12
36,76,0.5,1,59,122,0,0.4328125,Cube_Ela5_Var1
37,35,0.2,5,24,80,0,0.105859375,Cube_Ela2_Var5
38,94,0.6,4,91,92,0,0.872265625,Cube_Ela6_Var4
39,78,0.5,3,63,171,0,0.10390625,Cube_Ela5_Var3
40,24,0.1,9,32,98,0,0.00703125,Cube_Ela1_Var9
41,130,0.8,10,101,298,0,0.394921875,Cube_Ela8_Var10
42,124,0.8,4,85,173,0,0.15,Cube_Ela8_Var4
43,147,0.9,12,89,223,0,0.6078125,Cube_Ela9_Var12
44,113,0.7,8,69,126,0,0.31796875,Cube_Ela7_Var8
45,107,0.7,2,77,132,0,0.81484375,Cube_Ela7_Var2
46,66,0.4,6,45,138,0,0.57578125,Cube_Ela4_Var6
47,112,0.7,7,70,71,0,0.7015625,Cube_Ela7_Var7
48,120,0.7,15,92,131,0,0.91328125,Cube_Ela7_Var15
49,22,0.1,7,34,91,0,0.276171875,Cube_Ela1_Var7
50,87,0.5,12,56,94,0,0.7015625,Cube_Ela5_Var12
51,137,0.9,2,95,199,0,0.6421875,Cube_Ela9_Var2
52,61,0.4,1,54,112,0,0.663671875,Cube_Ela4_Var1
53,142,0.9,7,103,225,0,0.6046875,Cube_Ela9_Var7
54,146,0.9,11,109,113,0,0.866015625,Cube_Ela9_Var11
55,67,0.4,7,39,160,0,0.265234375,Cube_Ela4_Var7
56,133,0.8,13,94,179,0,0.68671875,Cube_Ela8_Var13
57,110,0.7,5,80,247,0,0.69453125,Cube_Ela7_Var5
58,88,0.5,13,57,177,0,0.551953125,Cube_Ela5_Var13
59,121,0.8,1,59,153,0,0.5203125,Cube_Ela8_Var1
60,84,0.5,9,64,119,0,0.724609375,Cube_Ela5_Var9
61,56,0.3,11,47,240,0,0.5609375,Cube_Ela3_Var11
62,70,0.4,10,57,164,0,0.502734375,Cube_Ela4_Var10
63,24,0.1,9,32,68,0,0.037890625,Cube_Ela1_Var9
64,22,0.1,7,34,104,0,0.512109375,Cube_Ela1_Var7
65,68,0.4,8,49,147,0,0.624609375,Cube_Ela4_Var8
66,89,0.5,14,52,70,0,0.606640625,Cube_Ela5_Var14
67,93,0.6,3,68,100,0,0.642578125,Cube_Ela6_Var3
68,28,0.1,13,38,148,0,0.451953125,Cube_Ela1_Var13
