trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,41,0.2,11,30,212,0,0.20625,Cube_Ela2_Var11
2,122,0.8,2,87,320,0,0.507421875,Cube_Ela8_Var2
3,117,0.7,12,85,174,0,0.671484375,Cube_Ela7_Var12
4,38,0.2,8,42,185,0,0.176171875,Cube_Ela2_Var8
5,79,0.5,4,44,402,0,0.450390625,Cube_Ela5_Var4
6,7,0,7,27,140,0,0.165234375,Cube_Ela0_Var7
7,149,0.9,14,69,86,0,0.651953125,Cube_Ela9_Var14
8,115,0.7,10,78,184,0,0.275390625,Cube_Ela7_Var10
9,124,0.8,4,85,166,0,0.340625,Cube_Ela8_Var4
10,137,0.9,2,95,195,0,0.68359375,Cube_Ela9_Var2
11,117,0.7,12,85,201,0,0.763671875,Cube_Ela7_Var12
12,138,0.9,3,77,234,0,0.78984375,Cube_Ela9_Var3
13,140,0.9,5,120,149,0,0.398046875,Cube_Ela9_Var5
14,102,0.6,12,65,318,0,0.747265625,Cube_Ela6_Var12
15,44,0.2,14,34,379,0,0.61953125,Cube_Ela2_Var14
16,137,0.9,2,95,288,0,0.45078125,Cube_Ela9_Var2
17,67,0.4,7,39,354,0,0.32578125,Cube_Ela4_Var7
18,145,0.9,10,120,256,0,0.69375,Cube_Ela9_Var10
19,130,0.8,10,101,688,0,0.2609375,Cube_Ela8_Var10
20,60,0.3,15,49,195,0,0.81015625,Cube_Ela3_Var15
21,70,0.4,10,57,598,0,0.394140625,Cube_Ela4_Var10
22,120,0.7,15,92,156,0,0.7703125,Cube_Ela7_Var15
23,118,0.7,13,61,78,0,0.333203125,Cube_Ela7_Var13
24,45,0.2,15,37,68,0,0.380859375,Cube_Ela2_Var15
25,58,0.3,13,39,114,0,0.599609375,Cube_Ela3_Var13
26,107,0.7,2,77,254,0,0.751953125,Cube_Ela7_Var2
27,125,0.8,5,68,139,0,0.101171875,Cube_Ela8_Var5
28,110,0.7,5,80,156,0,0.553515625,Cube_Ela7_Var5
29,68,0.4,8,49,257,0,0.2953125,Cube_Ela4_Var8
30,18,0.1,3,29,134,0,0.730859375,Cube_Ela1_Var3
31,74,0.4,14,39,225,0,0.7234375,Cube_Ela4_Var14
32,51,0.3,6,28,145,0,0.305859375,Cube_Ela3_Var6
33,112,0.7,7,70,101,0,0.70078125,Cube_Ela7_Var7
34,4,0,4,27,112,0,0.54140625,Cube_Ela0_Var4
35,22,0.1,7,34,525,0,0.515234375,Cube_Ela1_Var7
36,11,0,11,30,62,0,0.722265625,Cube_Ela0_Var11
37,81,0.5,6,44,66,0,0.951171875,Cube_Ela5_Var6
38,77,0.5,2,61,64,0,0.900390625,Cube_Ela5_Var2
39,121,0.8,1,59,188,0,0.760546875,Cube_Ela8_Var1
40,123,0.8,3,97,144,0,0.667578125,Cube_Ela8_Var3
41,64,0.4,4,47,191,0,0.47578125,Cube_Ela4_Var4
42,116,0.7,11,72,189,0,0.596875,Cube_Ela7_Var11
43,66,0.4,6,45,515,0,0.37109375,Cube_Ela4_Var6
44,36,0.2,6,27,91,0,0.141015625,Cube_Ela2_Var6
45,22,0.1,7,34,96,0,0.351953125,Cube_Ela1_Var7
46,51,0.3,6,28,319,0,0.291796875,Cube_Ela3_Var6
47,126,0.8,6,93,209,0,0.73671875,Cube_Ela8_Var6
48,99,0.6,9,65,133,0,0.881640625,Cube_Ela6_Var9
49,56,0.3,11,47,59,0,0.575,Cube_Ela3_Var11
50,34,0.2,4,38,89,0,0.201953125,Cube_Ela2_Var4
51,75,0.4,15,33,104,0,0.31015625,Cube_Ela4_Var15
52,81,0.5,6,44,541,0,0.650390625,Cube_Ela5_Var6
53,22,0.1,7,34,86,0,0.520703125,Cube_Ela1_Var7
54,64,0.4,4,47,120,0,0.6875,Cube_Ela4_Var4
55,87,0.5,12,56,87,0,0.716796875,Cube_Ela5_Var12
56,127,0.8,7,75,165,0,0.675390625,Cube_Ela8_Var7
57,68,0.4,8,49,473,0,0.06015625,Cube_Ela4_Var8
