trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,136,0.9,1,104,209,0,0.67109375,Cube_Ela9_Var1
2,36,0.2,6,27,103,0,0.118359375,Cube_Ela2_Var6
3,149,0.9,14,69,83,0,0.51953125,Cube_Ela9_Var14
4,81,0.5,6,44,138,0,0.528125,Cube_Ela5_Var6
5,66,0.4,6,45,139,0,0.285546875,Cube_Ela4_Var6
6,120,0.7,15,92,466,0,0.56328125,Cube_Ela7_Var15
7,33,0.2,3,32,99,0,0.184765625,Cube_Ela2_Var3
8,9,0,9,26,78,0,0.05234375,Cube_Ela0_Var9
9,3,0,3,31,64,0,0,Cube_Ela0_Var3
10,143,0.9,8,81,164,0,0.671875,Cube_Ela9_Var8
11,10,0,10,34,144,0,0.03671875,Cube_Ela0_Var10
12,85,0.5,10,69,172,0,0.75234375,Cube_Ela5_Var10
13,24,0.1,9,32,96,0,0.0125,Cube_Ela1_Var9
14,92,0.6,2,79,155,0,0.8671875,Cube_Ela6_Var2
15,144,0.9,9,120,144,0,0.97734375,Cube_Ela9_Var9
16,147,0.9,12,89,194,0,0.742578125,Cube_Ela9_Var12
17,61,0.4,1,54,159,0,0.58984375,Cube_Ela4_Var1
18,67,0.4,7,39,109,0,0.2859375,Cube_Ela4_Var7
19,139,0.9,4,120,137,0,0.753125,Cube_Ela9_Var4
20,65,0.4,5,54,179,0,0.558203125,Cube_Ela4_Var5
21,45,0.2,15,37,86,0,0.066796875,Cube_Ela2_Var15
22,61,0.4,1,54,136,0,0.2,Cube_Ela4_Var1
23,128,0.8,8,83,175,0,0.566015625,Cube_Ela8_Var8
24,37,0.2,7,42,102,0,0.381640625,Cube_Ela2_Var7
25,115,0.7,10,78,95,0,0.70703125,Cube_Ela7_Var10
26,2,0,2,20,84,0,0,Cube_Ela0_Var2
27,40,0.2,10,39,120,0,0.2625,Cube_Ela2_Var10
28,65,0.4,5,54,115,0,0.4484375,Cube_Ela4_Var5
29,42,0.2,12,32,99,0,0.187109375,Cube_Ela2_Var12
30,90,0.5,15,63,112,0,0.723828125,Cube_Ela5_Var15
31,33,0.2,3,32,101,0,0.121875,Cube_Ela2_Var3
32,103,0.6,13,70,109,0,0.43828125,Cube_Ela6_Var13
33,1,0,1,20,84,0,0.221484375,Cube_Ela0_Var1
34,34,0.2,4,38,117,0,0.658984375,Cube_Ela2_Var4
35,113,0.7,8,69,139,0,0.26484375,Cube_Ela7_Var8
36,77,0.5,2,61,132,0,0.716796875,Cube_Ela5_Var2
37,31,0.2,1,34,137,0,0.19609375,Cube_Ela2_Var1
38,80,0.5,5,73,119,0,0.624609375,Cube_Ela5_Var5
39,91,0.6,1,79,125,0,0.53984375,Cube_Ela6_Var1
40,99,0.6,9,65,132,0,0.653125,Cube_Ela6_Var9
41,50,0.3,5,41,121,0,0.24296875,Cube_Ela3_Var5
42,24,0.1,9,32,72,0,0.037109375,Cube_Ela1_Var9
43,90,0.5,15,63,130,0,0.578515625,Cube_Ela5_Var15
44,86,0.5,11,79,160,0,0.394140625,Cube_Ela5_Var11
45,16,0.1,1,28,110,0,0.254296875,Cube_Ela1_Var1
46,35,0.2,5,24,110,0,0.136328125,Cube_Ela2_Var5
47,83,0.5,8,47,94,0,0.2484375,Cube_Ela5_Var8
48,13,0,13,30,96,0,0.067578125,Cube_Ela0_Var13
