trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,137,0.9,2,95,207,0,0.347265625,Cube_Ela9_Var2
2,56,0.3,11,47,141,0,0.157421875,Cube_Ela3_Var11
3,146,0.9,11,109,217,0,0.6,Cube_Ela9_Var11
4,130,0.8,10,101,185,0,0.553515625,Cube_Ela8_Var10
5,27,0.1,12,29,100,0,0.051171875,Cube_Ela1_Var12
6,60,0.3,15,49,452,0,0.255078125,Cube_Ela3_Var15
7,92,0.6,2,79,115,0,0.922265625,Cube_Ela6_Var2
8,64,0.4,4,47,240,0,0.315234375,Cube_Ela4_Var4
9,83,0.5,8,47,130,0,0.287890625,Cube_Ela5_Var8
10,40,0.2,10,39,197,0,0.190625,Cube_Ela2_Var10
11,19,0.1,4,32,94,0,0.0734375,Cube_Ela1_Var4
12,49,0.3,4,59,178,0,0.14296875,Cube_Ela3_Var4
13,14,0,14,32,76,0,0.003125,Cube_Ela0_Var14
14,2,0,2,20,123,0,0.016015625,Cube_Ela0_Var2
15,39,0.2,9,31,103,0,0.01171875,Cube_Ela2_Var9
16,91,0.6,1,79,108,0,0.491015625,Cube_Ela6_Var1
17,47,0.3,2,40,99,0,0,Cube_Ela3_Var2
18,40,0.2,10,39,122,0,0.175,Cube_Ela2_Var10
19,30,0.1,15,39,121,0,0.158203125,Cube_Ela1_Var15
20,50,0.3,5,41,126,0,0.288671875,Cube_Ela3_Var5
21,14,0,14,32,66,0,0,Cube_Ela0_Var14
22,142,0.9,7,103,349,0,0.5046875,Cube_Ela9_Var7
23,60,0.3,15,49,141,0,0.326171875,Cube_Ela3_Var15
24,33,0.2,3,32,117,0,0.200390625,Cube_Ela2_Var3
25,132,0.8,12,106,135,0,0.980078125,Cube_Ela8_Var12
26,108,0.7,3,80,164,0,0.906640625,Cube_Ela7_Var3
27,48,0.3,3,54,152,0,0.7078125,Cube_Ela3_Var3
28,48,0.3,3,54,165,0,0.76796875,Cube_Ela3_Var3
29,15,0,15,34,243,0,0.077734375,Cube_Ela0_Var15
30,133,0.8,13,94,95,0,0.999609375,Cube_Ela8_Var13
31,97,0.6,7,78,196,0,0.43984375,Cube_Ela6_Var7
32,143,0.9,8,81,248,0,0.880859375,Cube_Ela9_Var8
33,140,0.9,5,120,149,0,0.999609375,Cube_Ela9_Var5
34,95,0.6,5,79,110,0,0.965625,Cube_Ela6_Var5
35,140,0.9,5,120,225,0,0.999609375,Cube_Ela9_Var5
36,115,0.7,10,78,101,0,0.999609375,Cube_Ela7_Var10
