trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,121,0.8,1,59,151,0,0.263671875,Cube_Ela8_Var1
2,19,0.1,4,32,113,0,0.205859375,Cube_Ela1_Var4
3,53,0.3,8,52,159,0,0.13125,Cube_Ela3_Var8
4,111,0.7,6,108,206,0,0.724609375,Cube_Ela7_Var6
5,141,0.9,6,119,312,0,0.42890625,Cube_Ela9_Var6
6,119,0.7,14,87,119,0,0.290625,Cube_Ela7_Var14
7,29,0.1,14,37,96,0,0.1953125,Cube_Ela1_Var14
8,94,0.6,4,91,271,0,0.658984375,Cube_Ela6_Var4
9,43,0.2,13,37,114,0,0.32578125,Cube_Ela2_Var13
10,36,0.2,6,27,157,0,0.44765625,Cube_Ela2_Var6
11,109,0.7,4,83,330,0,0.539453125,Cube_Ela7_Var4
12,19,0.1,4,32,114,0,0.286328125,Cube_Ela1_Var4
13,87,0.5,12,56,60,0,0.698046875,Cube_Ela5_Var12
14,38,0.2,8,42,116,0,0.32109375,Cube_Ela2_Var8
15,9,0,9,26,108,0,0.215625,Cube_Ela0_Var9
16,149,0.9,14,69,140,0,0.228515625,Cube_Ela9_Var14
17,121,0.8,1,59,118,0,0.13203125,Cube_Ela8_Var1
18,24,0.1,9,32,66,0,0.012109375,Cube_Ela1_Var9
19,119,0.7,14,87,89,0,0.52578125,Cube_Ela7_Var14
20,137,0.9,2,95,187,0,0.855859375,Cube_Ela9_Var2
21,4,0,4,27,167,0,0.097265625,Cube_Ela0_Var4
22,64,0.4,4,47,74,0,0.4796875,Cube_Ela4_Var4
23,96,0.6,6,61,91,0,0.784375,Cube_Ela6_Var6
24,54,0.3,9,30,130,0,0.311328125,Cube_Ela3_Var9
25,83,0.5,8,47,67,0,0.677734375,Cube_Ela5_Var8
26,142,0.9,7,103,198,0,0.998828125,Cube_Ela9_Var7
27,132,0.8,12,106,107,0,0.864453125,Cube_Ela8_Var12
28,16,0.1,1,28,66,0,0.272265625,Cube_Ela1_Var1
29,33,0.2,3,32,132,0,0.290234375,Cube_Ela2_Var3
30,55,0.3,10,62,141,0,0.2015625,Cube_Ela3_Var10
31,148,0.9,13,103,163,0,0.41875,Cube_Ela9_Var13
32,120,0.7,15,92,120,0,0.716015625,Cube_Ela7_Var15
33,101,0.6,11,89,184,0,0.710546875,Cube_Ela6_Var11
34,92,0.6,2,79,103,0,0.962890625,Cube_Ela6_Var2
35,7,0,7,27,70,0,0.096875,Cube_Ela0_Var7
36,102,0.6,12,65,128,0,0.686328125,Cube_Ela6_Var12
37,9,0,9,26,72,0,0.13515625,Cube_Ela0_Var9
38,20,0.1,5,24,113,0,0.097265625,Cube_Ela1_Var5
39,92,0.6,2,79,173,0,0.90859375,Cube_Ela6_Var2
40,37,0.2,7,42,80,0,0.6265625,Cube_Ela2_Var7
41,6,0,6,34,85,0,0.184765625,Cube_Ela0_Var6
42,40,0.2,10,39,68,0,0.36484375,Cube_Ela2_Var10
43,73,0.4,13,60,122,0,0.604296875,Cube_Ela4_Var13
44,59,0.3,14,32,143,0,0.46796875,Cube_Ela3_Var14
45,135,0.8,15,120,148,0,0.8921875,Cube_Ela8_Var15
46,125,0.8,5,68,186,0,0.694140625,Cube_Ela8_Var5
47,24,0.1,9,32,66,0,0.17265625,Cube_Ela1_Var9
48,112,0.7,7,70,198,0,0.28046875,Cube_Ela7_Var7
49,13,0,13,30,62,0,0.080859375,Cube_Ela0_Var13
50,125,0.8,5,68,109,0,0.61015625,Cube_Ela8_Var5
51,81,0.5,6,44,149,0,0.23828125,Cube_Ela5_Var6
52,49,0.3,4,59,78,0,0.55546875,Cube_Ela3_Var4
53,40,0.2,10,39,67,0,0.4171875,Cube_Ela2_Var10
54,28,0.1,13,38,71,0,0.142578125,Cube_Ela1_Var13
55,34,0.2,4,38,98,0,0.50234375,Cube_Ela2_Var4
56,106,0.7,1,77,166,0,0.433203125,Cube_Ela7_Var1
57,126,0.8,6,93,94,0,0.59765625,Cube_Ela8_Var6
58,45,0.2,15,37,68,0,0.220703125,Cube_Ela2_Var15
59,132,0.8,12,106,146,0,0.844921875,Cube_Ela8_Var12
60,19,0.1,4,32,100,0,0.221484375,Cube_Ela1_Var4
61,1,0,1,20,83,0,0.11171875,Cube_Ela0_Var1
62,145,0.9,10,120,144,0,0.83203125,Cube_Ela9_Var10
63,105,0.6,15,86,102,0,0.57890625,Cube_Ela6_Var15
64,68,0.4,8,49,169,0,0.549609375,Cube_Ela4_Var8
