trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,58,0.7,2,30,77,107,123,0,0.4640625,Cube_Ela7_Var2
2,23,0.2,9,30,31,39,39,0,0.099609375,Cube_Ela2_Var9
3,14,0.1,10,30,37,25,33,0,0.0296875,Cube_Ela1_Var10
4,54,0.6,6,30,61,96,97,0,0.508203125,Cube_Ela6_Var6
5,44,0.5,4,30,44,79,30,0,0.49296875,Cube_Ela5_Var4
6,8,0,15,30,34,15,60,0,0.478515625,Cube_Ela0_Var15
7,26,0.3,2,30,40,47,58,0,0.349609375,Cube_Ela3_Var2
8,56,0.6,8,30,66,98,54,0,0.816796875,Cube_Ela6_Var8
9,59,0.7,3,30,80,108,53,0,0.5484375,Cube_Ela7_Var3
10,12,0.1,8,30,34,23,60,0,0.484765625,Cube_Ela1_Var8
11,1,0,3,30,31,3,121,0,0.509765625,Cube_Ela0_Var3
12,58,0.7,2,30,77,107,44,0,0.440625,Cube_Ela7_Var2
13,27,0.3,3,30,54,48,48,0,0.517578125,Cube_Ela3_Var3
14,69,0.8,5,30,68,125,32,0,0.47734375,Cube_Ela8_Var5
15,49,0.6,1,30,79,91,47,0,0.487890625,Cube_Ela6_Var1
16,37,0.4,5,30,54,65,47,0,0.487890625,Cube_Ela4_Var5
17,57,0.7,1,30,77,106,35,0,0.540234375,Cube_Ela7_Var1
18,36,0.4,4,30,47,64,35,0,0.492578125,Cube_Ela4_Var4
19,76,0.9,4,30,120,139,49,0,0.448046875,Cube_Ela9_Var4
20,34,0.4,2,30,54,62,46,0,0.510546875,Cube_Ela4_Var2
21,40,0.4,8,30,49,68,39,0,0.48359375,Cube_Ela4_Var8
22,34,0.4,2,30,54,62,47,0,0.494921875,Cube_Ela4_Var2
23,27,0.3,3,30,54,48,32,0,0.48828125,Cube_Ela3_Var3
24,18,0.2,2,30,35,32,40,0,0.489453125,Cube_Ela2_Var2
25,9,0.1,4,30,32,19,41,0,0.533203125,Cube_Ela1_Var4
26,79,0.9,7,30,103,142,35,0,0.45390625,Cube_Ela9_Var7
27,76,0.9,4,30,120,139,47,0,0.521484375,Cube_Ela9_Var4
28,79,0.9,7,30,103,142,39,0,0.4421875,Cube_Ela9_Var7
29,60,0.7,4,30,83,109,39,0,0.466015625,Cube_Ela7_Var4
30,25,0.3,1,30,55,46,36,0,0.52265625,Cube_Ela3_Var1
31,50,0.6,2,30,79,92,52,0,0.503515625,Cube_Ela6_Var2
32,78,0.9,6,30,119,141,41,0,0.5546875,Cube_Ela9_Var6
33,2,0,6,30,34,6,36,0,0.45625,Cube_Ela0_Var6
34,16,0.1,13,30,38,28,34,0,0.4484375,Cube_Ela1_Var13
35,10,0.1,6,30,36,21,32,0,0.49453125,Cube_Ela1_Var6
36,7,0,14,30,32,14,44,0,0.53984375,Cube_Ela0_Var14
37,36,0.4,4,30,47,64,60,0,0.498828125,Cube_Ela4_Var4
38,41,0.5,1,30,59,76,48,0,0.4828125,Cube_Ela5_Var1
39,39,0.4,7,30,39,67,33,0,0.515234375,Cube_Ela4_Var7
40,65,0.8,1,30,59,121,34,0,0.496484375,Cube_Ela8_Var1
41,3,0,10,30,34,10,65,0,0.497265625,Cube_Ela0_Var10
42,10,0.1,6,30,36,21,30,0,0.4765625,Cube_Ela1_Var6
43,19,0.2,3,30,32,33,30,0,0.53515625,Cube_Ela2_Var3
44,14,0.1,10,30,37,25,38,0,0.4953125,Cube_Ela1_Var10
45,21,0.2,7,30,42,37,108,0,0.74453125,Cube_Ela2_Var7
46,64,0.7,8,30,69,113,47,0,0.507421875,Cube_Ela7_Var8
