trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,24,0.2,10,30,39,40,294,0,0.575390625,Cube_Ela2_Var10
2,76,0.9,4,30,120,139,292,0,0.892578125,Cube_Ela9_Var4
3,14,0.1,10,30,37,25,204,0,0.2109375,Cube_Ela1_Var10
4,28,0.3,4,30,59,49,285,0,0.5546875,Cube_Ela3_Var4
5,78,0.9,6,30,119,141,139,0,0.712109375,Cube_Ela9_Var6
6,17,0.2,1,30,34,31,150,0,0.0953125,Cube_Ela2_Var1
7,8,0,15,30,34,15,282,0,0.648046875,Cube_Ela0_Var15
8,36,0.4,4,30,47,64,188,0,0.38046875,Cube_Ela4_Var4
9,72,0.8,8,30,83,128,176,0,0.18125,Cube_Ela8_Var8
10,12,0.1,8,30,34,23,210,0,0.009765625,Cube_Ela1_Var8
11,52,0.6,4,30,91,94,97,0,0.699609375,Cube_Ela6_Var4
12,14,0.1,10,30,37,25,104,0,0.107421875,Cube_Ela1_Var10
13,52,0.6,4,30,91,94,166,0,0.733203125,Cube_Ela6_Var4
14,71,0.8,7,30,75,127,183,0,0.34140625,Cube_Ela8_Var7
15,50,0.6,2,30,79,92,219,0,0.71953125,Cube_Ela6_Var2
16,35,0.4,3,30,64,63,242,0,0.37109375,Cube_Ela4_Var3
17,19,0.2,3,30,32,33,304,0,0.5921875,Cube_Ela2_Var3
18,32,0.3,9,30,30,54,172,0,0.60390625,Cube_Ela3_Var9
19,1,0,3,30,31,3,197,0,0.571484375,Cube_Ela0_Var3
20,73,0.9,1,30,104,136,191,0,0.54765625,Cube_Ela9_Var1
21,10,0.1,6,30,36,21,524,0,0.49921875,Cube_Ela1_Var6
22,41,0.5,1,30,59,76,120,0,0.294140625,Cube_Ela5_Var1
23,8,0,15,30,34,15,142,0,0.999609375,Cube_Ela0_Var15
24,21,0.2,7,30,42,37,187,0,0.60390625,Cube_Ela2_Var7
25,65,0.8,1,30,59,121,240,0,0.596484375,Cube_Ela8_Var1
26,44,0.5,4,30,44,79,196,0,0.287890625,Cube_Ela5_Var4
