trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,29,0.3,5,30,41,50,63,0,0.645703125,Cube_Ela3_Var5
2,28,0.3,4,30,59,49,76,0,0.294140625,Cube_Ela3_Var4
3,46,0.5,6,30,44,81,59,0,0.141796875,Cube_Ela5_Var6
4,67,0.8,3,30,97,123,62,0,0.48515625,Cube_Ela8_Var3
5,43,0.5,3,30,63,78,85,0,0.719921875,Cube_Ela5_Var3
6,15,0.1,11,30,51,26,81,0,0.037890625,Cube_Ela1_Var11
7,45,0.5,5,30,73,80,66,0,0.825,Cube_Ela5_Var5
8,20,0.2,4,30,38,34,51,0,0.20859375,Cube_Ela2_Var4
9,54,0.6,6,30,61,96,46,0,0.809375,Cube_Ela6_Var6
10,9,0.1,4,30,32,19,51,0,0.004296875,Cube_Ela1_Var4
11,3,0,10,30,34,10,114,0,0.153125,Cube_Ela0_Var10
12,7,0,14,30,32,14,60,0,0.0421875,Cube_Ela0_Var14
13,39,0.4,7,30,39,67,54,0,0.64453125,Cube_Ela4_Var7
14,31,0.3,8,30,52,53,76,0,0.394921875,Cube_Ela3_Var8
15,50,0.6,2,30,79,92,40,0,0.998046875,Cube_Ela6_Var2
16,26,0.3,2,30,40,47,60,0,0.35546875,Cube_Ela3_Var2
17,47,0.5,7,30,61,82,73,0,0.791796875,Cube_Ela5_Var7
18,31,0.3,8,30,52,53,85,0,0.623046875,Cube_Ela3_Var8
19,60,0.7,4,30,83,109,71,0,0.709375,Cube_Ela7_Var4
20,80,0.9,8,30,81,143,73,0,0.81015625,Cube_Ela9_Var8
21,24,0.2,10,30,39,40,102,0,0.180078125,Cube_Ela2_Var10
22,62,0.7,6,30,108,111,120,0,0.96953125,Cube_Ela7_Var6
23,52,0.6,4,30,91,94,85,0,0.990625,Cube_Ela6_Var4
24,17,0.2,1,30,34,31,56,0,0.073046875,Cube_Ela2_Var1
25,33,0.4,1,30,54,61,70,0,0.18515625,Cube_Ela4_Var1
26,79,0.9,7,30,103,142,84,0,0.899609375,Cube_Ela9_Var7
27,6,0,13,30,30,13,47,0,0,Cube_Ela0_Var13
28,3,0,10,30,34,10,78,0,0.11484375,Cube_Ela0_Var10
29,8,0,15,30,34,15,90,0,0,Cube_Ela0_Var15
30,75,0.9,3,30,77,138,60,0,0.929296875,Cube_Ela9_Var3
31,36,0.4,4,30,47,64,120,0,0.7734375,Cube_Ela4_Var4
32,52,0.6,4,30,91,94,117,0,0.926953125,Cube_Ela6_Var4
33,40,0.4,8,30,49,68,125,0,0.6296875,Cube_Ela4_Var8
34,5,0,12,30,35,12,92,0,0.098046875,Cube_Ela0_Var12
35,43,0.5,3,30,63,78,133,0,0.365234375,Cube_Ela5_Var3
36,63,0.7,7,30,70,112,78,0,0.265625,Cube_Ela7_Var7
37,10,0.1,6,30,36,21,59,0,0.04453125,Cube_Ela1_Var6
38,59,0.7,3,30,80,108,69,0,0.2203125,Cube_Ela7_Var3
39,61,0.7,5,30,80,110,68,0,0.999609375,Cube_Ela7_Var5
40,56,0.6,8,30,66,98,54,0,0.56953125,Cube_Ela6_Var8
41,11,0.1,7,30,34,22,75,0,0.0953125,Cube_Ela1_Var7
42,80,0.9,8,30,81,143,71,0,0.908203125,Cube_Ela9_Var8
43,30,0.3,7,30,47,52,60,0,0.5125,Cube_Ela3_Var7
44,55,0.6,7,30,78,97,67,0,0.273828125,Cube_Ela6_Var7
45,67,0.8,3,30,97,123,48,0,0.82109375,Cube_Ela8_Var3
46,29,0.3,5,30,41,50,60,0,0.883984375,Cube_Ela3_Var5
47,55,0.6,7,30,78,97,62,0,0.14765625,Cube_Ela6_Var7
48,10,0.1,6,30,36,21,90,0,0.155078125,Cube_Ela1_Var6
49,27,0.3,3,30,54,48,163,0,0.471484375,Cube_Ela3_Var3
50,72,0.8,8,30,83,128,90,0,0.915234375,Cube_Ela8_Var8
51,69,0.8,5,30,68,125,148,0,0.29453125,Cube_Ela8_Var5
52,42,0.5,2,30,61,77,60,0,0.89453125,Cube_Ela5_Var2
53,10,0.1,6,30,36,21,47,0,0,Cube_Ela1_Var6
54,6,0,13,30,30,13,65,0,0.03515625,Cube_Ela0_Var13
55,70,0.8,6,30,93,126,90,0,0.8453125,Cube_Ela8_Var6
56,62,0.7,6,30,108,111,68,0,0.919921875,Cube_Ela7_Var6
57,24,0.2,10,30,39,40,63,0,0.04296875,Cube_Ela2_Var10
58,36,0.4,4,30,47,64,97,0,0.158984375,Cube_Ela4_Var4
59,41,0.5,1,30,59,76,120,0,0.962109375,Cube_Ela5_Var1
60,71,0.8,7,30,75,127,69,0,0.66796875,Cube_Ela8_Var7
61,18,0.2,2,30,35,32,116,0,0.45625,Cube_Ela2_Var2
62,30,0.3,7,30,47,52,70,0,0.999609375,Cube_Ela3_Var7
63,74,0.9,2,30,95,137,87,0,0.875,Cube_Ela9_Var2
64,71,0.8,7,30,75,127,90,0,0.762109375,Cube_Ela8_Var7
65,31,0.3,8,30,52,53,38,0,0.214453125,Cube_Ela3_Var8
66,17,0.2,1,30,34,31,60,0,0.06171875,Cube_Ela2_Var1
67,69,0.8,5,30,68,125,95,0,0.66875,Cube_Ela8_Var5
68,16,0.1,13,30,38,28,52,0,0,Cube_Ela1_Var13
69,71,0.8,7,30,75,127,105,0,0.569921875,Cube_Ela8_Var7
70,73,0.9,1,30,104,136,87,0,0.930859375,Cube_Ela9_Var1
71,41,0.5,1,30,59,76,86,0,0.847265625,Cube_Ela5_Var1
72,24,0.2,10,30,39,40,84,0,0.81328125,Cube_Ela2_Var10
73,15,0.1,11,30,51,26,82,0,0.730078125,Cube_Ela1_Var11
74,2,0,6,30,34,6,60,0,0,Cube_Ela0_Var6
75,44,0.5,4,30,44,79,68,0,0.032421875,Cube_Ela5_Var4
76,56,0.6,8,30,66,98,90,0,0.146484375,Cube_Ela6_Var8
77,62,0.7,6,30,108,111,78,0,0.341015625,Cube_Ela7_Var6
78,64,0.7,8,30,69,113,110,0,0.171875,Cube_Ela7_Var8
