trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,33,0.4,1,30,54,61,229,0,0.870703125,Cube_Ela4_Var1
2,43,0.5,3,30,63,78,115,0,0.172265625,Cube_Ela5_Var3
3,49,0.6,1,30,79,91,145,0,0.67109375,Cube_Ela6_Var1
4,2,0,6,30,34,6,282,0,0.923046875,Cube_Ela0_Var6
5,63,0.7,7,30,70,112,210,0,0.20625,Cube_Ela7_Var7
6,42,0.5,2,30,61,77,163,0,0.687109375,Cube_Ela5_Var2
7,32,0.3,9,30,30,54,120,0,0.23671875,Cube_Ela3_Var9
8,64,0.7,8,30,69,113,85,0,0.187890625,Cube_Ela7_Var8
9,1,0,3,30,31,3,60,0,0.696484375,Cube_Ela0_Var3
10,15,0.1,11,30,51,26,85,0,0.7015625,Cube_Ela1_Var11
11,28,0.3,4,30,59,49,115,0,0.674609375,Cube_Ela3_Var4
12,56,0.6,8,30,66,98,157,0,0.73515625,Cube_Ela6_Var8
13,73,0.9,1,30,104,136,153,0,0.328515625,Cube_Ela9_Var1
14,3,0,10,30,34,10,164,0,0.587109375,Cube_Ela0_Var10
15,53,0.6,5,30,79,95,148,0,0.307421875,Cube_Ela6_Var5
16,14,0.1,10,30,37,25,82,0,0.6796875,Cube_Ela1_Var10
17,27,0.3,3,30,54,48,210,0,0.24921875,Cube_Ela3_Var3
18,21,0.2,7,30,42,37,90,0,0.548828125,Cube_Ela2_Var7
19,30,0.3,7,30,47,52,133,0,0.31640625,Cube_Ela3_Var7
20,34,0.4,2,30,54,62,99,0,0.615234375,Cube_Ela4_Var2
21,46,0.5,6,30,44,81,90,0,0.247265625,Cube_Ela5_Var6
22,27,0.3,3,30,54,48,700,0,0.6890625,Cube_Ela3_Var3
23,65,0.8,1,30,59,121,138,0,0.775390625,Cube_Ela8_Var1
24,30,0.3,7,30,47,52,107,0,0.67578125,Cube_Ela3_Var7
25,40,0.4,8,30,49,68,126,0,0.771875,Cube_Ela4_Var8
26,13,0.1,9,30,32,24,131,0,0.013671875,Cube_Ela1_Var9
27,50,0.6,2,30,79,92,152,0,0.999609375,Cube_Ela6_Var2
28,28,0.3,4,30,59,49,156,0,0.700390625,Cube_Ela3_Var4
29,4,0,11,30,30,11,69,0,0.114453125,Cube_Ela0_Var11
30,12,0.1,8,30,34,23,70,0,0,Cube_Ela1_Var8
31,19,0.2,3,30,32,33,134,0,0.173828125,Cube_Ela2_Var3
32,40,0.4,8,30,49,68,135,0,0.90390625,Cube_Ela4_Var8
33,17,0.2,1,30,34,31,60,0,0.1265625,Cube_Ela2_Var1
34,9,0.1,4,30,32,19,54,0,0.064453125,Cube_Ela1_Var4
35,50,0.6,2,30,79,92,63,0,0.91640625,Cube_Ela6_Var2
36,48,0.5,8,30,47,83,90,0,0.75625,Cube_Ela5_Var8
37,12,0.1,8,30,34,23,52,0,0.167578125,Cube_Ela1_Var8
38,5,0,12,30,35,12,60,0,0.1234375,Cube_Ela0_Var12
39,69,0.8,5,30,68,125,67,0,0.57734375,Cube_Ela8_Var5
40,52,0.6,4,30,91,94,67,0,0.737109375,Cube_Ela6_Var4
41,76,0.9,4,30,120,139,146,0,0.884375,Cube_Ela9_Var4
42,25,0.3,1,30,55,46,45,0,0.22109375,Cube_Ela3_Var1
43,15,0.1,11,30,51,26,148,0,0.2671875,Cube_Ela1_Var11
44,61,0.7,5,30,80,110,90,0,0.485546875,Cube_Ela7_Var5
45,9,0.1,4,30,32,19,60,0,0.318359375,Cube_Ela1_Var4
46,36,0.4,4,30,47,64,60,0,0.60703125,Cube_Ela4_Var4
47,49,0.6,1,30,79,91,48,0,0.69921875,Cube_Ela6_Var1
48,68,0.8,4,30,85,124,122,0,0.43359375,Cube_Ela8_Var4
49,16,0.1,13,30,38,28,60,0,0,Cube_Ela1_Var13
50,28,0.3,4,30,59,49,90,0,0.543359375,Cube_Ela3_Var4
51,18,0.2,2,30,35,32,180,0,0.22265625,Cube_Ela2_Var2
52,29,0.3,5,30,41,50,52,0,0.200390625,Cube_Ela3_Var5
53,4,0,11,30,30,11,77,0,0.116015625,Cube_Ela0_Var11
54,23,0.2,9,30,31,39,68,0,0.1375,Cube_Ela2_Var9
55,79,0.9,7,30,103,142,79,0,0.694921875,Cube_Ela9_Var7
56,8,0,15,30,34,15,60,0,0.1515625,Cube_Ela0_Var15
57,3,0,10,30,34,10,73,0,0.10625,Cube_Ela0_Var10
58,15,0.1,11,30,51,26,90,0,0.512890625,Cube_Ela1_Var11
59,38,0.4,6,30,45,66,58,0,0.6796875,Cube_Ela4_Var6
60,68,0.8,4,30,85,124,60,0,0.690234375,Cube_Ela8_Var4
