trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,68,0.8,4,30,85,124,147,0,0.1625,Cube_Ela8_Var4
2,36,0.4,4,30,47,64,135,0,0.29609375,Cube_Ela4_Var4
3,44,0.5,4,30,44,79,90,0,0.0796875,Cube_Ela5_Var4
4,20,0.2,4,30,38,34,180,0,0.407421875,Cube_Ela2_Var4
5,34,0.4,2,30,54,62,66,0,0.153125,Cube_Ela4_Var2
6,54,0.6,6,30,61,96,180,0,0.7703125,Cube_Ela6_Var6
7,60,0.7,4,30,83,109,98,0,0.728125,Cube_Ela7_Var4
8,4,0,11,30,30,11,107,0,0.174609375,Cube_Ela0_Var11
9,26,0.3,2,30,40,47,110,0,0.1125,Cube_Ela3_Var2
10,47,0.5,7,30,61,82,56,0,0.923046875,Cube_Ela5_Var7
11,74,0.9,2,30,95,137,300,0,0.85546875,Cube_Ela9_Var2
12,14,0.1,10,30,37,25,81,0,0.10859375,Cube_Ela1_Var10
13,32,0.3,9,30,30,54,120,0,0.4671875,Cube_Ela3_Var9
14,10,0.1,6,30,36,21,67,0,0.197265625,Cube_Ela1_Var6
15,64,0.7,8,30,69,113,114,0,0.776953125,Cube_Ela7_Var8
16,69,0.8,5,30,68,125,147,0,0.7671875,Cube_Ela8_Var5
17,12,0.1,8,30,34,23,118,0,0.109375,Cube_Ela1_Var8
18,51,0.6,3,30,68,93,330,0,0.76015625,Cube_Ela6_Var3
19,35,0.4,3,30,64,63,120,0,0.516796875,Cube_Ela4_Var3
20,23,0.2,9,30,31,39,60,0,0.06171875,Cube_Ela2_Var9
21,67,0.8,3,30,97,123,270,0,0.861328125,Cube_Ela8_Var3
22,16,0.1,13,30,38,28,67,0,0.09140625,Cube_Ela1_Var13
23,76,0.9,4,30,120,139,138,0,0.983203125,Cube_Ela9_Var4
24,58,0.7,2,30,77,107,93,0,0.838671875,Cube_Ela7_Var2
25,77,0.9,5,30,120,140,63,0,0.900390625,Cube_Ela9_Var5
26,2,0,6,30,34,6,124,0,0.4,Cube_Ela0_Var6
27,12,0.1,8,30,34,23,111,0,0.2046875,Cube_Ela1_Var8
28,41,0.5,1,30,59,76,60,0,0.465625,Cube_Ela5_Var1
29,5,0,12,30,35,12,60,0,0.191015625,Cube_Ela0_Var12
30,34,0.4,2,30,54,62,88,0,0.370703125,Cube_Ela4_Var2
31,8,0,15,30,34,15,88,0,0.058203125,Cube_Ela0_Var15
32,5,0,12,30,35,12,90,0,0.18203125,Cube_Ela0_Var12
33,10,0.1,6,30,36,21,187,0,0.108984375,Cube_Ela1_Var6
34,19,0.2,3,30,32,33,93,0,0.1484375,Cube_Ela2_Var3
35,10,0.1,6,30,36,21,91,0,0.246875,Cube_Ela1_Var6
36,34,0.4,2,30,54,62,99,0,0.151171875,Cube_Ela4_Var2
37,71,0.8,7,30,75,127,101,0,0.880078125,Cube_Ela8_Var7
38,30,0.3,7,30,47,52,77,0,0.923828125,Cube_Ela3_Var7
39,36,0.4,4,30,47,64,67,0,0.438671875,Cube_Ela4_Var4
40,53,0.6,5,30,79,95,69,0,0.814453125,Cube_Ela6_Var5
41,2,0,6,30,34,6,94,0,0.15625,Cube_Ela0_Var6
42,66,0.8,2,30,87,122,125,0,0.891015625,Cube_Ela8_Var2
43,21,0.2,7,30,42,37,619,0,0.159375,Cube_Ela2_Var7
44,66,0.8,2,30,87,122,62,0,0.666796875,Cube_Ela8_Var2
