trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,80,0.9,8,30,81,143,111,0,0.07265625,Cube_Ela9_Var8
2,11,0.1,7,30,34,22,74,0,0.065625,Cube_Ela1_Var7
3,26,0.3,2,30,40,47,60,0,0,Cube_Ela3_Var2
4,59,0.7,3,30,80,108,91,0,0.1109375,Cube_Ela7_Var3
5,75,0.9,3,30,77,138,143,0,0.23046875,Cube_Ela9_Var3
6,4,0,11,30,30,11,58,0,0,Cube_Ela0_Var11
7,4,0,11,30,30,11,90,0,0,Cube_Ela0_Var11
8,1,0,3,30,31,3,90,0,0.0140625,Cube_Ela0_Var3
9,67,0.8,3,30,97,123,90,0,0.448828125,Cube_Ela8_Var3
10,24,0.2,10,30,39,40,67,0,0.219921875,Cube_Ela2_Var10
11,61,0.7,5,30,80,110,180,0,0.383203125,Cube_Ela7_Var5
12,55,0.6,7,30,78,97,57,0,0.11015625,Cube_Ela6_Var7
13,40,0.4,8,30,49,68,59,0,0,Cube_Ela4_Var8
14,14,0.1,10,30,37,25,81,0,0.008984375,Cube_Ela1_Var10
15,32,0.3,9,30,30,54,206,0,0.301171875,Cube_Ela3_Var9
16,72,0.8,8,30,83,128,180,0,0.491796875,Cube_Ela8_Var8
17,70,0.8,6,30,93,126,88,0,0.6828125,Cube_Ela8_Var6
18,30,0.3,7,30,47,52,100,0,0.374609375,Cube_Ela3_Var7
19,9,0.1,4,30,32,19,60,0,0.05625,Cube_Ela1_Var4
20,9,0.1,4,30,32,19,78,0,0,Cube_Ela1_Var4
21,6,0,13,30,30,13,137,0,0.100390625,Cube_Ela0_Var13
22,2,0,6,30,34,6,58,0,0,Cube_Ela0_Var6
23,29,0.3,5,30,41,50,79,0,0.348046875,Cube_Ela3_Var5
24,41,0.5,1,30,59,76,88,0,0.343359375,Cube_Ela5_Var1
25,30,0.3,7,30,47,52,65,0,0.425390625,Cube_Ela3_Var7
26,71,0.8,7,30,75,127,60,0,0.86796875,Cube_Ela8_Var7
27,7,0,14,30,32,14,64,0,0.04140625,Cube_Ela0_Var14
28,78,0.9,6,30,119,141,60,0,0.90625,Cube_Ela9_Var6
29,57,0.7,1,30,77,106,61,0,0.87890625,Cube_Ela7_Var1
30,43,0.5,3,30,63,78,60,0,0.1546875,Cube_Ela5_Var3
31,72,0.8,8,30,83,128,150,0,0.389453125,Cube_Ela8_Var8
32,43,0.5,3,30,63,78,120,0,0.34609375,Cube_Ela5_Var3
33,24,0.2,10,30,39,40,145,0,0.274609375,Cube_Ela2_Var10
34,15,0.1,11,30,51,26,89,0,0.5703125,Cube_Ela1_Var11
35,74,0.9,2,30,95,137,128,0,0.653125,Cube_Ela9_Var2
36,31,0.3,8,30,52,53,60,0,0.198046875,Cube_Ela3_Var8
37,78,0.9,6,30,119,141,72,0,0.61953125,Cube_Ela9_Var6
38,62,0.7,6,30,108,111,60,0,0.900390625,Cube_Ela7_Var6
39,79,0.9,7,30,103,142,91,0,0.846484375,Cube_Ela9_Var7
40,6,0,13,30,30,13,139,0,0.03125,Cube_Ela0_Var13
41,29,0.3,5,30,41,50,437,0,0.4921875,Cube_Ela3_Var5
42,47,0.5,7,30,61,82,60,0,0.699609375,Cube_Ela5_Var7
43,34,0.4,2,30,54,62,60,0,0.265234375,Cube_Ela4_Var2
44,22,0.2,8,30,42,38,65,0,0.32578125,Cube_Ela2_Var8
45,33,0.4,1,30,54,61,83,0,0.411328125,Cube_Ela4_Var1
46,31,0.3,8,30,52,53,50,0,0.117578125,Cube_Ela3_Var8
47,19,0.2,3,30,32,33,64,0,0.009765625,Cube_Ela2_Var3
48,12,0.1,8,30,34,23,69,0,0.1859375,Cube_Ela1_Var8
49,25,0.3,1,30,55,46,62,0,0.69765625,Cube_Ela3_Var1
50,13,0.1,9,30,32,24,74,0,0.1,Cube_Ela1_Var9
51,55,0.6,7,30,78,97,100,0,0.418359375,Cube_Ela6_Var7
52,72,0.8,8,30,83,128,85,0,0.54140625,Cube_Ela8_Var8
53,3,0,10,30,34,10,60,0,0,Cube_Ela0_Var10
54,59,0.7,3,30,80,108,67,0,0.76015625,Cube_Ela7_Var3
55,51,0.6,3,30,68,93,74,0,0.81796875,Cube_Ela6_Var3
56,27,0.3,3,30,54,48,60,0,0.7796875,Cube_Ela3_Var3
57,42,0.5,2,30,61,77,65,0,0.799609375,Cube_Ela5_Var2
58,69,0.8,5,30,68,125,73,0,0.540234375,Cube_Ela8_Var5
59,41,0.5,1,30,59,76,44,0,0.696484375,Cube_Ela5_Var1
60,21,0.2,7,30,42,37,69,0,0.293359375,Cube_Ela2_Var7
61,51,0.6,3,30,68,93,158,0,0.655859375,Cube_Ela6_Var3
62,2,0,6,30,34,6,80,0,0.1203125,Cube_Ela0_Var6
63,66,0.8,2,30,87,122,69,0,0.83671875,Cube_Ela8_Var2
64,53,0.6,5,30,79,95,109,0,0.79453125,Cube_Ela6_Var5
65,15,0.1,11,30,51,26,97,0,0.530859375,Cube_Ela1_Var11
66,55,0.6,7,30,78,97,110,0,0.2671875,Cube_Ela6_Var7
67,66,0.8,2,30,87,122,72,0,0.476953125,Cube_Ela8_Var2
68,57,0.7,1,30,77,106,66,0,0.713671875,Cube_Ela7_Var1
69,69,0.8,5,30,68,125,143,0,0.29921875,Cube_Ela8_Var5
70,70,0.8,6,30,93,126,178,0,0.75703125,Cube_Ela8_Var6
71,78,0.9,6,30,119,141,79,0,0.999609375,Cube_Ela9_Var6
72,21,0.2,7,30,42,37,90,0,0.3890625,Cube_Ela2_Var7
73,64,0.7,8,30,69,113,91,0,0.275390625,Cube_Ela7_Var8
74,13,0.1,9,30,32,24,59,0,0,Cube_Ela1_Var9
75,37,0.4,5,30,54,65,54,0,0.865625,Cube_Ela4_Var5
76,57,0.7,1,30,77,106,51,0,0.962890625,Cube_Ela7_Var1
77,47,0.5,7,30,61,82,48,0,0.44375,Cube_Ela5_Var7
78,49,0.6,1,30,79,91,105,0,0.987109375,Cube_Ela6_Var1
79,20,0.2,4,30,38,34,136,0,0.521875,Cube_Ela2_Var4
80,61,0.7,5,30,80,110,94,0,0.582421875,Cube_Ela7_Var5
81,77,0.9,5,30,120,140,96,0,0.8578125,Cube_Ela9_Var5
82,18,0.2,2,30,35,32,81,0,0.22109375,Cube_Ela2_Var2
83,56,0.6,8,30,66,98,90,0,0.324609375,Cube_Ela6_Var8
84,75,0.9,3,30,77,138,82,0,0.6375,Cube_Ela9_Var3
85,45,0.5,5,30,73,80,64,0,0.883203125,Cube_Ela5_Var5
86,41,0.5,1,30,59,76,96,0,0.376953125,Cube_Ela5_Var1
