trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,71,0.8,7,30,75,127,311,0,0.54296875,Cube_Ela8_Var7
2,47,0.5,7,30,61,82,210,0,0.478515625,Cube_Ela5_Var7
3,56,0.6,8,30,66,98,104,0,0.251171875,Cube_Ela6_Var8
4,43,0.5,3,30,63,78,125,0,0.118359375,Cube_Ela5_Var3
5,64,0.7,8,30,69,113,91,0,0.325,Cube_Ela7_Var8
6,54,0.6,6,30,61,96,203,0,0.1578125,Cube_Ela6_Var6
7,55,0.6,7,30,78,97,141,0,0.496484375,Cube_Ela6_Var7
8,10,0.1,6,30,36,21,570,0,0.10859375,Cube_Ela1_Var6
9,30,0.3,7,30,47,52,67,0,0.729296875,Cube_Ela3_Var7
10,70,0.8,6,30,93,126,90,0,0.805859375,Cube_Ela8_Var6
11,27,0.3,3,30,54,48,205,0,0.6109375,Cube_Ela3_Var3
12,32,0.3,9,30,30,54,118,0,0.5921875,Cube_Ela3_Var9
13,5,0,12,30,35,12,68,0,0.072265625,Cube_Ela0_Var12
14,69,0.8,5,30,68,125,88,0,0.93125,Cube_Ela8_Var5
15,55,0.6,7,30,78,97,114,0,0.759765625,Cube_Ela6_Var7
16,63,0.7,7,30,70,112,75,0,0.901171875,Cube_Ela7_Var7
17,72,0.8,8,30,83,128,90,0,0.798046875,Cube_Ela8_Var8
18,51,0.6,3,30,68,93,63,0,0.98671875,Cube_Ela6_Var3
19,30,0.3,7,30,47,52,133,0,0.183203125,Cube_Ela3_Var7
20,53,0.6,5,30,79,95,181,0,0.6890625,Cube_Ela6_Var5
21,52,0.6,4,30,91,94,372,0,0.4109375,Cube_Ela6_Var4
22,68,0.8,4,30,85,124,150,0,0.8953125,Cube_Ela8_Var4
23,78,0.9,6,30,119,141,90,0,0.99453125,Cube_Ela9_Var6
24,76,0.9,4,30,120,139,150,0,0.983984375,Cube_Ela9_Var4
25,75,0.9,3,30,77,138,68,0,0.7703125,Cube_Ela9_Var3
26,58,0.7,2,30,77,107,57,0,0.075,Cube_Ela7_Var2
27,22,0.2,8,30,42,38,136,0,0.821875,Cube_Ela2_Var8
28,67,0.8,3,30,97,123,92,0,0.8953125,Cube_Ela8_Var3
29,28,0.3,4,30,59,49,129,0,0.87734375,Cube_Ela3_Var4
30,23,0.2,9,30,31,39,90,0,0.068359375,Cube_Ela2_Var9
